cas operacie,cislo,velkost frontu,,,
1.73E-05,16,2,,,1.97E-02
6.00E-07,16,2,,,29769
6.00E-07,16,2,,,
9.00E-07,4,1,,,
6.00E-07,4,1,,,
6.00E-07,4,1,,,
7.00E-07,21,2,,,
6.00E-07,13,1,,,
6.00E-07,13,1,,,
6.00E-07,13,1,,,
6.00E-07,13,1,,,
6.00E-07,21,3,,,
6.00E-07,13,2,,,
6.00E-07,11,2,,,
6.00E-07,3,3,,,
6.00E-07,3,3,,,
6.00E-07,33,4,,,
6.00E-07,19,4,,,
6.00E-07,13,3,,,
6.00E-07,13,3,,,
6.00E-07,17,1,,,
6.00E-07,1,2,,,
6.00E-07,12,3,,,
6.00E-07,12,3,,,
6.00E-07,12,3,,,
6.00E-07,12,4,,,
6.00E-07,12,4,,,
6.00E-07,17,1,,,
5.00E-07,34,3,,,
6.00E-07,9,2,,,
6.00E-07,9,2,,,
6.00E-07,9,2,,,
6.00E-07,22,4,,,
6.00E-07,22,5,,,
6.00E-07,22,6,,,
6.00E-07,22,7,,,
6.00E-07,19,5,,,
6.00E-07,12,4,,,
6.00E-07,12,4,,,
6.00E-07,22,2,,,
6.00E-07,22,2,,,
6.00E-07,22,2,,,
6.00E-07,17,1,,,
6.00E-07,33,2,,,
6.00E-07,20,3,,,
6.00E-07,20,3,,,
6.00E-07,23,4,,,
6.00E-07,19,7,,,
6.00E-07,19,8,,,
6.00E-07,4,9,,,
6.00E-07,4,9,,,
6.00E-07,4,9,,,
6.00E-07,19,9,,,
6.00E-07,30,9,,,
6.00E-07,17,10,,,
5.00E-07,17,10,,,
6.00E-07,19,7,,,
6.00E-07,22,8,,,
6.00E-07,22,11,,,
6.00E-07,22,11,,,
6.00E-07,19,9,,,
6.00E-07,19,10,,,
6.00E-07,19,11,,,
6.00E-07,6,12,,,
6.00E-07,6,12,,,
6.00E-07,6,13,,,
5.00E-07,6,13,,,
6.00E-07,2,17,,,
6.00E-07,6,16,,,
5.00E-07,6,16,,,
6.00E-07,22,15,,,
6.00E-07,33,14,,,
6.00E-07,25,13,,,
6.00E-07,33,13,,,
6.00E-07,33,13,,,
6.00E-07,33,13,,,
6.00E-07,33,14,,,
6.00E-07,3,13,,,
6.00E-07,3,13,,,
6.00E-07,22,11,,,
6.00E-07,1,9,,,
6.00E-07,1,11,,,
6.00E-07,1,11,,,
6.00E-07,1,11,,,
6.00E-07,26,10,,,
6.00E-07,4,9,,,
6.00E-07,4,9,,,
6.00E-07,22,9,,,
6.00E-07,17,10,,,
6.00E-07,1,10,,,
6.00E-07,1,14,,,
6.00E-07,5,12,,,
6.00E-07,5,11,,,
6.00E-07,5,11,,,
6.00E-07,5,11,,,
6.00E-07,26,8,,,
6.00E-07,35,8,,,
6.00E-07,1,8,,,
6.00E-07,12,11,,,
6.00E-07,17,11,,,
6.00E-07,17,11,,,
6.00E-07,2,14,,,
6.00E-07,17,15,,,
7.00E-07,17,18,,,
6.00E-07,17,19,,,
6.00E-07,31,21,,,
6.00E-07,33,17,,,
6.00E-07,33,17,,,
6.00E-07,23,17,,,
6.00E-07,27,14,,,
6.00E-07,15,11,,,
6.00E-07,30,11,,,
6.00E-07,30,11,,,
6.00E-07,33,10,,,
6.00E-07,17,5,,,
6.00E-07,17,5,,,
6.00E-07,23,2,,,
6.00E-07,29,1,,,
6.00E-07,29,1,,,
5.00E-07,29,1,,,
6.00E-07,30,2,,,
6.00E-07,23,2,,,
5.00E-07,25,2,,,
6.00E-07,29,1,,,
6.00E-07,29,1,,,
6.00E-07,29,1,,,
6.00E-07,9,2,,,
6.00E-07,8,5,,,
6.00E-07,18,5,,,
7.00E-07,1,3,,,
6.00E-07,29,1,,,
7.00E-07,22,4,,,
6.00E-07,19,7,,,
6.00E-07,4,8,,,
5.00E-07,4,8,,,
6.00E-07,16,7,,,
5.00E-07,7,9,,,
6.00E-07,7,10,,,
5.00E-07,7,10,,,
6.00E-07,23,10,,,
6.00E-07,32,9,,,
6.00E-07,24,8,,,
6.00E-07,24,9,,,
6.00E-07,24,10,,,
6.00E-07,18,11,,,
6.00E-07,15,10,,,
6.00E-07,31,6,,,
6.00E-07,6,5,,,
6.00E-07,6,5,,,
5.00E-07,25,2,,,
6.00E-07,29,1,,,
6.00E-07,9,2,,,
6.00E-07,9,2,,,
6.00E-07,9,2,,,
6.00E-07,9,2,,,
6.00E-07,9,2,,,
6.00E-07,29,1,,,
6.00E-07,29,1,,,
6.00E-07,15,4,,,
1.30E-06,29,1,,,
9.00E-07,18,2,,,
2.20E-06,4,3,,,
6.00E-07,4,5,,,
1.20E-06,17,4,,,
1.30E-06,35,6,,,
1.30E-06,35,6,,,
8.00E-07,35,6,,,
7.00E-07,35,7,,,
8.00E-07,17,6,,,
8.00E-07,7,6,,,
7.00E-07,7,6,,,
8.00E-07,7,6,,,
8.00E-07,35,5,,,
7.00E-07,35,5,,,
6.00E-07,21,7,,,
8.00E-07,21,8,,,
8.00E-07,28,11,,,
1.10E-06,28,12,,,
8.00E-07,28,13,,,
1.30E-06,28,13,,,
8.00E-07,28,13,,,
8.00E-07,35,10,,,
7.00E-07,35,10,,,
6.00E-07,8,9,,,
6.00E-07,20,8,,,
7.00E-07,11,7,,,
6.00E-07,11,7,,,
6.00E-07,18,6,,,
6.00E-07,7,4,,,
6.00E-07,29,1,,,
6.00E-07,15,3,,,
7.00E-07,11,6,,,
7.00E-07,11,6,,,
7.00E-07,11,7,,,
7.00E-07,30,3,,,
7.00E-07,14,6,,,
7.00E-07,9,5,,,
7.00E-07,17,6,,,
7.00E-07,17,6,,,
7.00E-07,9,5,,,
7.00E-07,30,4,,,
7.00E-07,30,4,,,
7.00E-07,30,4,,,
