cas operacie,vlozene cislo,priorita,velkost frontu,,,
1.64E-05,16,1224,1,,,7.84E-02
5.50E-06,4,3215,2,,,35000
2.00E-06,29,857,3,,,
3.90E-06,25,7385,4,,,
1.80E-06,13,7322,3,,,
2.20E-06,17,2414,2,,,
2.40E-06,17,5802,3,,,
2.00E-06,8,7285,3,,,
1.90E-06,4,7748,2,,,
1.70E-06,21,577,2,,,
2.10E-06,30,6060,3,,,
1.90E-06,13,9439,2,,,
1.60E-06,32,6688,2,,,
1.70E-06,8,761,2,,,
2.10E-06,21,1722,3,,,
2.10E-06,13,7537,4,,,
1.60E-06,11,6670,2,,,
1.60E-06,19,9183,2,,,
1.80E-06,3,402,3,,,
2.10E-06,33,836,4,,,
2.00E-06,7,9547,4,,,
2.00E-06,17,9733,4,,,
1.80E-06,24,2163,4,,,
1.50E-06,1,9511,2,,,
1.50E-06,19,9066,3,,,
1.60E-06,12,306,3,,,
2.00E-06,32,6659,4,,,
6.10E-06,17,3865,5,,,
2.00E-06,21,4710,5,,,
1.70E-06,27,6385,2,,,
1.50E-06,9,8204,2,,,
1.50E-06,34,7066,3,,,
1.60E-06,9,2234,3,,,
2.00E-06,22,5520,4,,,
1.90E-06,22,9150,4,,,
2.60E-06,10,4389,5,,,
2.00E-06,12,7608,5,,,
2.90E-06,3,7064,6,,,
3.70E-06,9,6625,7,,,
2.70E-06,21,87,8,,,
2.70E-06,19,3488,5,,,
1.90E-06,9,7523,5,,,
1.70E-06,33,5564,2,,,
1.60E-06,20,4189,3,,,
1.60E-06,35,3621,3,,,
1.80E-06,35,314,4,,,
1.60E-06,19,2711,3,,,
1.60E-06,14,1370,2,,,
2.10E-06,23,4576,3,,,
2.00E-06,28,6233,3,,,
2.00E-06,10,7348,4,,,
2.90E-06,19,6751,5,,,
2.80E-06,19,2487,6,,,
1.60E-06,32,7234,7,,,
1.40E-06,30,9257,8,,,
2.50E-06,14,947,9,,,
1.70E-06,4,344,9,,,
2.00E-06,30,3850,9,,,
1.50E-06,16,9836,10,,,
1.70E-06,17,3791,10,,,
2.60E-06,4,3313,11,,,
1.50E-06,32,9131,7,,,
1.80E-06,22,348,8,,,
2.80E-06,9,3156,9,,,
2.70E-06,1,2954,10,,,
2.90E-06,18,5363,11,,,
1.50E-06,26,7899,10,,,
1.60E-06,1,1019,10,,,
1.40E-06,16,8010,9,,,
2.50E-06,6,2962,10,,,
1.50E-06,23,9855,10,,,
1.80E-06,33,6174,11,,,
1.50E-06,6,7451,11,,,
1.80E-06,6,1261,12,,,
2.80E-06,22,2768,13,,,
2.70E-06,33,3704,14,,,
2.90E-06,33,6000,15,,,
2.60E-06,2,180,16,,,
2.60E-06,6,1838,17,,,
1.50E-06,1,7484,16,,,
2.00E-06,25,6443,14,,,
1.60E-06,13,128,12,,,
2.10E-06,3,6712,13,,,
1.90E-06,33,3688,14,,,
1.70E-06,10,1476,14,,,
1.50E-06,22,8069,14,,,
2.50E-06,23,6158,12,,,
1.50E-06,22,1380,11,,,
1.40E-06,32,8766,10,,,
1.50E-06,26,2571,11,,,
1.60E-06,26,8874,11,,,
1.50E-06,4,5636,9,,,
1.90E-06,17,8424,10,,,
1.70E-06,18,6509,9,,,
1.40E-06,29,9919,9,,,
1.60E-06,17,740,10,,,
3.10E-05,1,2687,11,,,
1.80E-06,22,1319,11,,,
1.50E-06,33,9736,12,,,
2.80E-06,5,5377,13,,,
2.80E-06,34,3508,14,,,
1.40E-06,5,5798,14,,,
1.60E-06,13,7487,10,,,
1.50E-06,7,8720,9,,,
2.60E-06,35,8267,8,,,
1.80E-06,1,7323,8,,,
1.80E-06,17,7345,8,,,
2.80E-06,15,8717,9,,,
2.80E-06,33,8980,10,,,
2.50E-06,12,3315,11,,,
2.70E-06,16,7543,12,,,
1.80E-06,2,259,12,,,
2.80E-06,33,2312,13,,,
2.80E-06,9,4483,14,,,
1.70E-06,22,941,14,,,
2.50E-06,17,27,15,,,
2.70E-06,4,641,16,,,
1.50E-06,24,5791,17,,,
2.22E-05,5,9438,18,,,
1.50E-06,23,2330,19,,,
3.00E-06,3,2180,20,,,
2.80E-06,31,636,21,,,
2.90E-06,21,916,22,,,
1.40E-06,27,6590,22,,,
1.50E-06,24,8566,18,,,
1.40E-06,2,9627,11,,,
1.60E-06,30,3830,11,,,
1.60E-06,30,8021,2,,,
1.60E-06,18,3628,3,,,
2.00E-06,11,8122,4,,,
1.70E-06,6,7761,4,,,
2.60E-06,32,2865,5,,,
1.60E-06,7,3430,3,,,
1.60E-06,23,3696,2,,,
2.00E-06,21,3855,3,,,
1.50E-06,6,2628,2,,,
1.60E-06,25,2740,2,,,
1.50E-06,13,5434,2,,,
1.50E-06,23,8367,2,,,
1.60E-06,4,4712,2,,,
1.60E-06,9,5138,2,,,
1.60E-06,1,9846,2,,,
1.70E-06,6,8613,3,,,
1.80E-06,8,7150,4,,,
2.60E-06,21,4557,5,,,
1.60E-06,29,9860,5,,,
1.70E-06,8,3069,6,,,
1.60E-06,18,238,5,,,
2.00E-06,18,5290,6,,,
2.80E-06,6,3129,7,,,
1.70E-06,14,336,7,,,
1.50E-06,28,1341,6,,,
1.60E-06,16,8669,2,,,
1.70E-06,32,5991,2,,,
1.60E-06,4,3288,3,,,
1.80E-06,22,1459,4,,,
2.00E-06,8,4808,4,,,
2.90E-06,16,7276,5,,,
2.60E-06,19,1609,6,,,
1.50E-06,24,6605,7,,,
1.40E-06,23,9486,7,,,
1.40E-06,15,8482,8,,,
1.50E-06,16,485,7,,,
1.90E-06,21,546,8,,,
1.70E-06,7,5,9,,,
2.90E-06,22,1759,10,,,
2.90E-06,16,1036,11,,,
1.50E-06,31,7811,11,,,
2.70E-06,23,4128,9,,,
1.40E-06,34,7562,9,,,
2.00E-06,26,5328,10,,,
1.50E-06,25,9650,10,,,
1.70E-06,27,2509,10,,,
1.40E-06,16,9225,9,,,
1.50E-06,13,2120,10,,,
1.60E-06,31,638,10,,,
1.50E-06,22,7513,10,,,
2.60E-06,15,7136,10,,,
2.50E-06,18,3203,11,,,
1.80E-06,32,3020,11,,,
2.80E-06,35,7566,8,,,
2.50E-06,8,526,9,,,
1.70E-06,6,5352,5,,,
2.80E-06,19,8210,6,,,
1.50E-06,23,6377,2,,,
1.50E-06,9,6994,2,,,
1.50E-06,9,283,3,,,
1.60E-06,5,1761,3,,,
1.50E-06,23,4571,2,,,
1.50E-06,19,977,3,,,
1.90E-06,19,2322,4,,,
2.90E-06,8,4591,5,,,
1.50E-06,15,808,4,,,
2.30E-06,18,7794,2,,,
2.40E-06,4,568,3,,,
3.80E-06,9,7804,4,,,
3.40E-06,17,3175,5,,,
3.10E-06,32,2508,5,,,
3.80E-06,35,1729,6,,,
5.30E-06,7,6027,7,,,
2.70E-06,7,8685,7,,,
2.40E-06,35,737,6,,,
2.00E-06,35,6880,7,,,
2.90E-06,13,3153,7,,,
3.50E-06,19,6412,6,,,
2.00E-06,14,348,6,,,
1.60E-06,21,9569,6,,,
1.80E-06,21,4342,7,,,
3.60E-06,8,7180,8,,,
3.60E-06,22,1471,9,,,
2.10E-06,26,9048,10,,,
3.70E-06,3,3804,11,,,
3.40E-06,16,346,12,,,
2.60E-06,28,3815,12,,,
2.30E-06,20,7451,13,,,
2.80E-06,2,506,12,,,
2.30E-06,11,7773,12,,,
2.20E-06,16,5847,13,,,
2.10E-06,15,452,10,,,
1.70E-06,17,4780,9,,,
1.60E-06,35,3767,2,,,
1.70E-06,21,6945,2,,,
1.60E-06,15,3183,3,,,
1.90E-06,22,2261,4,,,
3.10E-06,1,7113,5,,,
2.60E-06,2,1211,6,,,
1.60E-06,22,8908,4,,,
1.60E-06,32,32,5,,,
1.50E-06,33,9232,5,,,
1.70E-06,15,1642,6,,,
1.50E-06,30,9035,7,,,
3.00E-06,11,2603,6,,,
2.80E-06,25,1627,7,,,
2.00E-06,11,2052,7,,,
2.80E-06,31,568,8,,,
1.70E-06,27,8861,7,,,
1.60E-06,18,7684,8,,,
1.70E-06,28,9827,4,,,
1.80E-06,14,6060,5,,,
2.20E-06,30,6503,6,,,
2.20E-06,26,8930,7,,,
2.10E-06,9,8965,7,,,
1.80E-06,17,6737,6,,,
1.80E-06,27,3569,6,,,
1.70E-06,9,1996,5,,,
1.70E-06,25,4441,5,,,
2.20E-06,18,6237,6,,,
1.90E-06,19,1834,7,,,
3.20E-06,24,3148,8,,,
2.90E-06,12,1565,9,,,
1.80E-06,32,1892,8,,,
1.60E-06,12,7603,9,,,
1.60E-06,14,9286,10,,,
1.90E-06,18,1370,11,,,
1.90E-06,20,1697,11,,,
1.60E-06,8,8211,11,,,
2.00E-06,35,1202,12,,,
2.00E-06,8,1222,12,,,
2.90E-06,15,529,13,,,
1.60E-06,5,9894,14,,,
1.70E-06,10,8039,15,,,
1.60E-06,3,9130,16,,,
3.40E-06,31,1953,17,,,
1.70E-06,28,4676,17,,,
1.80E-06,10,35,17,,,
1.70E-06,26,7131,18,,,
2.20E-06,34,1190,19,,,
1.50E-06,34,8654,19,,,
1.50E-06,22,7301,19,,,
1.50E-06,11,2043,20,,,
1.60E-06,14,8966,20,,,
2.70E-06,18,3853,16,,,
2.90E-06,20,5801,17,,,
3.00E-06,35,6783,18,,,
1.60E-06,35,9,17,,,
1.80E-06,15,6706,10,,,
1.50E-06,8,5766,9,,,
1.70E-06,12,3419,10,,,
1.40E-06,14,9253,9,,,
1.60E-06,34,3760,9,,,
2.00E-06,19,4273,10,,,
2.00E-06,11,6738,11,,,
2.00E-06,3,6839,11,,,
1.50E-06,15,9113,12,,,
2.50E-06,26,625,13,,,
1.90E-06,19,6508,9,,,
2.80E-06,35,8774,10,,,
1.70E-06,3,656,10,,,
2.80E-06,8,1660,11,,,
1.60E-06,20,3595,10,,,
1.50E-06,15,9602,10,,,
1.60E-06,34,4232,11,,,
1.70E-06,1,2554,12,,,
2.90E-06,18,8856,13,,,
2.50E-06,10,2380,14,,,
2.90E-06,18,7538,15,,,
4.40E-06,31,5124,16,,,
2.60E-06,3,25,17,,,
1.60E-06,30,5101,16,,,
1.50E-06,11,5408,17,,,
1.90E-06,27,2995,13,,,
2.20E-06,30,3123,14,,,
1.60E-06,23,3028,13,,,
1.60E-06,21,665,14,,,
1.60E-06,15,2188,13,,,
2.70E-06,23,7009,12,,,
2.60E-06,6,2524,9,,,
1.70E-06,22,3015,9,,,
2.50E-06,26,2521,10,,,
1.50E-06,35,6978,8,,,
1.50E-06,8,3789,9,,,
1.50E-06,32,2318,8,,,
2.00E-06,7,4866,9,,,
2.00E-06,11,6897,9,,,
4.70E-06,24,3789,7,,,
1.50E-06,15,9855,8,,,
2.60E-06,8,2060,9,,,
2.80E-06,13,2525,10,,,
2.00E-06,5,3528,10,,,
3.00E-06,8,7602,11,,,
1.60E-06,4,3372,10,,,
1.90E-06,33,6872,11,,,
2.50E-06,20,3322,12,,,
1.50E-06,17,9162,12,,,
2.00E-06,21,4366,13,,,
1.70E-06,17,3328,13,,,
1.80E-06,26,674,13,,,
1.40E-06,23,9530,10,,,
1.80E-06,21,4199,10,,,
1.50E-06,20,8669,9,,,
1.70E-06,21,2681,10,,,
1.50E-06,35,9915,10,,,
1.70E-06,9,1214,11,,,
2.70E-06,25,7413,12,,,
1.70E-06,10,1548,12,,,
2.60E-06,31,7131,9,,,
1.70E-06,29,2097,9,,,
2.80E-06,9,5753,10,,,
1.80E-06,30,587,10,,,
2.70E-06,20,2208,11,,,
2.80E-06,32,2687,12,,,
1.40E-06,6,7506,12,,,
2.00E-06,12,5189,13,,,
2.80E-06,13,4045,14,,,
2.70E-06,29,2541,15,,,
1.40E-06,32,6237,15,,,
1.50E-06,4,9175,16,,,
1.40E-06,28,4286,17,,,
1.60E-06,28,3042,13,,,
1.40E-06,30,8184,14,,,
2.70E-06,21,8844,12,,,
3.20E-06,30,713,12,,,
3.00E-06,6,1937,12,,,
4.60E-06,8,2457,13,,,
3.80E-06,34,2284,14,,,
4.10E-06,17,3922,15,,,
2.60E-06,21,9799,14,,,
2.60E-06,8,9930,14,,,
2.30E-06,26,8873,15,,,
3.30E-06,29,5486,15,,,
3.50E-06,31,523,16,,,
3.60E-06,27,5976,17,,,
2.30E-06,14,5422,17,,,
4.10E-06,22,479,18,,,
3.60E-06,25,1601,19,,,
2.70E-06,18,2735,19,,,
2.10E-06,16,7230,19,,,
2.40E-06,22,7881,14,,,
2.30E-06,6,587,14,,,
2.00E-06,3,8272,14,,,
1.60E-06,30,254,15,,,
2.20E-06,22,4104,16,,,
2.60E-06,16,569,13,,,
1.60E-06,30,1968,12,,,
1.60E-06,10,6830,12,,,
2.60E-06,2,2098,10,,,
1.90E-06,16,5931,10,,,
1.80E-06,5,3687,10,,,
1.70E-06,35,2670,10,,,
2.90E-06,34,3841,11,,,
2.00E-06,2,6248,11,,,
1.60E-06,5,7537,10,,,
1.90E-06,28,8937,11,,,
1.70E-06,30,5442,11,,,
1.60E-06,6,4617,9,,,
2.50E-06,23,277,8,,,
1.70E-06,9,106,7,,,
2.00E-06,4,2809,8,,,
1.50E-06,18,9891,7,,,
1.60E-06,22,8520,8,,,
1.70E-06,3,1613,9,,,
1.70E-06,26,8320,9,,,
2.50E-06,2,6133,10,,,
2.40E-06,20,2281,11,,,
1.50E-06,29,9489,12,,,
1.60E-06,11,6162,11,,,
1.40E-06,12,9604,10,,,
1.50E-06,15,3716,11,,,
1.50E-06,12,1415,12,,,
2.00E-06,28,7260,13,,,
1.90E-06,6,5438,13,,,
2.60E-06,31,731,14,,,
1.40E-06,12,9539,15,,,
2.90E-06,34,6794,16,,,
2.90E-06,16,5541,17,,,
1.50E-06,9,2640,16,,,
1.60E-06,21,8884,7,,,
1.50E-06,35,1575,8,,,
1.90E-06,4,6930,9,,,
2.70E-06,34,6353,10,,,
2.50E-06,18,609,11,,,
2.60E-06,12,6010,12,,,
1.50E-06,24,857,11,,,
1.90E-06,1,3334,12,,,
1.40E-06,19,8479,13,,,
1.40E-06,1,8625,13,,,
1.50E-06,33,2254,13,,,
1.60E-06,18,241,13,,,
1.90E-06,23,1066,14,,,
2.60E-06,7,1790,11,,,
2.70E-06,6,8192,12,,,
1.70E-06,30,545,12,,,
2.70E-06,21,1998,13,,,
1.70E-06,6,1963,13,,,
1.90E-06,20,6643,13,,,
2.60E-06,32,323,14,,,
1.60E-06,28,1382,8,,,
2.50E-06,35,6065,7,,,
2.60E-06,18,8425,8,,,
2.70E-06,6,6853,9,,,
2.60E-06,11,1019,10,,,
3.20E-06,10,7375,11,,,
1.60E-06,18,1812,10,,,
1.50E-06,20,2465,6,,,
1.70E-06,8,5591,5,,,
1.90E-06,27,5728,6,,,
1.90E-06,10,9333,7,,,
1.70E-06,31,4973,7,,,
2.50E-06,14,1575,8,,,
1.50E-06,2,2886,7,,,
1.50E-06,24,2188,7,,,
1.50E-06,3,2963,6,,,
1.60E-06,7,7129,3,,,
1.40E-06,23,9155,3,,,
1.50E-06,3,1924,2,,,
1.50E-06,29,6753,2,,,
1.50E-06,26,4603,2,,,
2.00E-06,9,5788,3,,,
1.70E-06,19,398,4,,,
2.80E-06,7,4253,5,,,
1.50E-06,31,1563,4,,,
1.40E-06,5,7434,5,,,
1.40E-06,2,6811,5,,,
1.50E-06,14,2076,2,,,
1.90E-06,31,6253,3,,,
1.50E-06,3,9564,2,,,
1.50E-06,15,5429,3,,,
1.50E-06,4,1172,2,,,
1.90E-06,18,2343,3,,,
1.60E-06,15,943,4,,,
2.90E-06,24,9568,5,,,
2.70E-06,9,1818,6,,,
1.50E-06,26,5905,7,,,
1.90E-06,4,1265,7,,,
2.50E-06,31,736,8,,,
1.50E-06,26,7220,9,,,
1.50E-06,21,6353,9,,,
1.40E-06,25,3965,9,,,
2.70E-06,31,5078,8,,,
1.70E-06,28,1553,8,,,
1.40E-06,30,6908,8,,,
1.70E-06,29,286,9,,,
2.00E-06,11,5507,9,,,
1.60E-06,35,3342,8,,,
2.50E-06,33,3567,6,,,
1.40E-06,28,8632,7,,,
2.50E-06,23,1336,7,,,
3.00E-06,25,2100,8,,,
2.90E-06,4,6695,9,,,
1.60E-06,34,748,8,,,
1.50E-06,30,546,8,,,
1.40E-06,5,8375,9,,,
1.90E-06,1,5905,10,,,
2.70E-06,34,1983,11,,,
1.50E-06,25,722,10,,,
1.60E-06,35,1841,10,,,
1.60E-06,13,2245,10,,,
1.50E-06,5,79,9,,,
1.60E-06,33,2167,9,,,
1.90E-06,3,2571,10,,,
1.50E-06,21,9980,10,,,
1.50E-06,12,7839,11,,,
1.70E-06,20,3779,9,,,
1.50E-06,19,1808,7,,,
1.60E-06,33,723,7,,,
1.90E-06,16,8933,5,,,
1.60E-06,4,8632,3,,,
1.50E-06,7,7899,2,,,
1.60E-06,17,2072,2,,,
2.00E-06,8,9956,3,,,
1.60E-06,25,2687,2,,,
2.00E-06,16,8099,3,,,
1.50E-06,34,1659,2,,,
1.90E-06,15,5105,3,,,
1.50E-06,31,5067,2,,,
1.60E-06,22,4109,2,,,
1.90E-06,18,5162,3,,,
1.90E-06,20,5955,4,,,
1.80E-06,17,1271,4,,,
1.90E-06,30,9687,4,,,
2.60E-06,31,7179,5,,,
1.60E-06,1,3401,3,,,
1.60E-06,16,1972,4,,,
8.20E-06,12,7457,5,,,
1.60E-06,30,267,3,,,
2.00E-06,12,3269,4,,,
2.00E-06,17,2371,5,,,
2.90E-06,10,6754,6,,,
2.70E-06,28,2977,7,,,
1.50E-06,24,5092,8,,,
1.50E-06,16,7784,9,,,
1.50E-06,30,5642,10,,,
1.50E-06,17,6569,11,,,
1.50E-06,9,4013,12,,,
1.50E-06,21,7656,13,,,
1.70E-06,2,53,13,,,
2.90E-06,20,631,14,,,
2.80E-06,10,1255,15,,,
