cas operacie,vybrane cislo,velkost frontu,,
2.40E-06,29,3,,2.51E-01
1.40E-06,16,2,,34927
0.015145,4,2,,
2.20E-06,13,1,,
1.30E-06,17,2,,
1.20E-06,17,2,,
1.20E-06,8,1,,
1.30E-06,25,1,,
1.30E-06,21,2,,
1.30E-06,30,1,,
1.30E-06,4,1,,
1.30E-06,32,1,,
1.20E-06,8,3,,
1.20E-06,21,2,,
1.20E-06,13,1,,
1.20E-06,11,1,,
1.20E-06,3,3,,
1.20E-06,33,3,,
1.20E-06,19,3,,
1.20E-06,24,3,,
1.20E-06,13,2,,
1.20E-06,7,1,,
1.20E-06,19,2,,
1.30E-06,12,4,,
1.30E-06,17,4,,
1.20E-06,21,3,,
1.30E-06,32,2,,
4.80E-06,1,1,,
1.30E-06,27,1,,
1.20E-06,34,2,,
1.20E-06,9,3,,
1.40E-06,10,4,,
1.40E-06,21,7,,
1.40E-06,22,6,,
1.30E-06,9,5,,
9.90E-06,3,4,,
1.30E-06,19,4,,
1.30E-06,9,4,,
1.30E-06,12,3,,
1.30E-06,9,2,,
4.40E-06,22,1,,
1.20E-06,20,2,,
1.30E-06,35,3,,
1.30E-06,35,2,,
1.30E-06,19,2,,
1.30E-06,33,1,,
1.20E-06,14,2,,
1.30E-06,14,8,,
1.30E-06,4,8,,
1.30E-06,19,9,,
1.20E-06,4,10,,
1.30E-06,17,9,,
1.30E-06,30,8,,
1.75E-05,23,7,,
1.30E-06,28,6,,
1.30E-06,22,10,,
1.30E-06,1,9,,
1.30E-06,9,9,,
1.30E-06,1,9,,
1.96E-05,18,8,,
1.30E-06,6,9,,
1.30E-06,33,10,,
1.30E-06,2,16,,
1.30E-06,6,15,,
1.30E-06,6,15,,
3.49E-05,22,14,,
1.30E-06,33,13,,
1.30E-06,33,13,,
1.30E-06,25,12,,
1.30E-06,19,11,,
1.30E-06,13,13,,
1.30E-06,10,13,,
1.30E-06,33,13,,
1.30E-06,3,12,,
2.78E-05,32,11,,
1.30E-06,23,11,,
1.30E-06,10,10,,
1.30E-06,22,10,,
1.30E-06,6,9,,
