cas operacie,cislo,velkost frontu,,,
4.60E-06,24,3,,,1.25E-02
6.00E-07,24,4,,,19786
6.00E-07,24,6,,,
6.00E-07,24,10,,,
6.00E-07,24,10,,,
5.00E-07,5,11,,,
6.00E-07,21,9,,,
6.00E-07,21,9,,,
6.00E-07,25,9,,,
6.00E-07,29,11,,,
6.00E-07,28,11,,,
6.00E-07,14,14,,,
6.00E-07,17,14,,,
5.00E-07,17,14,,,
6.00E-07,18,19,,,
6.00E-07,47,23,,,
6.00E-07,43,23,,,
6.00E-07,1,28,,,
5.00E-07,43,27,,,
6.00E-07,19,31,,,
6.00E-07,12,31,,,
6.00E-07,36,30,,,
6.00E-07,48,28,,,
6.00E-07,3,27,,,
6.00E-07,3,27,,,
6.00E-07,23,28,,,
6.00E-07,18,28,,,
6.00E-07,43,31,,,
6.00E-07,43,32,,,
6.00E-07,17,31,,,
6.00E-07,50,33,,,
6.00E-07,29,32,,,
6.00E-07,46,35,,,
6.00E-07,45,36,,,
6.00E-07,45,36,,,
6.00E-07,45,36,,,
6.00E-07,46,49,,,
6.00E-07,1,53,,,
7.00E-07,14,55,,,
7.00E-07,45,59,,,
7.00E-07,12,60,,,
6.00E-07,46,68,,,
9.00E-07,39,67,,,
1.80E-06,27,71,,,
1.40E-06,27,74,,,
7.00E-07,34,74,,,
7.00E-07,16,73,,,
9.00E-07,39,73,,,
9.00E-07,17,73,,,
6.00E-07,17,74,,,
6.00E-07,30,74,,,
6.00E-07,25,74,,,
6.00E-07,30,77,,,
6.00E-07,30,77,,,
6.00E-07,30,77,,,
6.00E-07,30,73,,,
6.00E-07,2,74,,,
6.00E-07,1,73,,,
6.00E-07,32,75,,,
6.00E-07,26,73,,,
6.00E-07,16,72,,,
6.00E-07,16,72,,,
6.00E-07,23,76,,,
6.00E-07,2,77,,,
6.00E-07,2,78,,,
6.00E-07,44,77,,,
8.00E-07,40,78,,,
6.00E-07,13,79,,,
6.00E-07,2,79,,,
6.00E-07,39,75,,,
6.00E-07,46,78,,,
6.00E-07,46,78,,,
6.00E-07,46,81,,,
6.00E-07,18,81,,,
6.00E-07,18,84,,,
6.00E-07,18,85,,,
6.00E-07,18,85,,,
7.00E-07,6,87,,,
6.00E-07,6,88,,,
6.00E-07,18,87,,,
6.00E-07,27,88,,,
6.00E-07,18,90,,,
5.00E-07,18,90,,,
6.00E-07,18,90,,,
6.00E-07,27,91,,,
6.00E-07,18,93,,,
7.00E-07,28,93,,,
6.00E-07,14,96,,,
6.00E-07,14,95,,,
6.00E-07,26,94,,,
6.00E-07,26,95,,,
6.00E-07,43,95,,,
6.00E-07,6,99,,,
6.00E-07,44,99,,,
5.00E-07,5,98,,,
6.00E-07,8,102,,,
5.00E-07,8,102,,,
6.00E-07,8,102,,,
6.00E-07,8,102,,,
6.00E-07,18,102,,,
5.00E-07,18,102,,,
6.00E-07,25,101,,,
6.00E-07,44,103,,,
6.00E-07,44,103,,,
7.00E-07,18,105,,,
6.00E-07,49,110,,,
6.00E-07,27,114,,,
6.00E-07,38,113,,,
6.00E-07,35,114,,,
5.00E-07,35,114,,,
5.00E-07,35,114,,,
6.00E-07,25,111,,,
6.00E-07,25,114,,,
6.00E-07,34,114,,,
6.00E-07,23,122,,,
7.00E-07,23,123,,,
6.00E-07,43,125,,,
6.00E-07,17,126,,,
6.00E-07,1,125,,,
6.00E-07,32,125,,,
6.00E-07,45,124,,,
6.00E-07,45,124,,,
6.00E-07,45,124,,,
5.00E-07,4,123,,,
6.00E-07,4,123,,,
6.00E-07,4,123,,,
6.00E-07,28,123,,,
5.00E-07,5,124,,,
6.00E-07,37,125,,,
5.00E-07,5,124,,,
6.00E-07,24,124,,,
6.00E-07,39,123,,,
6.00E-07,44,121,,,
6.00E-07,11,124,,,
7.00E-07,17,125,,,
6.00E-07,11,124,,,
7.00E-07,5,124,,,
6.00E-07,2,126,,,
5.00E-07,21,126,,,
7.00E-07,10,125,,,
6.00E-07,3,126,,,
7.00E-07,38,123,,,
6.00E-07,38,124,,,
5.00E-07,32,126,,,
6.00E-07,20,125,,,
6.00E-07,20,125,,,
6.00E-07,12,127,,,
5.00E-07,12,127,,,
6.00E-07,12,127,,,
6.00E-07,2,126,,,
6.00E-07,31,127,,,
6.00E-07,24,127,,,
6.00E-07,24,127,,,
6.00E-07,14,125,,,
5.00E-07,14,125,,,
6.00E-07,22,128,,,
6.00E-07,33,126,,,
