cas operacie,vlozene cislo,priorita,velkost frontu,,,
7.70E-06,24,2941,1,,,1.21E-01
3.60E-06,14,3850,2,,,50000
2.20E-06,32,8762,3,,,
3.60E-06,48,6922,4,,,
3.00E-06,41,4613,5,,,
1.70E-06,15,7914,6,,,
1.60E-06,21,8160,7,,,
1.60E-06,7,7423,8,,,
1.40E-06,21,7004,9,,,
2.70E-06,22,1499,10,,,
1.60E-06,8,8813,11,,,
1.60E-06,5,2810,11,,,
2.70E-06,47,1703,12,,,
2.90E-06,40,1740,13,,,
2.30E-06,31,9772,8,,,
2.00E-06,40,2753,9,,,
2.20E-06,39,7626,9,,,
2.40E-06,10,9214,9,,,
2.00E-06,22,1240,10,,,
2.10E-06,25,7193,10,,,
2.20E-06,29,2223,8,,,
2.10E-06,18,3941,9,,,
2.20E-06,11,5292,10,,,
2.10E-06,28,3620,11,,,
2.20E-06,24,5108,12,,,
1.90E-06,5,2096,12,,,
1.90E-06,14,1269,11,,,
2.40E-06,3,2724,12,,,
2.40E-06,1,9505,13,,,
2.30E-06,17,1577,14,,,
2.40E-06,17,2013,15,,,
2.30E-06,10,5512,15,,,
2.30E-06,30,1597,16,,,
2.10E-06,47,393,16,,,
7.60E-06,33,497,17,,,
2.10E-06,18,345,18,,,
2.60E-06,15,4363,19,,,
2.50E-06,47,1545,20,,,
2.50E-06,43,1092,21,,,
2.40E-06,10,2373,21,,,
2.40E-06,22,5896,22,,,
2.30E-06,25,3141,23,,,
2.10E-06,49,615,22,,,
2.60E-06,34,9187,22,,,
2.50E-06,39,1692,23,,,
2.40E-06,37,5405,24,,,
2.10E-06,16,791,25,,,
2.40E-06,18,6770,26,,,
2.60E-06,30,4557,26,,,
2.00E-06,1,219,27,,,
2.50E-06,35,1204,28,,,
2.40E-06,41,1661,27,,,
2.30E-06,2,5381,27,,,
2.10E-06,48,539,28,,,
2.30E-06,48,2654,29,,,
2.50E-06,29,4938,30,,,
2.50E-06,19,1105,31,,,
2.50E-06,38,1659,32,,,
2.50E-06,35,7219,31,,,
2.50E-06,50,4748,31,,,
2.20E-06,24,261,30,,,
2.00E-06,36,1827,28,,,
2.50E-06,31,5718,29,,,
2.10E-06,12,1068,30,,,
2.50E-06,33,1863,31,,,
2.40E-06,2,8726,28,,,
2.40E-06,16,3307,28,,,
2.50E-06,23,3079,28,,,
2.50E-06,38,5596,28,,,
2.60E-06,7,5263,28,,,
2.10E-06,27,315,29,,,
2.60E-06,36,9554,28,,,
2.50E-06,48,7976,29,,,
2.50E-06,27,9525,29,,,
2.20E-06,36,1619,30,,,
2.10E-06,43,641,30,,,
2.50E-06,34,8222,31,,,
2.40E-06,17,2513,32,,,
2.70E-06,16,6693,32,,,
1.73E-05,29,5157,33,,,
2.30E-06,35,705,33,,,
2.60E-06,2,8309,32,,,
