cas operacie,vybrane cislo,velkost frontu,,,
2.20E-06,22,10,,,1.35E+00
1.30E-06,47,12,,,29959
1.40E-06,40,11,,,
3.05E-05,5,10,,,
1.40E-06,24,9,,,
1.30E-06,14,8,,,
1.30E-06,41,7,,,
1.20E-06,40,8,,,
1.20E-06,48,8,,,
1.40E-06,22,9,,,
1.30E-06,21,9,,,
1.30E-06,25,8,,,
1.20E-06,7,7,,,
1.30E-06,29,11,,,
1.30E-06,5,11,,,
1.30E-06,28,10,,,
1.30E-06,14,14,,,
1.20E-06,17,15,,,
1.30E-06,18,20,,,
1.20E-06,47,22,,,
1.30E-06,33,21,,,
1.20E-06,49,21,,,
1.30E-06,16,25,,,
1.30E-06,1,27,,,
1.30E-06,43,26,,,
1.20E-06,35,26,,,
1.30E-06,48,31,,,
1.30E-06,19,30,,,
1.30E-06,47,30,,,
1.30E-06,30,30,,,
1.20E-06,38,29,,,
1.30E-06,24,29,,,
1.30E-06,41,28,,,
1.30E-06,39,27,,,
1.30E-06,12,30,,,
1.30E-06,36,29,,,
1.30E-06,33,28,,,
1.30E-06,17,27,,,
1.30E-06,10,27,,,
1.30E-06,48,27,,,
1.30E-06,3,27,,,
1.30E-06,23,27,,,
1.30E-06,27,28,,,
1.30E-06,25,27,,,
1.30E-06,16,28,,,
1.40E-06,36,29,,,
1.30E-06,43,31,,,
1.40E-06,17,32,,,
1.30E-06,35,32,,,
1.20E-06,18,31,,,
1.30E-06,15,33,,,
1.20E-06,30,32,,,
1.30E-06,50,32,,,
1.20E-06,46,34,,,
1.30E-06,42,41,,,
1.40E-06,40,44,,,
1.20E-06,14,48,,,
1.40E-06,46,48,,,
1.30E-06,20,47,,,
1.40E-06,23,53,,,
1.40E-06,1,55,,,
1.30E-06,48,55,,,
1.40E-06,45,54,,,
1.60E-06,14,55,,,
1.70E-06,23,57,,,
1.50E-06,45,58,,,
1.60E-06,12,60,,,
1.50E-06,32,60,,,
1.50E-06,46,68,,,
1.50E-06,5,67,,,
3.20E-06,48,66,,,
3.10E-06,3,65,,,
1.90E-06,26,64,,,
2.60E-06,49,64,,,
2.40E-06,16,63,,,
2.10E-06,27,74,,,
2.00E-06,45,74,,,
1.90E-06,23,74,,,
1.70E-06,34,73,,,
1.80E-06,16,72,,,
1.80E-06,39,72,,,
1.60E-06,17,74,,,
1.30E-06,30,74,,,
1.30E-06,30,77,,,
1.30E-06,39,77,,,
1.30E-06,25,78,,,
1.40E-06,34,77,,,
1.30E-06,35,76,,,
1.40E-06,29,75,,,
1.40E-06,31,74,,,
1.40E-06,18,73,,,
1.40E-06,30,74,,,
1.30E-06,2,73,,,
1.30E-06,8,73,,,
1.30E-06,18,73,,,
1.30E-06,32,74,,,
1.30E-06,1,73,,,
1.40E-06,40,72,,,
1.30E-06,26,72,,,
1.50E-06,16,71,,,
1.30E-06,38,71,,,
1.40E-06,20,76,,,
1.40E-06,2,79,,,
1.40E-06,21,78,,,
1.30E-06,23,77,,,
1.30E-06,44,77,,,
2.50E-06,37,76,,,
1.70E-06,40,79,,,
1.40E-06,13,78,,,
1.30E-06,4,78,,,
1.40E-06,6,79,,,
1.40E-06,38,79,,,
1.50E-06,2,79,,,
1.40E-06,29,78,,,
1.40E-06,29,77,,,
1.30E-06,13,76,,,
1.30E-06,24,75,,,
1.50E-06,46,81,,,
1.40E-06,11,81,,,
1.40E-06,22,84,,,
1.40E-06,32,85,,,
1.70E-06,6,87,,,
1.40E-06,40,90,,,
1.40E-06,18,89,,,
1.40E-06,27,91,,,
1.40E-06,10,93,,,
1.40E-06,18,92,,,
1.40E-06,38,92,,,
1.30E-06,24,93,,,
1.40E-06,28,93,,,
1.30E-06,41,94,,,
1.40E-06,14,95,,,
1.40E-06,14,94,,,
1.40E-06,21,93,,,
1.30E-06,34,92,,,
1.40E-06,26,94,,,
1.30E-06,14,95,,,
1.40E-06,20,95,,,
1.30E-06,43,94,,,
1.40E-06,47,93,,,
1.30E-06,24,95,,,
1.30E-06,9,95,,,
1.30E-06,6,99,,,
1.40E-06,44,98,,,
1.30E-06,5,97,,,
1.40E-06,39,102,,,
1.40E-06,33,101,,,
1.40E-06,9,101,,,
1.40E-06,8,101,,,
1.40E-06,11,101,,,
1.40E-06,18,101,,,
1.40E-06,43,101,,,
1.40E-06,29,102,,,
1.40E-06,18,105,,,
1.30E-06,44,104,,,
1.40E-06,16,110,,,
1.40E-06,40,109,,,
1.40E-06,49,109,,,
1.40E-06,4,112,,,
1.40E-06,21,114,,,
1.40E-06,27,114,,,
1.40E-06,6,113,,,
1.40E-06,35,113,,,
1.30E-06,38,112,,,
1.40E-06,26,111,,,
1.30E-06,17,115,,,
1.40E-06,19,114,,,
1.40E-06,25,114,,,
1.40E-06,25,113,,,
1.30E-06,34,113,,,
1.30E-06,5,118,,,
1.40E-06,36,120,,,
1.60E-06,23,126,,,
1.40E-06,21,125,,,
1.40E-06,43,124,,,
1.40E-06,30,124,,,
1.40E-06,18,124,,,
1.40E-06,12,124,,,
1.30E-06,17,125,,,
1.40E-06,15,125,,,
1.30E-06,1,124,,,
1.40E-06,5,123,,,
1.40E-06,32,125,,,
1.30E-06,32,124,,,
1.30E-06,39,123,,,
1.30E-06,45,123,,,
1.40E-06,28,123,,,
1.30E-06,4,122,,,
1.40E-06,28,124,,,
1.40E-06,2,125,,,
1.40E-06,37,124,,,
1.30E-06,5,123,,,
1.30E-06,24,123,,,
1.40E-06,42,124,,,
1.50E-06,39,123,,,
1.30E-06,29,122,,,
1.40E-06,48,121,,,
1.40E-06,36,124,,,
1.40E-06,9,125,,,
1.40E-06,18,124,,,
1.40E-06,44,123,,,
1.40E-06,7,122,,,
1.30E-06,17,124,,,
1.40E-06,3,126,,,
1.40E-06,45,125,,,
1.40E-06,50,124,,,
1.30E-06,11,123,,,
1.40E-06,23,122,,,
1.40E-06,42,122,,,
1.40E-06,19,121,,,
1.30E-06,5,123,,,
1.40E-06,48,126,,,
1.40E-06,23,126,,,
1.40E-06,15,126,,,
1.40E-06,2,126,,,
1.30E-06,37,126,,,
1.30E-06,9,125,,,
1.30E-06,19,127,,,
1.40E-06,50,126,,,
1.40E-06,21,125,,,
1.40E-06,44,125,,,
1.30E-06,30,125,,,
1.40E-06,10,125,,,
1.40E-06,3,125,,,
1.50E-06,25,124,,,
1.30E-06,5,123,,,
1.30E-06,25,123,,,
1.30E-06,34,122,,,
1.40E-06,3,126,,,
1.40E-06,32,125,,,
1.40E-06,38,124,,,
