cas operacie,cislo,velkost frontu,,,
6.00E-07,2,1,,,3.72E-03
2.00E-07,2,2,,,19851
1.00E-07,2,5,,,
2.00E-07,40,6,,,
2.00E-07,35,6,,,
1.00E-07,35,7,,,
2.00E-07,40,6,,,
2.00E-07,40,6,,,
2.00E-07,40,8,,,
2.00E-07,22,6,,,
1.00E-07,32,6,,,
1.00E-07,23,6,,,
1.00E-07,23,7,,,
1.00E-07,33,5,,,
1.00E-07,23,7,,,
1.00E-07,23,7,,,
2.00E-07,48,5,,,
1.00E-07,41,6,,,
1.00E-07,15,7,,,
1.00E-07,22,4,,,
1.00E-07,40,7,,,
2.00E-07,37,8,,,
2.00E-07,37,8,,,
1.00E-07,37,9,,,
1.00E-07,37,9,,,
1.00E-07,40,11,,,
2.00E-07,15,9,,,
1.00E-07,7,11,,,
1.00E-07,12,14,,,
1.00E-07,26,13,,,
1.00E-07,1,11,,,
2.00E-07,37,14,,,
1.00E-07,9,14,,,
2.00E-07,9,14,,,
2.00E-07,26,18,,,
2.00E-07,26,20,,,
1.00E-07,26,21,,,
2.00E-07,26,21,,,
2.00E-07,9,21,,,
2.00E-07,16,20,,,
1.00E-07,31,21,,,
2.00E-07,7,19,,,
2.00E-07,42,21,,,
2.00E-07,13,24,,,
2.00E-07,32,25,,,
2.00E-07,32,26,,,
2.00E-07,32,26,,,
2.00E-07,32,27,,,
2.00E-07,30,27,,,
2.00E-07,5,29,,,
2.00E-07,13,31,,,
1.00E-07,49,32,,,
2.00E-07,40,33,,,
2.00E-07,49,31,,,
1.00E-07,27,38,,,
1.00E-07,27,38,,,
2.00E-07,27,42,,,
2.00E-07,21,45,,,
1.00E-07,4,51,,,
1.00E-07,30,52,,,
2.00E-07,30,54,,,
2.00E-07,48,53,,,
1.00E-07,48,53,,,
2.00E-07,1,57,,,
2.00E-07,20,56,,,
2.00E-07,11,56,,,
2.00E-07,34,57,,,
2.00E-07,34,59,,,
2.00E-07,9,58,,,
1.00E-07,14,60,,,
2.00E-07,48,58,,,
1.00E-07,12,57,,,
2.00E-07,17,60,,,
2.00E-07,35,60,,,
1.00E-07,10,62,,,
2.00E-07,13,63,,,
1.00E-07,13,67,,,
1.00E-07,21,69,,,
2.00E-07,21,71,,,
2.00E-07,47,77,,,
2.00E-07,25,79,,,
2.00E-07,26,79,,,
2.00E-07,34,78,,,
2.00E-07,34,78,,,
2.00E-07,42,77,,,
2.00E-07,42,77,,,
2.00E-07,16,76,,,
2.00E-07,16,76,,,
1.00E-07,16,79,,,
2.00E-07,19,81,,,
2.00E-07,35,84,,,
1.00E-07,27,86,,,
2.00E-07,19,89,,,
2.00E-07,16,94,,,
2.00E-07,13,96,,,
2.00E-07,47,98,,,
2.00E-07,47,98,,,
2.00E-07,17,103,,,
2.00E-07,1,102,,,
1.00E-07,6,102,,,
2.00E-07,6,102,,,
1.00E-07,47,102,,,
2.00E-07,49,103,,,
2.00E-07,6,104,,,
2.00E-07,6,108,,,
2.00E-07,16,106,,,
2.00E-07,16,106,,,
2.00E-07,16,108,,,
1.00E-07,35,109,,,
2.00E-07,43,108,,,
1.00E-07,10,103,,,
2.00E-07,47,105,,,
2.00E-07,47,105,,,
2.00E-07,13,106,,,
2.00E-07,13,106,,,
2.00E-07,9,104,,,
1.00E-07,29,102,,,
2.00E-07,46,101,,,
2.00E-07,14,104,,,
1.00E-07,26,107,,,
2.00E-07,26,107,,,
2.00E-07,42,114,,,
2.00E-07,36,116,,,
2.00E-07,29,117,,,
2.00E-07,5,120,,,
1.00E-07,5,120,,,
2.00E-07,5,121,,,
2.00E-07,3,119,,,
2.00E-07,13,121,,,
2.00E-07,13,121,,,
2.00E-07,45,126,,,
2.00E-07,45,126,,,
2.00E-07,45,128,,,
2.00E-07,2,131,,,
2.00E-07,18,129,,,
2.00E-07,21,126,,,
2.00E-07,24,126,,,
2.00E-07,43,132,,,
2.00E-07,43,134,,,
2.00E-07,43,135,,,
2.00E-07,19,136,,,
2.00E-07,19,137,,,
2.00E-07,19,137,,,
2.00E-07,38,137,,,
2.00E-07,17,140,,,
2.00E-07,17,140,,,
2.00E-07,26,139,,,
2.00E-07,26,140,,,
2.00E-07,14,139,,,
2.00E-07,3,137,,,
2.00E-07,3,137,,,
2.00E-07,3,137,,,
1.00E-07,8,136,,,
2.00E-07,39,135,,,
2.00E-07,7,138,,,
1.00E-07,7,138,,,
2.00E-07,39,141,,,
2.00E-07,7,139,,,
2.00E-07,38,141,,,
2.00E-07,44,140,,,
2.00E-07,44,140,,,
1.00E-07,13,141,,,
2.00E-07,13,143,,,
2.00E-07,29,146,,,
2.00E-07,44,152,,,
2.00E-07,44,152,,,
2.00E-07,49,153,,,
2.00E-07,49,153,,,
2.00E-07,48,156,,,
2.00E-07,15,157,,,
2.00E-07,34,159,,,
2.00E-07,34,159,,,
1.00E-07,30,165,,,
2.00E-07,30,165,,,
2.00E-07,2,164,,,
2.00E-07,43,164,,,
2.00E-07,43,165,,,
2.00E-07,24,164,,,
2.00E-07,24,165,,,
1.00E-07,49,167,,,
2.00E-07,48,167,,,
2.00E-07,39,165,,,
2.00E-07,44,167,,,
2.00E-07,6,167,,,
2.00E-07,25,171,,,
2.00E-07,25,173,,,
2.00E-07,25,173,,,
2.00E-07,7,174,,,
2.00E-07,42,176,,,
2.00E-07,24,175,,,
1.00E-07,50,176,,,
1.00E-07,50,176,,,
2.00E-07,50,180,,,
2.00E-07,34,179,,,
2.00E-07,6,177,,,
2.00E-07,6,177,,,
2.00E-07,5,178,,,
2.00E-07,5,180,,,
2.00E-07,5,180,,,
2.00E-07,6,179,,,
2.00E-07,45,180,,,
2.00E-07,13,175,,,
2.00E-07,42,181,,,
2.00E-07,21,184,,,
2.00E-07,2,186,,,
2.00E-07,27,193,,,
1.00E-07,2,192,,,
2.00E-07,2,193,,,
2.00E-07,35,191,,,
1.00E-07,44,194,,,
2.00E-07,8,193,,,
1.00E-07,23,193,,,
2.00E-07,23,194,,,
1.00E-07,40,199,,,
1.00E-07,33,204,,,
2.00E-07,43,205,,,
2.00E-07,6,211,,,
1.00E-07,6,212,,,
2.00E-07,6,217,,,
2.00E-07,33,221,,,
1.00E-07,20,222,,,
2.00E-07,38,222,,,
2.00E-07,33,224,,,
2.00E-07,28,229,,,
2.00E-07,28,229,,,
2.00E-07,28,230,,,
2.00E-07,28,233,,,
2.00E-07,43,235,,,
1.00E-07,43,235,,,
2.00E-07,27,237,,,
2.00E-07,21,237,,,
1.00E-07,16,242,,,
2.00E-07,21,242,,,
2.00E-07,28,241,,,
2.00E-07,29,242,,,
2.00E-07,49,245,,,
1.00E-07,23,249,,,
2.00E-07,48,248,,,
2.00E-07,29,249,,,
1.00E-07,35,253,,,
2.00E-07,40,250,,,
1.00E-07,40,251,,,
2.00E-07,40,251,,,
1.00E-07,40,251,,,
2.00E-07,38,253,,,
1.00E-07,8,257,,,
2.00E-07,8,257,,,
1.00E-07,16,256,,,
1.00E-07,12,257,,,
2.00E-07,17,260,,,
1.00E-07,17,261,,,
2.00E-07,21,263,,,
2.00E-07,21,263,,,
2.00E-07,34,266,,,
1.00E-07,47,262,,,
2.00E-07,46,263,,,
2.00E-07,6,264,,,
2.00E-07,47,264,,,
2.00E-07,29,264,,,
1.00E-07,40,267,,,
2.00E-07,42,267,,,
2.00E-07,29,269,,,
2.00E-07,48,280,,,
1.00E-07,48,280,,,
2.00E-07,48,281,,,
1.00E-07,48,283,,,
2.00E-07,48,283,,,
2.00E-07,48,283,,,
2.00E-07,35,288,,,
1.00E-07,35,289,,,
2.00E-07,17,290,,,
2.00E-07,17,292,,,
2.00E-07,15,294,,,
2.00E-07,49,296,,,
2.00E-07,48,297,,,
2.00E-07,13,296,,,
2.00E-07,13,296,,,
2.00E-07,1,297,,,
2.00E-07,1,300,,,
0.0001481,20,303,,,
2.00E-07,14,307,,,
3.00E-07,49,309,,,
1.00E-07,49,309,,,
2.00E-07,29,311,,,
2.00E-07,34,309,,,
2.00E-07,45,308,,,
2.00E-07,7,309,,,
1.00E-07,16,308,,,
2.00E-07,14,313,,,
2.00E-07,32,312,,,
2.00E-07,32,313,,,
1.00E-07,32,313,,,
2.00E-07,32,315,,,
2.00E-07,9,317,,,
2.00E-07,23,318,,,
2.00E-07,12,318,,,
2.00E-07,33,318,,,
2.00E-07,33,321,,,
2.00E-07,33,323,,,
2.00E-07,11,324,,,
2.00E-07,11,324,,,
1.00E-07,45,327,,,
2.00E-07,31,326,,,
1.00E-07,39,329,,,
1.00E-07,39,330,,,
1.00E-07,31,329,,,
2.00E-07,30,331,,,
2.00E-07,31,332,,,
2.00E-07,29,332,,,
2.00E-07,29,334,,,
2.00E-07,29,334,,,
2.00E-07,29,336,,,
2.00E-07,29,336,,,
2.00E-07,18,335,,,
2.00E-07,11,337,,,
2.00E-07,14,340,,,
1.00E-07,24,338,,,
1.00E-07,24,338,,,
1.00E-07,19,336,,,
2.00E-07,37,342,,,
1.00E-07,16,343,,,
2.00E-07,32,343,,,
1.00E-07,17,343,,,
2.00E-07,17,343,,,
1.00E-07,38,344,,,
2.00E-07,38,346,,,
1.00E-07,13,345,,,
2.00E-07,13,351,,,
2.00E-07,12,351,,,
1.00E-07,15,348,,,
2.00E-07,27,350,,,
2.00E-07,27,350,,,
2.00E-07,16,349,,,
1.00E-07,41,353,,,
2.00E-07,29,355,,,
1.00E-07,29,356,,,
1.00E-07,37,354,,,
1.00E-07,14,355,,,
2.00E-07,24,352,,,
2.00E-07,21,354,,,
2.00E-07,24,354,,,
1.00E-07,24,354,,,
2.00E-07,20,352,,,
1.00E-07,20,352,,,
2.00E-07,13,355,,,
2.00E-07,13,357,,,
2.00E-07,13,358,,,
2.00E-07,44,363,,,
2.00E-07,27,362,,,
2.00E-07,27,362,,,
1.00E-07,27,362,,,
1.00E-07,1,362,,,
1.00E-07,1,363,,,
1.00E-07,1,363,,,
1.00E-07,23,363,,,
1.00E-07,23,364,,,
2.00E-07,1,365,,,
1.00E-07,23,364,,,
1.00E-07,23,366,,,
2.00E-07,15,365,,,
1.00E-07,33,366,,,
1.00E-07,33,366,,,
2.00E-07,13,366,,,
2.00E-07,6,367,,,
2.00E-07,6,367,,,
1.00E-07,39,368,,,
2.00E-07,1,374,,,
2.00E-07,8,373,,,
1.00E-07,29,374,,,
2.00E-07,10,372,,,
1.00E-07,10,372,,,
1.00E-07,34,371,,,
1.00E-07,34,371,,,
1.00E-07,20,370,,,
2.00E-07,32,370,,,
1.00E-07,31,371,,,
1.00E-07,3,373,,,
1.00E-07,3,376,,,
2.00E-07,29,377,,,
1.00E-07,3,379,,,
2.00E-07,17,379,,,
2.00E-07,12,379,,,
1.00E-07,12,379,,,
2.00E-07,19,379,,,
2.00E-07,19,379,,,
2.00E-07,19,379,,,
1.00E-07,31,380,,,
1.00E-07,31,380,,,
1.00E-07,19,380,,,
2.00E-07,10,380,,,
2.00E-07,47,380,,,
2.00E-07,35,385,,,
1.00E-07,37,384,,,
2.00E-07,37,384,,,
2.00E-07,13,389,,,
2.00E-07,13,390,,,
1.00E-07,13,391,,,
2.00E-07,33,392,,,
2.00E-07,31,391,,,
2.00E-07,31,393,,,
2.00E-07,26,392,,,
2.00E-07,45,391,,,
1.00E-07,45,393,,,
1.00E-07,47,396,,,
2.00E-07,47,396,,,
2.00E-07,47,396,,,
2.00E-07,7,398,,,
2.00E-07,32,399,,,
2.00E-07,21,400,,,
2.00E-07,21,399,,,
2.00E-07,48,400,,,
2.00E-07,50,399,,,
2.00E-07,10,396,,,
2.00E-07,10,396,,,
1.00E-07,16,397,,,
2.00E-07,49,400,,,
2.00E-07,48,410,,,
2.00E-07,33,412,,,
2.00E-07,34,411,,,
2.00E-07,34,411,,,
2.00E-07,15,409,,,
2.00E-07,20,409,,,
1.00E-07,20,411,,,
1.00E-07,42,413,,,
2.00E-07,17,422,,,
