cas operacie,vlozene cislo,priorita,velkost frontu,,,
1.15E-05,2,974,1,,,3.65E-02
9.00E-07,40,1340,2,,,50000
5.00E-07,35,242,3,,,
1.00E-06,21,6132,4,,,
6.00E-07,27,9851,4,,,
4.00E-07,40,7825,5,,,
5.00E-07,22,6498,5,,,
4.00E-07,18,7095,6,,,
4.00E-07,35,2076,7,,,
8.00E-07,28,3876,7,,,
6.00E-07,9,1417,8,,,
5.00E-07,31,6692,7,,,
4.00E-07,40,1957,6,,,
7.00E-07,29,2062,7,,,
4.00E-07,3,7054,8,,,
6.00E-07,27,4360,6,,,
5.00E-07,43,2743,5,,,
5.00E-07,9,5074,6,,,
5.00E-07,13,9605,6,,,
6.00E-07,32,5310,7,,,
4.00E-07,23,3366,4,,,
7.00E-07,9,2041,5,,,
5.00E-07,5,6569,5,,,
4.00E-07,33,8454,6,,,
4.00E-07,48,8471,7,,,
6.00E-07,42,873,8,,,
7.00E-07,18,2329,9,,,
6.00E-07,14,3080,7,,,
4.00E-07,40,9087,7,,,
8.00E-07,47,7440,6,,,
5.00E-07,23,3291,6,,,
4.00E-07,22,8696,7,,,
6.00E-07,35,2674,8,,,
6.00E-07,41,7534,6,,,
5.00E-07,21,7303,7,,,
4.00E-07,15,2832,7,,,
6.00E-07,1,7723,5,,,
6.00E-07,7,3312,6,,,
4.00E-07,40,1716,6,,,
7.00E-07,7,8600,7,,,
7.00E-07,37,810,8,,,
7.00E-07,44,1176,9,,,
7.00E-07,21,48,10,,,
4.00E-07,28,219,10,,,
5.00E-07,15,4846,9,,,
4.00E-07,46,7343,10,,,
4.00E-07,23,5128,11,,,
7.00E-07,39,3866,11,,,
6.00E-07,20,732,12,,,
7.00E-07,15,5523,13,,,
4.00E-07,31,3303,10,,,
4.00E-07,29,6196,9,,,
7.00E-07,7,6370,9,,,
5.00E-07,41,8107,9,,,
4.00E-07,19,3573,10,,,
4.00E-07,17,8657,11,,,
6.00E-07,17,7695,12,,,
5.00E-07,12,258,12,,,
7.00E-07,26,1869,13,,,
