cas operacie,vybrane cislo,velkost frontu,,,
8.00E-07,35,3,,,9.06E-02
3.00E-07,2,4,,,29952
7.40E-06,40,6,,,
3.00E-07,9,7,,,
3.00E-07,35,6,,,
3.20E-06,28,6,,,
4.00E-07,21,5,,,
4.00E-07,40,7,,,
3.00E-07,29,6,,,
2.60E-06,22,5,,,
4.00E-07,27,5,,,
3.00E-07,31,4,,,
4.00E-07,43,5,,,
4.00E-07,9,6,,,
3.00E-07,32,5,,,
2.20E-06,3,4,,,
3.00E-07,18,3,,,
2.00E-07,9,4,,,
4.00E-07,42,8,,,
3.00E-07,18,7,,,
2.90E-06,23,6,,,
3.00E-07,14,6,,,
4.00E-07,5,6,,,
2.60E-06,40,5,,,
3.00E-07,47,5,,,
3.00E-07,35,7,,,
3.00E-07,23,6,,,
2.40E-06,33,5,,,
3.00E-07,21,6,,,
3.00E-07,15,6,,,
3.00E-07,41,5,,,
2.10E-06,48,4,,,
3.00E-07,7,5,,,
3.00E-07,21,9,,,
3.00E-07,28,9,,,
3.00E-07,37,8,,,
5.10E-06,44,10,,,
5.00E-07,20,12,,,
4.00E-07,40,11,,,
6.20E-06,39,10,,,
4.00E-07,15,9,,,
3.00E-07,31,9,,,
3.00E-07,23,8,,,
4.20E-06,15,8,,,
3.00E-07,29,8,,,
4.00E-07,19,11,,,
3.00E-07,12,13,,,
4.00E-07,26,12,,,
6.30E-06,7,11,,,
4.00E-07,46,11,,,
4.00E-07,17,11,,,
4.00E-07,38,15,,,
3.00E-07,37,14,,,
7.80E-06,44,13,,,
5.00E-07,46,13,,,
3.00E-07,28,15,,,
4.00E-07,26,14,,,
6.60E-06,9,13,,,
4.00E-07,42,18,,,
3.00E-07,26,21,,,
3.00E-07,9,20,,,
1.03E-05,16,19,,,
4.00E-07,25,18,,,
3.00E-07,31,20,,,
4.00E-07,12,19,,,
4.00E-07,8,27,,,
3.00E-07,4,26,,,
1.47E-05,42,25,,,
4.00E-07,4,24,,,
