cas operacie,cislo,velkost frontu,,,
1.60E-05,34,1,,,1.33E-02
9.00E-07,35,4,,,19966
8.00E-07,35,5,,,
7.00E-07,32,4,,,
7.00E-07,2,4,,,
7.00E-07,43,7,,,
7.00E-07,8,5,,,
8.00E-07,8,5,,,
7.00E-07,34,5,,,
8.00E-07,34,5,,,
8.00E-07,4,2,,,
8.00E-07,14,1,,,
8.00E-07,14,1,,,
8.00E-07,50,4,,,
8.00E-07,19,5,,,
1.00E-06,19,5,,,
8.00E-07,1,12,,,
7.00E-07,1,12,,,
8.00E-07,1,12,,,
8.00E-07,37,14,,,
8.00E-07,48,16,,,
8.00E-07,48,16,,,
8.00E-07,6,18,,,
8.00E-07,12,21,,,
7.00E-07,12,22,,,
8.00E-07,27,28,,,
7.00E-07,27,28,,,
7.00E-07,27,28,,,
9.00E-07,38,32,,,
2.10E-06,38,32,,,
8.00E-07,38,32,,,
9.00E-07,32,34,,,
8.00E-07,32,37,,,
9.00E-07,37,34,,,
9.00E-07,4,35,,,
8.00E-07,4,35,,,
9.00E-07,35,35,,,
9.00E-07,35,36,,,
8.00E-07,35,38,,,
8.00E-07,4,39,,,
8.00E-07,4,39,,,
9.00E-07,19,40,,,
8.00E-07,19,41,,,
8.00E-07,33,38,,,
8.00E-07,33,38,,,
7.00E-07,21,40,,,
8.00E-07,21,40,,,
9.00E-07,21,40,,,
8.00E-07,24,41,,,
7.00E-07,24,42,,,
8.00E-07,43,44,,,
7.00E-07,41,47,,,
7.00E-07,39,52,,,
8.00E-07,40,54,,,
8.00E-07,1,54,,,
6.00E-07,1,56,,,
6.00E-07,1,60,,,
7.00E-07,36,63,,,
6.00E-07,41,64,,,
7.00E-07,3,64,,,
6.00E-07,3,64,,,
1.50E-06,44,63,,,
6.00E-07,13,71,,,
6.00E-07,6,72,,,
6.00E-07,10,74,,,
7.00E-07,10,70,,,
6.00E-07,34,69,,,
6.00E-07,34,72,,,
6.00E-07,34,72,,,
6.00E-07,37,72,,,
6.00E-07,44,72,,,
6.00E-07,44,72,,,
6.00E-07,44,73,,,
6.00E-07,45,74,,,
7.00E-07,9,75,,,
6.00E-07,41,76,,,
6.00E-07,25,77,,,
7.00E-07,25,80,,,
6.00E-07,15,84,,,
6.00E-07,15,85,,,
7.00E-07,12,91,,,
6.00E-07,4,92,,,
6.00E-07,4,94,,,
7.00E-07,28,93,,,
6.00E-07,16,93,,,
6.00E-07,25,93,,,
6.00E-07,5,91,,,
6.00E-07,5,91,,,
6.00E-07,42,90,,,
6.00E-07,42,91,,,
6.00E-07,42,91,,,
7.00E-07,42,91,,,
6.00E-07,18,92,,,
6.00E-07,18,92,,,
7.00E-07,6,95,,,
6.00E-07,16,96,,,
7.00E-07,2,101,,,
6.00E-07,21,102,,,
6.00E-07,12,103,,,
6.00E-07,12,103,,,
6.00E-07,12,104,,,
6.00E-07,13,105,,,
6.00E-07,3,102,,,
6.00E-07,13,102,,,
7.00E-07,1,108,,,
7.00E-07,11,111,,,
7.00E-07,11,111,,,
6.00E-07,43,112,,,
7.00E-07,36,111,,,
7.00E-07,36,111,,,
6.00E-07,36,112,,,
9.00E-07,49,119,,,
7.00E-07,5,118,,,
8.00E-07,19,121,,,
7.00E-07,19,121,,,
8.00E-07,13,119,,,
7.00E-07,24,121,,,
7.00E-07,21,124,,,
8.00E-07,44,125,,,
8.00E-07,44,125,,,
1.10E-06,33,133,,,
9.00E-07,36,132,,,
8.00E-07,36,132,,,
2.20E-06,36,132,,,
1.00E-06,24,132,,,
9.00E-07,24,136,,,
1.10E-06,13,131,,,
6.00E-07,13,131,,,
6.00E-07,13,131,,,
7.00E-07,13,132,,,
8.00E-07,32,137,,,
7.00E-07,32,141,,,
7.00E-07,10,144,,,
7.00E-07,9,144,,,
7.00E-07,18,146,,,
8.00E-07,25,149,,,
7.00E-07,25,157,,,
6.00E-07,9,157,,,
6.00E-07,12,155,,,
7.00E-07,27,155,,,
6.00E-07,27,157,,,
1.50E-06,13,161,,,
1.00E-06,13,161,,,
1.90E-06,20,163,,,
8.00E-07,27,163,,,
1.50E-06,27,166,,,
1.40E-06,49,167,,,
3.40E-06,49,167,,,
7.00E-07,36,171,,,
6.00E-07,36,171,,,
6.00E-07,22,175,,,
7.00E-07,26,173,,,
6.00E-07,36,172,,,
6.00E-07,5,175,,,
7.00E-07,36,176,,,
6.00E-07,11,184,,,
9.00E-07,4,186,,,
7.00E-07,4,186,,,
6.00E-07,4,187,,,
6.00E-07,9,187,,,
7.00E-07,7,190,,,
6.00E-07,26,191,,,
7.00E-07,26,192,,,
7.00E-07,40,196,,,
7.00E-07,44,195,,,
6.00E-07,8,192,,,
6.00E-07,8,192,,,
6.00E-07,8,193,,,
6.00E-07,34,193,,,
7.00E-07,10,192,,,
6.00E-07,15,199,,,
6.00E-07,15,199,,,
6.00E-07,36,202,,,
6.00E-07,36,204,,,
7.00E-07,36,204,,,
7.00E-07,15,208,,,
6.00E-07,1,207,,,
6.00E-07,36,213,,,
6.00E-07,6,212,,,
6.00E-07,42,224,,,
6.00E-07,42,227,,,
6.00E-07,47,226,,,
6.00E-07,47,227,,,
6.00E-07,35,230,,,
6.00E-07,37,229,,,
6.00E-07,37,229,,,
6.00E-07,41,228,,,
6.00E-07,18,227,,,
7.00E-07,18,228,,,
9.00E-07,7,230,,,
6.00E-07,46,236,,,
7.00E-07,8,231,,,
6.00E-07,17,232,,,
6.00E-07,8,234,,,
6.00E-07,8,235,,,
9.00E-07,42,239,,,
7.00E-07,42,239,,,
6.00E-07,29,242,,,
7.00E-07,12,241,,,
7.00E-07,42,240,,,
7.00E-07,29,245,,,
6.00E-07,50,247,,,
6.00E-07,29,252,,,
6.00E-07,29,252,,,
6.00E-07,28,260,,,
6.00E-07,28,261,,,
6.00E-07,28,263,,,
6.00E-07,4,266,,,
6.00E-07,31,269,,,
6.00E-07,31,271,,,
7.00E-07,21,271,,,
1.40E-06,37,271,,,
1.20E-06,37,273,,,
1.20E-06,5,272,,,
9.00E-07,3,276,,,
8.00E-07,50,275,,,
1.30E-06,48,276,,,
9.00E-07,48,276,,,
8.00E-07,30,277,,,
1.10E-06,50,276,,,
1.80E-06,2,274,,,
1.50E-06,45,274,,,
1.10E-06,34,275,,,
7.00E-07,34,279,,,
6.00E-07,21,283,,,
6.00E-07,21,283,,,
1.00E-06,21,286,,,
9.00E-07,21,287,,,
9.00E-07,10,288,,,
1.00E-06,46,286,,,
7.00E-07,14,286,,,
6.00E-07,14,288,,,
7.00E-07,7,291,,,
6.00E-07,7,291,,,
6.00E-07,2,290,,,
7.00E-07,35,291,,,
7.00E-07,35,295,,,
6.00E-07,35,296,,,
7.00E-07,20,299,,,
7.00E-07,29,300,,,
6.00E-07,29,300,,,
6.00E-07,29,302,,,
6.00E-07,29,302,,,
7.00E-07,41,304,,,
9.00E-07,41,305,,,
6.00E-07,45,311,,,
6.00E-07,17,312,,,
6.00E-07,24,313,,,
6.00E-07,24,313,,,
6.00E-07,37,312,,,
6.00E-07,37,314,,,
1.20E-06,1,314,,,
1.00E-06,1,315,,,
8.00E-07,1,315,,,
8.00E-07,1,315,,,
1.20E-06,12,330,,,
7.00E-07,12,331,,,
9.00E-07,9,330,,,
9.00E-07,19,332,,,
1.20E-06,36,331,,,
8.00E-07,5,333,,,
7.00E-07,23,330,,,
9.00E-07,40,331,,,
8.00E-07,40,331,,,
8.00E-07,40,331,,,
1.20E-06,13,335,,,
1.00E-06,45,334,,,
1.30E-06,31,331,,,
1.20E-06,35,339,,,
