cas operacie,vlozene cislo,priorita,velkost frontu,,,
2.86E-05,34,7904,1,,,1.42E-01
2.70E-06,26,7087,2,,,50000
2.20E-06,23,2888,3,,,
4.50E-06,35,189,4,,,
2.00E-06,8,7522,5,,,
2.80E-06,19,4460,5,,,
1.80E-06,41,8195,6,,,
1.90E-06,22,7323,5,,,
2.30E-06,15,3703,4,,,
2.30E-06,32,3311,4,,,
2.30E-06,4,452,4,,,
7.40E-06,2,4694,5,,,
3.60E-06,31,3324,6,,,
1.70E-06,4,8602,5,,,
1.80E-06,14,9287,5,,,
2.00E-06,34,4674,6,,,
1.90E-06,43,303,7,,,
2.60E-06,47,803,8,,,
2.10E-06,32,171,7,,,
2.00E-06,48,4463,6,,,
3.60E-06,23,8330,5,,,
3.20E-06,15,913,6,,,
2.10E-06,1,1204,3,,,
2.50E-06,9,4505,4,,,
2.00E-06,44,5369,3,,,
2.20E-06,37,2733,4,,,
2.00E-06,32,5234,3,,,
2.00E-06,23,6280,2,,,
2.60E-06,24,7769,3,,,
2.20E-06,50,1241,4,,,
3.50E-06,29,7313,5,,,
3.70E-06,19,3186,6,,,
2.20E-06,14,7811,6,,,
2.40E-06,3,9108,7,,,
3.20E-06,1,1619,8,,,
4.00E-06,37,2961,9,,,
3.80E-06,32,5131,10,,,
1.80E-06,7,9611,11,,,
3.70E-06,11,4215,12,,,
2.70E-06,6,4150,12,,,
1.70E-06,23,9482,13,,,
1.70E-06,18,4708,14,,,
3.40E-06,48,353,15,,,
3.70E-06,6,489,16,,,
1.80E-06,24,7270,16,,,
2.60E-06,10,781,17,,,
3.70E-06,27,1481,18,,,
4.70E-06,4,7553,19,,,
2.40E-06,12,398,19,,,
1.80E-06,21,8458,20,,,
4.00E-06,35,2127,21,,,
3.50E-06,37,762,22,,,
1.90E-06,41,5351,23,,,
1.90E-06,30,8304,24,,,
1.80E-06,2,1666,23,,,
1.80E-06,2,2461,24,,,
1.70E-06,37,1883,25,,,
1.80E-06,17,5303,26,,,
1.80E-06,4,3298,27,,,
1.70E-06,35,1613,28,,,
1.70E-06,36,5568,28,,,
4.50E-06,6,1763,28,,,
4.00E-06,38,891,29,,,
4.40E-06,24,1130,30,,,
4.80E-06,15,3629,31,,,
4.50E-06,3,3616,32,,,
4.30E-06,15,4758,33,,,
2.20E-06,15,5348,34,,,
