cas operacie,vybrane cislo,velkost frontu,,,
3.00E-06,35,4,,,5.12E-02
1.70E-06,23,5,,,29669
1.70E-06,19,4,,,
1.43E-05,26,4,,,
1.60E-06,22,3,,,
1.60E-06,15,3,,,
1.60E-06,32,3,,,
1.60E-06,4,5,,,
1.70E-06,31,4,,,
1.60E-06,2,4,,,
1.70E-06,43,7,,,
1.60E-06,47,6,,,
1.70E-06,32,6,,,
1.70E-06,34,5,,,
1.60E-06,48,5,,,
1.29E-05,8,4,,,
1.60E-06,15,5,,,
1.60E-06,34,4,,,
1.60E-06,41,3,,,
7.10E-06,23,2,,,
1.60E-06,1,3,,,
1.50E-06,9,2,,,
1.50E-06,37,3,,,
1.60E-06,44,2,,,
1.60E-06,32,2,,,
1.60E-06,4,1,,,
1.70E-06,50,5,,,
1.90E-06,1,11,,,
1.90E-06,48,15,,,
1.80E-06,6,18,,,
1.80E-06,12,23,,,
1.60E-06,37,22,,,
1.70E-06,10,27,,,
0.0001068,27,27,,,
4.30E-06,38,33,,,
2.00E-06,32,36,,,
2.00E-06,24,35,,,
1.80E-06,35,34,,,
1.90E-06,2,33,,,
2.00E-06,6,33,,,
2.00E-06,37,34,,,
1.90E-06,4,34,,,
1.90E-06,4,36,,,
2.10E-06,35,37,,,
2.10E-06,2,36,,,
2.30E-06,4,38,,,
1.80E-06,19,41,,,
1.90E-06,5,40,,,
1.70E-06,37,39,,,
1.80E-06,19,38,,,
1.80E-06,4,37,,,
1.80E-06,33,40,,,
1.80E-06,16,40,,,
1.70E-06,24,43,,,
1.80E-06,21,42,,,
1.80E-06,33,44,,,
1.70E-06,43,45,,,
1.70E-06,25,47,,,
1.60E-06,49,52,,,
1.70E-06,39,53,,,
1.70E-06,40,53,,,
1.70E-06,50,52,,,
1.80E-06,31,53,,,
1.60E-06,49,54,,,
1.50E-06,1,59,,,
1.50E-06,36,64,,,
1.40E-06,41,64,,,
2.60E-06,3,63,,,
1.50E-06,13,70,,,
1.40E-06,45,72,,,
1.40E-06,44,71,,,
1.40E-06,21,73,,,
1.40E-06,10,73,,,
1.40E-06,6,72,,,
1.30E-06,1,71,,,
0.0002137,3,71,,,
1.40E-06,15,70,,,
1.50E-06,10,69,,,
1.50E-06,29,72,,,
1.30E-06,34,71,,,
1.30E-06,9,70,,,
1.40E-06,3,72,,,
1.40E-06,38,72,,,
1.40E-06,37,72,,,
1.40E-06,35,73,,,
1.50E-06,44,73,,,
1.40E-06,50,74,,,
1.30E-06,2,74,,,
1.30E-06,16,74,,,
1.50E-06,45,73,,,
1.40E-06,6,72,,,
1.30E-06,11,71,,,
1.40E-06,11,70,,,
1.30E-06,9,75,,,
1.40E-06,43,76,,,
1.40E-06,11,75,,,
1.30E-06,8,76,,,
1.40E-06,50,81,,,
1.40E-06,11,85,,,
1.40E-06,15,84,,,
1.40E-06,11,86,,,
1.40E-06,12,90,,,
1.40E-06,20,90,,,
