cas operacie,cislo,velkost frontu,,,
2.50E-06,31,20181,,,3.54E-03
6.00E-07,3,20194,,,5000
6.00E-07,8,20201,,,
6.00E-07,35,20203,,,
6.00E-07,47,20217,,,
6.00E-07,49,20230,,,
6.00E-07,47,20231,,,
6.00E-07,62,20239,,,
6.00E-07,50,20240,,,
6.00E-07,61,20247,,,
7.00E-07,69,20244,,,
6.00E-07,69,20245,,,
6.00E-07,34,20247,,,
8.00E-07,64,20259,,,
6.00E-07,64,20259,,,
6.00E-07,64,20261,,,
6.00E-07,64,20261,,,
6.00E-07,64,20285,,,
6.00E-07,36,20287,,,
6.00E-07,66,20289,,,
6.00E-07,66,20289,,,
6.00E-07,29,20295,,,
6.00E-07,24,20297,,,
6.00E-07,53,20305,,,
6.00E-07,26,20315,,,
6.00E-07,26,20317,,,
6.00E-07,28,20346,,,
6.00E-07,49,20366,,,
6.00E-07,31,20366,,,
6.00E-07,45,20368,,,
6.00E-07,15,20370,,,
6.00E-07,7,20372,,,
6.00E-07,39,20389,,,
6.00E-07,34,20412,,,
7.00E-07,66,20413,,,
6.00E-07,19,20417,,,
6.00E-07,19,20429,,,
6.00E-07,11,20464,,,
6.00E-07,38,20466,,,
6.00E-07,38,20466,,,
6.00E-07,42,20472,,,
6.00E-07,46,20474,,,
7.00E-07,55,20502,,,
6.00E-07,13,20522,,,
6.00E-07,55,20531,,,
6.00E-07,50,20535,,,
6.00E-07,27,20546,,,
6.00E-07,39,20562,,,
1.00E-06,11,20565,,,
6.00E-07,19,20568,,,
1.00E-06,18,20576,,,
9.00E-07,35,20579,,,
1.10E-06,18,20578,,,
8.00E-07,29,20577,,,
8.00E-07,29,20579,,,
8.00E-07,24,20581,,,
1.10E-06,16,20584,,,
1.50E-06,48,20592,,,
7.00E-07,66,20612,,,
6.00E-07,1,20612,,,
6.00E-07,56,20616,,,
6.00E-07,36,20615,,,
6.00E-07,16,20614,,,
6.00E-07,40,20619,,,
6.00E-07,11,20623,,,
7.00E-07,57,20627,,,
6.00E-07,68,20629,,,
6.00E-07,52,20631,,,
7.00E-07,52,20635,,,
6.00E-07,53,20642,,,
6.00E-07,39,20648,,,
1.00E-06,24,20664,,,
6.00E-07,27,20692,,,
7.00E-07,19,20696,,,
6.00E-07,28,20714,,,
7.00E-07,63,20715,,,
6.00E-07,62,20731,,,
6.00E-07,55,20735,,,
5.00E-07,55,20735,,,
7.00E-07,57,20752,,,
6.00E-07,65,20759,,,
6.00E-07,35,20765,,,
6.00E-07,52,20773,,,
6.00E-07,12,20783,,,
7.00E-07,57,20807,,,
