cas operacie,vlozene cislo,priorita,velkost frontu,,,
5.90E-06,43,0,20181,,,1.59E-01
2.80E-06,49,6017,20182,,,69657
6.90E-06,48,1111,20183,,,
6.10E-06,49,2407,20184,,,
3.90E-06,63,107,20184,,,
5.80E-06,57,1094,20185,,,
4.80E-06,37,3879,20186,,,
1.60E-06,64,8251,20186,,,
3.30E-06,5,1830,20187,,,
4.20E-06,23,3755,20188,,,
4.40E-06,67,2690,20189,,,
1.70E-06,3,9376,20190,,,
1.80E-06,10,7607,20191,,,
4.40E-06,6,5304,20192,,,
1.70E-06,49,8162,20193,,,
2.70E-06,57,534,20193,,,
1.60E-06,11,7166,20193,,,
3.40E-06,26,5136,20193,,,
3.00E-06,68,3742,20194,,,
1.50E-06,11,7522,20194,,,
1.60E-06,40,9552,20195,,,
3.00E-06,13,2048,20196,,,
3.90E-06,54,1271,20197,,,
3.80E-06,2,955,20198,,,
3.10E-06,67,5291,20198,,,
1.40E-06,69,8984,20199,,,
4.10E-06,37,4861,20200,,,
4.50E-06,53,5378,20201,,,
4.50E-06,36,5223,20202,,,
1.70E-06,15,5973,20202,,,
3.00E-06,37,4197,20203,,,
1.50E-06,6,7097,20204,,,
1.40E-06,31,7625,20205,,,
3.10E-06,9,3970,20203,,,
3.00E-06,60,4028,20203,,,
2.90E-06,56,1755,20204,,,
1.50E-06,64,7553,20205,,,
2.80E-06,47,1447,20206,,,
4.10E-06,12,1222,20207,,,
5.30E-06,42,5152,20208,,,
1.60E-06,48,8007,20209,,,
4.00E-06,47,1214,20210,,,
3.80E-06,48,948,20211,,,
4.30E-06,33,4473,20212,,,
4.20E-06,69,24,20213,,,
4.20E-06,17,3439,20214,,,
4.10E-06,29,3275,20215,,,
1.70E-06,55,6453,20216,,,
1.50E-06,1,9162,20216,,,
1.50E-06,66,6418,20217,,,
1.60E-06,70,9909,20218,,,
1.40E-06,21,8862,20219,,,
3.00E-06,21,3327,20218,,,
3.30E-06,47,4823,20219,,,
2.80E-06,57,6208,20220,,,
1.60E-06,64,9573,20221,,,
2.60E-06,49,859,20222,,,
4.10E-06,60,2751,20223,,,
1.60E-06,34,6213,20224,,,
4.10E-06,54,2908,20225,,,
1.60E-06,49,5681,20226,,,
1.40E-06,6,8846,20227,,,
3.60E-06,16,470,20228,,,
1.70E-06,69,6770,20229,,,
1.60E-06,15,8203,20229,,,
2.60E-06,53,358,20230,,,
4.10E-06,35,4593,20231,,,
1.50E-06,40,9137,20231,,,
2.90E-06,28,1917,20231,,,
2.80E-06,3,2361,20232,,,
2.90E-06,19,2396,20232,,,
2.90E-06,35,3778,20231,,,
2.90E-06,16,2560,20230,,,
1.50E-06,5,6952,20231,,,
1.40E-06,6,8878,20232,,,
1.40E-06,57,5725,20232,,,
2.90E-06,45,4138,20233,,,
1.40E-06,61,8176,20234,,,
3.00E-06,18,1661,20235,,,
1.50E-06,44,6719,20236,,,
1.40E-06,43,9361,20237,,,
1.50E-06,32,5815,20238,,,
2.60E-06,62,506,20238,,,
1.60E-06,58,9497,20239,,,
1.60E-06,22,9594,20239,,,
1.50E-06,19,5658,20239,,,
2.70E-06,50,960,20240,,,
2.70E-06,61,371,20240,,,
3.00E-06,12,2115,20241,,,
1.70E-06,41,6291,20242,,,
2.90E-06,5,1576,20243,,,
4.00E-06,41,1846,20244,,,
4.10E-06,19,1178,20245,,,
4.00E-06,63,1929,20246,,,
4.00E-06,22,1561,20247,,,
1.70E-06,14,6704,20247,,,
2.70E-06,34,294,20244,,,
2.70E-06,69,1715,20244,,,
3.00E-06,39,2924,20245,,,
3.50E-06,36,5560,20246,,,
2.70E-06,58,704,20247,,,
3.10E-06,38,3347,20246,,,
3.00E-06,5,3084,20246,,,
2.70E-06,13,239,20246,,,
2.90E-06,20,2440,20246,,,
2.60E-06,34,672,20247,,,
2.90E-06,33,3530,20248,,,
2.60E-06,51,1845,20248,,,
1.60E-06,38,9287,20249,,,
1.50E-06,19,8792,20250,,,
1.40E-06,51,8802,20250,,,
2.90E-06,29,3010,20251,,,
4.00E-06,25,4319,20252,,,
3.90E-06,59,1971,20253,,,
3.60E-06,68,1639,20254,,,
1.70E-06,18,6438,20255,,,
1.50E-06,33,6197,20255,,,
2.70E-06,15,648,20256,,,
3.90E-06,52,4391,20256,,,
4.30E-06,20,3567,20257,,,
3.90E-06,64,1255,20258,,,
4.10E-06,3,2564,20259,,,
5.10E-06,10,636,20260,,,
3.10E-06,70,3256,20260,,,
1.60E-06,58,7919,20261,,,
1.50E-06,60,8024,20262,,,
1.40E-06,51,8439,20263,,,
1.50E-06,57,9499,20264,,,
2.70E-06,34,1169,20264,,,
1.40E-06,14,8489,20265,,,
4.00E-06,60,1555,20266,,,
1.40E-06,50,6934,20267,,,
1.40E-06,23,9659,20268,,,
3.90E-06,48,2514,20269,,,
3.00E-06,31,3802,20269,,,
3.60E-06,18,1276,20270,,,
4.20E-06,33,3210,20271,,,
1.70E-06,43,5944,20272,,,
3.90E-06,51,1811,20273,,,
3.80E-06,19,549,20274,,,
1.50E-06,11,9139,20275,,,
1.50E-06,29,7491,20276,,,
2.90E-06,60,1595,20276,,,
1.60E-06,28,7480,20275,,,
1.60E-06,43,9841,20276,,,
3.00E-06,33,5106,20277,,,
2.70E-06,60,1380,20276,,,
1.50E-06,10,6977,20277,,,
2.60E-06,55,1414,20277,,,
2.60E-06,26,1234,20278,,,
3.00E-06,16,3271,20278,,,
1.40E-06,22,6264,20279,,,
3.10E-06,56,5285,20280,,,
3.70E-06,64,43,20281,,,
4.10E-06,29,5200,20282,,,
3.90E-06,21,63,20283,,,
3.80E-06,3,1326,20284,,,
3.80E-06,17,820,20285,,,
1.60E-06,39,6745,20286,,,
1.40E-06,17,6413,20287,,,
1.60E-06,68,7548,20288,,,
4.00E-06,29,1270,20289,,,
1.40E-06,34,6614,20290,,,
1.50E-06,53,5862,20289,,,
1.50E-06,2,8446,20289,,,
1.50E-06,1,6855,20290,,,
3.00E-06,12,2599,20290,,,
1.60E-06,34,7078,20288,,,
3.00E-06,18,4364,20289,,,
3.00E-06,67,4563,20287,,,
2.60E-06,66,143,20288,,,
1.50E-06,2,9418,20289,,,
2.60E-06,38,2011,20287,,,
2.60E-06,4,705,20287,,,
2.90E-06,51,1608,20288,,,
3.00E-06,53,4174,20289,,,
1.40E-06,57,7274,20290,,,
1.40E-06,67,8016,20289,,,
1.40E-06,58,6794,20289,,,
1.50E-06,25,9041,20290,,,
1.60E-06,28,7975,20290,,,
3.20E-06,34,2762,20291,,,
2.80E-06,52,1150,20292,,,
2.90E-06,40,2575,20293,,,
3.00E-06,1,2509,20294,,,
1.40E-06,29,8856,20295,,,
3.00E-06,50,4383,20295,,,
2.70E-06,64,2130,20295,,,
2.60E-06,20,2108,20296,,,
2.60E-06,18,1560,20297,,,
2.50E-06,46,984,20297,,,
2.90E-06,65,3232,20297,,,
2.80E-06,59,2251,20296,,,
1.60E-06,5,6686,20296,,,
1.50E-06,67,7305,20297,,,
2.90E-06,70,3270,20297,,,
1.50E-06,39,9140,20298,,,
1.50E-06,36,9515,20299,,,
2.60E-06,38,92,20299,,,
1.50E-06,26,9898,20300,,,
1.60E-06,4,6807,20301,,,
1.40E-06,27,6007,20300,,,
1.90E-06,63,8882,20301,,,
2.70E-06,49,1898,20302,,,
2.90E-06,6,2210,20303,,,
1.60E-06,11,8883,20304,,,
2.70E-06,53,748,20305,,,
2.70E-06,26,210,20306,,,
2.90E-06,45,2189,20307,,,
2.90E-06,26,704,20308,,,
1.60E-06,43,9538,20309,,,
3.50E-06,17,5449,20310,,,
2.80E-06,31,2120,20311,,,
1.50E-06,63,6417,20311,,,
1.60E-06,2,6757,20312,,,
1.50E-06,6,6907,20313,,,
2.90E-06,58,1944,20314,,,
1.60E-06,19,8114,20315,,,
4.00E-06,56,4478,20316,,,
4.10E-06,48,2645,20317,,,
1.70E-06,17,7220,20318,,,
3.90E-06,1,2413,20319,,,
1.60E-06,67,7338,20320,,,
1.50E-06,22,5485,20320,,,
3.10E-06,61,4955,20321,,,
1.40E-06,41,6495,20322,,,
4.00E-06,20,1301,20323,,,
1.50E-06,26,9832,20324,,,
3.10E-06,32,5440,20324,,,
1.40E-06,33,8130,20323,,,
2.70E-06,7,120,20324,,,
3.10E-06,32,5364,20325,,,
1.50E-06,57,7999,20326,,,
3.90E-06,4,1646,20327,,,
3.80E-06,42,1484,20328,,,
3.80E-06,47,453,20329,,,
2.90E-06,46,2125,20329,,,
1.50E-06,41,6193,20330,,,
3.10E-06,45,3767,20330,,,
1.50E-06,10,9368,20331,,,
3.70E-06,27,1917,20332,,,
3.60E-06,60,858,20333,,,
1.50E-06,41,6768,20334,,,
2.80E-06,28,1753,20334,,,
3.80E-06,59,4772,20335,,,
1.50E-06,10,6709,20336,,,
1.60E-06,52,6717,20337,,,
3.90E-06,28,1767,20338,,,
1.60E-06,25,9300,20339,,,
1.50E-06,25,8681,20340,,,
2.80E-06,36,1982,20340,,,
1.50E-06,44,6515,20341,,,
4.10E-06,10,4654,20342,,,
1.50E-06,57,9524,20342,,,
3.10E-06,1,5377,20343,,,
3.90E-06,69,1991,20344,,,
3.70E-06,18,534,20345,,,
4.00E-06,61,4684,20346,,,
4.20E-06,50,4690,20347,,,
2.80E-06,53,280,20346,,,
1.60E-06,16,6521,20347,,,
3.30E-06,21,4908,20346,,,
1.40E-06,64,6439,20347,,,
2.90E-06,47,3123,20348,,,
2.70E-06,46,607,20348,,,
1.50E-06,17,9284,20347,,,
1.90E-06,8,6239,20348,,,
2.00E-06,20,7441,20349,,,
2.80E-06,64,45,20349,,,
3.00E-06,17,2079,20349,,,
3.10E-06,56,4956,20350,,,
3.00E-06,3,4564,20350,,,
3.10E-06,7,3813,20350,,,
2.90E-06,53,2330,20351,,,
2.60E-06,49,710,20352,,,
2.60E-06,38,6703,20353,,,
1.60E-06,50,6645,20354,,,
1.60E-06,44,5625,20355,,,
1.60E-06,46,5949,20356,,,
4.00E-06,23,779,20357,,,
4.10E-06,46,5063,20358,,,
1.60E-06,31,7116,20359,,,
4.00E-06,25,5036,20360,,,
3.70E-06,23,240,20361,,,
3.70E-06,57,1402,20362,,,
1.50E-06,28,9113,20363,,,
2.90E-06,14,3351,20363,,,
1.50E-06,41,7039,20364,,,
3.70E-06,39,157,20365,,,
2.60E-06,9,688,20365,,,
1.40E-06,33,8566,20366,,,
3.50E-06,70,217,20367,,,
4.00E-06,57,1963,20368,,,
3.00E-06,39,2211,20366,,,
3.00E-06,18,2431,20366,,,
1.50E-06,18,6668,20367,,,
2.80E-06,30,2265,20367,,,
1.60E-06,7,7334,20367,,,
3.00E-06,29,4335,20368,,,
3.00E-06,7,4718,20369,,,
2.70E-06,2,1217,20368,,,
1.60E-06,20,5939,20369,,,
2.60E-06,15,1211,20369,,,
1.60E-06,45,5417,20370,,,
2.70E-06,7,1241,20370,,,
1.50E-06,34,8038,20371,,,
1.50E-06,11,7650,20372,,,
2.90E-06,53,2259,20373,,,
1.50E-06,69,9917,20372,,,
1.50E-06,30,9360,20373,,,
1.50E-06,34,8317,20373,,,
1.50E-06,27,9366,20374,,,
1.40E-06,22,6707,20375,,,
1.50E-06,67,6574,20376,,,
3.00E-06,64,5187,20377,,,
3.10E-06,42,4659,20378,,,
3.10E-06,50,3702,20379,,,
1.60E-06,22,9636,20380,,,
1.40E-06,38,7218,20381,,,
2.90E-06,35,5205,20382,,,
1.60E-06,39,5869,20382,,,
1.40E-06,3,6438,20383,,,
2.70E-06,68,1075,20383,,,
1.50E-06,22,9282,20384,,,
1.50E-06,19,7794,20385,,,
1.50E-06,36,8498,20386,,,
2.90E-06,14,3916,20385,,,
2.90E-06,33,4786,20385,,,
2.60E-06,19,523,20385,,,
2.70E-06,44,109,20386,,,
1.50E-06,43,9983,20384,,,
2.70E-06,39,701,20385,,,
1.50E-06,68,7244,20386,,,
2.90E-06,23,1290,20387,,,
2.90E-06,26,893,20388,,,
2.90E-06,33,4372,20389,,,
1.50E-06,31,9199,20389,,,
1.50E-06,68,7846,20390,,,
1.50E-06,70,9502,20391,,,
2.90E-06,27,3227,20392,,,
1.40E-06,54,6365,20393,,,
1.40E-06,14,5417,20394,,,
4.10E-06,14,4720,20395,,,
3.60E-06,18,392,20396,,,
1.50E-06,2,8364,20397,,,
4.00E-06,50,4827,20398,,,
4.00E-06,16,2900,20399,,,
4.00E-06,44,4960,20400,,,
4.00E-06,26,2136,20401,,,
1.50E-06,16,6790,20402,,,
3.90E-06,19,1336,20403,,,
4.00E-06,34,862,20404,,,
3.90E-06,48,3343,20405,,,
4.00E-06,59,773,20406,,,
2.90E-06,63,1671,20406,,,
4.10E-06,18,3287,20407,,,
4.00E-06,11,2465,20408,,,
1.50E-06,66,5303,20409,,,
3.90E-06,56,3128,20410,,,
1.60E-06,24,7429,20410,,,
1.50E-06,47,6071,20411,,,
2.90E-06,47,4040,20412,,,
3.70E-06,66,433,20413,,,
4.40E-06,28,3864,20414,,,
1.60E-06,31,7731,20415,,,
1.50E-06,36,8928,20416,,,
1.50E-06,19,7116,20416,,,
2.90E-06,36,1601,20417,,,
3.30E-06,69,3351,20417,,,
1.50E-06,65,9188,20418,,,
2.90E-06,25,2335,20417,,,
1.60E-06,59,8824,20418,,,
3.10E-06,61,4243,20419,,,
1.60E-06,68,7135,20419,,,
3.10E-06,35,3174,20420,,,
3.70E-06,17,461,20421,,,
2.90E-06,53,4031,20419,,,
1.40E-06,10,9324,20420,,,
2.60E-06,50,1462,20420,,,
2.80E-06,18,2279,20421,,,
1.40E-06,70,7191,20421,,,
1.40E-06,4,6348,20422,,,
1.50E-06,47,9841,20423,,,
2.60E-06,3,1194,20424,,,
1.40E-06,14,9923,20425,,,
2.80E-06,43,1586,20426,,,
1.40E-06,17,6186,20423,,,
9.30E-06,15,3500,20424,,,
3.10E-06,61,5029,20425,,,
1.50E-06,16,8773,20426,,,
1.50E-06,45,9245,20427,,,
1.40E-06,54,7740,20428,,,
1.50E-06,64,7886,20429,,,
2.70E-06,38,852,20430,,,
1.80E-06,22,9391,20431,,,
2.90E-06,15,1723,20432,,,
1.60E-06,10,5911,20433,,,
4.10E-06,50,3150,20434,,,
4.10E-06,42,2920,20435,,,
3.90E-06,57,888,20436,,,
6.90E-06,68,731,20437,,,
3.60E-06,62,590,20438,,,
3.70E-06,2,439,20439,,,
1.50E-06,35,8983,20440,,,
4.00E-06,29,2216,20441,,,
1.40E-06,65,8382,20442,,,
4.00E-06,8,4941,20443,,,
1.50E-06,39,5717,20444,,,
3.00E-06,42,1881,20444,,,
3.20E-06,18,3852,20444,,,
3.90E-06,15,2306,20445,,,
4.00E-06,13,5066,20446,,,
3.90E-06,44,922,20447,,,
4.10E-06,52,4141,20448,,,
3.60E-06,42,2,20449,,,
4.00E-06,61,5038,20450,,,
3.90E-06,10,3169,20451,,,
1.50E-06,32,5354,20452,,,
4.00E-06,34,2719,20453,,,
3.90E-06,51,1131,20454,,,
1.60E-06,47,8964,20454,,,
2.90E-06,17,2200,20455,,,
1.50E-06,51,7137,20456,,,
3.70E-06,2,489,20457,,,
1.50E-06,69,9487,20458,,,
1.50E-06,7,7206,20458,,,
2.60E-06,31,551,20459,,,
4.00E-06,7,2721,20460,,,
3.20E-06,17,3728,20460,,,
1.50E-06,37,8237,20461,,,
2.70E-06,61,904,20461,,,
3.70E-06,25,1942,20462,,,
3.80E-06,38,1497,20463,,,
3.20E-06,57,2873,20463,,,
4.40E-06,30,4427,20464,,,
2.90E-06,51,4682,20463,,,
2.60E-06,11,913,20464,,,
2.90E-06,26,2587,20464,,,
4.00E-06,32,4940,20465,,,
1.60E-06,28,8410,20465,,,
3.10E-06,60,4411,20465,,,
3.10E-06,42,3544,20466,,,
1.70E-06,49,6902,20467,,,
3.70E-06,51,929,20468,,,
3.60E-06,65,595,20469,,,
1.50E-06,68,7398,20470,,,
2.90E-06,8,3762,20468,,,
3.00E-06,45,3155,20469,,,
2.90E-06,62,2150,20470,,,
1.60E-06,7,8034,20471,,,
1.50E-06,54,6278,20472,,,
1.60E-06,42,9440,20473,,,
2.60E-06,46,216,20472,,,
2.80E-06,23,684,20473,,,
4.10E-06,19,4813,20474,,,
1.60E-06,8,9528,20475,,,
2.90E-06,66,1459,20475,,,
2.90E-06,18,2678,20475,,,
3.70E-06,1,540,20476,,,
3.80E-06,9,2222,20477,,,
1.60E-06,41,6100,20478,,,
1.40E-06,57,6607,20479,,,
1.50E-06,32,8675,20480,,,
1.90E-06,8,5635,20481,,,
2.70E-06,35,8427,20482,,,
4.80E-06,52,100,20483,,,
2.00E-06,62,9781,20484,,,
5.60E-06,9,1542,20485,,,
2.00E-06,27,9670,20486,,,
6.30E-06,33,522,20487,,,
1.60E-06,51,5919,20488,,,
1.50E-06,9,5664,20489,,,
4.20E-06,55,2196,20490,,,
1.50E-06,67,7004,20491,,,
3.80E-06,12,799,20492,,,
3.80E-06,54,1421,20493,,,
2.90E-06,30,1544,20493,,,
3.90E-06,31,1910,20494,,,
4.00E-06,46,455,20495,,,
3.00E-06,13,2126,20494,,,
2.70E-06,2,225,20495,,,
2.90E-06,59,4528,20494,,,
2.90E-06,27,2222,20495,,,
4.00E-06,69,1060,20496,,,
1.60E-06,4,9339,20497,,,
1.60E-06,53,9205,20498,,,
1.50E-06,69,8273,20498,,,
3.10E-06,62,3976,20498,,,
3.10E-06,57,4638,20498,,,
3.00E-06,46,2212,20498,,,
2.90E-06,4,2173,20498,,,
3.10E-06,17,4728,20499,,,
1.60E-06,35,5832,20500,,,
3.80E-06,15,940,20501,,,
1.50E-06,34,5814,20502,,,
2.90E-06,51,1976,20500,,,
2.70E-06,57,243,20501,,,
