cas operacie,vybrane cislo,velkost frontu,,,
3.40E-06,31,20180,,,4.71E-01
2.20E-06,43,20183,,,25000
1.50E-06,63,20185,,,
1.40E-06,12,20192,,,
1.30E-06,57,20192,,,
1.30E-06,44,20192,,,
1.30E-06,3,20193,,,
1.30E-06,2,20197,,,
1.40E-06,8,20201,,,
1.40E-06,35,20204,,,
1.40E-06,12,20203,,,
1.40E-06,57,20202,,,
1.30E-06,48,20202,,,
1.30E-06,69,20215,,,
1.30E-06,48,20218,,,
1.30E-06,35,20217,,,
1.30E-06,16,20228,,,
1.30E-06,53,20230,,,
1.30E-06,49,20230,,,
1.20E-06,47,20231,,,
1.30E-06,12,20231,,,
1.30E-06,13,20230,,,
1.30E-06,11,20230,,,
1.30E-06,54,20229,,,
1.30E-06,26,20231,,,
1.40E-06,47,20237,,,
1.30E-06,62,20238,,,
1.30E-06,18,20238,,,
1.30E-06,50,20239,,,
1.40E-06,61,20246,,,
1.40E-06,19,20246,,,
1.40E-06,22,20245,,,
1.30E-06,5,20244,,,
1.30E-06,3,20243,,,
1.30E-06,34,20243,,,
1.30E-06,58,20246,,,
1.30E-06,69,20245,,,
1.40E-06,56,20245,,,
1.30E-06,5,20245,,,
1.30E-06,13,20245,,,
1.20E-06,34,20247,,,
1.30E-06,51,20249,,,
1.40E-06,68,20254,,,
2.10E-06,15,20255,,,
1.70E-06,10,20259,,,
1.40E-06,64,20263,,,
1.40E-06,34,20268,,,
1.30E-06,19,20275,,,
1.30E-06,18,20275,,,
1.40E-06,60,20274,,,
1.40E-06,60,20276,,,
1.30E-06,51,20275,,,
1.30E-06,60,20276,,,
1.30E-06,26,20277,,,
1.20E-06,64,20289,,,
1.20E-06,21,20288,,,
1.30E-06,17,20288,,,
1.40E-06,29,20289,,,
1.30E-06,3,20289,,,
1.30E-06,55,20288,,,
1.30E-06,41,20287,,,
1.30E-06,36,20288,,,
1.30E-06,28,20287,,,
1.30E-06,63,20286,,,
1.30E-06,66,20288,,,
1.30E-06,16,20287,,,
1.40E-06,59,20286,,,
1.40E-06,38,20286,,,
1.30E-06,4,20289,,,
1.30E-06,51,20288,,,
1.30E-06,13,20288,,,
2.00E-06,15,20289,,,
1.40E-06,52,20294,,,
