cas operacie,cislo,velkost frontu,,,,,,,
2.36E-05,4,3,,,9.31E-01,,0.0000233,15,1
2.34E-05,22,3,,,29843,,0.0000247,15,1
2.35E-05,15,3,,,,,0.0000235,15,1
2.36E-05,15,3,,,,,0.0000234,15,1
2.33E-05,15,1,,,,,0.0000231,15,1
2.41E-05,15,2,,,,,0.0000232,15,1
2.38E-05,15,2,,,,,0.0000232,15,1
3.37E-05,15,4,,,,,0.0000234,15,1
3.07E-05,15,5,,,,,0.0000232,15,1
2.36E-05,15,4,,,,,0.0000233,15,1
2.34E-05,15,3,,,,,0.0000233,15,1
2.47E-05,15,1,,,,,0.0000233,15,1
2.35E-05,15,1,,,,,0.0000233,15,1
2.34E-05,15,1,,,,,0.0000237,15,1
2.31E-05,15,1,,,,,0.0000279,15,1
2.32E-05,15,1,,,,,0.0000236,15,1
2.35E-05,15,2,,,,,0.0000234,15,1
2.32E-05,15,4,,,,,0.0000234,15,1
2.43E-05,15,5,,,,,0.0000235,15,1
2.39E-05,15,6,,,,,0.0000234,15,1
2.51E-05,15,2,,,,,0.0000232,15,1
2.32E-05,15,1,,,,,0.0000234,15,1
2.34E-05,15,1,,,,,0.0000232,15,1
2.32E-05,15,1,,,,,0.0000226,15,1
2.33E-05,15,1,,,,,0.0000369,15,1
2.45E-05,15,2,,,,,0.0000315,15,1
2.33E-05,15,2,,,,,0.0000336,15,1
2.33E-05,15,1,,,,,0.0000303,15,1
2.33E-05,15,2,,,,,0.000112,15,1
2.27E-05,15,4,,,,,0.0000317,15,1
2.33E-05,15,3,,,,,0.0001063,15,1
2.34E-05,15,3,,,,,0.0000329,15,1
2.33E-05,15,1,,,,,0.0000309,15,1
2.33E-05,15,1,,,,,0.0000234,15,1
2.27E-05,15,4,,,,,0.0000233,15,1
2.26E-05,15,4,,,,,0.0000235,15,1
2.87E-05,15,2,,,,,0.0000289,15,1
2.37E-05,15,1,,,,,0.0000285,15,1
2.35E-05,15,3,,,,,0.0000233,15,1
2.36E-05,15,2,,,,,0.0000312,15,1
2.79E-05,15,1,,,,,0.0000305,15,1
2.36E-05,15,1,,,,,0.0000236,15,1
2.34E-05,15,1,,,,,0.0000245,15,1
2.33E-05,15,2,,,,,0.000024,15,1
2.34E-05,15,1,,,,,0.00004,15,1
2.35E-05,15,3,,,,,0.0000295,15,1
2.35E-05,15,3,,,,,0.0000298,15,1
2.32E-05,15,4,,,,,0.0000415,15,1
2.35E-05,15,2,,,,,0.0000227,15,1
2.35E-05,15,1,,,,,0.0000226,15,1
2.34E-05,15,1,,,,,0.0000227,15,1
2.32E-05,15,1,,,,,0.0000275,15,1
2.34E-05,15,1,,,,,0.0000309,15,1
2.32E-05,15,1,,,,,0.0000233,15,1
2.26E-05,15,1,,,,,0.0000233,15,1
3.69E-05,15,1,,,,,0.0000232,15,1
3.15E-05,15,1,,,,,0.0002018,15,1
3.36E-05,15,1,,,,,0.0000266,15,1
3.16E-05,15,2,,,,,0.0000245,15,1
3.03E-05,15,1,,,,,0.0000231,15,1
0.000112,15,1,,,,,0.0000228,15,1
3.17E-05,15,1,,,,,0.0000307,15,1
3.59E-05,15,2,,,,,0.0000297,15,1
0.0001063,15,1,,,,,0.0000298,15,1
3.29E-05,15,1,,,,,0.0000275,15,1
3.05E-05,15,2,,,,,0.0000234,15,1
2.38E-05,15,5,,,,,0.0000233,15,1
2.37E-05,15,6,,,,,0.0000231,15,1
2.36E-05,15,7,,,,,0.000034,15,1
2.38E-05,15,10,,,,,0.0000314,15,1
2.35E-05,15,10,,,,,0.0000305,15,1
2.36E-05,15,10,,,,,0.0000234,15,1
2.37E-05,15,11,,,,,0.0000234,15,1
2.41E-05,15,11,,,,,0.0000234,15,1
2.37E-05,15,11,,,,,0.0000353,15,1
