cas operacie,vlozene cislo,priorita,velkost frontu,,,,,,,,
3.80E-05,4,358,1,,,2.08E+00,,0.000038,4,358,1
6.11E-05,2,9440,2,,,34914,,0.0000611,2,9440,2
3.93E-05,4,9936,2,,,,,0.0000393,4,9936,2
3.93E-05,12,2910,3,,,,,0.0000386,15,7367,2
0.0001056,30,3096,4,,,,,0.0000388,22,4155,2
0.0001497,22,292,4,,,,,0.0000385,18,303,2
0.0001501,15,8,4,,,,,0.0000391,4,236,2
0.0001018,21,1943,5,,,,,0.0000387,18,4763,2
3.90E-05,29,9959,4,,,,,0.0000376,23,6035,2
3.86E-05,15,7367,2,,,,,0.0000389,28,6254,2
3.91E-05,14,1818,3,,,,,0.0000386,19,5238,2
0.0001202,28,1804,3,,,,,0.0000385,23,4439,2
0.0001261,33,6293,4,,,,,0.0000386,13,1351,2
0.00014,26,3136,5,,,,,0.0000387,17,2408,2
3.93E-05,19,4185,3,,,,,0.0000386,10,1275,2
3.88E-05,22,4155,2,,,,,0.0000388,4,8799,2
3.85E-05,18,303,2,,,,,0.0000385,22,5932,2
3.91E-05,4,236,2,,,,,0.0000524,2,1191,2
3.89E-05,17,4963,3,,,,,0.0000478,9,4110,2
3.88E-05,12,1974,4,,,,,0.000039,33,7662,2
3.86E-05,11,6954,4,,,,,0.0000391,23,4711,2
4.58E-05,16,2804,4,,,,,0.0000389,8,8498,2
3.76E-05,30,1672,5,,,,,0.0000386,16,7354,2
7.53E-05,35,9700,6,,,,,0.0000388,26,4174,2
3.87E-05,18,4763,2,,,,,0.0000388,3,3048,2
3.76E-05,23,6035,2,,,,,0.0000375,9,3280,2
3.78E-05,18,640,3,,,,,0.0000376,22,3901,2
3.89E-05,28,6254,2,,,,,0.0001634,20,3885,2
3.86E-05,19,5238,2,,,,,0.000116,30,3391,2
3.85E-05,23,4439,2,,,,,0.0000523,9,5493,2
3.86E-05,13,1351,2,,,,,0.0000508,18,9078,2
3.88E-05,32,1315,3,,,,,0.0000517,1,7009,2
3.87E-05,17,2408,2,,,,,0.0000391,8,332,2
3.86E-05,10,1275,2,,,,,0.0000388,35,5506,2
3.79E-05,26,199,3,,,,,0.0000415,29,6466,2
3.77E-05,28,8050,4,,,,,0.0000395,23,1578,2
3.88E-05,4,8799,2,,,,,0.0000385,9,1602,2
3.85E-05,22,5932,2,,,,,0.0000387,16,9624,2
4.74E-05,2,6639,3,,,,,0.000053,16,4412,2
3.88E-05,35,8649,4,,,,,0.0000604,32,3672,2
3.84E-05,28,6064,5,,,,,0.0000509,4,9370,2
3.84E-05,32,7933,5,,,,,0.0000391,6,1730,2
