cas operacie,vybrane cislo,velkost frontu,,,,,,,
0.0001328,2,1,,,9.1003324,,0.0001328,2,1
0.0002017,4,3,,,34910,,0.0001129,22,1
0.0002119,30,3,,,,,0.000164,26,1
0.000201,21,4,,,,,0.000113,22,1
0.0002017,4,3,,,,,0.000113,18,1
0.0002098,29,3,,,,,0.0001122,4,1
0.0001799,12,2,,,,,0.000112,18,1
0.0001129,22,1,,,,,0.0001253,23,1
0.0002667,14,2,,,,,0.0001126,28,1
0.000253,33,4,,,,,0.0001126,19,1
0.000213,15,3,,,,,0.0001123,23,1
0.0001792,28,2,,,,,0.0001128,13,1
0.0002211,19,2,,,,,0.0001122,17,1
0.000164,26,1,,,,,0.0001122,10,1
0.000113,22,1,,,,,0.0001122,4,1
0.000113,18,1,,,,,0.0001454,22,1
0.0002007,12,3,,,,,0.0001423,2,1
0.0001997,11,3,,,,,0.000114,9,1
0.0002009,35,5,,,,,0.0001202,33,1
0.0002008,30,4,,,,,0.0001354,23,1
0.0002007,16,3,,,,,0.0001119,8,1
0.0001777,17,2,,,,,0.0001124,16,1
0.0001122,4,1,,,,,0.0001124,26,1
0.000112,18,1,,,,,0.000113,31,1
0.0001741,18,2,,,,,0.0001098,9,1
0.0001253,23,1,,,,,0.0002189,22,1
0.0001126,28,1,,,,,0.0001533,20,1
0.0001126,19,1,,,,,0.0001481,30,1
0.0001123,23,1,,,,,0.0001608,9,1
0.0002109,32,2,,,,,0.0001508,17,1
0.0001128,13,1,,,,,0.0001131,1,1
0.0001122,17,1,,,,,0.000113,8,1
0.0002317,28,3,,,,,0.0001559,35,1
0.0001785,26,2,,,,,0.0001415,22,1
0.0001122,10,1,,,,,0.000113,29,1
0.0001122,4,1,,,,,0.0001124,10,1
0.0002008,28,4,,,,,0.0001416,33,1
0.0002087,32,4,,,,,0.0001988,16,1
0.0002074,35,3,,,,,0.0001505,11,1
0.0002231,2,2,,,,,0.0001134,10,1
0.0002302,12,2,,,,,0.0003043,6,1
0.0001454,22,1,,,,,0.0001513,28,1
0.0001423,2,1,,,,,0.0001416,3,1
0.000114,9,1,,,,,0.0002633,4,1
0.0001807,29,2,,,,,0.0001093,31,1
0.0001202,33,1,,,,,0.0001097,5,1
0.0001354,23,1,,,,,0.0001164,28,1
0.0001119,8,1,,,,,0.0001492,11,1
0.000181,22,2,,,,,0.0001698,1,1
0.0001792,8,2,,,,,0.0001125,28,1
0.0001784,30,2,,,,,0.0001119,12,1
0.0001124,16,1,,,,,0.0001123,31,1
0.0001859,33,2,,,,,0.0001124,33,1
0.0001124,26,1,,,,,0.0001128,14,1
0.0001786,26,2,,,,,0.0001127,11,1
0.0002119,3,3,,,,,0.0001094,23,1
0.0001786,19,2,,,,,0.0001129,13,1
0.0002042,25,3,,,,,0.0001123,21,1
0.000204,4,3,,,,,0.0001428,31,1
0.0002021,4,3,,,,,0.0001544,26,1
0.0001797,3,2,,,,,0.0001126,21,1
0.0001794,4,2,,,,,0.0001253,35,1
0.000113,31,1,,,,,0.0001888,28,1
0.0001098,9,1,,,,,0.0001334,3,1
0.0002189,22,1,,,,,0.0001339,31,1
0.0001533,20,1,,,,,0.0007385,27,1
0.0001481,30,1,,,,,0.0001455,34,1
0.0001608,9,1,,,,,0.0001126,2,1
0.0002029,32,10,,,,,0.000151,9,1
0.0002024,16,12,,,,,0.0001298,11,1
0.0002025,5,11,,,,,0.0001234,15,1
0.0003459,6,10,,,,,0.0001138,7,1
0.0002583,24,18,,,,,0.0004286,29,1
0.0002563,17,17,,,,,0.0002032,17,1
0.0002718,11,17,,,,,0.000183,28,1
0.0002534,19,17,,,,,0.0002168,3,1
0.0002601,28,16,,,,,0.0001377,2,1
0.0002074,18,15,,,,,0.0001714,10,1
0.0002022,28,22,,,,,0.0001437,6,1
0.0002816,23,25,,,,,0.0001339,8,1
0.000216,25,25,,,,,0.000137,20,1
0.0003009,18,26,,,,,0.0001847,16,1
0.000201,3,26,,,,,0.0001506,26,1
0.0002028,14,26,,,,,0.0001718,18,1
0.0002027,28,25,,,,,0.0002291,31,1
0.0002159,14,27,,,,,0.0001381,26,1
0.0002019,6,27,,,,,0.0001355,5,1
0.0003379,21,27,,,,,0.0001286,1,1
0.0002015,25,26,,,,,0.0001554,32,1
0.0002002,26,27,,,,,0.0002452,33,1
0.0002245,35,26,,,,,0.0001376,12,1
0.0002006,5,25,,,,,0.0001876,16,1
0.0002111,14,27,,,,,0.0001631,10,1
0.0001996,12,26,,,,,0.0001139,9,1
0.0002007,15,25,,,,,0.0001658,24,1
0.0002226,32,26,,,,,0.0001584,2,1
0.0002004,35,25,,,,,0.000157,10,1
0.0002112,16,27,,,,,0.000118,9,1
0.0002222,18,27,,,,,0.0001521,25,1
0.0001999,12,28,,,,,0.0001136,20,1
0.0002805,12,27,,,,,0.0001134,2,1
0.0002602,9,26,,,,,0.0001133,15,1
0.0002606,26,25,,,,,0.0001137,3,1
0.0002288,17,24,,,,,0.0001675,10,1
0.0002001,3,23,,,,,0.0001138,20,1
0.0002002,19,23,,,,,0.0002181,13,1
