cas operacie,cislo,velkost frontu,,,
2.90E-05,3,6,,,6.28E-01
3.32E-05,3,7,,,19858
2.40E-05,3,9,,,
2.36E-05,3,10,,,
2.28E-05,3,13,,,
2.34E-05,3,12,,,
3.26E-05,3,10,,,
2.40E-05,3,9,,,
2.41E-05,3,9,,,
2.75E-05,3,10,,,
2.32E-05,3,10,,,
2.37E-05,3,12,,,
2.36E-05,3,12,,,
2.36E-05,3,16,,,
2.38E-05,3,15,,,
2.36E-05,3,15,,,
0.000347,3,14,,,
2.48E-05,3,14,,,
3.33E-05,3,15,,,
3.33E-05,3,16,,,
2.36E-05,3,18,,,
2.37E-05,3,24,,,
2.34E-05,3,26,,,
2.36E-05,3,27,,,
2.33E-05,3,25,,,
2.33E-05,3,27,,,
2.34E-05,3,30,,,
3.56E-05,3,27,,,
2.40E-05,3,27,,,
2.39E-05,3,30,,,
2.37E-05,3,36,,,
2.79E-05,3,37,,,
2.98E-05,3,39,,,
2.95E-05,3,41,,,
2.94E-05,3,41,,,
2.99E-05,3,44,,,
2.40E-05,3,45,,,
2.37E-05,3,46,,,
2.39E-05,3,46,,,
2.37E-05,3,49,,,
3.27E-05,3,53,,,
3.23E-05,3,54,,,
3.22E-05,3,54,,,
2.35E-05,3,53,,,
2.36E-05,3,51,,,
2.34E-05,3,52,,,
2.37E-05,3,55,,,
2.34E-05,3,55,,,
2.35E-05,3,56,,,
2.37E-05,3,57,,,
2.36E-05,3,57,,,
2.36E-05,3,57,,,
2.43E-05,3,59,,,
2.40E-05,3,62,,,
2.33E-05,3,63,,,
3.06E-05,3,67,,,
2.34E-05,3,65,,,
2.34E-05,3,65,,,
2.34E-05,3,66,,,
2.35E-05,3,66,,,
2.34E-05,3,66,,,
2.34E-05,3,66,,,
3.46E-05,3,67,,,
3.15E-05,3,67,,,
2.35E-05,3,69,,,
3.03E-05,3,68,,,
0.0001825,3,68,,,
3.17E-05,3,71,,,
3.04E-05,3,73,,,
3.07E-05,3,75,,,
