cas operacie,vlozene cislo,priorita,velkost frontu,,,
0.0001659,1,1,5,,,5.3985277
5.71E-05,13,9533,6,,,50000
5.93E-05,43,5445,7,,,
0.0001223,49,2080,8,,,
0.0001071,37,1940,8,,,
3.93E-05,27,3810,8,,,
4.57E-05,13,1942,9,,,
3.89E-05,18,2328,9,,,
0.000106,17,280,10,,,
3.89E-05,34,481,10,,,
5.18E-05,14,6391,11,,,
0.0001032,6,4652,12,,,
0.0001669,30,1040,13,,,
3.77E-05,19,7545,14,,,
0.000103,12,1744,15,,,
3.79E-05,22,3929,15,,,
0.0001396,28,1305,12,,,
0.0001721,20,485,12,,,
4.00E-05,3,4717,9,,,
3.94E-05,40,2301,10,,,
3.91E-05,35,998,11,,,
3.91E-05,44,3868,11,,,
0.0001726,50,470,12,,,
3.88E-05,46,6881,13,,,
3.88E-05,32,2134,14,,,
3.90E-05,49,3265,15,,,
0.000146,45,1565,15,,,
5.07E-05,43,7695,16,,,
0.0001735,30,832,16,,,
0.0001725,6,614,16,,,
0.0001507,41,5794,14,,,
0.0001499,11,496,15,,,
5.50E-05,16,9001,16,,,
5.40E-05,36,6607,17,,,
0.000184,33,210,17,,,
0.0001717,18,37,18,,,
3.88E-05,27,9935,19,,,
0.0001059,18,1837,20,,,
0.0001182,29,823,20,,,
4.42E-05,3,3057,21,,,
3.87E-05,49,6348,22,,,
3.90E-05,41,8879,23,,,
3.89E-05,23,4041,24,,,
3.87E-05,13,5317,25,,,
0.0001056,37,5844,26,,,
0.0001056,32,4636,26,,,
3.89E-05,19,7751,27,,,
3.88E-05,30,4998,26,,,
0.0001055,34,657,27,,,
3.89E-05,24,6485,28,,,
4.05E-05,1,8353,29,,,
3.89E-05,27,1823,30,,,
3.86E-05,1,3058,30,,,
0.0002736,47,366,28,,,
3.92E-05,11,1971,28,,,
3.91E-05,6,944,29,,,
3.96E-05,15,5435,28,,,
0.0008303,28,6290,28,,,
5.13E-05,46,2201,29,,,
3.96E-05,34,5818,28,,,
3.95E-05,7,2897,29,,,
4.03E-05,27,4615,30,,,
4.03E-05,22,2605,29,,,
3.93E-05,29,5547,30,,,
3.92E-05,26,9992,31,,,
0.0001064,39,1195,32,,,
3.90E-05,26,7055,33,,,
4.87E-05,46,7883,33,,,
3.91E-05,6,1463,34,,,
3.89E-05,19,4327,35,,,
0.000106,43,897,36,,,
4.60E-05,5,1159,35,,,
4.59E-05,11,9856,36,,,
4.60E-05,23,9441,37,,,
0.0001231,11,8371,38,,,
4.95E-05,47,8583,39,,,
5.13E-05,39,9808,38,,,
0.0001352,24,2219,38,,,
4.85E-05,28,5519,39,,,
4.95E-05,46,8824,39,,,
5.33E-05,14,5636,39,,,
4.92E-05,27,8153,40,,,
0.0001368,23,1228,41,,,
0.0006254,21,629,41,,,
5.43E-05,47,6724,42,,,
0.0001307,44,4848,42,,,
5.49E-05,17,7449,43,,,
5.36E-05,7,7829,44,,,
0.0002476,33,3859,45,,,
0.0002043,22,5065,46,,,
4.02E-05,6,9599,46,,,
3.93E-05,26,5820,46,,,
0.0001088,39,3918,47,,,
0.0001063,46,2017,48,,,
0.0003058,41,323,49,,,
3.91E-05,9,2071,49,,,
0.000127,40,809,50,,,
5.06E-05,20,5681,51,,,
0.0001361,40,4603,52,,,
0.0001431,40,1512,53,,,
0.0001482,46,1478,54,,,
5.26E-05,38,6164,54,,,
4.99E-05,7,1790,55,,,
0.0001059,12,752,51,,,
0.0001725,18,436,52,,,
3.90E-05,48,1709,53,,,
3.90E-05,32,7354,54,,,
3.89E-05,19,1854,55,,,
0.0001062,44,1406,55,,,
0.0001057,28,4578,56,,,
0.0001056,40,965,57,,,
3.88E-05,12,6655,57,,,
0.0001954,37,1328,58,,,
0.0001082,35,919,58,,,
0.0001093,29,7589,59,,,
0.0001735,5,835,60,,,
0.0001068,45,1444,61,,,
0.0003135,24,150,62,,,
4.20E-05,11,5482,62,,,
3.93E-05,1,7262,63,,,
3.93E-05,24,2846,63,,,
0.0001058,11,556,63,,,
0.0001248,14,6192,64,,,
0.0001722,5,1184,64,,,
3.89E-05,17,7604,65,,,
0.0001976,33,2264,66,,,
5.13E-05,47,9641,67,,,
0.0002415,47,335,68,,,
3.90E-05,35,4715,67,,,
