cas operacie,vybrane cislo,velkost frontu,,,
0.0002154,16,7,,,8.0100919
0.0002038,49,7,,,29714
0.0002034,13,8,,,
0.0002017,4,9,,,
0.000196,43,14,,,
0.0002358,22,14,,,
0.0002018,19,13,,,
0.0002027,6,12,,,
0.0002008,13,11,,,
0.0002431,21,11,,,
0.000202,28,11,,,
0.0002852,14,10,,,
0.0002076,34,9,,,
0.0002033,18,8,,,
0.0002028,35,10,,,
0.0003066,49,14,,,
0.0002035,43,15,,,
0.0002033,27,15,,,
0.0002023,37,15,,,
0.0002138,12,14,,,
0.0003714,32,13,,,
0.0002857,36,16,,,
0.0002026,40,19,,,
0.0002019,46,25,,,
0.0002015,19,26,,,
0.0002014,37,25,,,
0.0002008,27,29,,,
0.0002012,1,29,,,
0.0002012,1,28,,,
0.0002602,24,27,,,
0.0002048,41,27,,,
0.0002224,6,28,,,
0.0002053,11,27,,,
0.0003378,15,27,,,
0.0005667,46,28,,,
0.0002074,28,27,,,
0.0002882,27,29,,,
0.000308,7,28,,,
0.0002025,26,32,,,
0.0002988,3,35,,,
0.0002399,19,34,,,
0.0002486,47,38,,,
0.0002642,27,37,,,
0.0002656,39,37,,,
0.0002567,28,38,,,
0.0002619,46,38,,,
0.0002561,18,40,,,
0.000274,47,41,,,
0.0003353,41,45,,,
0.0002042,6,45,,,
0.000203,46,48,,,
0.0002863,32,53,,,
0.0002031,7,54,,,
0.0002022,38,53,,,
0.0002051,40,52,,,
0.0002404,30,51,,,
0.0002022,20,50,,,
0.0002025,19,54,,,
0.0002031,28,56,,,
0.0002477,22,57,,,
0.0003474,26,61,,,
0.0002024,1,62,,,
0.0002083,24,62,,,
0.0002014,16,63,,,
0.0002028,6,67,,,
0.0002226,47,66,,,
0.000202,35,66,,,
0.0002024,46,65,,,
0.0002016,33,66,,,
0.0002022,46,65,,,
0.0002087,11,66,,,
0.0002017,42,66,,,
0.0002016,33,66,,,
0.0005848,31,67,,,
0.0003391,31,66,,,
0.0002564,5,69,,,
0.0003399,21,68,,,
0.0002029,2,68,,,
0.0002584,17,69,,,
0.0002032,30,68,,,
0.0002016,4,67,,,
0.0003242,12,67,,,
0.0003765,17,68,,,
0.0002518,23,73,,,
0.0002633,9,73,,,
0.0003193,31,74,,,
0.0002894,14,78,,,
0.0003656,31,77,,,
0.0003384,8,78,,,
0.0002567,24,77,,,
0.0002963,27,79,,,
0.0002809,43,78,,,
0.0002592,12,86,,,
0.00026,7,87,,,
0.0002567,17,86,,,
0.0002558,49,89,,,
0.000267,50,91,,,
0.0002662,26,92,,,
0.0002639,47,91,,,
0.0002649,8,90,,,
0.0002625,44,89,,,
0.00026,49,92,,,
0.000257,39,91,,,
0.0002588,47,90,,,
0.0002588,50,90,,,
0.0004065,22,93,,,
0.0003607,26,93,,,
0.0004345,43,92,,,
0.0004189,31,92,,,
0.0002652,9,91,,,
