cas operacie,cislo,velkost frontu,,,
2.86E-05,3,20308,,,1.63E-01
0.001323,3,20311,,,5000
2.81E-05,3,20312,,,
2.89E-05,3,20313,,,
2.83E-05,3,20318,,,
3.09E-05,3,20322,,,
5.12E-05,3,20344,,,
2.81E-05,3,20355,,,
2.96E-05,3,20364,,,
2.91E-05,3,20368,,,
2.90E-05,3,20372,,,
3.27E-05,3,20375,,,
3.29E-05,3,20374,,,
2.82E-05,3,20378,,,
3.49E-05,3,20380,,,
2.98E-05,3,20380,,,
4.19E-05,3,20385,,,
3.19E-05,3,20387,,,
3.32E-05,3,20385,,,
3.65E-05,3,20405,,,
3.40E-05,3,20410,,,
3.09E-05,3,20411,,,
3.14E-05,3,20424,,,
2.70E-05,3,20427,,,
2.74E-05,3,20428,,,
2.82E-05,3,20430,,,
3.44E-05,3,20432,,,
3.32E-05,3,20436,,,
3.34E-05,3,20438,,,
3.59E-05,3,20445,,,
2.38E-05,3,20508,,,
3.18E-05,3,20525,,,
3.09E-05,3,20527,,,
3.12E-05,3,20528,,,
2.41E-05,3,20532,,,
2.46E-05,3,20542,,,
3.04E-05,3,20546,,,
3.00E-05,3,20548,,,
3.08E-05,3,20554,,,
3.76E-05,3,20571,,,
2.97E-05,3,20575,,,
2.34E-05,3,20590,,,
2.36E-05,3,20599,,,
3.17E-05,3,20599,,,
2.37E-05,3,20600,,,
3.14E-05,3,20601,,,
2.36E-05,3,20609,,,
3.34E-05,3,20619,,,
2.46E-05,3,20627,,,
3.08E-05,3,20630,,,
3.18E-05,3,20637,,,
3.19E-05,3,20653,,,
2.40E-05,3,20658,,,
3.14E-05,3,20663,,,
3.10E-05,3,20664,,,
2.81E-05,3,20663,,,
3.14E-05,3,20670,,,
3.16E-05,3,20672,,,
3.26E-05,3,20690,,,
3.09E-05,3,20693,,,
3.27E-05,3,20707,,,
3.12E-05,3,20711,,,
4.38E-05,3,20721,,,
4.20E-05,3,20732,,,
3.17E-05,3,20741,,,
2.98E-05,3,20753,,,
2.97E-05,3,20753,,,
3.71E-05,3,20764,,,
