cas operacie,vlozene cislo,priorita,velkost frontu,,,
9.48E-05,28,7718,20291,,,8.70E+00
5.87E-05,59,6432,20292,,,69703
0.0002534,30,4223,20292,,,
5.47E-05,66,8154,20293,,,
0.000161,60,6442,20294,,,
6.37E-05,66,8233,20295,,,
0.0002433,19,2039,20293,,,
0.0003491,19,1313,20294,,,
6.95E-05,53,2543,20295,,,
4.51E-05,5,4803,20295,,,
0.0007887,50,1556,20296,,,
4.90E-05,31,8193,20297,,,
4.72E-05,22,2914,20298,,,
4.90E-05,34,2072,20299,,,
4.66E-05,37,9875,20300,,,
0.0001612,27,2568,20301,,,
0.000145,34,2484,20302,,,
4.72E-05,4,3232,20302,,,
5.09E-05,52,6340,20302,,,
5.99E-05,16,3384,20301,,,
7.16E-05,35,5049,20302,,,
0.0002454,47,4508,20302,,,
0.0001821,18,6906,20302,,,
0.0004452,33,1490,20303,,,
0.0001312,43,1328,20304,,,
4.63E-05,15,2508,20305,,,
4.67E-05,61,7614,20306,,,
4.73E-05,3,2101,20307,,,
0.0002115,39,1379,20308,,,
0.0001443,19,1860,20308,,,
4.62E-05,67,6575,20309,,,
0.0002106,31,994,20310,,,
4.73E-05,42,5506,20310,,,
4.81E-05,63,3613,20311,,,
0.0001554,9,1396,20312,,,
0.0002023,22,1300,20311,,,
5.13E-05,48,5808,20312,,,
5.30E-05,26,1766,20312,,,
5.88E-05,20,7876,20311,,,
5.09E-05,13,2393,20312,,,
0.0008922,35,19,20312,,,
4.74E-05,51,6242,20313,,,
4.85E-05,48,6666,20313,,,
4.71E-05,52,6741,20313,,,
4.69E-05,65,3328,20314,,,
4.98E-05,22,5760,20313,,,
4.79E-05,67,3740,20312,,,
4.65E-05,18,956,20313,,,
5.24E-05,21,7880,20314,,,
4.92E-05,25,7701,20315,,,
0.0001322,7,3095,20316,,,
4.68E-05,67,6828,20315,,,
0.0001291,62,1488,20315,,,
0.0001285,70,2327,20316,,,
0.0001289,48,1712,20317,,,
4.71E-05,55,9401,20318,,,
4.87E-05,18,4304,20318,,,
5.37E-05,18,7065,20319,,,
0.0003276,35,650,20320,,,
0.0003603,15,1256,20320,,,
0.0002289,66,1480,20321,,,
5.15E-05,22,8873,20322,,,
0.0001406,59,5524,20323,,,
0.0005298,44,509,20324,,,
0.0001376,44,1533,20325,,,
0.0001345,24,6010,20326,,,
4.94E-05,11,8541,20324,,,
5.03E-05,15,4201,20325,,,
0.0001422,69,5378,20326,,,
0.0001412,22,3018,20327,,,
5.14E-05,48,7091,20328,,,
