cas operacie,vybrane cislo,velkost frontu,,,
0.0004723,59,20291,,,6.8238526
0.0003957,66,20294,,,25000
0.0007439,18,20293,,,
0.0003237,66,20292,,,
0.00029,53,20294,,,
0.0002499,25,20301,,,
0.0002492,4,20301,,,
0.0002494,52,20301,,,
0.0002786,30,20300,,,
0.0013746,35,20301,,,
0.0002701,47,20301,,,
0.0002498,4,20307,,,
0.0002471,44,20309,,,
0.0003507,24,20311,,,
0.0002718,63,20310,,,
0.0002723,48,20311,,,
0.0002732,26,20311,,,
0.0002954,39,20310,,,
0.0002495,13,20311,,,
0.0002484,51,20312,,,
0.0002465,48,20312,,,
0.0002471,65,20313,,,
0.0002486,52,20312,,,
0.0002506,22,20312,,,
0.0002503,9,20311,,,
0.0002466,38,20315,,,
0.0002517,25,20314,,,
0.0002513,67,20314,,,
0.0002497,55,20317,,,
0.0002043,9,20319,,,
0.0002624,11,20325,,,
0.0003237,9,20324,,,
0.0002515,7,20323,,,
0.0002557,4,20333,,,
0.0002487,30,20336,,,
0.0002499,31,20335,,,
0.0002477,10,20337,,,
0.0002467,26,20339,,,
0.0003751,22,20343,,,
0.0002723,67,20342,,,
0.0002713,8,20341,,,
0.0002992,51,20340,,,
0.0018043,33,20344,,,
0.0002435,30,20354,,,
0.0002439,18,20356,,,
0.0002404,33,20356,,,
0.0002741,35,20363,,,
0.0002569,52,20363,,,
0.0002627,67,20365,,,
0.0002579,28,20371,,,
0.0002909,19,20375,,,
0.0002853,27,20374,,,
0.0002489,32,20377,,,
0.0003135,42,20380,,,
0.0003682,8,20381,,,
0.0004394,33,20382,,,
0.0004369,12,20381,,,
0.000296,42,20380,,,
0.0005047,2,20380,,,
0.0002687,23,20380,,,
0.0003658,3,20385,,,
0.0003766,8,20384,,,
0.0002765,17,20385,,,
0.0003755,13,20384,,,
0.0003688,40,20384,,,
0.0003329,40,20384,,,
0.0002891,31,20386,,,
0.000284,3,20386,,,
0.0002873,29,20385,,,
0.0002862,12,20390,,,
0.0002927,19,20391,,,
0.000293,1,20390,,,
0.0002777,68,20390,,,
0.0002501,16,20392,,,
0.0003638,40,20395,,,
0.0003658,18,20395,,,
0.0002903,45,20402,,,
0.0003371,36,20401,,,
0.0002928,59,20401,,,
0.0003121,27,20404,,,
0.0003075,5,20403,,,
0.0003475,22,20406,,,
0.0002755,68,20406,,,
0.0005181,44,20427,,,
0.0002746,40,20427,,,
0.0003057,35,20431,,,
0.0003045,66,20431,,,
0.0003017,38,20434,,,
0.000361,61,20436,,,
0.0006111,4,20438,,,
0.0002851,3,20438,,,
0.0004308,19,20438,,,
0.0002633,44,20437,,,
0.0002725,20,20436,,,
0.0002621,59,20436,,,
0.0003015,39,20439,,,
0.000303,23,20440,,,
0.0003481,56,20460,,,
0.0003029,47,20461,,,
0.0003736,25,20462,,,
0.0002921,35,20461,,,
0.0002868,46,20461,,,
0.0003416,10,20461,,,
0.0002684,64,20461,,,
0.0003211,2,20460,,,
0.0002724,42,20459,,,
0.0006236,50,20460,,,
0.0003019,35,20460,,,
0.0002971,20,20460,,,
0.0003026,26,20461,,,
0.0002909,42,20462,,,
0.0003015,29,20467,,,
0.0029493,45,20476,,,
0.0002947,40,20475,,,
0.0002837,44,20474,,,
0.0005679,15,20474,,,
0.0003018,28,20485,,,
0.000299,9,20485,,,
0.0002982,26,20486,,,
0.0002587,15,20491,,,
0.0002697,8,20492,,,
0.0002032,14,20502,,,
0.0002039,12,20503,,,
0.0002038,49,20502,,,
0.000205,54,20503,,,
0.0002038,3,20502,,,
0.0002149,6,20508,,,
0.0002035,2,20507,,,
0.000203,66,20507,,,
0.0002038,28,20510,,,
0.0002027,25,20509,,,
0.0002108,19,20510,,,
0.0002041,31,20521,,,
0.0002029,48,20520,,,
0.0002022,56,20520,,,
0.0003369,16,20521,,,
0.0002816,10,20520,,,
0.0002366,37,20521,,,
0.0002047,59,20520,,,
0.0002036,28,20520,,,
0.000274,4,20521,,,
0.0002709,67,20520,,,
0.0002516,2,20521,,,
0.000427,1,20524,,,
0.0002511,28,20529,,,
