cas operacie,vlozene cislo,priorita,velkost frontu,,,
7.50E-05,17,453,1,,,1.61E+02
0.0001111,5,3336,2,,,35000
0.0001045,27,6042,3,,,
0.000104,14,7906,3,,,
6.19E-05,13,3089,3,,,
0.0001038,4,9935,2,,,
0.000125,9,9605,3,,,
4.00E-05,35,8056,2,,,
0.0002377,33,1253,2,,,
6.38E-05,35,2304,2,,,
0.0001082,29,8084,2,,,
0.0001076,16,3311,2,,,
0.0002312,19,8754,3,,,
0.0002041,11,4517,4,,,
0.0004241,20,3655,5,,,
0.000305,9,2301,6,,,
0.000113,14,304,5,,,
0.000178,35,3757,6,,,
0.0002356,22,3481,6,,,
0.0002627,19,6970,6,,,
0.000233,8,801,6,,,
0.0002611,13,40,7,,,
0.0004359,20,4051,8,,,
0.0005097,25,7578,8,,,
0.0002257,11,4220,8,,,
0.0009229,30,3946,7,,,
0.0002805,7,8674,8,,,
0.000599,30,769,9,,,
0.0007532,7,6781,8,,,
0.0003546,5,5282,9,,,
0.0001799,30,9838,10,,,
0.0003082,35,5068,9,,,
0.0001726,24,1066,4,,,
0.0002832,20,5413,5,,,
0.0002602,31,9323,6,,,
0.000183,34,2113,6,,,
0.0003772,29,6561,7,,,
0.0003573,21,2952,8,,,
0.0001833,26,839,8,,,
0.0002002,29,8121,9,,,
0.0002637,10,3560,10,,,
0.0002,9,2089,9,,,
0.0002858,34,9305,9,,,
0.0007001,24,4615,10,,,
0.0002959,33,5392,11,,,
0.0003794,24,2222,12,,,
0.0004355,27,3821,12,,,
0.0003505,6,8111,13,,,
0.0012679,23,1789,13,,,
0.0002319,23,4340,6,,,
0.0002101,8,9801,5,,,
0.0001081,6,2712,2,,,
6.15E-05,8,806,2,,,
0.0001831,20,6932,3,,,
9.17E-05,21,5004,3,,,
4.69E-05,6,1225,2,,,
9.56E-05,17,946,3,,,
0.0001905,20,8455,4,,,
0.0002172,11,1788,5,,,
0.0001848,25,8555,6,,,
0.0002647,25,8265,6,,,
0.0001836,12,8578,7,,,
0.0003143,26,3038,8,,,
0.0003383,2,1835,9,,,
0.0002759,7,1406,9,,,
0.0003909,1,7128,8,,,
0.0001271,4,8235,4,,,
6.26E-05,3,6225,2,,,
0.0001084,6,8768,2,,,
0.0001079,8,9241,2,,,
0.0001078,13,6233,2,,,
4.84E-05,14,7277,2,,,
6.16E-05,7,2826,2,,,
0.0001085,27,1609,2,,,
0.0002111,34,9947,3,,,
0.0001562,20,4013,2,,,
4.85E-05,1,8294,2,,,
4.67E-05,6,7874,2,,,
4.43E-05,10,1451,2,,,
7.23E-05,23,490,2,,,
9.21E-05,29,484,3,,,
0.0001791,35,8104,3,,,
0.0001412,4,3330,3,,,
0.0002601,35,5477,4,,,
0.0002314,5,8922,5,,,
0.0004622,17,1288,6,,,
0.0002476,11,5138,7,,,
0.0002588,3,8615,4,,,
0.0001155,26,3367,5,,,
0.0002814,10,8307,5,,,
0.0002853,3,8451,6,,,
0.0002592,32,5660,7,,,
0.0002391,16,52,8,,,
0.000511,21,2383,9,,,
0.0003482,33,5855,8,,,
0.0003087,31,3820,9,,,
0.0003051,17,2279,9,,,
0.0003769,7,5810,9,,,
0.0003269,8,172,10,,,
0.0004162,19,2817,11,,,
0.000435,8,1152,12,,,
0.0002462,13,6776,10,,,
0.0002432,7,7820,10,,,
0.0002597,18,776,7,,,
0.0002605,30,6536,7,,,
0.0002858,22,1360,8,,,
0.0003702,17,4446,9,,,
0.0003687,14,5636,10,,,
0.0002943,15,1010,10,,,
0.0003567,1,7656,11,,,
0.0008889,15,5137,11,,,
