cas operacie,vybrane cislo,velkost frontu,,,,,,,
3.81E-05,17,2,,,1.13E+00,,0.0000258,27,1
2.61E-05,5,2,,,34738,,0.0000257,9,1
2.59E-05,13,2,,,,,0.0000258,35,1
2.58E-05,27,1,,,,,0.0001313,33,1
2.59E-05,14,2,,,,,0.0000293,35,1
2.57E-05,9,1,,,,,0.0000292,29,1
2.58E-05,35,1,,,,,0.0000291,30,1
0.0001313,33,1,,,,,0.0001035,6,1
2.93E-05,35,1,,,,,0.0000418,20,1
2.92E-05,29,1,,,,,0.0000412,12,1
4.32E-05,9,5,,,,,0.0000297,3,1
2.99E-05,16,4,,,,,0.0000291,6,1
3.02E-05,14,5,,,,,0.0000288,8,1
2.92E-05,22,5,,,,,0.0000292,13,1
2.98E-05,20,5,,,,,0.000029,14,1
3.87E-05,13,7,,,,,0.0000297,7,1
0.0002235,8,7,,,,,0.0000401,4,1
4.39E-05,35,7,,,,,0.0000338,20,1
4.58E-05,20,6,,,,,0.0000301,1,1
4.21E-05,30,8,,,,,0.0000292,6,1
3.90E-05,30,7,,,,,0.0000292,10,1
2.96E-05,11,9,,,,,0.0000291,34,1
2.93E-05,11,8,,,,,0.000029,26,1
3.80E-05,35,8,,,,,0.0000295,29,1
0.0001047,5,7,,,,,0.0000287,31,1
2.98E-05,7,6,,,,,0.000168,17,1
2.91E-05,19,5,,,,,0.0000338,3,1
2.93E-05,25,4,,,,,0.0000298,4,1
2.90E-05,7,3,,,,,0.0000287,19,1
2.90E-05,24,5,,,,,0.0000289,11,1
2.93E-05,34,7,,,,,0.0000288,15,1
2.94E-05,26,9,,,,,0.0000289,11,1
2.90E-05,21,8,,,,,0.0000294,30,1
3.79E-05,9,8,,,,,0.0000422,11,1
2.92E-05,24,11,,,,,0.0000403,26,1
2.91E-05,10,12,,,,,0.0000343,25,1
2.97E-05,23,12,,,,,0.0000291,19,1
3.39E-05,27,11,,,,,0.000029,19,1
2.90E-05,24,10,,,,,0.0000294,2,1
2.91E-05,33,9,,,,,0.0000413,33,1
2.94E-05,20,8,,,,,0.0000293,18,1
2.90E-05,29,7,,,,,0.0000291,24,1
2.88E-05,6,6,,,,,0.0000416,31,1
2.87E-05,29,5,,,,,0.000029,26,1
2.88E-05,23,5,,,,,0.0000303,19,1
2.89E-05,19,4,,,,,0.0000291,15,1
3.29E-05,34,4,,,,,0.0000381,17,2
2.91E-05,31,3,,,,,0.0000261,5,2
2.90E-05,8,2,,,,,0.0000259,13,2
2.91E-05,30,1,,,,,0.0000259,14,2
0.0001035,6,1,,,,,0.000029,8,2
3.90E-05,8,2,,,,,0.000039,8,2
4.02E-05,21,2,,,,,0.0000402,21,2
4.18E-05,20,1,,,,,0.00004,25,2
3.17E-05,17,5,,,,,0.0000397,27,2
3.82E-05,6,8,,,,,0.0000411,29,2
3.67E-05,7,8,,,,,0.0000287,23,2
4.56E-05,11,7,,,,,0.0000298,5,2
4.27E-05,2,7,,,,,0.0000334,21,2
4.35E-05,26,6,,,,,0.0000292,10,2
4.20E-05,1,5,,,,,0.0000291,8,2
4.00E-05,25,4,,,,,0.0000281,10,2
3.90E-05,20,3,,,,,0.0000998,25,2
4.06E-05,4,3,,,,,0.0000296,5,2
4.00E-05,25,2,,,,,0.0001595,10,2
4.12E-05,12,1,,,,,0.0000293,22,2
2.97E-05,3,1,,,,,0.0000379,34,2
2.91E-05,6,1,,,,,0.0000295,18,2
2.88E-05,8,1,,,,,0.0000338,1,2
2.92E-05,13,1,,,,,0.0000295,17,2
2.90E-05,14,1,,,,,0.0000292,33,2
2.97E-05,7,1,,,,,0.0000295,19,2
3.97E-05,27,2,,,,,0.0000289,9,2
4.01E-05,4,1,,,,,0.0000292,25,2
3.38E-05,20,1,,,,,0.000036,28,2
3.01E-05,1,1,,,,,0.0003413,3,2
2.92E-05,6,1,,,,,0.0000306,6,2
2.92E-05,10,1,,,,,0.0000291,13,2
4.11E-05,29,2,,,,,0.0000296,8,2
2.87E-05,23,2,,,,,0.0000289,23,2
2.99E-05,17,6,,,,,0.0000292,23,2
2.89E-05,4,5,,,,,0.000029,10,2
2.89E-05,11,4,,,,,0.0000433,1,2
2.87E-05,35,3,,,,,0.0000295,14,2
2.96E-05,26,4,,,,,0.0000295,17,2
