cas operacie,cislo,velkost frontu,,,
3.10E-05,22,1,,,6.87E-01
2.98E-05,22,1,,,19985
3.01E-05,22,1,,,
2.94E-05,32,3,,,
2.97E-05,12,2,,,
3.79E-05,39,3,,,
2.37E-05,12,2,,,
2.36E-05,12,2,,,
3.05E-05,11,6,,,
2.92E-05,11,6,,,
3.18E-05,16,6,,,
3.09E-05,45,12,,,
3.45E-05,16,14,,,
3.35E-05,43,15,,,
3.25E-05,43,15,,,
3.37E-05,4,16,,,
3.49E-05,5,19,,,
3.06E-05,49,25,,,
3.04E-05,17,26,,,
3.07E-05,17,26,,,
3.19E-05,49,28,,,
3.01E-05,49,28,,,
3.06E-05,49,28,,,
2.35E-05,31,31,,,
2.35E-05,12,35,,,
2.34E-05,12,35,,,
2.37E-05,24,33,,,
2.39E-05,25,36,,,
2.38E-05,24,36,,,
2.40E-05,10,35,,,
3.05E-05,21,37,,,
3.15E-05,21,37,,,
3.20E-05,41,37,,,
4.11E-05,6,34,,,
3.10E-05,6,34,,,
2.83E-05,1,34,,,
2.75E-05,3,38,,,
2.40E-05,33,41,,,
2.36E-05,15,43,,,
2.36E-05,15,43,,,
3.02E-05,27,48,,,
3.01E-05,46,43,,,
3.03E-05,46,46,,,
3.03E-05,6,45,,,
3.00E-05,46,44,,,
3.01E-05,5,44,,,
2.36E-05,35,48,,,
2.36E-05,26,48,,,
2.33E-05,12,49,,,
2.33E-05,12,49,,,
2.36E-05,12,50,,,
2.35E-05,22,54,,,
2.45E-05,30,55,,,
3.12E-05,15,62,,,
3.32E-05,15,62,,,
2.39E-05,16,67,,,
2.78E-05,15,72,,,
2.41E-05,15,72,,,
3.02E-05,8,73,,,
2.37E-05,8,73,,,
2.34E-05,50,76,,,
2.32E-05,50,76,,,
2.95E-05,7,77,,,
2.39E-05,48,79,,,
2.40E-05,48,79,,,
2.35E-05,24,77,,,
3.25E-05,24,79,,,
3.50E-05,26,78,,,
3.07E-05,21,78,,,
2.71E-05,21,79,,,
3.21E-05,50,85,,,
2.99E-05,32,88,,,
2.95E-05,8,89,,,
2.98E-05,8,90,,,
3.01E-05,8,90,,,
2.99E-05,8,91,,,
2.95E-05,8,92,,,
2.97E-05,8,94,,,
2.89E-05,43,93,,,
3.23E-05,25,95,,,
3.01E-05,25,95,,,
3.27E-05,25,96,,,
3.04E-05,24,95,,,
3.08E-05,24,95,,,
3.13E-05,29,99,,,
3.62E-05,29,99,,,
3.52E-05,24,99,,,
4.27E-05,33,99,,,
3.29E-05,12,100,,,
3.05E-05,27,105,,,
3.45E-05,19,107,,,
3.21E-05,43,111,,,
3.00E-05,22,114,,,
2.95E-05,18,115,,,
2.78E-05,41,117,,,
3.60E-05,22,116,,,
2.94E-05,44,115,,,
3.80E-05,8,115,,,
3.35E-05,13,119,,,
3.57E-05,4,118,,,
3.38E-05,29,119,,,
3.47E-05,29,121,,,
3.43E-05,29,121,,,
3.08E-05,49,122,,,
3.07E-05,49,123,,,
3.03E-05,4,122,,,
3.24E-05,45,126,,,
3.12E-05,45,128,,,
3.08E-05,18,128,,,
3.01E-05,18,129,,,
2.34E-05,18,130,,,
2.34E-05,11,129,,,
2.35E-05,6,129,,,
2.35E-05,32,130,,,
2.34E-05,42,131,,,
2.85E-05,14,132,,,
3.00E-05,42,134,,,
3.01E-05,42,134,,,
3.01E-05,42,135,,,
2.39E-05,42,137,,,
2.39E-05,32,136,,,
2.39E-05,32,136,,,
2.36E-05,32,136,,,
2.35E-05,6,137,,,
2.36E-05,27,137,,,
2.34E-05,9,137,,,
2.34E-05,30,151,,,
2.35E-05,30,151,,,
2.35E-05,30,151,,,
2.34E-05,30,151,,,
2.34E-05,30,151,,,
2.36E-05,4,147,,,
2.36E-05,4,147,,,
2.33E-05,4,147,,,
0.0001412,2,146,,,
4.74E-05,21,145,,,
3.12E-05,5,146,,,
3.27E-05,5,147,,,
4.09E-05,42,148,,,
2.39E-05,45,151,,,
2.40E-05,45,151,,,
2.40E-05,4,151,,,
2.42E-05,16,152,,,
2.42E-05,4,153,,,
2.36E-05,12,153,,,
2.36E-05,3,152,,,
2.39E-05,45,153,,,
3.28E-05,45,154,,,
2.37E-05,6,161,,,
2.34E-05,6,161,,,
2.36E-05,6,161,,,
2.37E-05,43,160,,,
2.35E-05,43,164,,,
2.90E-05,39,165,,,
3.04E-05,43,164,,,
3.04E-05,21,166,,,
3.09E-05,5,165,,,
2.99E-05,6,168,,,
3.03E-05,7,170,,,
