cas operacie,vlozene cislo,priorita,velkost frontu,,,
6.01E-05,1,2450,1,,,2.64E+01
0.0001642,22,8382,2,,,50000
0.00017,36,5780,3,,,
4.90E-05,2,7949,2,,,
4.93E-05,7,4361,2,,,
5.12E-05,12,7175,2,,,
5.00E-05,32,6369,3,,,
4.87E-05,39,531,3,,,
0.00017,22,2514,4,,,
0.0002086,45,4049,4,,,
0.0001275,29,8093,3,,,
6.15E-05,26,7006,4,,,
0.0001782,11,1847,5,,,
0.0001958,49,2458,6,,,
0.0001898,21,7173,7,,,
0.0001936,3,6671,7,,,
8.45E-05,16,4356,6,,,
0.0002026,32,6037,7,,,
0.0001822,9,6036,8,,,
0.0001816,15,1557,9,,,
0.0001865,10,6139,9,,,
0.0001048,38,1706,10,,,
0.0001924,45,3041,11,,,
0.0001966,1,6693,12,,,
0.0002222,14,3703,12,,,
0.0001108,49,613,12,,,
0.0002318,7,6173,12,,,
0.0002332,37,8987,12,,,
0.0001228,14,1381,13,,,
0.0002329,15,7007,14,,,
0.000247,35,8166,15,,,
0.0002331,30,7407,14,,,
0.0001119,43,1836,15,,,
0.0002453,4,4408,16,,,
0.0003375,24,5440,17,,,
0.0002468,19,4407,18,,,
0.0002405,49,8319,17,,,
0.0001506,22,393,18,,,
0.0002448,46,4698,19,,,
0.0001558,5,173,19,,,
0.0002134,19,5805,20,,,
0.0001703,5,6973,21,,,
0.0001053,16,1908,21,,,
0.000505,3,6492,21,,,
0.0001053,49,4039,21,,,
0.0001933,10,5723,22,,,
0.001748,40,3599,23,,,
0.0003298,6,5822,24,,,
0.0002581,39,9854,24,,,
0.0002598,40,9477,25,,,
0.0001378,26,3369,26,,,
0.0001364,17,152,26,,,
0.0002506,17,9103,27,,,
0.000262,12,4865,28,,,
0.0002537,23,5317,28,,,
0.0001296,31,3011,29,,,
0.0002048,24,4737,30,,,
0.0001941,49,6524,31,,,
0.0001934,40,5381,31,,,
0.0002173,25,5275,32,,,
0.0001936,20,8817,30,,,
0.0001937,3,9375,31,,,
0.0002155,47,6120,32,,,
0.0003071,45,9879,33,,,
0.0001273,45,1712,34,,,
0.0001947,40,7506,35,,,
0.000194,31,6495,35,,,
0.0001944,6,5894,32,,,
0.0001941,17,6449,33,,,
0.0001275,50,5345,34,,,
0.0002075,25,1518,35,,,
0.0003197,50,6774,36,,,
0.0001288,22,1109,37,,,
0.0001279,28,429,36,,,
0.000288,1,5868,37,,,
0.0001978,45,8675,38,,,
0.0001288,21,2832,36,,,
0.000376,41,3683,37,,,
0.0001764,33,356,38,,,
0.00027,9,3191,38,,,
0.0001628,49,1542,39,,,
0.0002033,15,487,40,,,
0.0003131,21,8737,41,,,
0.0003013,15,1082,42,,,
0.0002546,25,7755,34,,,
0.0002336,42,7642,34,,,
0.0001587,24,3956,35,,,
0.000148,3,714,36,,,
0.0002253,33,1450,37,,,
0.0002255,26,4980,38,,,
0.0004821,50,839,38,,,
0.0002006,19,6447,39,,,
0.0002178,4,8367,40,,,
0.0002238,46,4454,41,,,
0.0001289,19,375,42,,,
0.0002168,5,4476,41,,,
0.000194,24,1909,42,,,
0.0002005,41,1635,43,,,
0.0001286,15,800,43,,,
0.0001617,27,1034,43,,,
0.0002389,29,9410,44,,,
0.0005235,3,9167,45,,,
0.0001707,21,1031,46,,,
0.000282,22,4954,47,,,
0.0002506,21,5176,48,,,
0.0002779,35,2667,49,,,
0.0001701,1,1221,46,,,
0.0001644,6,3467,44,,,
0.0001657,46,1339,45,,,
0.0002543,31,9334,46,,,
0.0002507,10,3270,47,,,
0.0001686,17,3477,45,,,
0.0002822,6,9400,44,,,
0.0001661,11,1007,44,,,
0.0001656,48,45,45,,,
0.0002772,35,9198,44,,,
0.000159,35,4438,44,,,
0.0001757,46,1115,45,,,
0.0002042,6,4945,46,,,
0.0001934,39,9483,46,,,
0.0002104,16,7152,47,,,
0.0002156,26,9471,48,,,
0.0002547,21,8127,48,,,
0.0002147,37,8918,49,,,
0.0001277,49,2163,49,,,
0.0001372,12,3225,49,,,
0.0002152,22,4725,50,,,
0.0001268,21,1215,51,,,
0.0002158,3,9683,51,,,
0.0001571,22,1661,52,,,
0.0002149,19,7398,53,,,
0.0002132,26,9459,54,,,
0.0001926,39,7008,54,,,
0.0003024,45,2617,54,,,
0.0001526,15,2810,53,,,
0.0002246,9,2641,54,,,
0.0002248,30,836,55,,,
0.0002974,42,3003,55,,,
0.0002376,28,7864,56,,,
0.000497,3,7262,57,,,
0.000477,31,8548,58,,,
0.0003543,8,3092,59,,,
0.0003485,31,6130,60,,,
0.0001663,42,2373,60,,,
0.0003284,45,9996,61,,,
0.0003421,22,8527,62,,,
0.0005062,12,2983,63,,,
0.000244,26,2309,64,,,
0.0005858,37,4265,63,,,
0.0002777,16,1926,64,,,
0.0004305,14,7151,65,,,
0.0002172,46,6604,66,,,
0.0002247,21,6481,67,,,
0.0002169,16,7777,68,,,
0.0002178,28,8329,69,,,
0.0002169,37,4818,70,,,
0.0002591,45,5702,71,,,
0.0002213,27,7441,71,,,
0.0002426,46,5349,72,,,
0.000217,27,9687,72,,,
0.0002533,2,9318,73,,,
0.0002592,35,8196,74,,,
0.0002206,47,3782,75,,,
0.0002385,21,9550,74,,,
0.0002201,3,3498,75,,,
0.0001493,50,1406,76,,,
0.0002157,24,4733,76,,,
0.0002161,2,7975,77,,,
0.0003128,6,9401,76,,,
0.0001505,34,2405,77,,,
0.0001932,7,47,77,,,
0.0002987,48,415,78,,,
0.0003015,46,5453,79,,,
0.0002717,13,8120,78,,,
0.0003205,37,6727,78,,,
0.0001783,5,2920,79,,,
0.0002171,48,3539,80,,,
0.0001501,24,1764,79,,,
0.0001501,14,981,78,,,
0.0002389,30,5695,79,,,
0.0002864,6,9559,80,,,
0.0003816,47,9817,78,,,
0.0002988,38,8490,79,,,
0.0002931,47,9231,79,,,
0.0006581,5,6113,80,,,
0.0001818,29,2945,81,,,
0.0001895,50,804,82,,,
0.000279,5,9695,83,,,
0.0003331,11,9905,84,,,
0.0004456,21,2943,85,,,
0.0002938,13,5119,86,,,
0.0001803,50,474,87,,,
0.0002518,45,1931,88,,,
0.0002809,17,4765,89,,,
0.0002838,32,2186,88,,,
0.0002992,20,3402,89,,,
0.0001908,8,238,89,,,
0.0002788,18,4163,90,,,
0.0002878,20,247,91,,,
0.0003042,18,9487,92,,,
0.0002704,43,1710,93,,,
0.0002989,4,9921,94,,,
0.0003037,15,7765,95,,,
0.0002983,40,6979,93,,,
0.0002216,11,1090,94,,,
0.0003153,24,3799,95,,,
0.0002171,40,9347,95,,,
0.0002412,24,5029,94,,,
0.0001507,2,2711,95,,,
