cas operacie,vybrane cislo,velkost frontu,,,
6.00E-05,1,2,,,1.08E+00
3.10E-05,36,1,,,29837
3.06E-05,2,1,,,
3.11E-05,7,1,,,
2.98E-05,32,2,,,
3.40E-05,39,3,,,
2.49E-05,22,3,,,
2.41E-05,45,2,,,
3.04E-05,11,6,,,
3.34E-05,49,6,,,
3.12E-05,3,5,,,
2.98E-05,15,8,,,
3.17E-05,38,11,,,
3.19E-05,45,11,,,
3.15E-05,49,11,,,
3.02E-05,14,11,,,
3.55E-05,14,14,,,
3.40E-05,16,13,,,
3.48E-05,43,17,,,
3.32E-05,19,16,,,
3.68E-05,22,18,,,
2.39E-05,5,20,,,
2.88E-05,16,20,,,
2.46E-05,4,20,,,
3.00E-05,40,23,,,
3.11E-05,26,25,,,
3.08E-05,17,27,,,
2.40E-05,31,30,,,
2.65E-05,49,31,,,
2.46E-05,46,30,,,
2.41E-05,24,29,,,
2.39E-05,45,34,,,
2.40E-05,12,34,,,
8.92E-05,25,33,,,
3.75E-05,23,32,,,
2.57E-05,40,31,,,
2.43E-05,22,36,,,
2.39E-05,25,35,,,
2.49E-05,28,37,,,
2.46E-05,50,36,,,
2.44E-05,24,35,,,
3.24E-05,33,37,,,
3.24E-05,15,41,,,
3.12E-05,15,40,,,
3.14E-05,49,39,,,
3.28E-05,21,38,,,
3.24E-05,9,37,,,
3.20E-05,41,36,,,
2.96E-05,10,35,,,
2.82E-05,19,34,,,
3.21E-05,6,33,,,
2.81E-05,1,33,,,
2.82E-05,3,37,,,
2.47E-05,19,41,,,
2.41E-05,50,40,,,
2.41E-05,33,42,,,
2.39E-05,15,42,,,
3.11E-05,21,48,,,
3.09E-05,27,47,,,
3.09E-05,41,46,,,
3.29E-05,24,45,,,
3.10E-05,1,45,,,
3.08E-05,35,44,,,
3.08E-05,24,43,,,
3.08E-05,46,46,,,
3.11E-05,10,45,,,
3.08E-05,6,44,,,
3.08E-05,17,44,,,
3.08E-05,46,43,,,
3.11E-05,5,43,,,
3.14E-05,48,44,,,
3.10E-05,11,43,,,
3.03E-05,22,43,,,
2.41E-05,46,45,,,
3.33E-05,35,47,,,
2.40E-05,6,48,,,
2.39E-05,49,48,,,
2.39E-05,21,50,,,
2.38E-05,22,53,,,
2.37E-05,12,53,,,
3.01E-05,45,53,,,
6.11E-05,22,52,,,
2.51E-05,30,54,,,
3.09E-05,9,59,,,
3.11E-05,26,63,,,
3.31E-05,42,62,,,
3.86E-05,16,70,,,
2.49E-05,15,71,,,
3.49E-05,12,74,,,
