cas operacie,cislo,velkost frontu,,,
3.10E-05,56,20170,,,1.79E-01
3.17E-05,37,20170,,,5000
2.72E-05,17,20179,,,
3.16E-05,44,20200,,,
2.51E-05,67,20204,,,
3.15E-05,48,20207,,,
9.99E-05,12,20225,,,
3.01E-05,59,20229,,,
3.22E-05,13,20243,,,
2.98E-05,13,20249,,,
3.03E-05,69,20254,,,
3.13E-05,9,20268,,,
3.37E-05,23,20289,,,
2.41E-05,59,20298,,,
3.38E-05,17,20301,,,
3.92E-05,36,20301,,,
3.10E-05,36,20310,,,
3.05E-05,19,20317,,,
3.05E-05,19,20317,,,
2.85E-05,9,20370,,,
3.07E-05,9,20378,,,
2.43E-05,12,20400,,,
2.40E-05,12,20400,,,
3.07E-05,17,20403,,,
3.14E-05,17,20403,,,
4.15E-05,20,20410,,,
3.36E-05,32,20422,,,
2.92E-05,51,20443,,,
2.43E-05,51,20445,,,
2.37E-05,51,20449,,,
3.04E-05,30,20475,,,
3.08E-05,68,20484,,,
3.06E-05,22,20491,,,
3.05E-05,2,20495,,,
3.21E-05,46,20498,,,
2.96E-05,46,20505,,,
2.97E-05,11,20503,,,
3.17E-05,55,20538,,,
3.09E-05,27,20542,,,
3.75E-05,67,20559,,,
3.22E-05,44,20572,,,
2.95E-05,28,20590,,,
3.04E-05,57,20603,,,
3.14E-05,12,20627,,,
3.16E-05,12,20633,,,
3.28E-05,42,20632,,,
3.07E-05,33,20636,,,
3.08E-05,64,20639,,,
3.04E-05,62,20643,,,
3.07E-05,16,20651,,,
3.21E-05,46,20661,,,
3.29E-05,6,20661,,,
3.08E-05,47,20663,,,
3.05E-05,25,20667,,,
3.01E-05,25,20669,,,
4.07E-05,7,20699,,,
3.14E-05,61,20698,,,
2.43E-05,37,20717,,,
3.19E-05,1,20731,,,
3.05E-05,53,20772,,,
3.24E-05,34,20788,,,
4.21E-05,59,20790,,,
2.99E-05,59,20794,,,
3.23E-05,43,20802,,,
3.01E-05,66,20804,,,
3.09E-05,37,20802,,,
3.42E-05,37,20805,,,
0.0001185,9,20811,,,
2.85E-05,44,20833,,,
3.16E-05,70,20842,,,
6.84E-05,49,20846,,,
3.19E-05,2,20847,,,
3.37E-05,62,20876,,,
4.65E-05,25,20886,,,
3.10E-05,27,20887,,,
3.23E-05,35,20893,,,
3.19E-05,17,20936,,,
2.96E-05,31,20936,,,
3.09E-05,69,20942,,,
3.12E-05,47,20961,,,
2.89E-05,18,20967,,,
3.64E-05,11,20985,,,
3.85E-05,25,20991,,,
2.80E-05,54,20996,,,
3.01E-05,54,20998,,,
2.87E-05,69,21004,,,
3.26E-05,28,21015,,,
2.98E-05,63,21033,,,
0.000104,24,21040,,,
4.13E-05,37,21056,,,
3.49E-05,47,21074,,,
3.13E-05,11,21085,,,
6.07E-05,9,21098,,,
3.21E-05,1,21117,,,
3.11E-05,13,21136,,,
2.84E-05,47,21143,,,
0.0002684,18,21145,,,
3.05E-05,67,21145,,,
3.46E-05,54,21156,,,
3.06E-05,3,21162,,,
3.04E-05,61,21164,,,
0.0001307,58,21187,,,
3.04E-05,1,21195,,,
3.09E-05,3,21193,,,
0.0014591,41,21218,,,
2.39E-05,11,21226,,,
0.000238,46,21234,,,
3.04E-05,30,21262,,,
3.13E-05,30,21263,,,
4.45E-05,30,21264,,,
3.06E-05,30,21264,,,
3.13E-05,30,21270,,,
3.35E-05,51,21277,,,
3.49E-05,19,21284,,,
2.38E-05,44,21298,,,
3.11E-05,38,21304,,,
3.28E-05,38,21305,,,
2.78E-05,2,21306,,,
3.67E-05,10,21319,,,
3.13E-05,10,21325,,,
3.13E-05,27,21329,,,
3.17E-05,58,21340,,,
3.15E-05,58,21342,,,
2.42E-05,39,21345,,,
3.83E-05,17,21355,,,
3.95E-05,70,21356,,,
3.23E-05,70,21361,,,
3.20E-05,29,21368,,,
3.05E-05,61,21407,,,
3.38E-05,36,21419,,,
3.17E-05,41,21429,,,
3.14E-05,36,21473,,,
3.41E-05,37,21475,,,
2.85E-05,66,21478,,,
2.98E-05,37,21478,,,
3.18E-05,37,21481,,,
3.13E-05,5,21488,,,
3.41E-05,36,21506,,,
3.05E-05,23,21506,,,
3.04E-05,5,21507,,,
3.07E-05,5,21507,,,
3.38E-05,24,21528,,,
3.50E-05,66,21530,,,
3.09E-05,35,21540,,,
2.98E-05,70,21549,,,
2.98E-05,24,21601,,,
3.13E-05,24,21602,,,
