cas operacie,vlozene cislo,priorita,velkost frontu,,,
0.000533,63,3231,20164,,,40.8956466
0.0005149,21,5165,20165,,,70000
0.0005379,1,6029,20165,,,
0.0004356,59,5863,20165,,,
0.0004259,40,2563,20166,,,
0.0004279,60,6533,20167,,,
0.0004443,11,3008,20166,,,
0.0003978,32,5051,20167,,,
0.0007395,48,9257,20164,,,
0.0017973,13,4646,20165,,,
0.0008744,51,3445,20166,,,
0.0066375,53,2291,20165,,,
0.001231,6,8757,20166,,,
0.0006259,44,6707,20165,,,
0.0004664,18,3464,20165,,,
0.0003793,54,861,20166,,,
0.0004661,18,3711,20165,,,
0.0004957,49,8141,20166,,,
0.0005191,45,3433,20165,,,
0.0004218,56,1399,20166,,,
0.0005375,28,4278,20167,,,
0.0005162,11,2587,20168,,,
0.0008003,50,7789,20169,,,
0.0006338,56,1738,20170,,,
0.0005419,31,3761,20171,,,
0.0005553,67,7117,20170,,,
0.0005733,14,7981,20171,,,
0.0007453,29,2895,20170,,,
0.0004121,44,1704,20171,,,
0.0005197,26,7011,20172,,,
0.0025552,30,5539,20173,,,
0.0012064,51,6575,20174,,,
0.0006904,28,8081,20175,,,
0.0005231,17,9767,20176,,,
0.0004238,17,750,20177,,,
0.0004924,7,1715,20178,,,
0.0004746,5,8031,20179,,,
0.0005682,15,1894,20177,,,
0.0006477,53,4969,20177,,,
0.0004426,16,1565,20177,,,
0.00033,41,535,20178,,,
0.0004886,38,628,20179,,,
0.0004137,4,4873,20180,,,
0.0004039,18,7114,20181,,,
0.0005115,31,2762,20182,,,
0.0005182,44,2888,20183,,,
0.0005485,6,2641,20184,,,
0.0006076,24,9676,20185,,,
0.0006091,60,7960,20186,,,
0.0004917,25,5372,20187,,,
0.0005595,3,8852,20188,,,
0.0007667,37,4746,20189,,,
0.0010675,61,2586,20190,,,
0.0012813,69,3577,20191,,,
0.0008231,11,6975,20190,,,
0.0004338,18,1820,20189,,,
0.0005317,44,2685,20189,,,
0.0005084,51,6565,20190,,,
0.0004894,40,6364,20191,,,
0.0003794,42,1293,20192,,,
0.000381,50,2476,20192,,,
0.0004964,66,3684,20193,,,
0.0004057,46,1435,20191,,,
0.0005174,18,6901,20192,,,
0.0005543,41,8457,20193,,,
0.0006514,53,7163,20194,,,
0.0004247,22,243,20195,,,
0.0004997,33,5129,20196,,,
0.0005565,66,8672,20197,,,
0.0006472,36,9627,20198,,,
0.0009637,50,1733,20199,,,
0.0005866,3,7882,20200,,,
0.0006432,51,8511,20200,,,
0.000496,29,2496,20200,,,
0.0006997,69,3933,20198,,,
0.0006472,23,9739,20199,,,
0.0004391,7,1893,20200,,,
0.0005416,16,6758,20200,,,
0.0005107,2,3031,20201,,,
0.0005498,24,4074,20201,,,
0.0004404,67,2062,20202,,,
0.0005741,55,7077,20203,,,
0.0006598,40,4149,20204,,,
0.0004862,54,3963,20205,,,
0.0006931,66,9935,20206,,,
0.000703,60,9980,20207,,,
0.0004929,18,3653,20208,,,
0.0005604,50,5921,20209,,,
0.0005588,35,5668,20208,,,
0.0008721,29,6122,20209,,,
0.0004854,19,336,20210,,,
0.0005345,56,8144,20209,,,
0.0005397,56,9515,20208,,,
0.000533,49,6933,20209,,,
0.0004299,42,5709,20209,,,
0.0004048,64,9162,20210,,,
0.0003341,10,701,20211,,,
0.0003997,57,6989,20210,,,
0.0005946,64,9842,20211,,,
0.0007248,60,9131,20212,,,
0.0005411,54,7639,20212,,,
0.0005449,28,7625,20213,,,
0.0005576,62,7999,20214,,,
0.0006814,2,4975,20215,,,
0.0004369,27,1222,20216,,,
0.0006507,42,2905,20217,,,
0.0005968,31,6814,20217,,,
0.0004394,34,1696,20218,,,
0.0005228,69,7743,20219,,,
0.0004474,40,519,20220,,,
0.0006205,54,7824,20221,,,
0.0005319,44,6840,20221,,,
0.0006156,3,8058,20221,,,
0.0005404,18,3878,20222,,,
0.0005149,64,1389,20222,,,
0.0005606,64,4611,20222,,,
0.0007361,48,4154,20223,,,
0.0004402,12,1331,20224,,,
0.0006435,24,4748,20225,,,
0.0005223,70,1377,20226,,,
0.0008147,12,2398,20226,,,
0.0006741,12,4018,20227,,,
0.000582,6,9870,20227,,,
0.0004446,41,2003,20228,,,
0.0005231,23,3583,20229,,,
0.0005125,29,2713,20230,,,
0.0005123,22,3454,20231,,,
0.0005113,1,6377,20232,,,
0.0004364,11,1756,20229,,,
0.0005357,69,6971,20230,,,
0.0004556,2,3831,20228,,,
0.0004449,59,765,20229,,,
0.000418,26,306,20230,,,
0.0005442,6,6646,20228,,,
0.0004268,12,2451,20229,,,
0.0005096,20,2868,20230,,,
0.0004292,53,1648,20231,,,
0.0005293,10,2906,20232,,,
0.0005948,7,4525,20232,,,
0.0005539,24,7546,20232,,,
0.0004389,54,416,20233,,,
0.0006054,56,6053,20233,,,
0.0006067,37,8920,20233,,,
0.0006222,51,4725,20234,,,
0.0004197,40,363,20235,,,
0.0004709,70,5465,20236,,,
0.0009388,13,3484,20237,,,
0.0013369,69,1962,20238,,,
0.0006234,67,9486,20239,,,
0.0004025,38,7638,20240,,,
0.0004312,22,8560,20240,,,
0.0005348,56,7140,20241,,,
0.0007359,20,8151,20242,,,
0.0006968,69,5272,20242,,,
0.0005963,31,5331,20242,,,
0.0005344,22,7291,20243,,,
0.0004258,49,1627,20244,,,
0.0004739,47,3129,20244,,,
0.000398,55,1576,20245,,,
0.0009023,43,5261,20246,,,
0.0004999,44,5332,20246,,,
0.0005374,30,7499,20247,,,
0.0005369,10,9739,20248,,,
0.000523,45,9089,20249,,,
0.0004283,18,604,20250,,,
0.0005487,22,5997,20250,,,
0.0008333,12,797,20249,,,
0.0007361,57,1170,20250,,,
0.0006616,16,3305,20251,,,
0.0005551,43,2971,20252,,,
0.0006409,10,2145,20252,,,
0.0008363,22,2351,20253,,,
0.0010642,68,1557,20254,,,
0.0007268,24,3345,20252,,,
0.0005146,64,651,20253,,,
0.0006778,38,3701,20254,,,
0.000749,66,7261,20255,,,
0.0004155,69,593,20253,,,
0.0006343,39,2143,20254,,,
0.0006325,34,7897,20254,,,
0.0005311,30,7229,20254,,,
0.0005238,16,7221,20255,,,
0.000547,58,9631,20256,,,
0.0005918,42,5264,20257,,,
0.0004387,28,550,20258,,,
0.0005201,46,5351,20259,,,
0.0012753,69,7562,20260,,,
0.0005157,58,3737,20260,,,
0.0004293,69,2088,20261,,,
0.000428,62,1299,20262,,,
0.0005581,49,6379,20263,,,
0.0005759,66,7965,20264,,,
0.0004318,69,733,20263,,,
0.0005212,25,7751,20263,,,
0.0005429,18,4202,20264,,,
0.0004297,59,443,20265,,,
0.0005333,36,6406,20266,,,
0.0005627,59,7615,20266,,,
0.0005432,52,3809,20266,,,
0.0005016,9,2670,20267,,,
0.0005844,56,8649,20268,,,
0.0008388,70,9541,20269,,,
0.0008191,66,7099,20270,,,
0.000534,51,8580,20271,,,
