cas operacie,vybrane cislo,velkost frontu,,,
3.27E-05,49,20164,,,8.50E-01
3.02E-05,43,20164,,,24989
2.48E-05,50,20166,,,
2.45E-05,3,20165,,,
2.48E-05,26,20166,,,
2.44E-05,38,20165,,,
2.42E-05,15,20164,,,
3.35E-05,14,20163,,,
0.0001094,21,20165,,,
3.15E-05,32,20164,,,
3.71E-05,9,20165,,,
3.83E-05,42,20164,,,
6.12E-05,53,20164,,,
2.81E-05,54,20165,,,
3.25E-05,44,20164,,,
2.83E-05,28,20165,,,
2.74E-05,40,20164,,,
3.24E-05,56,20170,,,
3.17E-05,56,20169,,,
3.61E-05,11,20170,,,
3.24E-05,37,20169,,,
3.05E-05,17,20178,,,
3.75E-05,44,20177,,,
4.20E-05,7,20176,,,
3.21E-05,15,20176,,,
3.48E-05,29,20176,,,
3.51E-05,41,20190,,,
3.03E-05,38,20189,,,
3.13E-05,16,20189,,,
3.14E-05,61,20188,,,
3.32E-05,18,20188,,,
2.79E-05,42,20191,,,
2.82E-05,50,20192,,,
2.82E-05,6,20191,,,
2.82E-05,44,20190,,,
3.21E-05,22,20199,,,
3.57E-05,46,20199,,,
3.05E-05,50,20199,,,
0.0003341,29,20198,,,
0.0001206,31,20197,,,
3.24E-05,7,20199,,,
2.92E-05,44,20200,,,
3.18E-05,67,20208,,,
3.17E-05,11,20207,,,
2.99E-05,19,20209,,,
2.94E-05,2,20208,,,
3.22E-05,9,20208,,,
3.17E-05,63,20207,,,
3.18E-05,48,20208,,,
2.42E-05,10,20210,,,
2.42E-05,45,20209,,,
0.0001222,51,20211,,,
3.08E-05,27,20216,,,
3.59E-05,40,20220,,,
3.21E-05,34,20220,,,
3.00E-05,42,20221,,,
3.35E-05,64,20221,,,
3.21E-05,12,20225,,,
3.21E-05,70,20226,,,
3.31E-05,41,20231,,,
3.10E-05,12,20230,,,
3.08E-05,29,20229,,,
3.04E-05,22,20228,,,
2.47E-05,11,20229,,,
2.42E-05,18,20228,,,
2.48E-05,69,20227,,,
2.97E-05,26,20229,,,
5.46E-05,59,20228,,,
3.09E-05,23,20227,,,
3.09E-05,53,20231,,,
0.0003728,12,20231,,,
3.26E-05,54,20232,,,
3.25E-05,20,20232,,,
9.30E-05,40,20239,,,
3.80E-05,69,20241,,,
3.17E-05,10,20241,,,
3.31E-05,49,20243,,,
3.22E-05,55,20245,,,
0.0001579,18,20249,,,
3.09E-05,47,20249,,,
3.08E-05,13,20248,,,
3.38E-05,12,20251,,,
3.02E-05,57,20253,,,
3.28E-05,68,20252,,,
3.63E-05,10,20251,,,
3.70E-05,64,20254,,,
3.32E-05,22,20253,,,
2.47E-05,43,20252,,,
3.06E-05,69,20253,,,
3.19E-05,39,20253,,,
3.69E-05,28,20259,,,
3.17E-05,62,20263,,,
3.10E-05,69,20262,,,
3.10E-05,69,20262,,,
3.14E-05,59,20265,,,
2.96E-05,16,20265,,,
3.38E-05,9,20270,,,
3.40E-05,33,20277,,,
3.80E-05,42,20276,,,
3.09E-05,24,20279,,,
6.96E-05,24,20282,,,
2.48E-05,40,20286,,,
2.45E-05,55,20285,,,
3.12E-05,4,20288,,,
3.59E-05,67,20289,,,
2.48E-05,53,20296,,,
2.52E-05,20,20298,,,
2.43E-05,56,20297,,,
2.46E-05,23,20296,,,
2.45E-05,59,20299,,,
3.29E-05,45,20298,,,
2.43E-05,18,20299,,,
2.43E-05,42,20299,,,
2.68E-05,33,20300,,,
2.49E-05,59,20299,,,
3.19E-05,29,20302,,,
0.0001628,8,20301,,,
3.22E-05,17,20300,,,
3.19E-05,36,20304,,,
3.10E-05,26,20303,,,
0.0002179,38,20303,,,
3.26E-05,64,20306,,,
3.56E-05,60,20306,,,
3.51E-05,18,20305,,,
3.23E-05,66,20305,,,
3.57E-05,38,20305,,,
3.19E-05,18,20304,,,
3.22E-05,58,20303,,,
3.16E-05,36,20309,,,
3.19E-05,19,20319,,,
3.09E-05,17,20321,,,
3.21E-05,3,20321,,,
3.48E-05,68,20324,,,
3.33E-05,30,20326,,,
3.28E-05,28,20345,,,
0.0002249,26,20351,,,
3.36E-05,29,20351,,,
3.30E-05,58,20350,,,
3.25E-05,49,20349,,,
3.26E-05,51,20348,,,
3.49E-05,29,20351,,,
3.14E-05,22,20350,,,
3.14E-05,54,20351,,,
3.12E-05,43,20350,,,
3.11E-05,17,20350,,,
3.13E-05,48,20352,,,
6.04E-05,42,20351,,,
5.39E-05,12,20352,,,
2.89E-05,16,20352,,,
3.46E-05,68,20367,,,
3.00E-05,4,20370,,,
3.19E-05,55,20376,,,
3.12E-05,9,20377,,,
3.40E-05,5,20378,,,
3.31E-05,3,20377,,,
3.70E-05,56,20377,,,
3.18E-05,13,20379,,,
2.92E-05,42,20383,,,
2.48E-05,67,20388,,,
3.27E-05,6,20394,,,
3.46E-05,51,20393,,,
3.12E-05,54,20394,,,
3.35E-05,58,20396,,,
3.11E-05,51,20395,,,
3.34E-05,61,20394,,,
2.47E-05,12,20399,,,
3.77E-05,56,20402,,,
3.10E-05,14,20402,,,
3.12E-05,67,20401,,,
3.26E-05,45,20403,,,
3.62E-05,20,20413,,,
3.17E-05,16,20413,,,
3.40E-05,17,20412,,,
3.81E-05,54,20411,,,
3.23E-05,50,20422,,,
3.10E-05,38,20421,,,
3.11E-05,64,20420,,,
3.09E-05,21,20421,,,
3.33E-05,11,20422,,,
