cas operacie,vlozene cislo,index prvku,dlzka zoznamu,,
5.93E-05,1,1,2,,4.02E+00
3.14E-05,0,0,2,,
0.0001376,0,0,9,,
0.0005274,9,9,10,,
0.0003586,9,9,10,,
0.0002026,5,5,12,,
0.0001515,2,2,13,,
9.06E-05,0,0,14,,
0.0004159,13,13,14,,
0.0001226,1,1,14,,
0.0002129,4,4,12,,
0.0003104,8,8,12,,
0.000186,3,3,9,,
0.0003653,10,10,11,,
0.0002197,6,6,9,,
0.0002616,6,6,9,,
6.75E-05,2,2,10,,
0.0003302,9,9,13,,
9.09E-05,0,0,13,,
0.0002454,10,10,13,,
0.0002126,4,4,12,,
0.000183,3,3,7,,
0.0001531,4,4,6,,
0.0002402,5,5,7,,
0.0001524,2,2,5,,
0.0001527,2,2,6,,
0.0001829,3,3,6,,
0.0001233,1,1,3,,
9.36E-05,0,0,1,,
3.24E-05,0,0,1,,
0.000154,2,2,3,,
0.0001538,2,2,4,,
0.0001524,2,2,4,,
4.65E-05,1,1,6,,
0.0001222,1,1,5,,
0.000153,2,2,6,,
9.14E-05,0,0,4,,
3.23E-05,0,0,3,,
0.000252,2,2,3,,
9.07E-05,0,0,2,,
9.26E-05,0,0,3,,
9.17E-05,0,0,1,,
3.18E-05,0,0,1,,
9.10E-05,0,0,1,,
9.03E-05,0,0,1,,
2.34E-05,0,0,1,,
2.32E-05,0,0,1,,
2.36E-05,0,0,3,,
9.23E-05,0,0,2,,
0.0001999,0,0,1,,
8.97E-05,0,0,1,,
0.0001262,1,1,4,,
4.49E-05,1,1,3,,
4.57E-05,1,1,3,,
9.60E-05,2,2,6,,
0.000216,4,4,5,,
0.0001535,2,2,6,,
2.96E-05,0,0,1,,
3.41E-05,0,0,1,,
2.88E-05,0,0,1,,
3.43E-05,0,0,1,,
3.40E-05,0,0,1,,
9.10E-05,0,0,4,,
7.11E-05,1,1,3,,
3.27E-05,0,0,7,,
0.0001543,4,4,6,,
0.000243,5,5,6,,
9.29E-05,2,2,6,,
3.50E-05,0,0,5,,
0.0002742,3,3,9,,
0.0001788,7,7,9,,
0.0001856,3,3,8,,
0.0001541,2,2,6,,
0.0002695,4,4,6,,
0.0001512,2,2,6,,
0.0001445,0,0,6,,
0.0001205,1,1,7,,
5.88E-05,1,1,7,,
0.0002393,5,5,6,,
5.06E-05,1,1,6,,
9.22E-05,0,0,6,,
0.000286,7,7,8,,
6.94E-05,2,2,9,,
0.0002832,7,7,9,,
0.0001336,5,5,9,,
9.13E-05,2,2,12,,
0.0001936,3,3,13,,
0.0003608,6,6,14,,
0.0002272,9,9,12,,
0.0001897,7,7,11,,
6.78E-05,2,2,17,,
0.000245,10,10,16,,
0.0004368,14,14,15,,
0.0003904,11,11,15,,
0.0003927,12,12,14,,
0.0002656,11,11,12,,
0.0001044,3,3,11,,
0.0001814,3,3,7,,
0.0006784,6,6,7,,
0.0002629,6,6,7,,
0.0001744,5,5,7,,
0.0001735,3,3,9,,
6.66E-05,1,1,2,,
9.21E-05,0,0,7,,
0.0003596,0,0,6,,
0.00012,3,3,6,,
9.48E-05,2,2,4,,
0.0004139,5,5,8,,
0.0002724,6,6,8,,
0.0001222,1,1,11,,
2.33E-05,0,0,1,,
3.41E-05,0,0,1,,
0.0003251,1,1,4,,
9.39E-05,0,0,3,,
9.70E-05,0,0,1,,
9.17E-05,0,0,1,,
2.34E-05,0,0,1,,
0.0001244,1,1,5,,
0.0002149,4,4,5,,
0.0002151,4,4,6,,
0.0002796,7,7,12,,
9.08E-05,0,0,14,,
