cas operacie,cislo,index prvku,dlzka zoznamu,,
0.0000288,54,0,1,,0.7640847
0.0000357,47,0,2,,
0.000028,50,1,3,,
0.0000302,67,0,1,,
0.0000395,46,0,2,,
0.0000372,85,0,3,,
0.0000411,56,0,2,,
0.0000418,74,0,2,,
0.0000452,88,0,4,,
0.0000495,53,6,9,,
0.0000405,42,7,10,,
0.0000441,48,7,10,,
0.0000437,43,5,10,,
0.0000404,50,8,10,,
0.0000438,84,7,11,,
0.0000397,43,0,11,,
0.0005239,84,5,12,,
0.0000358,69,2,12,,
0.0000288,43,8,12,,
0.0000284,65,2,13,,
0.0000438,42,8,13,,
0.0000283,51,6,13,,
0.0000281,90,0,13,,
0.0000505,56,8,13,,
0.0000317,48,1,14,,
0.0000287,69,0,14,,
0.0000424,66,8,13,,
0.0000291,54,1,13,,
0.0000317,51,1,12,,
0.0000287,86,3,12,,
0.0000522,79,5,11,,
0.0000371,46,0,12,,
0.0000385,81,4,12,,
0.0004991,82,8,12,,
0.0000396,55,5,10,,
0.0000307,73,6,9,,
0.0000285,81,7,9,,
0.000032,49,0,9,,
0.0000283,87,6,9,,
0.0000387,51,0,10,,
0.000032,44,5,9,,
0.0001005,73,8,10,,
0.0000284,43,1,8,,
0.0000315,61,6,10,,
0.0001136,79,7,10,,
0.0000286,77,0,12,,
0.0000283,88,0,10,,
0.0000285,62,1,10,,
0.0000364,59,6,11,,
0.0000322,66,2,11,,
0.0000285,83,5,11,,
0.0000424,74,3,11,,
0.0000314,48,3,11,,
0.0000284,48,7,11,,
0.0000448,56,9,12,,
0.0000301,85,1,12,,
0.000029,73,8,12,,
0.0000284,69,2,12,,
0.000049,78,8,12,,
0.0000398,49,1,12,,
0.0000325,71,10,14,,
0.0000282,52,11,13,,
0.0000284,51,5,12,,
0.0000315,55,1,10,,
0.000041,81,2,7,,
0.0000283,70,5,8,,
0.000029,50,1,7,,
0.0000373,56,4,6,,
0.0000426,81,0,6,,
0.0000418,85,3,6,,
0.0000386,45,0,5,,
0.0000427,72,2,5,,
0.0000382,54,1,4,,
0.0000402,54,2,5,,
0.0000381,79,3,6,,
0.0000282,83,3,6,,
0.0000288,58,3,5,,
0.0000271,58,0,4,,
0.0000287,67,1,3,,
0.0000284,88,4,6,,
0.0000282,52,1,6,,
0.0000561,79,4,6,,
