cas operacie,cislo na indexe,index prvku,dlzka zoznamu,,
2.56E-05,54,0,2,,7.65E-01
3.83E-05,85,0,3,,
4.51E-05,11,1,4,,
6.71E-05,11,6,9,,
0.0005096,53,6,9,,
4.39E-05,42,7,10,,
3.93E-05,18,6,10,,
3.88E-05,43,0,11,,
3.95E-05,84,9,12,,
2.83E-05,50,11,14,,
2.79E-05,5,1,14,,
2.83E-05,48,9,13,,
2.84E-05,48,9,13,,
4.13E-05,20,7,13,,
2.83E-05,48,9,14,,
2.80E-05,69,2,14,,
3.99E-05,65,3,12,,
3.93E-05,79,6,12,,
3.85E-05,66,8,12,,
3.97E-05,84,5,11,,
3.90E-05,81,2,10,,
4.45E-05,48,7,9,,
3.83E-05,82,6,9,,
5.01E-05,82,5,9,,
2.85E-05,81,1,9,,
2.76E-05,87,6,9,,
2.81E-05,49,1,12,,
3.63E-05,1,9,11,,
3.51E-05,20,1,10,,
3.61E-05,55,2,10,,
4.00E-05,49,1,10,,
2.81E-05,82,6,9,,
2.81E-05,44,4,8,,
2.81E-05,55,3,9,,
2.85E-05,51,1,11,,
2.84E-05,73,9,11,,
2.80E-05,61,7,11,,
2.83E-05,20,3,11,,
2.87E-05,20,3,12,,
2.80E-05,11,6,12,,
2.79E-05,44,5,12,,
2.84E-05,79,8,12,,
3.55E-05,79,6,10,,
2.85E-05,11,4,11,,
2.80E-05,62,1,11,,
4.35E-05,66,2,11,,
3.95E-05,73,8,11,,
3.86E-05,11,5,11,,
2.87E-05,12,9,12,,
3.68E-05,73,8,12,,
2.83E-05,11,0,14,,
2.83E-05,49,0,8,,
3.69E-05,56,4,6,,
3.96E-05,56,4,6,,
3.71E-05,81,2,6,,
3.93E-05,50,1,6,,
3.76E-05,50,1,4,,
4.27E-05,85,1,3,,
3.85E-05,85,2,4,,
4.03E-05,54,2,5,,
3.92E-05,85,3,5,,
3.88E-05,5,0,4,,
4.17E-05,19,0,5,,
4.11E-05,54,3,6,,
3.60E-05,85,4,6,,
3.85E-05,85,4,6,,
3.93E-05,79,3,6,,
2.84E-05,79,3,7,,
3.73E-05,56,5,7,,
