cas operacie,vlozene cislo,index prvku,dlzka zoznamu,,,
8.83E-05,6,1,3,,,6.59E-01
0.0001202,15,0,2,,,
9.69E-05,12,0,1,,,
0.0002071,18,1,5,,,
0.0005441,7,2,9,,,
0.0001193,6,3,10,,,
0.0001316,16,0,11,,,
9.70E-05,10,5,12,,,
0.0001247,17,3,13,,,
0.0001323,15,1,11,,,
0.0001212,7,5,11,,,
0.000169,20,1,10,,,
0.0003105,13,0,11,,,
8.72E-05,11,6,11,,,
8.81E-05,17,1,12,,,
0.0001766,11,0,14,,,
0.0001173,14,11,15,,,
0.0001711,10,3,8,,,
9.50E-05,6,4,7,,,
0.0001692,8,2,4,,,
0.0001672,7,2,5,,,
0.0001672,8,3,6,,,
0.0001713,4,0,7,,,
2.43E-05,19,0,1,,,
3.06E-05,3,0,1,,,
3.05E-05,16,0,1,,,
2.42E-05,1,0,1,,,
2.41E-05,20,0,1,,,
0.0001713,13,0,2,,,
8.88E-05,9,0,7,,,
0.0001743,11,0,8,,,
0.000169,5,0,2,,,
0.0001707,1,0,2,,,
2.49E-05,11,0,1,,,
0.0001702,11,0,2,,,
2.63E-05,11,0,1,,,
3.39E-05,20,0,1,,,
0.0001267,5,0,2,,,
2.76E-05,12,0,1,,,
9.68E-05,10,0,3,,,
0.0001708,20,0,2,,,
0.0001739,4,0,3,,,
0.0001702,5,0,2,,,
2.72E-05,4,0,1,,,
9.08E-05,4,0,3,,,
2.58E-05,20,0,1,,,
0.0001688,15,0,3,,,
0.0001751,19,0,4,,,
9.53E-05,13,0,1,,,
0.0001095,2,0,2,,,
0.0001252,18,0,7,,,
0.0001188,6,5,7,,,
0.0001229,4,3,8,,,
0.0001032,11,1,6,,,
0.0001697,8,0,7,,,
0.0008235,5,5,8,,,
8.83E-05,17,4,6,,,
0.0001704,3,0,6,,,
0.0001764,7,1,8,,,
0.0001691,9,4,9,,,
9.33E-05,6,3,10,,,
0.0001695,1,1,6,,,
0.0001699,3,3,8,,,
9.38E-05,10,4,8,,,
0.0001692,11,3,6,,,
0.00017,10,0,7,,,
0.0001765,13,1,7,,,
0.0001696,15,4,8,,,
8.83E-05,2,0,12,,,
9.09E-05,12,1,12,,,
