cas operacie,vlozene cislo,index prvku,dlzka zoznamu,,
0.0001084,8,0,1,,0.6706555
0.0001908,11,0,3,,
0.0001178,20,0,6,,
0.0009249,15,0,7,,
0.0001282,19,0,8,,
0.0002603,5,0,10,,
9.50E-05,11,0,14,,
0.0001275,1,0,12,,
0.0001326,6,0,10,,
0.0001708,3,0,12,,
0.0001693,5,0,10,,
0.0001713,7,0,11,,
0.0004652,5,0,14,,
9.34E-05,11,0,14,,
0.0001733,5,0,9,,
0.0001277,5,0,4,,
0.0001195,20,0,5,,
0.0001213,19,0,5,,
0.0001342,13,0,6,,
0.0001687,15,0,4,,
8.67E-05,20,0,6,,
0.0001699,11,0,5,,
0.0001531,5,0,6,,
0.0001272,7,0,3,,
0.0001262,10,0,3,,
0.0001699,19,0,2,,
0.000126,16,0,2,,
0.0001718,16,0,3,,
0.0001708,12,0,3,,
2.40E-05,4,0,1,,
0.0001703,13,0,3,,
0.0001699,5,0,2,,
9.46E-05,11,0,5,,
0.0001722,7,0,6,,
0.0001681,12,0,6,,
0.0001762,9,0,7,,
8.98E-05,2,0,3,,
0.0001229,17,0,5,,
0.000368,4,0,7,,
0.0001298,18,0,8,,
0.0001679,3,0,8,,
0.0001254,19,0,7,,
0.0001711,15,0,5,,
0.0003335,7,0,6,,
0.0001007,1,0,7,,
0.0001689,10,0,9,,
9.37E-05,12,0,7,,
0.0001248,7,0,8,,
0.0001678,3,0,8,,
0.0001703,20,0,7,,
0.00017,9,0,7,,
0.0001678,15,0,7,,
0.0001708,19,0,7,,
0.0004464,10,0,9,,
0.0002015,19,0,8,,
0.0001752,10,0,7,,
0.0001688,19,0,10,,
0.0001198,6,0,10,,
0.0001734,12,0,11,,
9.03E-05,16,0,11,,
0.0001725,16,0,13,,
0.0001195,15,0,14,,
0.000169,6,0,14,,
0.0001747,3,0,12,,
0.0001117,15,0,13,,
0.0001222,9,0,15,,
8.69E-05,8,0,7,,
0.0001139,9,0,8,,
0.0001117,16,0,10,,
0.000108,4,0,10,,
0.0001225,13,0,6,,
0.0006752,18,0,4,,
0.000247,2,0,7,,
0.0001712,18,0,8,,
0.0001678,1,0,6,,
0.0001691,10,0,7,,
0.0001118,8,0,5,,
8.83E-05,14,0,8,,
0.0001699,1,0,9,,
0.0001887,4,0,10,,
9.21E-05,17,0,12,,
0.0001303,4,0,11,,
0.0001117,7,0,5,,
2.46E-05,11,0,1,,
0.0003997,10,0,4,,
0.0001216,1,0,3,,
2.83E-05,15,0,1,,
0.0001693,10,0,6,,
0.0001736,9,0,8,,
0.0001722,6,0,15,,
0.0001753,2,0,16,,
0.0001292,20,0,14,,
8.66E-05,15,0,14,,
8.91E-05,2,0,10,,
8.76E-05,20,0,11,,
0.0001248,8,0,11,,
9.23E-05,20,0,12,,
0.0001148,2,0,15,,
0.0002047,14,0,16,,
0.0003678,1,0,15,,
0.0001284,5,0,16,,
0.0001805,11,0,18,,
0.0001621,20,0,19,,
0.0001684,9,0,19,,
0.0001233,11,0,18,,
0.0001221,14,0,16,,
0.0001071,14,0,15,,
0.0001276,7,0,12,,
0.0001252,11,0,13,,
0.0001787,13,0,14,,
0.0002298,11,0,15,,
0.0001694,19,0,14,,
0.0001708,10,0,14,,
0.0001742,2,0,12,,
0.0001228,14,0,13,,
9.23E-05,17,0,15,,
0.0001794,19,0,16,,
0.00017,15,0,16,,
0.0001091,9,0,21,,
0.000179,14,0,14,,
0.0001692,4,0,16,,
0.0001772,11,0,16,,
0.000129,7,0,15,,
0.0001692,7,0,17,,
0.0001257,6,0,19,,
0.000121,6,0,20,,
0.0001205,17,0,23,,
0.0001237,4,0,25,,
0.0001704,17,0,26,,
0.0001702,16,0,26,,
0.0001781,8,0,29,,
0.0001731,11,0,32,,
0.0003979,10,0,32,,
0.0001713,15,0,35,,
0.000118,16,0,36,,
8.93E-05,5,0,40,,
0.0001205,17,0,39,,
0.0001163,15,0,40,,
0.0001745,18,0,39,,
0.0001695,1,0,39,,
0.0001708,18,0,37,,
0.000172,14,0,38,,
0.0001244,3,0,39,,
8.85E-05,10,0,41,,
8.93E-05,11,0,40,,
0.0001701,16,0,33,,
0.0001694,20,0,32,,
8.87E-05,5,0,34,,
0.0003686,11,0,35,,
0.0005141,3,0,34,,
0.00012,1,0,32,,
0.0001109,2,0,33,,
0.0001285,13,0,34,,
0.0002935,5,0,29,,
0.000128,10,0,29,,
0.0001211,8,0,31,,
0.0001093,17,0,33,,
0.0001751,5,0,34,,
0.0002424,7,0,34,,
0.0001172,5,0,34,,
0.000254,5,0,35,,
0.0003188,5,0,36,,
0.0001208,2,0,37,,
0.0001118,9,0,34,,
0.0001654,14,0,30,,
0.0001716,15,0,30,,
0.0001691,6,0,31,,
9.92E-05,18,0,29,,
0.0001719,10,0,28,,
8.92E-05,19,0,29,,
9.01E-05,4,0,29,,
0.0001746,4,0,27,,
8.85E-05,20,0,28,,
0.0001246,15,0,29,,
0.0003424,12,0,28,,
0.000174,4,0,29,,
0.0001628,4,0,27,,
0.0001694,14,0,31,,
8.80E-05,8,0,36,,
0.0001703,19,0,36,,
8.86E-05,8,0,32,,
0.000173,6,0,32,,
0.0001693,15,0,32,,
0.0001122,6,0,33,,
0.0001054,14,0,33,,
0.0001836,9,0,33,,
0.0004275,11,0,34,,
0.000168,16,0,33,,
0.0001696,16,0,34,,
0.0001684,5,0,35,,
0.0001727,17,0,39,,
8.96E-05,6,0,37,,
0.0003707,19,0,37,,
0.0016291,19,0,38,,
0.0001376,9,0,43,,
0.0001229,8,0,44,,
0.000136,8,0,41,,
8.83E-05,5,0,41,,
0.000179,16,0,41,,
0.0003844,16,0,38,,
0.000481,19,0,38,,
0.000172,3,0,35,,
0.0001775,5,0,34,,
0.0001723,17,0,36,,
0.0001192,12,0,35,,
0.0001701,11,0,35,,
9.83E-05,10,0,36,,
0.0001695,20,0,36,,
9.28E-05,17,0,38,,
0.0001843,16,0,43,,
