cas operacie,index prvku,dlzka zoznamu,,,,,,
0.0010139,0,2,,0.6903833,,0.0000406,0,0
0.0001175,0,1,,,,0.0000286,0,0
4.06E-05,0,0,,,,0.0000322,0,0
0.0001729,9,13,,,,0.0000285,0,0
0.0001686,12,13,,,,0.0000411,0,0
0.0001299,1,10,,,,0.0000484,0,0
0.0001276,3,10,,,,0.0000301,0,0
0.0001629,4,10,,,,0.0003026,0,0
0.0001479,0,9,,,,0.0000333,0,0
0.0001207,0,9,,,,0.00003,0,0
0.0001254,2,10,,,,0.0000249,0,0
0.0001733,4,8,,,,0.0000245,0,0
0.0008991,13,14,,,,0.0000256,0,0
8.92E-05,2,13,,,,0.0000261,0,0
0.00017,1,8,,,,0.0000372,0,0
0.0001242,5,7,,,,0.0000258,0,0
0.0001746,5,6,,,,0.0000276,0,0
0.000129,5,6,,,,0.0000502,0,0
0.000129,2,4,,,,0.000025,0,0
0.0001702,3,5,,,,0.0000283,0,0
9.07E-05,1,3,,,,0.0000318,0,0
0.0001713,2,3,,,,0.000025,0,0
8.82E-05,0,4,,,,0.0000247,0,0
0.00017,0,2,,,,0.0000248,0,0
0.000169,0,1,,,,0.0000264,0,0
2.86E-05,0,0,,,,0.0000247,0,0
0.0003436,0,5,,,,0.0000252,0,0
0.000173,0,3,,,,0.0000249,0,0
0.0001701,1,2,,,,0.0000259,0,0
0.0001742,1,2,,,,0.0000271,0,0
0.0001718,0,1,,,,0.0000379,0,0
0.0001683,0,1,,,,0.0000609,0,0
3.22E-05,0,0,,,,0.0000419,0,0
0.0001735,0,1,,,,0.0000331,0,0
0.0001262,0,1,,,,0.0000258,0,0
0.000176,0,2,,,,0.0000299,0,0
9.02E-05,0,1,,,,0.0000248,0,0
0.0002524,0,1,,,,0.0000248,0,0
0.0001732,2,3,,,,0.0000249,0,0
0.0001706,1,2,,,,0.000025,0,0
0.0001865,0,1,,,,0.0000245,0,0
2.85E-05,0,0,,,,0.0000249,0,0
0.0001705,0,2,,,,0.0000317,0,0
0.000364,1,4,,,,0.0000325,0,0
9.11E-05,4,7,,,,0.000025,0,0
0.0001779,0,2,,,,0.0000328,0,0
0.0001186,0,1,,,,0.0000304,0,0
4.11E-05,0,0,,,,0.0000261,0,0
4.84E-05,0,0,,,,0.0000378,0,0
0.0001289,1,3,,,,0.000039,0,0
0.0001212,2,7,,,,0.0000247,0,0
0.000124,2,6,,,,0.0000308,0,0
0.0001342,3,7,,,,0.0000257,0,0
0.0001593,2,7,,,,0.0000464,0,0
0.0001755,5,6,,,,0.0000248,0,0
9.29E-05,1,5,,,,0.0000247,0,0
0.000171,0,7,,,,0.0000246,0,0
0.0001258,5,7,,,,0.0000244,0,0
0.0001755,1,6,,,,0.0000249,0,0
0.0005157,0,8,,,,0.0000268,0,0
0.0001186,6,7,,,,0.0000254,0,0
0.0001698,5,7,,,,0.0000308,0,0
0.0001099,5,6,,,,0.0000246,0,0
0.0003354,1,9,,,,0.0000364,0,0
0.0001735,7,12,,,,0.0000246,0,0
0.000206,1,11,,,,0.0000249,0,0
0.0001192,1,13,,,,0.0000247,0,0
0.0001227,3,12,,,,0.0000245,0,0
0.0001771,7,11,,,,0.0000411,0,0
0.0002076,3,10,,,,0.0000261,0,0
0.0001237,10,11,,,,0.0000267,0,0
0.001132,9,14,,,,0.0000259,0,0
0.0001701,1,13,,,,0.0000371,0,0
0.0001799,10,12,,,,0.0000247,0,0
0.0001709,2,9,,,,0.0000263,0,0
0.0001692,5,8,,,,0.000027,0,0
0.0001708,3,8,,,,0.000025,0,0
0.000169,4,7,,,,0.0000291,0,0
0.0001702,4,6,,,,0.0000258,0,0
9.51E-05,2,6,,,,0.0000506,0,0
0.0001698,2,6,,,,0.0000265,0,0
0.0001699,3,5,,,,0.0000249,0,0
0.0005299,6,7,,,,0.0000246,0,0
0.0001167,5,9,,,,0.0000248,0,0
0.0001156,2,7,,,,0.0000259,0,0
0.0001283,2,5,,,,0.0000249,0,0
0.0002106,0,3,,,,0.0000297,0,0
0.0003222,1,2,,,,0.0000387,0,0
0.0001388,0,1,,,,0.0000256,0,0
0.00018,5,8,,,,0.0000249,0,0
0.0002181,2,6,,,,0.0000254,0,0
0.0001168,3,5,,,,0.0000423,0,0
0.0001129,1,4,,,,0.0000275,0,0
0.000179,6,7,,,,0.0000248,0,0
0.0001697,6,8,,,,0.0000247,0,0
0.0002137,7,8,,,,0.0000257,0,0
0.0004099,2,6,,,,0.0000335,0,0
0.0001254,2,4,,,,0.0000248,0,0
0.0010187,0,1,,,,0.0000246,0,0
3.01E-05,0,0,,,,0.0000248,0,0
0.0002306,0,3,,,,0.0000252,0,0
0.0001255,0,1,,,,0.000025,0,0
0.0003026,0,0,,,,0.0000245,0,0
3.33E-05,0,0,,,,0.000025,0,0
3.00E-05,0,0,,,,0.0000257,0,0
0.000118,3,4,,,,0.000026,0,0
8.92E-05,4,6,,,,0.0000386,0,0
0.0001741,5,14,,,,0.0000251,0,0
0.0001717,9,17,,,,0.0000251,0,0
0.0001701,8,15,,,,0.0000308,0,0
0.0001791,1,15,,,,0.0000245,0,0
0.0004648,3,15,,,,0.0000365,0,0
0.0001437,5,13,,,,0.0000246,0,0
0.0006027,3,13,,,,0.0000247,0,0
8.95E-05,3,14,,,,0.0000248,0,0
0.0001714,10,13,,,,0.0000248,0,0
0.0001682,1,12,,,,0.0000245,0,0
0.0001698,5,9,,,,0.0000249,0,0
0.0001272,3,11,,,,0.0000246,0,0
0.0001228,3,9,,,,0.0000246,0,0
0.0001265,1,10,,,,0.0000256,0,0
0.0001164,4,9,,,,0.0000249,0,0
0.0001363,5,14,,,,0.0000642,0,0
0.0008704,13,15,,,,0.0000245,0,0
0.0003068,6,13,,,,0.0000246,0,0
0.0001797,7,15,,,,0.0000296,0,0
0.0001108,8,18,,,,0.0001175,0,1
0.0001209,3,17,,,,0.000169,0,1
0.0001139,2,16,,,,0.0001718,0,1
0.0001229,8,15,,,,0.0001683,0,1
0.0001105,1,15,,,,0.0001735,0,1
0.0001691,10,14,,,,0.0001262,0,1
0.0001687,7,13,,,,0.0000902,0,1
0.0001337,11,12,,,,0.0002524,0,1
0.0005237,1,11,,,,0.0001865,0,1
0.0001768,6,14,,,,0.0001186,0,1
0.0007821,3,12,,,,0.0001388,0,1
0.0001749,2,12,,,,0.0010187,0,1
0.000105,10,16,,,,0.0001255,0,1
0.0001018,15,16,,,,0.0000924,0,1
0.0001785,15,20,,,,0.0000847,0,1
0.0001706,15,17,,,,0.0000841,0,1
0.0001181,13,15,,,,0.0001864,0,1
0.0001723,13,15,,,,0.0001347,0,1
9.27E-05,3,14,,,,0.0001419,0,1
9.20E-05,15,16,,,,0.0000852,0,1
0.0001705,1,14,,,,0.0000839,0,1
0.0001245,7,20,,,,0.0000878,0,1
0.0009963,15,25,,,,0.0000838,0,1
0.0001695,2,24,,,,0.0000836,0,1
0.0001712,0,32,,,,0.0000837,0,1
0.0001788,25,34,,,,0.0000841,0,1
8.93E-05,17,36,,,,0.0000839,0,1
0.0001689,25,34,,,,0.0000837,0,1
0.0001703,3,33,,,,0.0000834,0,1
0.0001695,24,34,,,,0.000084,0,1
9.33E-05,4,34,,,,0.0000837,0,1
0.0001113,16,40,,,,0.0000842,0,1
0.0001714,22,38,,,,0.0000846,0,1
0.0001702,27,39,,,,0.0001279,0,1
0.0001815,14,37,,,,0.0001354,0,1
0.0001709,30,37,,,,0.0000959,0,1
0.0001457,19,35,,,,0.0000838,0,1
9.81E-05,35,36,,,,0.0000851,0,1
0.0001721,35,38,,,,0.0000836,0,1
0.00017,9,35,,,,0.0001037,0,1
0.0001725,15,33,,,,0.0001011,0,1
0.0001705,18,33,,,,0.0000863,0,1
0.0001202,24,33,,,,0.0000846,0,1
0.0001135,5,32,,,,0.0001145,0,1
0.0001011,0,32,,,,0.0000853,0,1
0.0001111,19,32,,,,0.0000834,0,1
0.0003819,4,30,,,,0.0004283,0,1
0.0001296,5,29,,,,0.0000837,0,1
0.0006685,23,28,,,,0.0000918,0,1
0.0006846,22,28,,,,0.0000839,0,1
0.000553,11,27,,,,0.0000839,0,1
0.0001213,15,29,,,,0.0000839,0,1
0.0005691,21,32,,,,0.0000834,0,1
0.0004613,26,34,,,,0.000083,0,1
0.0004303,9,34,,,,0.0000837,0,1
0.0002469,19,34,,,,0.0001301,0,1
0.0004027,30,34,,,,0.0003421,0,1
0.0001288,20,36,,,,0.0001268,0,1
0.0001179,28,35,,,,0.0001215,0,1
0.0001175,3,33,,,,0.0001219,0,1
0.0001298,24,31,,,,0.0000839,0,1
0.0001222,27,30,,,,0.0000847,0,1
0.0001089,18,29,,,,0.0000848,0,1
0.0001701,6,30,,,,0.000085,0,1
0.0001235,2,27,,,,0.0000842,0,1
0.0001748,5,28,,,,0.000085,0,1
0.000117,0,27,,,,0.0001066,0,1
0.0001753,16,28,,,,0.000084,0,1
0.0001254,24,28,,,,0.0000836,0,1
0.0001733,16,27,,,,0.000504,0,1
8.93E-05,19,27,,,,0.0000845,0,1
0.0001303,24,28,,,,0.0000897,0,1
0.0001279,7,27,,,,0.0000836,0,1
9.11E-05,1,26,,,,0.0000843,0,1
0.0001707,15,36,,,,0.000084,0,1
0.0001283,30,34,,,,0.0001021,0,1
0.0001239,27,33,,,,0.0000843,0,1
9.35E-05,26,31,,,,0.0000863,0,1
9.96E-05,26,29,,,,0.0001237,0,1
0.0001329,16,30,,,,0.0000849,0,1
0.0001272,12,29,,,,0.0000845,0,1
0.0001211,10,29,,,,0.0000832,0,1
0.0001217,2,28,,,,0.000091,0,1
0.0001696,28,32,,,,0.000086,0,1
0.0025947,22,33,,,,0.0000852,0,1
0.0001762,7,35,,,,0.0000835,0,1
0.0001694,24,34,,,,0.0000891,0,1
0.001103,36,37,,,,0.0000844,0,1
0.0001304,33,36,,,,0.0000838,0,1
0.0008481,29,33,,,,0.0000837,0,1
0.0001318,20,33,,,,0.0000899,0,1
0.0001822,26,37,,,,0.0000841,0,1
0.0001773,6,37,,,,0.0000857,0,1
0.0001171,26,38,,,,0.000085,0,1
0.000123,39,42,,,,0.0000837,0,1
0.0001768,22,43,,,,0.0000832,0,1
0.0001173,24,40,,,,0.0000845,0,1
0.00017,10,40,,,,0.0000843,0,1
0.0001756,31,40,,,,0.0000836,0,1
8.91E-05,24,37,,,,0.0000836,0,1
0.0001789,22,36,,,,0.0000848,0,1
0.000118,15,35,,,,0.0000837,0,1
0.0001064,32,34,,,,0.0000831,0,1
0.0001211,34,37,,,,0.000091,0,1
0.0001683,7,34,,,,0.0000835,0,1
0.0001705,10,33,,,,0.0000843,0,1
0.0001699,18,37,,,,0.0001141,0,1
0.0001738,11,35,,,,0.000085,0,1
0.0001693,36,37,,,,0.0001126,0,1
8.83E-05,15,40,,,,0.0000834,0,1
8.83E-05,22,39,,,,0.0000839,0,1
0.0001764,5,46,,,,0.0000838,0,1
8.95E-05,32,43,,,,0.0000838,0,1
0.0001224,22,42,,,,0.0000832,0,1
0.0001274,9,40,,,,0.0000834,0,1
0.000175,15,41,,,,0.0000828,0,1
0.0001754,15,41,,,,0.0000834,0,1
0.0001763,34,42,,,,0.000085,0,1
0.0001657,13,41,,,,0.0000846,0,1
0.0001743,12,43,,,,0.000084,0,1
0.0001775,15,42,,,,0.0000851,0,1
0.0001756,1,42,,,,0.0000935,0,1
0.0004115,41,42,,,,0.0000838,0,1
0.0001728,38,41,,,,0.0000835,0,1
0.0006958,14,38,,,,0.0000914,0,1
0.000228,28,38,,,,0.0000845,0,1
0.0001199,8,37,,,,0.0002404,0,1
0.0001216,30,33,,,,0.0000841,0,1
0.0004735,30,32,,,,0.0000838,0,1
0.0001717,27,36,,,,0.0000909,0,1
0.0016726,19,39,,,,0.0000839,0,1
0.000221,28,39,,,,0.0000871,0,1
0.0001279,15,41,,,,0.0000845,0,1
0.0001174,33,39,,,,0.0000843,0,1
0.0002625,33,38,,,,0.0000837,0,1
0.0003634,15,37,,,,0.0000842,0,1
0.0001156,2,32,,,,0.0000855,0,1
0.0003941,9,31,,,,0.0000854,0,1
0.0001366,27,33,,,,0.0000852,0,1
0.0001536,21,31,,,,0.0010139,0,2
0.0001684,25,31,,,,0.00017,0,2
0.000176,15,32,,,,0.0001701,1,2
0.0001771,20,31,,,,0.0001742,1,2
0.0001248,2,31,,,,0.000176,0,2
0.0001703,21,30,,,,0.0001706,1,2
0.0001225,25,34,,,,0.0001705,0,2
0.000353,25,33,,,,0.0001779,0,2
9.30E-05,32,34,,,,0.0003222,1,2
0.0001681,11,39,,,,0.0000849,1,2
0.0001253,10,39,,,,0.0000849,1,2
0.0001793,23,39,,,,0.0000846,1,2
0.0001168,20,40,,,,0.0000914,1,2
0.0001316,10,42,,,,0.0000864,1,2
0.0001231,22,41,,,,0.0000837,0,2
0.0001304,25,40,,,,0.0000841,1,2
0.0001275,6,40,,,,0.0000865,1,2
0.0004968,23,38,,,,0.0001252,1,2
0.0001951,29,37,,,,0.0000837,1,2
0.0001715,24,38,,,,0.000084,1,2
9.33E-05,12,39,,,,0.0000919,1,2
0.0001811,36,45,,,,0.0000844,1,2
0.0001823,5,49,,,,0.0001214,1,2
8.91E-05,14,48,,,,0.0000832,1,2
0.0001222,33,50,,,,0.0000832,0,2
0.00017,11,50,,,,0.0001054,1,2
0.0001767,48,50,,,,0.0000843,0,2
0.0001745,50,52,,,,0.0000843,1,2
0.0001694,4,55,,,,0.0000837,1,2
0.0001693,51,53,,,,0.000086,0,2
0.0001692,52,54,,,,0.0000837,1,2
0.0001691,37,49,,,,0.0000849,1,2
0.0003893,19,48,,,,0.0000857,1,2
9.25E-05,0,47,,,,0.0000883,1,2
0.0001709,18,47,,,,0.0000847,1,2
0.0001911,33,46,,,,0.0000853,1,2
0.0006021,4,43,,,,0.0001784,1,2
0.0001207,12,42,,,,0.0000842,1,2
0.0001256,33,41,,,,0.0000845,1,2
0.0001231,17,40,,,,0.0000842,0,2
0.0001271,17,40,,,,0.0001223,0,2
0.0005347,39,42,,,,0.0000854,0,2
0.0001304,7,42,,,,0.0001259,1,2
0.0001175,4,39,,,,0.000085,1,2
0.0001244,24,41,,,,0.0000853,0,2
0.000133,7,40,,,,0.0000992,0,2
0.000171,1,44,,,,0.0000975,0,2
9.21E-05,16,44,,,,0.0000898,0,2
0.0001716,25,40,,,,0.0000928,1,2
0.0001136,31,43,,,,0.0000833,0,2
0.0001131,21,42,,,,0.0000836,1,2
0.0001126,29,41,,,,0.0000836,0,2
0.0001323,1,43,,,,0.0000839,1,2
0.0001079,3,46,,,,0.0000909,0,2
0.0001245,34,46,,,,0.0000909,1,2
0.0001737,13,45,,,,0.0000854,0,2
0.0001702,3,44,,,,0.0001184,1,2
0.0001701,18,43,,,,0.0000845,1,2
0.0001096,41,42,,,,0.0000861,1,2
0.0001707,21,42,,,,0.0000836,1,2
0.0001399,38,40,,,,0.0001163,0,2
0.0001171,37,39,,,,0.000085,1,2
0.0001694,27,35,,,,0.0000856,1,2
9.37E-05,20,34,,,,0.0000834,0,2
0.0005737,7,31,,,,0.000084,1,2
0.0001447,19,27,,,,0.0000848,0,2
0.0001594,23,27,,,,0.0000887,1,2
0.000173,14,27,,,,0.0000845,1,2
0.0001358,12,27,,,,0.0001163,0,2
0.0001294,21,26,,,,0.0000883,0,2
0.0001272,21,24,,,,0.0000901,0,2
0.0001768,8,22,,,,0.0000905,1,2
8.96E-05,15,24,,,,0.0000846,1,2
0.000173,9,20,,,,0.0000842,1,2
0.0003925,2,18,,,,0.0000849,0,2
0.0001754,12,17,,,,0.0000839,1,2
0.0001147,9,16,,,,0.0000841,1,2
9.22E-05,0,15,,,,0.0000842,1,2
0.0009503,7,17,,,,0.0000853,0,2
0.0002293,10,16,,,,0.000085,0,2
0.0003206,10,16,,,,0.0001116,0,2
0.0001701,8,15,,,,0.0000854,0,2
0.000141,14,15,,,,0.000085,0,2
0.000398,13,26,,,,0.000085,1,2
0.0001258,23,26,,,,0.0000847,1,2
0.0001257,24,28,,,,0.000112,1,2
0.0001223,21,26,,,,0.0000898,1,2
0.0001236,21,25,,,,0.000087,0,2
