cas operacie,index prvku,dlzka zoznamu,,,,,,
4.41E-05,1,1,,2.01E-01,,0.000029,0,0
3.51E-05,12,12,,,,0.0000287,0,0
2.83E-05,11,11,,,,0.0000291,0,0
4.53E-05,11,11,,,,0.0000287,0,0
3.91E-05,9,9,,,,0.0000291,0,0
4.20E-05,10,10,,,,0.0000291,0,0
3.84E-05,9,9,,,,0.0000315,0,0
2.86E-05,9,9,,,,0.0000409,0,0
3.20E-05,12,12,,,,0.0000285,0,0
2.89E-05,10,10,,,,0.0000285,0,0
2.85E-05,13,13,,,,0.000025,0,0
4.57E-05,12,12,,,,0.0000246,0,0
2.89E-05,11,11,,,,0.0000245,0,0
2.83E-05,10,10,,,,0.0000256,0,0
2.86E-05,9,9,,,,0.0000259,0,0
2.83E-05,8,8,,,,0.0000256,0,0
3.80E-05,5,5,,,,0.0000256,0,0
4.31E-05,5,5,,,,0.0000264,0,0
3.13E-05,6,6,,,,0.0000248,0,0
2.81E-05,4,4,,,,0.0000247,0,0
3.24E-05,6,6,,,,0.0000252,0,0
2.89E-05,5,5,,,,0.0000246,0,0
2.82E-05,3,3,,,,0.0000247,0,0
2.90E-05,0,0,,,,0.0000255,0,0
2.87E-05,0,0,,,,0.0000248,0,0
2.91E-05,0,0,,,,0.0000245,0,0
2.86E-05,7,7,,,,0.0000246,0,0
3.12E-05,5,5,,,,0.0000251,0,0
3.83E-05,5,5,,,,0.0000249,0,0
2.85E-05,2,2,,,,0.0000251,0,0
4.08E-05,1,1,,,,0.0000688,0,0
2.72E-05,1,1,,,,0.0000365,0,0
2.88E-05,1,1,,,,0.0000313,0,0
2.87E-05,0,0,,,,0.000025,0,0
3.57E-05,1,1,,,,0.0000281,0,0
3.61E-05,1,1,,,,0.0000249,0,0
2.96E-05,1,1,,,,0.0000248,0,0
2.91E-05,0,0,,,,0.0000247,0,0
3.33E-05,2,2,,,,0.0000255,0,0
3.00E-05,2,2,,,,0.0000251,0,0
2.91E-05,0,0,,,,0.000029,0,0
3.15E-05,0,0,,,,0.0000441,0,0
2.86E-05,2,2,,,,0.000026,0,0
2.86E-05,2,2,,,,0.0000259,0,0
2.85E-05,4,4,,,,0.0000349,0,0
3.21E-05,5,5,,,,0.0000395,0,0
3.02E-05,6,6,,,,0.0000256,0,0
2.87E-05,5,5,,,,0.0000247,0,0
3.87E-05,5,5,,,,0.0000247,0,0
3.75E-05,3,3,,,,0.0000248,0,0
4.43E-05,6,6,,,,0.0000248,0,0
3.65E-05,5,5,,,,0.0000351,0,0
2.89E-05,7,7,,,,0.0000255,0,0
2.92E-05,5,5,,,,0.0000247,0,0
2.82E-05,4,4,,,,0.0000319,0,0
2.89E-05,5,5,,,,0.0000256,0,0
3.25E-05,6,6,,,,0.0000331,0,0
0.0002766,5,5,,,,0.0000264,0,0
4.02E-05,9,9,,,,0.0000246,0,0
2.85E-05,8,8,,,,0.0000248,0,0
2.83E-05,8,8,,,,0.0000254,0,0
4.32E-05,7,7,,,,0.0000246,0,0
2.91E-05,6,6,,,,0.0000279,0,0
3.20E-05,5,5,,,,0.0000248,0,0
2.89E-05,7,7,,,,0.0000249,0,0
2.87E-05,7,7,,,,0.0000264,0,0
3.07E-05,6,6,,,,0.0000247,0,0
0.0001123,6,6,,,,0.0000259,0,0
4.20E-05,6,6,,,,0.000025,0,0
2.93E-05,8,8,,,,0.0000267,0,0
6.08E-05,9,9,,,,0.0000249,0,0
4.53E-05,13,13,,,,0.0000302,0,0
2.88E-05,13,13,,,,0.0000251,0,0
2.86E-05,15,15,,,,0.0000246,0,0
4.23E-05,14,14,,,,0.0000251,0,0
2.90E-05,14,14,,,,0.0000251,0,0
3.21E-05,11,11,,,,0.0000251,0,0
4.08E-05,7,7,,,,0.0000246,0,0
0.0001989,8,8,,,,0.0000333,0,0
4.59E-05,6,6,,,,0.0000257,0,0
3.67E-05,5,5,,,,0.000028,0,0
0.0001406,5,5,,,,0.0000258,0,0
4.38E-05,4,4,,,,0.0000249,0,0
2.82E-05,6,6,,,,0.00003,0,0
2.83E-05,5,5,,,,0.0000247,0,0
2.91E-05,4,4,,,,0.0000331,0,0
0.0003002,4,4,,,,0.0000248,0,0
3.83E-05,7,7,,,,0.0002485,0,0
3.92E-05,4,4,,,,0.0000249,0,0
0.0001012,2,2,,,,0.0000267,0,0
2.85E-05,2,2,,,,0.0000307,0,0
4.26E-05,4,4,,,,0.0000252,0,0
4.09E-05,0,0,,,,0.000025,0,0
2.85E-05,0,0,,,,0.00003,0,0
3.17E-05,1,1,,,,0.0000247,0,0
2.85E-05,0,0,,,,0.0000258,0,0
2.87E-05,16,16,,,,0.0000251,0,0
3.75E-05,16,16,,,,0.0000274,0,0
3.42E-05,15,15,,,,0.000077,0,0
3.91E-05,13,13,,,,0.0000248,0,0
2.85E-05,13,13,,,,0.0000245,0,0
2.81E-05,11,11,,,,0.0000246,0,0
0.0001662,10,10,,,,0.0000245,0,0
4.50E-05,11,11,,,,0.0000248,0,0
3.46E-05,10,10,,,,0.0000266,0,0
4.25E-05,9,9,,,,0.0000338,0,0
4.23E-05,14,14,,,,0.0000249,0,0
3.97E-05,15,15,,,,0.0000247,0,0
2.98E-05,15,15,,,,0.0000246,0,0
4.19E-05,18,18,,,,0.0000262,0,0
2.83E-05,17,17,,,,0.000027,0,0
3.92E-05,14,14,,,,0.0001026,0,0
3.83E-05,14,14,,,,0.0000246,0,0
4.31E-05,14,14,,,,0.0000245,0,0
2.88E-05,14,14,,,,0.0000247,0,0
3.98E-05,13,13,,,,0.0000521,0,0
5.44E-05,13,13,,,,0.0000245,0,0
2.92E-05,11,11,,,,0.000025,0,0
