cas operacie,index prvku,dlzka zoznamu,,,,,,,
0.0001532,0,2,,9.92E-05,0.651984,,,,
0.0001242,0,9,,,,,0.0000289,0,0
0.0001713,0,11,,,,,0.0000288,0,0
9.14E-05,0,12,,,,,0.0000282,0,0
0.0001461,0,10,,,,,0.0000291,0,0
0.0004357,0,11,,,,,0.0000388,0,0
0.0001718,0,11,,,,,0.0000409,0,0
0.0001716,0,11,,,,,0.0000362,0,0
0.0001691,0,10,,,,,0.0000501,0,0
0.0001712,0,13,,,,,0.0000424,0,0
0.0001196,0,7,,,,,0.0000312,0,0
0.0001701,0,8,,,,,0.0000246,0,0
0.0001216,0,3,,,,,0.0000308,0,0
0.0001327,0,4,,,,,0.0000248,0,0
8.98E-05,0,5,,,,,0.0000394,0,0
9.80E-05,0,5,,,,,0.0000256,0,0
2.89E-05,0,0,,,,,0.0000264,0,0
2.88E-05,0,0,,,,,0.0000304,0,0
0.0001682,0,6,,,,,0.0000249,0,0
0.0005997,0,4,,,,,0.0000359,0,0
0.0001711,0,2,,,,,0.0000249,0,0
2.82E-05,0,0,,,,,0.0000244,0,0
2.91E-05,0,0,,,,,0.0000254,0,0
3.88E-05,0,0,,,,,0.0000246,0,0
0.0001676,0,2,,,,,0.0000251,0,0
0.0001867,0,2,,,,,0.000025,0,0
4.09E-05,0,0,,,,,0.0000259,0,0
0.0001722,0,2,,,,,0.0000247,0,0
9.82E-05,0,1,,,,,0.0000246,0,0
3.62E-05,0,0,,,,,0.0000257,0,0
0.0001693,0,1,,,,,0.000035,0,0
0.0001733,0,3,,,,,0.000025,0,0
0.0001699,0,3,,,,,0.0000246,0,0
0.0002078,0,6,,,,,0.0000255,0,0
0.0003748,0,4,,,,,0.0000257,0,0
8.78E-05,0,2,,,,,0.0000309,0,0
5.01E-05,0,0,,,,,0.0000246,0,0
0.0001064,0,6,,,,,0.0000317,0,0
8.83E-05,0,7,,,,,0.0000244,0,0
0.0001248,0,6,,,,,0.0000265,0,0
0.0001257,0,6,,,,,0.0000271,0,0
9.76E-05,0,8,,,,,0.0000247,0,0
