cas operacie,vlozene cislo,index prvku,dlzka zoznamu,,,sum,pocet
2.31E-05,0,0,1,,,7.45E+00,10000
2.28E-05,0,0,1,,,,
4.52E-05,1,1,2,,,,
0.000268,4,4,8,,,,
4.65E-05,1,1,9,,,,
2.30E-05,0,0,9,,,,
0.0001789,7,7,10,,,,
6.75E-05,2,2,11,,,,
0.0002019,8,8,10,,,,
2.29E-05,0,0,8,,,,
8.97E-05,3,3,9,,,,
4.49E-05,1,1,6,,,,
9.17E-05,3,3,6,,,,
0.0001782,7,7,8,,,,
6.75E-05,2,2,5,,,,
0.000162,6,6,7,,,,
8.96E-05,3,3,11,,,,
0.0003313,14,14,15,,,,
0.0005767,9,9,15,,,,
0.0001783,7,7,18,,,,
0.0002699,11,11,15,,,,
0.0002666,11,11,12,,,,
0.0001349,5,5,10,,,,
0.0001115,4,4,8,,,,
4.51E-05,1,1,3,,,,
6.75E-05,2,2,4,,,,
4.51E-05,1,1,4,,,,
8.94E-05,3,3,10,,,,
6.72E-05,2,2,7,,,,
7.47E-05,2,2,5,,,,
2.28E-05,0,0,2,,,,
3.28E-05,0,0,2,,,,
2.31E-05,0,0,1,,,,
2.34E-05,0,0,3,,,,
0.0001282,3,3,4,,,,
8.96E-05,3,3,6,,,,
6.04E-05,1,1,15,,,,
2.37E-05,0,0,16,,,,
0.0001338,5,5,17,,,,
2.31E-05,0,0,24,,,,
0.00016,6,6,23,,,,
0.0001341,5,5,22,,,,
0.0003548,15,15,21,,,,
0.0005326,23,23,24,,,,
0.0001329,5,5,20,,,,
0.0003309,14,14,19,,,,
0.0001119,4,4,17,,,,
4.50E-05,1,1,18,,,,
4.49E-05,1,1,19,,,,
2.29E-05,0,0,20,,,,
0.0003773,16,16,19,,,,
0.0002668,11,11,19,,,,
2.33E-05,0,0,23,,,,
0.0005238,21,21,25,,,,
9.01E-05,1,1,22,,,,
0.0002666,11,11,22,,,,
0.000314,13,13,27,,,,
8.96E-05,3,3,27,,,,
0.0002435,10,10,28,,,,
0.0002673,11,11,28,,,,
0.0002443,10,10,25,,,,
0.0002665,11,11,25,,,,
0.0005472,21,21,25,,,,
0.0002224,9,9,27,,,,
0.0003555,15,15,28,,,,
0.0008154,33,33,34,,,,
0.0004299,18,18,33,,,,
0.0004683,20,20,33,,,,
0.0002686,11,11,31,,,,
4.48E-05,1,1,31,,,,
0.0003115,13,13,31,,,,
0.0005119,22,22,32,,,,
0.0003769,16,16,33,,,,
0.000287,10,10,34,,,,
6.81E-05,2,2,33,,,,
0.0002439,10,10,30,,,,
0.0002217,9,9,31,,,,
0.0002007,8,8,30,,,,
0.0001346,5,5,30,,,,
0.0001137,4,4,32,,,,
0.0003635,15,15,34,,,,
0.0003793,16,16,30,,,,
0.0003787,16,16,29,,,,
0.0005841,21,21,33,,,,
6.78E-05,2,2,31,,,,
0.0001561,6,6,27,,,,
0.0001612,4,4,27,,,,
0.0001855,7,7,28,,,,
0.0005197,22,22,31,,,,
0.0007325,15,15,34,,,,
0.0003316,14,14,37,,,,
0.0006305,22,22,33,,,,
0.0001423,5,5,31,,,,
2.29E-05,0,0,31,,,,
0.0003488,10,10,34,,,,
4.52E-05,1,1,32,,,,
2.31E-05,0,0,32,,,,
0.0003326,14,14,35,,,,
0.0002889,12,12,35,,,,
0.0006211,27,27,35,,,,
0.0008498,26,26,36,,,,
4.58E-05,1,1,35,,,,
0.0005773,25,25,37,,,,
0.0008487,37,37,43,,,,
2.31E-05,0,0,43,,,,
0.0002888,12,12,40,,,,
9.03E-05,2,2,32,,,,
0.0001558,6,6,32,,,,
0.0001899,7,7,32,,,,
4.49E-05,1,1,32,,,,
0.0006829,27,27,36,,,,
0.0007244,31,31,35,,,,
2.27E-05,0,0,35,,,,
0.0005787,25,25,32,,,,
0.0006221,27,27,31,,,,
6.78E-05,2,2,31,,,,
0.0005191,20,20,31,,,,
0.0002954,12,12,33,,,,
0.0004886,21,21,32,,,,
0.0004663,19,19,34,,,,
0.0004634,20,20,27,,,,
0.0006044,25,25,27,,,,
6.70E-05,2,2,25,,,,
2.25E-05,0,0,22,,,,
4.64E-05,1,1,22,,,,
0.0002929,12,12,27,,,,
0.0003344,14,14,26,,,,
0.0002655,9,9,27,,,,
0.0001625,6,6,27,,,,
0.0002463,10,10,28,,,,
0.0001777,7,7,29,,,,
2.28E-05,0,0,28,,,,
0.0008726,26,26,27,,,,
0.0006892,30,30,31,,,,
0.0003341,14,14,33,,,,
0.0002855,12,12,34,,,,
4.44E-05,1,1,38,,,,
0.0001565,6,6,37,,,,
0.000335,14,14,39,,,,
0.0006085,23,23,39,,,,
8.95E-05,3,3,47,,,,
0.0009392,41,41,51,,,,
0.0007898,34,34,52,,,,
0.000967,42,42,52,,,,
0.000268,11,11,51,,,,
0.0002748,11,11,51,,,,
0.0001796,7,7,51,,,,
0.0008405,37,37,55,,,,
0.0003548,15,15,54,,,,
0.0002681,11,11,55,,,,
0.0006652,29,29,56,,,,
0.0007616,28,28,57,,,,
0.0010486,46,46,56,,,,
0.0002902,12,12,56,,,,
0.0009189,40,40,60,,,,
0.0003605,15,15,59,,,,
4.49E-05,1,1,59,,,,
0.0004037,17,17,63,,,,
0.0004599,14,14,64,,,,
0.0006353,28,28,58,,,,
0.0009314,40,40,62,,,,
4.52E-05,1,1,61,,,,
0.0009358,41,41,62,,,,
0.0009525,42,42,64,,,,
0.0001891,7,7,69,,,,
0.0001334,5,5,69,,,,
0.0008524,37,37,71,,,,
0.0001335,5,5,75,,,,
0.0006689,29,29,73,,,,
0.000575,25,25,78,,,,
0.0001345,5,5,78,,,,
0.0001561,6,6,79,,,,
0.0003262,10,10,76,,,,
0.0003997,17,17,82,,,,
0.0006003,26,26,81,,,,
2.27E-05,0,0,81,,,,
0.0005749,25,25,83,,,,
0.0004865,21,21,83,,,,
0.0010652,47,47,83,,,,
0.0002135,8,8,90,,,,
0.0008799,37,37,88,,,,
0.0004908,21,21,87,,,,
4.51E-05,1,1,87,,,,
0.0010292,42,42,87,,,,
0.0005582,23,23,88,,,,
0.0008885,39,39,87,,,,
0.0010834,48,48,84,,,,
0.0002881,12,12,85,,,,
0.0002,8,8,85,,,,
0.0008016,32,32,84,,,,
0.0005528,24,24,80,,,,
4.51E-05,1,1,82,,,,
6.68E-05,2,2,85,,,,
0.0003522,15,15,83,,,,
0.0004245,18,18,83,,,,
