cas operacie,cislo,index prvku,dlzka zoznamu,,sum,pocet
2.51E-05,77,1,4,,2.79E-01,10144
2.49E-05,74,3,5,,,
2.46E-05,72,2,6,,,
2.60E-05,80,1,9,,,
2.70E-05,74,1,8,,,
2.99E-05,81,9,11,,,
2.58E-05,81,8,11,,,
3.05E-05,73,7,9,,,
2.81E-05,82,5,10,,,
2.63E-05,86,0,10,,,
2.46E-05,88,0,7,,,
2.47E-05,76,3,6,,,
2.50E-05,81,0,9,,,
2.47E-05,75,6,11,,,
3.05E-05,81,6,12,,,
2.69E-05,80,10,15,,,
2.43E-05,72,8,12,,,
2.57E-05,83,5,18,,,
2.48E-05,74,14,16,,,
2.50E-05,90,2,10,,,
2.48E-05,72,2,7,,,
2.44E-05,88,1,8,,,
2.46E-05,89,2,6,,,
2.64E-05,84,0,1,,,
2.46E-05,76,1,4,,,
2.69E-05,81,0,7,,,
2.48E-05,75,5,7,,,
2.47E-05,89,2,7,,,
2.48E-05,85,3,7,,,
2.91E-05,79,3,8,,,
2.46E-05,79,0,5,,,
3.11E-05,87,0,3,,,
2.45E-05,84,0,3,,,
2.45E-05,87,0,3,,,
2.49E-05,77,0,1,,,
2.61E-05,82,0,3,,,
3.64E-05,71,0,2,,,
2.45E-05,71,4,9,,,
2.46E-05,84,2,11,,,
2.51E-05,84,0,16,,,
2.47E-05,83,7,19,,,
2.92E-05,71,9,19,,,
2.46E-05,82,21,24,,,
2.49E-05,72,19,21,,,
2.46E-05,76,6,21,,,
2.50E-05,85,14,22,,,
2.45E-05,82,14,19,,,
2.98E-05,87,1,17,,,
2.55E-05,79,8,16,,,
2.51E-05,90,8,18,,,
2.47E-05,86,11,19,,,
2.47E-05,73,2,21,,,
2.87E-05,80,0,22,,,
2.47E-05,78,18,25,,,
2.47E-05,79,5,23,,,
2.45E-05,78,9,23,,,
2.63E-05,81,11,23,,,
2.47E-05,74,19,22,,,
2.47E-05,80,19,24,,,
2.46E-05,80,21,26,,,
2.47E-05,83,27,29,,,
2.50E-05,78,2,25,,,
2.45E-05,87,9,26,,,
2.46E-05,90,7,26,,,
2.48E-05,90,19,30,,,
2.47E-05,90,11,32,,,
2.49E-05,86,3,33,,,
2.48E-05,86,6,33,,,
2.48E-05,85,10,34,,,
2.96E-05,85,30,34,,,
2.47E-05,83,27,31,,,
2.59E-05,73,9,29,,,
2.54E-05,80,3,30,,,
2.46E-05,89,25,34,,,
2.48E-05,90,23,29,,,
2.50E-05,75,9,31,,,
4.21E-05,86,5,33,,,
4.03E-05,80,17,32,,,
2.47E-05,75,21,31,,,
2.47E-05,71,16,27,,,
3.00E-05,74,23,25,,,
2.56E-05,84,14,32,,,
2.56E-05,73,8,32,,,
3.13E-05,74,28,32,,,
3.05E-05,81,11,32,,,
2.61E-05,74,21,36,,,
2.56E-05,72,16,33,,,
2.56E-05,72,21,32,,,
