cas operacie,cislo na indexe,index prvku,dlzka zoznamu,,,sum,pocet
2.45E-05,16,0,1,,,2.68E-01,9858
2.94E-05,13,0,1,,,,
2.74E-05,5,0,1,,,,
2.49E-05,22,3,6,,,,
2.69E-05,24,4,8,,,,
2.67E-05,74,3,8,,,,
3.71E-05,8,2,8,,,,
2.53E-05,29,0,10,,,,
2.55E-05,73,7,9,,,,
2.62E-05,73,7,10,,,,
2.50E-05,31,1,7,,,,
2.46E-05,81,1,9,,,,
2.46E-05,74,2,6,,,,
2.61E-05,4,1,6,,,,
2.47E-05,31,4,10,,,,
2.46E-05,12,0,8,,,,
2.45E-05,76,3,8,,,,
2.43E-05,27,4,12,,,,
2.44E-05,2,2,13,,,,
2.46E-05,6,13,15,,,,
2.70E-05,34,0,17,,,,
2.52E-05,33,2,13,,,,
2.47E-05,74,6,13,,,,
2.45E-05,33,0,10,,,,
2.45E-05,22,0,8,,,,
2.59E-05,13,1,5,,,,
3.00E-05,7,3,5,,,,
2.45E-05,5,0,4,,,,
2.48E-05,4,0,3,,,,
2.52E-05,25,1,3,,,,
2.44E-05,32,4,7,,,,
2.48E-05,75,6,10,,,,
2.48E-05,16,3,7,,,,
2.44E-05,79,1,7,,,,
2.44E-05,75,4,7,,,,
2.47E-05,87,0,2,,,,
2.49E-05,6,0,1,,,,
2.46E-05,3,0,2,,,,
3.17E-05,7,0,2,,,,
3.24E-05,28,0,4,,,,
3.06E-05,17,0,2,,,,
2.45E-05,35,8,13,,,,
3.41E-05,22,15,17,,,,
2.87E-05,24,3,15,,,,
2.53E-05,84,2,16,,,,
2.45E-05,35,9,17,,,,
3.03E-05,14,2,23,,,,
2.43E-05,17,3,18,,,,
2.45E-05,34,1,17,,,,
2.43E-05,86,12,23,,,,
2.43E-05,1,7,22,,,,
2.45E-05,34,23,25,,,,
2.44E-05,1,8,26,,,,
2.43E-05,1,10,25,,,,
2.44E-05,3,0,25,,,,
2.45E-05,76,9,26,,,,
2.44E-05,23,17,25,,,,
2.97E-05,23,17,25,,,,
2.67E-05,2,18,26,,,,
2.48E-05,32,15,28,,,,
2.44E-05,90,24,36,,,,
2.49E-05,76,15,33,,,,
3.02E-05,78,8,32,,,,
2.46E-05,90,23,33,,,,
2.46E-05,7,5,29,,,,
2.44E-05,86,2,30,,,,
2.47E-05,7,5,31,,,,
2.60E-05,2,2,29,,,,
2.47E-05,90,17,33,,,,
2.45E-05,1,18,33,,,,
2.45E-05,34,19,28,,,,
2.49E-05,85,29,31,,,,
3.77E-05,85,19,32,,,,
6.41E-05,14,15,31,,,,
3.13E-05,7,1,27,,,,
2.94E-05,73,13,25,,,,
2.59E-05,81,23,27,,,,
2.54E-05,15,25,32,,,,
2.53E-05,73,16,32,,,,
2.98E-05,74,30,36,,,,
2.52E-05,86,5,32,,,,
2.54E-05,22,13,32,,,,
2.55E-05,81,12,32,,,,
2.57E-05,5,12,35,,,,
2.52E-05,72,16,34,,,,
2.47E-05,3,30,41,,,,
2.45E-05,15,33,39,,,,
2.46E-05,25,10,38,,,,
3.26E-05,81,31,38,,,,
3.14E-05,33,6,33,,,,
2.59E-05,16,24,37,,,,
2.54E-05,23,35,37,,,,
2.46E-05,29,12,37,,,,
2.45E-05,29,11,37,,,,
2.44E-05,15,23,36,,,,
2.43E-05,86,13,35,,,,
2.45E-05,5,1,35,,,,
2.44E-05,87,25,30,,,,
2.46E-05,24,22,30,,,,
2.45E-05,73,3,33,,,,
