cas operacie,vlozene cislo,index prvku,dlzka zoznamu,,sum,pocet
9.03E-05,2,0,2,,1.07E+00,11712
9.18E-05,8,0,2,,,
3.18E-05,13,0,1,,,
8.63E-05,17,0,2,,,
1.72E-05,23,0,1,,,
1.97E-05,31,0,1,,,
8.44E-05,28,1,5,,,
8.37E-05,8,2,6,,,
0.0001042,3,6,8,,,
8.77E-05,26,5,9,,,
0.0001156,19,0,8,,,
8.81E-05,27,5,8,,,
9.05E-05,21,5,9,,,
8.43E-05,32,5,12,,,
8.53E-05,3,5,11,,,
8.44E-05,32,5,7,,,
8.34E-05,31,1,7,,,
8.36E-05,14,0,6,,,
8.39E-05,12,5,7,,,
8.37E-05,26,0,9,,,
9.23E-05,27,4,9,,,
8.36E-05,15,0,9,,,
8.35E-05,21,3,9,,,
8.39E-05,2,1,11,,,
8.36E-05,17,3,12,,,
9.77E-05,14,2,16,,,
8.58E-05,33,2,17,,,
8.42E-05,20,15,18,,,
8.39E-05,22,15,19,,,
8.44E-05,32,15,19,,,
8.67E-05,3,1,11,,,
8.37E-05,9,6,8,,,
8.38E-05,6,0,10,,,
8.54E-05,9,3,6,,,
8.47E-05,4,0,3,,,
8.36E-05,25,1,3,,,
8.63E-05,25,1,3,,,
8.43E-05,20,2,4,,,
8.37E-05,32,4,7,,,
8.55E-05,14,6,9,,,
8.49E-05,16,3,8,,,
8.40E-05,33,3,9,,,
1.78E-05,6,0,1,,,
8.40E-05,3,0,2,,,
1.87E-05,11,0,1,,,
1.75E-05,28,0,1,,,
8.41E-05,7,0,2,,,
8.39E-05,27,0,2,,,
8.40E-05,1,0,3,,,
1.71E-05,29,0,1,,,
8.42E-05,3,0,2,,,
0.0001154,1,0,2,,,
0.000112,7,1,3,,,
9.02E-05,18,0,2,,,
8.43E-05,34,1,3,,,
8.47E-05,34,0,3,,,
0.0001177,15,1,4,,,
9.43E-05,28,1,4,,,
8.38E-05,4,0,2,,,
8.46E-05,8,2,4,,,
8.40E-05,3,0,10,,,
8.35E-05,17,7,10,,,
8.35E-05,24,4,10,,,
8.41E-05,14,4,12,,,
8.41E-05,23,0,15,,,
8.38E-05,17,13,16,,,
9.00E-05,3,15,17,,,
8.46E-05,22,16,19,,,
8.42E-05,19,2,20,,,
8.61E-05,2,0,21,,,
9.19E-05,25,13,22,,,
8.54E-05,7,8,23,,,
8.36E-05,35,10,21,,,
8.39E-05,14,0,22,,,
8.38E-05,14,17,22,,,
0.0002708,23,15,23,,,
8.96E-05,31,21,24,,,
8.44E-05,4,23,25,,,
8.48E-05,1,17,20,,,
8.41E-05,26,6,19,,,
8.38E-05,1,14,20,,,
8.35E-05,18,17,19,,,
8.40E-05,16,2,22,,,
8.40E-05,4,5,24,,,
8.42E-05,28,14,22,,,
8.37E-05,32,21,23,,,
0.0001088,9,8,24,,,
8.40E-05,2,19,22,,,
8.36E-05,23,21,24,,,
8.37E-05,21,8,21,,,
8.44E-05,23,3,23,,,
0.0002142,32,15,28,,,
0.0001005,15,10,28,,,
8.37E-05,1,22,27,,,
8.62E-05,21,18,27,,,
8.36E-05,2,3,29,,,
8.40E-05,14,16,33,,,
8.43E-05,16,13,33,,,
8.40E-05,7,4,34,,,
8.51E-05,7,6,33,,,
8.34E-05,33,0,28,,,
8.41E-05,10,10,30,,,
8.40E-05,8,13,32,,,
9.37E-05,25,31,34,,,
8.40E-05,17,23,29,,,
8.37E-05,14,9,29,,,
8.40E-05,7,0,30,,,
8.66E-05,34,17,30,,,
9.01E-05,15,6,31,,,
8.40E-05,28,4,33,,,
8.57E-05,25,1,33,,,
0.0001044,28,18,27,,,
9.97E-05,4,12,27,,,
0.0002071,27,4,29,,,
8.86E-05,4,12,31,,,
8.67E-05,14,30,34,,,
8.50E-05,22,17,36,,,
8.50E-05,14,23,37,,,
9.15E-05,24,21,34,,,
0.0001038,32,8,31,,,
8.46E-05,23,26,35,,,
8.61E-05,2,30,37,,,
8.52E-05,1,34,37,,,
8.52E-05,29,3,33,,,
8.50E-05,23,25,33,,,
0.0001184,5,12,34,,,
8.48E-05,18,18,35,,,
8.43E-05,29,0,36,,,
8.98E-05,16,1,37,,,
8.36E-05,19,7,37,,,
8.36E-05,19,20,39,,,
8.79E-05,34,22,43,,,
8.54E-05,16,17,44,,,
8.39E-05,33,6,44,,,
8.51E-05,29,23,42,,,
8.36E-05,15,33,43,,,
0.0001107,15,23,35,,,
8.47E-05,35,22,32,,,
8.91E-05,24,11,33,,,
8.58E-05,16,24,37,,,
9.25E-05,17,14,37,,,
8.37E-05,5,3,36,,,
8.37E-05,13,1,36,,,
8.40E-05,31,31,36,,,
8.44E-05,33,18,31,,,
8.36E-05,3,0,32,,,
8.38E-05,1,7,33,,,
8.38E-05,19,10,31,,,
8.41E-05,12,19,27,,,
8.39E-05,14,17,31,,,
8.58E-05,31,12,27,,,
8.38E-05,20,5,28,,,
8.48E-05,15,6,26,,,
8.40E-05,15,4,27,,,
8.42E-05,3,5,24,,,
8.43E-05,21,3,21,,,
8.48E-05,27,2,20,,,
8.45E-05,34,8,21,,,
8.47E-05,35,3,24,,,
8.45E-05,6,3,26,,,
8.39E-05,19,24,26,,,
0.0001371,1,11,27,,,
8.39E-05,2,5,30,,,
8.39E-05,9,13,29,,,
9.23E-05,17,9,29,,,
8.44E-05,31,9,29,,,
8.38E-05,22,3,30,,,
8.35E-05,18,25,31,,,
8.34E-05,11,26,31,,,
8.37E-05,33,29,32,,,
8.55E-05,9,12,33,,,
8.36E-05,12,12,32,,,
8.29E-05,26,29,33,,,
8.30E-05,35,24,34,,,
9.00E-05,12,13,38,,,
8.33E-05,11,5,38,,,
8.44E-05,29,7,40,,,
8.42E-05,26,4,38,,,
8.40E-05,18,15,42,,,
8.52E-05,11,19,38,,,
8.36E-05,7,21,40,,,
8.36E-05,35,1,42,,,
8.39E-05,11,10,43,,,
8.37E-05,2,12,43,,,
8.37E-05,32,10,44,,,
8.44E-05,28,36,45,,,
8.38E-05,21,3,47,,,
9.11E-05,16,44,48,,,
8.33E-05,12,27,48,,,
9.72E-05,15,8,49,,,
8.52E-05,21,22,50,,,
8.49E-05,7,14,51,,,
8.36E-05,32,30,52,,,
8.35E-05,13,6,53,,,
9.08E-05,11,33,50,,,
8.39E-05,20,42,50,,,
8.51E-05,19,45,51,,,
8.98E-05,3,40,52,,,
8.42E-05,28,8,53,,,
8.38E-05,17,36,54,,,
8.34E-05,6,3,52,,,
8.61E-05,22,47,50,,,
8.37E-05,11,23,53,,,
8.40E-05,32,47,54,,,
8.84E-05,30,43,55,,,
8.37E-05,14,26,57,,,
8.39E-05,7,22,58,,,
9.35E-05,27,38,57,,,
0.000178,16,52,58,,,
8.71E-05,29,54,56,,,
8.53E-05,34,48,59,,,
8.49E-05,35,12,60,,,
8.53E-05,3,17,61,,,
8.43E-05,20,16,60,,,
8.40E-05,31,6,61,,,
9.82E-05,32,21,62,,,
8.48E-05,24,7,63,,,
0.0001291,14,29,63,,,
8.66E-05,11,47,64,,,
8.50E-05,31,25,62,,,
8.48E-05,22,42,64,,,
0.0001271,27,16,64,,,
8.45E-05,9,39,59,,,
8.42E-05,21,28,58,,,
8.45E-05,24,29,59,,,
8.45E-05,4,31,60,,,
8.42E-05,31,39,61,,,
8.35E-05,8,32,62,,,
8.39E-05,22,23,62,,,
8.35E-05,23,45,63,,,
9.27E-05,5,65,67,,,
8.40E-05,11,3,68,,,
8.40E-05,11,48,70,,,
8.36E-05,18,13,72,,,
8.37E-05,10,58,73,,,
8.38E-05,31,70,74,,,
8.43E-05,33,47,73,,,
8.45E-05,14,10,74,,,
8.41E-05,7,57,74,,,
8.39E-05,13,9,75,,,
8.46E-05,15,17,77,,,
9.16E-05,20,70,78,,,
9.03E-05,27,16,78,,,
8.39E-05,26,72,80,,,
8.39E-05,2,12,80,,,
8.38E-05,2,52,79,,,
9.10E-05,7,50,80,,,
8.52E-05,5,37,80,,,
8.40E-05,24,58,78,,,
8.35E-05,15,42,77,,,
9.28E-05,31,72,77,,,
8.36E-05,33,58,83,,,
8.39E-05,11,77,82,,,
0.0001089,30,18,85,,,
0.0001069,10,16,89,,,
9.65E-05,15,43,90,,,
8.38E-05,19,71,90,,,
8.36E-05,12,32,91,,,
8.41E-05,26,44,88,,,
8.43E-05,30,14,88,,,
8.41E-05,18,86,89,,,
8.56E-05,10,31,88,,,
8.48E-05,5,76,89,,,
8.55E-05,26,63,87,,,
8.37E-05,31,69,81,,,
8.35E-05,21,38,85,,,
9.14E-05,32,37,82,,,
8.81E-05,15,16,84,,,
8.83E-05,8,79,83,,,
8.48E-05,4,7,85,,,
8.45E-05,33,41,87,,,
8.43E-05,13,35,88,,,
8.57E-05,1,61,86,,,
8.43E-05,7,57,84,,,
8.45E-05,31,38,86,,,
8.75E-05,27,28,86,,,
0.0001204,2,67,86,,,
0.0001192,15,35,87,,,
8.94E-05,6,11,88,,,
8.41E-05,10,8,90,,,
8.62E-05,31,31,91,,,
8.49E-05,17,42,90,,,
0.0001254,22,20,89,,,
0.000212,3,12,90,,,
0.0001204,25,79,92,,,
8.40E-05,34,78,88,,,
0.0001302,11,16,89,,,
9.10E-05,25,7,89,,,
8.44E-05,8,73,88,,,
