cas operacie,vlozene cislo,index prvku,dlzka zoznamu,,,sum,pocet
3.54E-05,15,0,1,,,2.24E-01,11648
2.51E-05,16,0,1,,,,
1.80E-05,23,0,1,,,,
1.72E-05,5,5,6,,,,
2.06E-05,14,6,7,,,,
1.82E-05,28,9,10,,,,
2.36E-05,9,8,9,,,,
1.82E-05,8,10,11,,,,
1.79E-05,1,8,9,,,,
1.77E-05,25,9,10,,,,
1.71E-05,12,6,7,,,,
1.71E-05,16,8,9,,,,
1.85E-05,25,6,7,,,,
2.38E-05,15,7,8,,,,
1.73E-05,9,5,6,,,,
1.70E-05,5,6,7,,,,
1.71E-05,25,7,8,,,,
1.88E-05,28,12,13,,,,
1.87E-05,34,13,14,,,,
1.70E-05,5,12,13,,,,
1.73E-05,18,13,14,,,,
1.79E-05,6,16,17,,,,
1.74E-05,4,17,18,,,,
1.71E-05,7,11,12,,,,
1.73E-05,14,4,5,,,,
1.71E-05,27,1,2,,,,
1.72E-05,31,4,5,,,,
1.71E-05,34,5,6,,,,
1.75E-05,32,7,8,,,,
1.70E-05,25,7,8,,,,
2.23E-05,3,0,1,,,,
1.79E-05,1,1,2,,,,
1.72E-05,14,1,2,,,,
1.76E-05,19,0,1,,,,
1.71E-05,31,0,1,,,,
1.72E-05,34,0,1,,,,
1.72E-05,19,0,1,,,,
1.84E-05,16,2,3,,,,
2.14E-05,8,4,5,,,,
2.63E-05,34,3,4,,,,
1.72E-05,6,4,5,,,,
1.71E-05,35,4,5,,,,
1.71E-05,12,6,7,,,,
1.69E-05,16,5,6,,,,
1.72E-05,30,6,7,,,,
1.71E-05,22,7,8,,,,
1.71E-05,35,8,9,,,,
1.70E-05,30,12,13,,,,
1.71E-05,22,13,14,,,,
1.76E-05,35,15,16,,,,
1.73E-05,14,16,17,,,,
1.71E-05,16,17,18,,,,
1.71E-05,5,18,19,,,,
1.74E-05,16,19,20,,,,
1.71E-05,8,18,19,,,,
1.73E-05,13,22,23,,,,
1.71E-05,13,21,22,,,,
1.98E-05,19,23,24,,,,
1.73E-05,24,18,19,,,,
1.69E-05,31,19,20,,,,
1.71E-05,5,19,20,,,,
1.70E-05,35,16,17,,,,
1.72E-05,25,17,18,,,,
1.69E-05,34,17,18,,,,
1.71E-05,29,19,20,,,,
1.88E-05,6,24,25,,,,
1.73E-05,20,24,25,,,,
1.72E-05,30,23,24,,,,
1.77E-05,9,23,24,,,,
1.83E-05,27,23,24,,,,
1.73E-05,30,22,23,,,,
1.72E-05,34,21,22,,,,
1.71E-05,6,22,23,,,,
1.72E-05,9,25,26,,,,
1.72E-05,25,24,25,,,,
1.84E-05,21,28,29,,,,
1.71E-05,21,26,27,,,,
1.75E-05,30,25,26,,,,
1.72E-05,17,25,26,,,,
1.73E-05,33,26,27,,,,
1.72E-05,12,26,27,,,,
1.72E-05,9,27,28,,,,
1.73E-05,4,28,29,,,,
1.69E-05,26,30,31,,,,
1.74E-05,11,32,33,,,,
1.71E-05,29,33,34,,,,
1.72E-05,4,34,35,,,,
1.71E-05,1,33,34,,,,
1.72E-05,21,30,31,,,,
1.71E-05,29,31,32,,,,
2.21E-05,27,32,33,,,,
1.73E-05,17,32,33,,,,
1.72E-05,17,28,29,,,,
1.70E-05,18,29,30,,,,
1.72E-05,31,30,31,,,,
1.77E-05,13,30,31,,,,
1.98E-05,34,28,29,,,,
1.75E-05,17,33,34,,,,
3.11E-05,7,30,31,,,,
1.74E-05,18,31,32,,,,
1.74E-05,4,32,33,,,,
1.75E-05,10,32,33,,,,
1.96E-05,34,30,31,,,,
1.84E-05,25,31,32,,,,
1.73E-05,14,30,31,,,,
2.10E-05,4,25,26,,,,
1.82E-05,24,27,28,,,,
3.57E-05,2,29,30,,,,
1.86E-05,25,32,33,,,,
1.85E-05,31,34,35,,,,
2.06E-05,21,31,32,,,,
1.82E-05,12,32,33,,,,
6.70E-05,21,35,36,,,,
2.46E-05,8,32,33,,,,
1.82E-05,13,32,33,,,,
1.81E-05,27,33,34,,,,
1.81E-05,10,34,35,,,,
1.80E-05,21,34,35,,,,
1.72E-05,6,37,38,,,,
1.71E-05,31,40,41,,,,
1.71E-05,23,41,42,,,,
1.72E-05,8,42,43,,,,
1.72E-05,3,44,45,,,,
1.72E-05,23,37,38,,,,
1.73E-05,28,38,39,,,,
2.28E-05,9,32,33,,,,
1.99E-05,29,35,36,,,,
0.0001003,35,37,38,,,,
1.77E-05,17,38,39,,,,
1.71E-05,10,37,38,,,,
1.69E-05,26,35,36,,,,
1.71E-05,34,35,36,,,,
1.72E-05,11,36,37,,,,
1.73E-05,25,31,32,,,,
1.72E-05,31,31,32,,,,
1.70E-05,29,30,31,,,,
1.71E-05,12,29,30,,,,
1.72E-05,19,30,31,,,,
1.71E-05,1,32,33,,,,
1.73E-05,6,33,34,,,,
1.71E-05,5,30,31,,,,
1.71E-05,30,31,32,,,,
1.71E-05,24,32,33,,,,
1.70E-05,35,33,34,,,,
1.75E-05,35,31,32,,,,
1.73E-05,1,32,33,,,,
1.71E-05,11,33,34,,,,
1.71E-05,31,28,29,,,,
1.71E-05,5,29,30,,,,
1.80E-05,26,26,27,,,,
1.79E-05,31,23,24,,,,
1.79E-05,32,21,22,,,,
4.34E-05,16,21,22,,,,
2.18E-05,23,22,23,,,,
1.84E-05,4,26,27,,,,
1.72E-05,7,25,26,,,,
1.71E-05,35,26,27,,,,
1.76E-05,18,26,27,,,,
1.71E-05,29,27,28,,,,
1.71E-05,25,27,28,,,,
1.70E-05,3,30,31,,,,
1.71E-05,4,31,32,,,,
1.71E-05,8,30,31,,,,
1.69E-05,18,32,33,,,,
2.24E-05,24,32,33,,,,
1.71E-05,8,32,33,,,,
1.73E-05,21,34,35,,,,
1.71E-05,10,37,38,,,,
1.72E-05,33,38,39,,,,
1.75E-05,9,36,37,,,,
1.70E-05,11,38,39,,,,
2.31E-05,30,41,42,,,,
1.70E-05,30,38,39,,,,
1.71E-05,3,38,39,,,,
1.72E-05,5,39,40,,,,
1.71E-05,7,40,41,,,,
1.71E-05,20,40,41,,,,
1.71E-05,4,40,41,,,,
1.70E-05,11,44,45,,,,
1.70E-05,6,45,46,,,,
1.72E-05,29,50,51,,,,
1.76E-05,20,50,51,,,,
1.73E-05,22,51,52,,,,
1.71E-05,4,51,52,,,,
2.20E-05,11,53,54,,,,
1.71E-05,7,54,55,,,,
1.72E-05,2,51,52,,,,
1.71E-05,13,51,52,,,,
1.72E-05,20,48,49,,,,
1.70E-05,26,53,54,,,,
1.71E-05,26,57,58,,,,
1.80E-05,25,56,57,,,,
1.77E-05,13,59,60,,,,
1.77E-05,2,59,60,,,,
2.33E-05,8,58,59,,,,
1.79E-05,2,58,59,,,,
1.82E-05,13,59,60,,,,
1.83E-05,7,59,60,,,,
1.80E-05,2,60,61,,,,
1.79E-05,11,60,61,,,,
1.79E-05,35,63,64,,,,
1.82E-05,9,64,65,,,,
2.66E-05,27,62,63,,,,
1.73E-05,32,61,62,,,,
1.73E-05,7,63,64,,,,
1.70E-05,16,64,65,,,,
1.72E-05,23,66,67,,,,
1.71E-05,14,74,75,,,,
1.70E-05,25,74,75,,,,
1.86E-05,2,75,76,,,,
1.70E-05,19,78,79,,,,
1.70E-05,2,76,77,,,,
1.72E-05,31,78,79,,,,
1.71E-05,31,77,78,,,,
1.71E-05,35,76,77,,,,
1.71E-05,16,80,81,,,,
1.74E-05,20,78,79,,,,
1.72E-05,15,79,80,,,,
1.73E-05,28,80,81,,,,
1.70E-05,30,80,81,,,,
1.71E-05,3,80,81,,,,
1.70E-05,27,81,82,,,,
1.87E-05,14,81,82,,,,
1.92E-05,3,82,83,,,,
1.80E-05,3,83,84,,,,
2.31E-05,32,87,88,,,,
2.17E-05,32,88,89,,,,
1.93E-05,30,88,89,,,,
1.70E-05,5,86,87,,,,
1.72E-05,31,87,88,,,,
1.71E-05,19,87,88,,,,
1.72E-05,18,84,85,,,,
1.71E-05,35,79,80,,,,
1.73E-05,5,83,84,,,,
1.71E-05,30,83,84,,,,
1.71E-05,24,84,85,,,,
1.70E-05,16,84,85,,,,
1.72E-05,19,80,81,,,,
1.72E-05,27,82,83,,,,
1.97E-05,16,83,84,,,,
1.99E-05,35,82,83,,,,
1.76E-05,33,84,85,,,,
1.70E-05,4,85,86,,,,
2.16E-05,17,82,83,,,,
1.82E-05,20,85,86,,,,
1.78E-05,23,80,81,,,,
1.80E-05,23,82,83,,,,
3.87E-05,22,86,87,,,,
3.13E-05,28,87,88,,,,
1.84E-05,29,87,88,,,,
1.81E-05,17,89,90,,,,
1.79E-05,16,90,91,,,,
1.82E-05,2,91,92,,,,
1.82E-05,20,92,93,,,,
1.81E-05,17,88,89,,,,
1.81E-05,16,90,91,,,,
1.80E-05,2,92,93,,,,
2.64E-05,19,92,93,,,,
1.85E-05,15,89,90,,,,
1.81E-05,9,88,89,,,,
