cas operacie,vlozene cislo,index prvku,dlzka zoznamu,,sum,pocet,
8.58E-05,15,0,2,,1.06E+00,11642,
8.36E-05,2,0,2,,,,
1.73E-05,6,0,1,,,,
8.41E-05,27,0,2,,,,
1.74E-05,11,0,1,,,,
3.14E-05,5,0,1,,,,
1.99E-05,28,0,1,,,,
8.63E-05,4,0,2,,,,
8.38E-05,24,0,3,,,,
8.91E-05,22,0,4,,,,
8.39E-05,3,0,5,,,,
8.92E-05,4,0,5,,,,
9.65E-05,34,0,7,,,,
8.48E-05,1,0,10,,,,
8.64E-05,29,0,10,,,,
8.51E-05,35,0,11,,,,
8.96E-05,3,0,8,,,,
8.39E-05,4,0,8,,,,
9.52E-05,21,0,9,,,,
8.44E-05,6,0,9,,,,
8.39E-05,12,0,6,,,,
0.0001613,14,0,8,,,,
8.48E-05,21,0,10,,,,
8.39E-05,35,0,8,,,,
8.34E-05,12,0,7,,,,
8.37E-05,11,0,8,,,,
8.38E-05,6,0,10,,,,
8.38E-05,8,0,12,,,,
9.34E-05,13,0,15,,,,
8.42E-05,18,0,15,,,,
8.42E-05,17,0,16,,,,
8.39E-05,34,0,17,,,,
8.57E-05,7,0,16,,,,
8.33E-05,22,0,8,,,,
8.44E-05,7,0,9,,,,
8.39E-05,13,0,9,,,,
8.41E-05,6,0,7,,,,
8.75E-05,5,0,5,,,,
8.38E-05,29,0,4,,,,
0.000176,6,0,7,,,,
8.56E-05,26,0,10,,,,
1.75E-05,31,0,1,,,,
1.76E-05,26,0,1,,,,
9.46E-05,27,0,2,,,,
8.89E-05,4,0,3,,,,
8.86E-05,10,0,3,,,,
8.72E-05,2,0,5,,,,
0.0001037,17,0,3,,,,
8.61E-05,30,0,3,,,,
8.37E-05,32,0,6,,,,
8.41E-05,24,0,11,,,,
8.53E-05,17,0,12,,,,
9.20E-05,3,0,15,,,,
0.0001707,29,0,17,,,,
0.0001166,34,0,16,,,,
0.0001532,27,0,16,,,,
8.41E-05,29,0,19,,,,
8.39E-05,24,0,19,,,,
8.57E-05,9,0,20,,,,
8.45E-05,6,0,24,,,,
8.39E-05,21,0,21,,,,
8.36E-05,20,0,23,,,,
8.40E-05,4,0,22,,,,
8.37E-05,5,0,22,,,,
8.40E-05,3,0,23,,,,
8.40E-05,21,0,19,,,,
8.62E-05,29,0,19,,,,
8.45E-05,34,0,17,,,,
8.35E-05,29,0,18,,,,
8.37E-05,16,0,20,,,,
8.43E-05,28,0,21,,,,
8.81E-05,27,0,23,,,,
8.35E-05,10,0,25,,,,
8.40E-05,16,0,24,,,,
8.45E-05,16,0,22,,,,
8.42E-05,18,0,23,,,,
8.42E-05,22,0,24,,,,
8.52E-05,32,0,22,,,,
8.39E-05,3,0,24,,,,
8.38E-05,20,0,25,,,,
0.0001152,25,0,26,,,,
8.35E-05,2,0,26,,,,
8.36E-05,12,0,27,,,,
8.50E-05,31,0,30,,,,
8.41E-05,27,0,26,,,,
8.37E-05,11,0,27,,,,
8.36E-05,3,0,26,,,,
8.36E-05,7,0,28,,,,
8.37E-05,29,0,25,,,,
8.77E-05,23,0,26,,,,
8.43E-05,26,0,28,,,,
8.41E-05,13,0,28,,,,
8.36E-05,31,0,28,,,,
8.41E-05,31,0,28,,,,
8.37E-05,2,0,30,,,,
8.38E-05,20,0,32,,,,
0.0001687,6,0,34,,,,
9.00E-05,22,0,35,,,,
8.48E-05,31,0,36,,,,
8.40E-05,3,0,33,,,,
8.34E-05,20,0,31,,,,
8.32E-05,23,0,27,,,,
8.94E-05,33,0,28,,,,
9.41E-05,32,0,29,,,,
8.39E-05,21,0,31,,,,
8.52E-05,6,0,33,,,,
0.0001075,8,0,29,,,,
8.44E-05,22,0,33,,,,
8.42E-05,28,0,32,,,,
8.37E-05,27,0,34,,,,
0.0001838,28,0,34,,,,
9.16E-05,35,0,32,,,,
8.36E-05,13,0,32,,,,
8.40E-05,7,0,28,,,,
0.0001612,1,0,28,,,,
0.0001036,31,0,27,,,,
8.71E-05,12,0,29,,,,
8.46E-05,16,0,32,,,,
8.49E-05,27,0,34,,,,
8.52E-05,3,0,32,,,,
8.49E-05,5,0,34,,,,
8.47E-05,6,0,34,,,,
8.44E-05,17,0,32,,,,
8.51E-05,35,0,33,,,,
8.50E-05,25,0,33,,,,
8.50E-05,8,0,33,,,,
8.48E-05,33,0,33,,,,
8.45E-05,1,0,34,,,,
8.48E-05,35,0,35,,,,
8.48E-05,25,0,36,,,,
8.48E-05,24,0,35,,,,
8.39E-05,11,0,36,,,,
8.40E-05,17,0,38,,,,
8.37E-05,23,0,40,,,,
8.35E-05,3,0,41,,,,
8.37E-05,27,0,43,,,,
8.41E-05,33,0,44,,,,
8.50E-05,31,0,43,,,,
9.22E-05,30,0,44,,,,
8.38E-05,31,0,45,,,,
8.39E-05,20,0,40,,,,
9.08E-05,35,0,40,,,,
8.38E-05,11,0,41,,,,
8.54E-05,1,0,32,,,,
8.55E-05,22,0,33,,,,
8.42E-05,33,0,33,,,,
8.38E-05,8,0,34,,,,
8.37E-05,15,0,35,,,,
8.42E-05,28,0,37,,,,
8.38E-05,25,0,38,,,,
8.38E-05,11,0,37,,,,
8.37E-05,23,0,32,,,,
8.37E-05,19,0,32,,,,
8.59E-05,35,0,32,,,,
8.38E-05,11,0,32,,,,
8.38E-05,25,0,33,,,,
8.42E-05,35,0,26,,,,
8.43E-05,26,0,28,,,,
8.35E-05,19,0,30,,,,
8.41E-05,6,0,30,,,,
8.39E-05,4,0,28,,,,
8.35E-05,13,0,29,,,,
8.39E-05,30,0,30,,,,
8.36E-05,26,0,30,,,,
8.53E-05,12,0,29,,,,
0.0001588,14,0,28,,,,
8.50E-05,1,0,26,,,,
8.43E-05,2,0,20,,,,
0.0001101,26,0,23,,,,
8.67E-05,27,0,23,,,,
8.47E-05,13,0,25,,,,
8.36E-05,30,0,26,,,,
8.52E-05,6,0,28,,,,
0.0001559,2,0,27,,,,
8.42E-05,13,0,29,,,,
8.38E-05,25,0,29,,,,
9.55E-05,22,0,29,,,,
9.77E-05,33,0,28,,,,
8.36E-05,32,0,31,,,,
8.73E-05,2,0,32,,,,
8.43E-05,30,0,31,,,,
8.31E-05,4,0,31,,,,
8.34E-05,13,0,36,,,,
8.31E-05,23,0,37,,,,
8.74E-05,15,0,38,,,,
8.34E-05,14,0,38,,,,
9.55E-05,27,0,40,,,,
9.02E-05,26,0,41,,,,
8.39E-05,15,0,39,,,,
9.21E-05,14,0,39,,,,
8.38E-05,9,0,43,,,,
8.42E-05,19,0,44,,,,
8.44E-05,18,0,46,,,,
8.39E-05,17,0,47,,,,
8.38E-05,15,0,52,,,,
8.96E-05,16,0,54,,,,
8.39E-05,29,0,50,,,,
8.36E-05,16,0,54,,,,
8.41E-05,10,0,50,,,,
8.38E-05,15,0,51,,,,
8.63E-05,25,0,52,,,,
8.42E-05,14,0,55,,,,
8.59E-05,18,0,56,,,,
8.39E-05,17,0,57,,,,
8.54E-05,4,0,57,,,,
8.38E-05,28,0,57,,,,
8.43E-05,31,0,57,,,,
8.50E-05,22,0,56,,,,
8.54E-05,11,0,56,,,,
8.47E-05,7,0,58,,,,
8.46E-05,14,0,60,,,,
8.51E-05,11,0,58,,,,
0.0002918,30,0,60,,,,
8.52E-05,7,0,61,,,,
0.0001032,7,0,60,,,,
8.44E-05,13,0,62,,,,
8.60E-05,22,0,63,,,,
8.46E-05,8,0,63,,,,
0.0001279,22,0,64,,,,
8.86E-05,18,0,60,,,,
8.38E-05,7,0,61,,,,
8.38E-05,20,0,63,,,,
8.36E-05,1,0,63,,,,
8.39E-05,6,0,64,,,,
8.40E-05,1,0,66,,,,
8.41E-05,28,0,67,,,,
8.32E-05,16,0,69,,,,
8.37E-05,26,0,69,,,,
8.42E-05,12,0,70,,,,
9.41E-05,11,0,71,,,,
8.43E-05,14,0,75,,,,
8.40E-05,28,0,75,,,,
8.37E-05,3,0,76,,,,
8.40E-05,32,0,78,,,,
8.38E-05,3,0,78,,,,
8.49E-05,18,0,81,,,,
8.63E-05,13,0,78,,,,
8.37E-05,22,0,82,,,,
8.59E-05,20,0,83,,,,
8.41E-05,19,0,82,,,,
8.35E-05,20,0,83,,,,
8.49E-05,22,0,85,,,,
8.64E-05,1,0,86,,,,
0.0001115,25,0,87,,,,
8.61E-05,33,0,88,,,,
8.42E-05,19,0,90,,,,
8.39E-05,31,0,90,,,,
8.39E-05,15,0,88,,,,
8.60E-05,2,0,88,,,,
8.37E-05,34,0,86,,,,
8.36E-05,24,0,85,,,,
8.53E-05,9,0,82,,,,
8.41E-05,31,0,83,,,,
0.0002449,27,0,82,,,,
8.97E-05,30,0,83,,,,
8.38E-05,15,0,86,,,,
8.59E-05,7,0,84,,,,
8.46E-05,8,0,87,,,,
8.48E-05,4,0,88,,,,
8.47E-05,2,0,82,,,,
8.41E-05,25,0,82,,,,
8.99E-05,27,0,82,,,,
8.44E-05,11,0,82,,,,
9.19E-05,34,0,85,,,,
8.40E-05,7,0,86,,,,
0.0001081,5,0,85,,,,
8.47E-05,10,0,86,,,,
8.42E-05,10,0,89,,,,
0.0001234,24,0,90,,,,
0.0001151,1,0,91,,,,
8.44E-05,9,0,90,,,,
8.40E-05,3,0,90,,,,
8.46E-05,14,0,89,,,,
8.40E-05,19,0,89,,,,
8.52E-05,35,0,91,,,,
0.0001108,9,0,93,,,,
8.50E-05,11,0,90,,,,
8.58E-05,24,0,88,,,,
0.0001333,2,0,88,,,,
8.50E-05,23,0,82,,,,
0.000144,8,0,80,,,,
0.0001153,20,0,82,,,,
8.50E-05,26,0,78,,,,
8.42E-05,22,0,82,,,,
8.37E-05,24,0,84,,,,
8.37E-05,28,0,84,,,,
8.37E-05,15,0,82,,,,
8.47E-05,6,0,78,,,,
8.42E-05,10,0,81,,,,
8.33E-05,19,0,80,,,,
8.35E-05,30,0,84,,,,
8.43E-05,7,0,86,,,,
8.39E-05,13,0,83,,,,
9.26E-05,5,0,85,,,,
8.39E-05,14,0,81,,,,
0.0001434,32,0,81,,,,
9.11E-05,19,0,80,,,,
8.44E-05,1,0,80,,,,
8.40E-05,19,0,78,,,,
8.48E-05,24,0,82,,,,
0.0001084,27,0,80,,,,
8.68E-05,5,0,79,,,,
8.47E-05,16,0,80,,,,
8.37E-05,2,0,79,,,,
8.46E-05,33,0,81,,,,
8.37E-05,35,0,82,,,,
8.43E-05,17,0,84,,,,
8.45E-05,14,0,84,,,,
8.35E-05,1,0,83,,,,
8.60E-05,31,0,83,,,,
8.38E-05,5,0,85,,,,
8.37E-05,31,0,85,,,,
8.41E-05,22,0,73,,,,
8.39E-05,20,0,70,,,,
8.45E-05,2,0,68,,,,
8.44E-05,3,0,69,,,,
8.37E-05,14,0,69,,,,
8.77E-05,5,0,70,,,,
9.24E-05,17,0,71,,,,
9.28E-05,33,0,71,,,,
8.39E-05,5,0,72,,,,
9.14E-05,33,0,72,,,,
8.38E-05,3,0,73,,,,
8.34E-05,3,0,73,,,,
8.38E-05,32,0,74,,,,
8.38E-05,10,0,76,,,,
8.40E-05,6,0,79,,,,
0.000121,32,0,79,,,,
8.44E-05,27,0,78,,,,
9.24E-05,33,0,79,,,,
0.0001442,29,0,79,,,,
8.61E-05,16,0,81,,,,
9.26E-05,17,0,82,,,,
8.38E-05,6,0,84,,,,
8.49E-05,16,0,82,,,,
9.40E-05,18,0,81,,,,
8.37E-05,22,0,83,,,,
8.33E-05,13,0,85,,,,
0.000104,32,0,79,,,,
8.53E-05,25,0,78,,,,
8.48E-05,28,0,77,,,,
8.39E-05,4,0,79,,,,
8.37E-05,3,0,78,,,,
8.79E-05,35,0,70,,,,
8.44E-05,1,0,64,,,,
8.41E-05,29,0,65,,,,
8.40E-05,6,0,63,,,,
8.44E-05,19,0,63,,,,
8.37E-05,18,0,63,,,,
8.42E-05,19,0,64,,,,
8.54E-05,17,0,63,,,,
8.50E-05,29,0,63,,,,
9.62E-05,18,0,65,,,,
8.44E-05,34,0,61,,,,
8.39E-05,25,0,60,,,,
8.36E-05,15,0,61,,,,
8.37E-05,22,0,61,,,,
8.47E-05,31,0,61,,,,
8.54E-05,11,0,60,,,,
8.46E-05,4,0,62,,,,
8.41E-05,18,0,62,,,,
8.82E-05,34,0,61,,,,
8.51E-05,1,0,57,,,,
8.47E-05,23,0,56,,,,
0.0002121,32,0,52,,,,
8.93E-05,27,0,53,,,,
8.56E-05,10,0,56,,,,
0.000114,17,0,56,,,,
9.07E-05,25,0,56,,,,
8.43E-05,27,0,57,,,,
9.51E-05,23,0,58,,,,
8.72E-05,17,0,59,,,,
0.0001287,10,0,57,,,,
0.000122,18,0,59,,,,
8.47E-05,5,0,59,,,,
8.42E-05,5,0,59,,,,
0.0001184,16,0,57,,,,
9.11E-05,1,0,59,,,,
8.38E-05,2,0,55,,,,
8.34E-05,25,0,54,,,,
8.43E-05,9,0,55,,,,
8.72E-05,25,0,51,,,,
9.15E-05,23,0,52,,,,
0.0001766,27,0,48,,,,
8.55E-05,32,0,48,,,,
8.47E-05,7,0,50,,,,
8.59E-05,7,0,50,,,,
8.75E-05,29,0,49,,,,
0.0001844,22,0,50,,,,
8.44E-05,14,0,48,,,,
8.74E-05,5,0,49,,,,
8.46E-05,31,0,50,,,,
9.44E-05,28,0,41,,,,
8.50E-05,14,0,40,,,,
8.40E-05,14,0,38,,,,
8.38E-05,31,0,36,,,,
9.08E-05,29,0,34,,,,
8.99E-05,18,0,29,,,,
9.53E-05,6,0,27,,,,
8.56E-05,21,0,28,,,,
8.38E-05,25,0,29,,,,
8.42E-05,33,0,29,,,,
8.41E-05,1,0,31,,,,
8.38E-05,7,0,30,,,,
8.38E-05,9,0,31,,,,
8.41E-05,13,0,32,,,,
8.37E-05,1,0,31,,,,
8.69E-05,35,0,32,,,,
8.45E-05,34,0,34,,,,
8.37E-05,2,0,34,,,,
8.49E-05,30,0,36,,,,
9.66E-05,18,0,36,,,,
8.46E-05,26,0,32,,,,
8.53E-05,20,0,31,,,,
0.0001017,12,0,31,,,,
8.44E-05,21,0,34,,,,
8.45E-05,15,0,33,,,,
8.61E-05,6,0,33,,,,
8.51E-05,6,0,33,,,,
0.000117,4,0,31,,,,
0.0001164,21,0,32,,,,
0.0001245,18,0,33,,,,
0.0001017,3,0,32,,,,
9.19E-05,35,0,34,,,,
8.46E-05,35,0,33,,,,
8.47E-05,20,0,30,,,,
8.43E-05,11,0,28,,,,
8.44E-05,7,0,27,,,,
8.38E-05,31,0,30,,,,
8.80E-05,7,0,33,,,,
9.01E-05,18,0,34,,,,
8.56E-05,2,0,35,,,,
8.94E-05,5,0,34,,,,
8.47E-05,11,0,35,,,,
8.36E-05,23,0,27,,,,
8.35E-05,9,0,28,,,,
9.45E-05,3,0,25,,,,
8.43E-05,19,0,27,,,,
8.36E-05,29,0,31,,,,
8.38E-05,30,0,32,,,,
8.48E-05,18,0,32,,,,
8.49E-05,13,0,33,,,,
8.40E-05,1,0,34,,,,
8.33E-05,10,0,37,,,,
8.29E-05,34,0,36,,,,
8.29E-05,35,0,37,,,,
9.99E-05,26,0,37,,,,
8.40E-05,3,0,39,,,,
8.37E-05,7,0,39,,,,
8.49E-05,35,0,41,,,,
9.35E-05,12,0,33,,,,
8.42E-05,8,0,28,,,,
8.43E-05,15,0,28,,,,
8.39E-05,9,0,29,,,,
8.35E-05,25,0,30,,,,
8.38E-05,25,0,29,,,,
9.04E-05,29,0,30,,,,
8.52E-05,22,0,29,,,,
9.15E-05,27,0,27,,,,
0.0001537,18,0,31,,,,
8.50E-05,7,0,35,,,,
8.48E-05,29,0,36,,,,
8.42E-05,2,0,31,,,,
8.50E-05,26,0,32,,,,
8.39E-05,27,0,32,,,,
8.39E-05,7,0,33,,,,
8.35E-05,30,0,29,,,,
0.0001272,21,0,28,,,,
8.38E-05,29,0,25,,,,
8.40E-05,12,0,25,,,,
8.42E-05,14,0,24,,,,
8.74E-05,1,0,15,,,,
8.65E-05,28,0,16,,,,
8.32E-05,2,0,14,,,,
0.0001125,6,0,13,,,,
9.08E-05,24,0,14,,,,
8.46E-05,28,0,12,,,,
8.54E-05,15,0,13,,,,
8.35E-05,8,0,14,,,,
9.08E-05,33,0,15,,,,
8.38E-05,26,0,15,,,,
8.37E-05,16,0,14,,,,
8.42E-05,3,0,12,,,,
8.39E-05,35,0,12,,,,
8.96E-05,32,0,11,,,,
8.44E-05,16,0,13,,,,
