cas operacie,index prvku,dlzka zoznamu,,,sum,pocet
3.63E-05,0,0,,,1.09E+00,11823
8.40E-05,0,1,,,,
2.47E-05,0,0,,,,
8.36E-05,3,4,,,,
8.93E-05,6,7,,,,
8.51E-05,6,9,,,,
0.0001235,4,9,,,,
8.52E-05,4,10,,,,
8.50E-05,7,9,,,,
9.24E-05,4,8,,,,
8.42E-05,6,7,,,,
8.40E-05,4,5,,,,
8.41E-05,0,8,,,,
8.61E-05,2,7,,,,
8.66E-05,1,6,,,,
8.40E-05,4,11,,,,
8.42E-05,2,15,,,,
8.61E-05,4,16,,,,
9.17E-05,9,11,,,,
8.37E-05,0,7,,,,
8.38E-05,1,8,,,,
8.41E-05,5,9,,,,
8.36E-05,5,6,,,,
0.0001209,4,6,,,,
8.55E-05,3,5,,,,
9.54E-05,3,4,,,,
8.99E-05,1,2,,,,
8.39E-05,1,2,,,,
8.33E-05,0,1,,,,
8.40E-05,1,6,,,,
8.53E-05,0,7,,,,
9.06E-05,4,6,,,,
8.39E-05,0,5,,,,
8.37E-05,2,3,,,,
8.39E-05,0,1,,,,
2.46E-05,0,0,,,,
2.49E-05,0,0,,,,
2.54E-05,0,0,,,,
8.55E-05,0,1,,,,
8.40E-05,1,2,,,,
2.46E-05,0,0,,,,
2.48E-05,0,0,,,,
8.37E-05,0,1,,,,
9.90E-05,0,1,,,,
8.44E-05,1,2,,,,
8.82E-05,1,3,,,,
8.40E-05,2,4,,,,
8.55E-05,2,9,,,,
0.0001115,7,16,,,,
0.0001712,5,15,,,,
8.38E-05,17,18,,,,
8.34E-05,6,18,,,,
8.49E-05,14,22,,,,
8.44E-05,5,23,,,,
8.43E-05,1,21,,,,
8.40E-05,17,20,,,,
8.57E-05,22,23,,,,
9.13E-05,0,23,,,,
8.37E-05,4,22,,,,
8.37E-05,15,20,,,,
8.40E-05,17,19,,,,
8.37E-05,11,19,,,,
8.33E-05,2,19,,,,
0.0001972,9,17,,,,
8.40E-05,10,19,,,,
8.45E-05,16,17,,,,
9.25E-05,14,24,,,,
8.44E-05,11,22,,,,
8.40E-05,8,23,,,,
9.10E-05,10,22,,,,
8.38E-05,5,21,,,,
8.78E-05,1,21,,,,
8.39E-05,23,24,,,,
8.40E-05,11,23,,,,
8.43E-05,3,22,,,,
8.63E-05,4,21,,,,
8.38E-05,7,20,,,,
8.60E-05,6,21,,,,
8.34E-05,23,24,,,,
8.93E-05,14,27,,,,
8.50E-05,28,29,,,,
8.40E-05,23,27,,,,
8.42E-05,16,25,,,,
8.39E-05,9,26,,,,
8.38E-05,19,27,,,,
8.36E-05,7,25,,,,
8.37E-05,11,24,,,,
8.40E-05,23,27,,,,
8.38E-05,4,27,,,,
8.39E-05,15,28,,,,
0.0001006,31,35,,,,
8.44E-05,27,34,,,,
8.53E-05,13,32,,,,
9.13E-05,18,32,,,,
8.39E-05,15,32,,,,
8.34E-05,27,31,,,,
8.43E-05,24,30,,,,
8.35E-05,12,28,,,,
8.36E-05,20,30,,,,
8.50E-05,8,28,,,,
8.41E-05,31,33,,,,
8.43E-05,1,30,,,,
8.43E-05,15,29,,,,
8.60E-05,29,31,,,,
9.11E-05,25,32,,,,
8.36E-05,22,31,,,,
0.0001003,3,30,,,,
9.31E-05,15,32,,,,
8.45E-05,21,31,,,,
8.46E-05,2,30,,,,
8.60E-05,7,28,,,,
8.41E-05,24,27,,,,
0.0001034,1,26,,,,
8.44E-05,23,36,,,,
0.0001325,23,33,,,,
8.48E-05,9,32,,,,
8.63E-05,12,31,,,,
8.56E-05,33,36,,,,
8.49E-05,28,33,,,,
8.51E-05,6,32,,,,
0.0001198,15,32,,,,
9.10E-05,0,33,,,,
8.97E-05,9,33,,,,
8.51E-05,33,34,,,,
8.45E-05,20,34,,,,
8.50E-05,32,34,,,,
8.39E-05,35,36,,,,
8.38E-05,18,43,,,,
9.27E-05,9,43,,,,
8.37E-05,6,42,,,,
8.40E-05,13,40,,,,
8.37E-05,18,39,,,,
8.41E-05,29,38,,,,
8.35E-05,22,37,,,,
0.0001209,16,39,,,,
0.0001122,36,37,,,,
0.0001111,17,34,,,,
0.0001111,11,33,,,,
8.97E-05,30,31,,,,
8.95E-05,3,32,,,,
8.40E-05,15,37,,,,
8.40E-05,21,36,,,,
8.35E-05,22,36,,,,
8.37E-05,32,35,,,,
0.0001074,19,35,,,,
8.38E-05,31,36,,,,
9.25E-05,30,32,,,,
8.51E-05,27,31,,,,
8.43E-05,1,31,,,,
8.57E-05,29,30,,,,
8.98E-05,30,31,,,,
8.43E-05,6,30,,,,
8.39E-05,8,31,,,,
8.42E-05,24,30,,,,
8.41E-05,4,30,,,,
8.56E-05,17,29,,,,
8.39E-05,18,27,,,,
8.40E-05,11,27,,,,
8.58E-05,23,29,,,,
8.38E-05,8,28,,,,
8.40E-05,4,29,,,,
8.45E-05,1,26,,,,
8.40E-05,20,25,,,,
8.44E-05,16,21,,,,
8.42E-05,17,19,,,,
8.42E-05,14,19,,,,
8.43E-05,11,26,,,,
9.28E-05,7,25,,,,
8.42E-05,6,25,,,,
0.0001182,12,26,,,,
9.34E-05,7,26,,,,
8.58E-05,17,28,,,,
8.55E-05,25,28,,,,
8.36E-05,24,28,,,,
8.84E-05,11,28,,,,
8.43E-05,27,30,,,,
8.41E-05,17,30,,,,
8.42E-05,5,30,,,,
8.48E-05,15,32,,,,
8.49E-05,29,32,,,,
0.0001331,1,31,,,,
8.34E-05,2,37,,,,
8.33E-05,26,37,,,,
8.46E-05,29,38,,,,
8.45E-05,8,39,,,,
9.16E-05,17,38,,,,
8.49E-05,42,46,,,,
8.43E-05,25,52,,,,
8.40E-05,36,51,,,,
8.39E-05,20,49,,,,
8.40E-05,33,51,,,,
8.43E-05,43,54,,,,
8.41E-05,16,53,,,,
8.37E-05,12,52,,,,
8.41E-05,45,51,,,,
9.57E-05,14,48,,,,
8.59E-05,38,56,,,,
9.13E-05,9,56,,,,
9.05E-05,40,57,,,,
8.55E-05,13,57,,,,
8.57E-05,14,60,,,,
8.51E-05,46,60,,,,
8.43E-05,19,59,,,,
8.52E-05,1,62,,,,
8.55E-05,33,61,,,,
8.51E-05,55,60,,,,
0.0001251,43,63,,,,
0.0001187,33,62,,,,
8.41E-05,13,60,,,,
8.40E-05,1,63,,,,
8.40E-05,43,62,,,,
8.40E-05,35,68,,,,
9.04E-05,64,72,,,,
8.41E-05,51,77,,,,
8.35E-05,44,77,,,,
8.36E-05,58,80,,,,
8.47E-05,3,79,,,,
8.38E-05,44,77,,,,
9.24E-05,20,81,,,,
0.000133,59,87,,,,
8.36E-05,12,89,,,,
8.38E-05,77,87,,,,
8.43E-05,51,87,,,,
8.43E-05,82,87,,,,
8.37E-05,15,86,,,,
8.41E-05,0,85,,,,
8.50E-05,18,80,,,,
