cas operacie,index prvku,dlzka zoznamu,,,sum,pocet
2.48E-05,0,0,,,3.26E-01,11654
2.49E-05,1,1,,,,
2.64E-05,0,0,,,,
2.62E-05,0,0,,,,
2.48E-05,4,4,,,,
2.67E-05,8,8,,,,
2.60E-05,7,7,,,,
4.68E-05,8,8,,,,
2.52E-05,8,8,,,,
2.73E-05,9,9,,,,
2.53E-05,6,6,,,,
2.47E-05,6,6,,,,
2.49E-05,8,8,,,,
2.46E-05,8,8,,,,
2.46E-05,7,7,,,,
2.54E-05,5,5,,,,
2.49E-05,14,14,,,,
2.45E-05,13,13,,,,
3.03E-05,16,16,,,,
2.89E-05,18,18,,,,
2.50E-05,17,17,,,,
3.64E-05,15,15,,,,
2.63E-05,15,15,,,,
3.38E-05,14,14,,,,
2.57E-05,13,13,,,,
2.46E-05,10,10,,,,
2.49E-05,10,10,,,,
2.52E-05,8,8,,,,
2.47E-05,7,7,,,,
2.47E-05,5,5,,,,
2.52E-05,4,4,,,,
2.48E-05,3,3,,,,
2.50E-05,7,7,,,,
2.46E-05,8,8,,,,
2.49E-05,2,2,,,,
2.46E-05,1,1,,,,
2.97E-05,1,1,,,,
2.94E-05,0,0,,,,
2.50E-05,0,0,,,,
2.48E-05,0,0,,,,
2.48E-05,0,0,,,,
2.48E-05,1,1,,,,
2.59E-05,2,2,,,,
2.54E-05,2,2,,,,
3.25E-05,4,4,,,,
2.82E-05,3,3,,,,
3.80E-05,3,3,,,,
2.97E-05,2,2,,,,
2.63E-05,5,5,,,,
2.52E-05,9,9,,,,
2.45E-05,11,11,,,,
2.51E-05,16,16,,,,
5.16E-05,15,15,,,,
2.56E-05,19,19,,,,
2.48E-05,19,19,,,,
2.47E-05,20,20,,,,
3.02E-05,22,22,,,,
2.48E-05,21,21,,,,
2.47E-05,21,21,,,,
2.49E-05,21,21,,,,
2.45E-05,18,18,,,,
3.22E-05,18,18,,,,
2.46E-05,18,18,,,,
2.48E-05,16,16,,,,
2.46E-05,17,17,,,,
3.03E-05,24,24,,,,
2.48E-05,23,23,,,,
4.11E-05,23,23,,,,
2.45E-05,28,28,,,,
2.45E-05,26,26,,,,
2.48E-05,25,25,,,,
3.08E-05,26,26,,,,
2.51E-05,27,27,,,,
2.62E-05,34,34,,,,
2.56E-05,33,33,,,,
2.50E-05,32,32,,,,
2.46E-05,33,33,,,,
2.47E-05,32,32,,,,
2.46E-05,30,30,,,,
3.03E-05,33,33,,,,
2.47E-05,32,32,,,,
2.45E-05,30,30,,,,
2.52E-05,28,28,,,,
2.47E-05,27,27,,,,
2.43E-05,26,26,,,,
2.46E-05,32,32,,,,
2.47E-05,28,28,,,,
2.49E-05,29,29,,,,
2.79E-05,30,30,,,,
2.85E-05,32,32,,,,
2.51E-05,33,33,,,,
5.21E-05,33,33,,,,
3.22E-05,32,32,,,,
2.49E-05,31,31,,,,
2.47E-05,29,29,,,,
2.50E-05,27,27,,,,
4.52E-05,27,27,,,,
3.34E-05,26,26,,,,
2.97E-05,26,26,,,,
2.97E-05,25,25,,,,
3.07E-05,33,33,,,,
2.56E-05,34,34,,,,
2.62E-05,35,35,,,,
2.58E-05,34,34,,,,
2.57E-05,32,32,,,,
2.57E-05,31,31,,,,
2.63E-05,32,32,,,,
2.60E-05,32,32,,,,
2.69E-05,35,35,,,,
2.48E-05,37,37,,,,
3.14E-05,42,42,,,,
2.47E-05,43,43,,,,
2.99E-05,41,41,,,,
2.47E-05,44,44,,,,
2.45E-05,43,43,,,,
2.46E-05,41,41,,,,
3.25E-05,34,34,,,,
3.56E-05,32,32,,,,
2.51E-05,32,32,,,,
2.54E-05,38,38,,,,
2.49E-05,35,35,,,,
2.46E-05,36,36,,,,
2.46E-05,34,34,,,,
2.68E-05,31,31,,,,
2.49E-05,30,30,,,,
2.50E-05,29,29,,,,
2.48E-05,31,31,,,,
2.47E-05,33,33,,,,
2.47E-05,32,32,,,,
2.46E-05,33,33,,,,
2.56E-05,31,31,,,,
2.66E-05,32,32,,,,
2.51E-05,31,31,,,,
2.47E-05,27,27,,,,
2.46E-05,25,25,,,,
2.48E-05,29,29,,,,
2.48E-05,28,28,,,,
2.46E-05,28,28,,,,
2.49E-05,27,27,,,,
2.64E-05,26,26,,,,
4.52E-05,27,27,,,,
2.59E-05,25,25,,,,
2.57E-05,25,25,,,,
2.57E-05,24,24,,,,
2.60E-05,23,23,,,,
2.56E-05,23,23,,,,
2.78E-05,20,20,,,,
2.77E-05,22,22,,,,
2.47E-05,25,25,,,,
2.63E-05,27,27,,,,
2.49E-05,29,29,,,,
3.36E-05,32,32,,,,
2.76E-05,30,30,,,,
2.43E-05,37,37,,,,
2.47E-05,38,38,,,,
2.60E-05,41,41,,,,
2.54E-05,40,40,,,,
2.48E-05,37,37,,,,
2.53E-05,41,41,,,,
2.49E-05,40,40,,,,
3.21E-05,42,42,,,,
2.47E-05,43,43,,,,
2.97E-05,44,44,,,,
2.51E-05,47,47,,,,
2.60E-05,53,53,,,,
2.47E-05,50,50,,,,
2.45E-05,49,49,,,,
2.49E-05,51,51,,,,
3.08E-05,50,50,,,,
2.49E-05,51,51,,,,
2.48E-05,51,51,,,,
2.52E-05,49,49,,,,
2.49E-05,53,53,,,,
2.51E-05,54,54,,,,
2.47E-05,57,57,,,,
3.62E-05,56,56,,,,
2.64E-05,55,55,,,,
2.59E-05,59,59,,,,
4.50E-05,59,59,,,,
3.54E-05,58,58,,,,
2.60E-05,59,59,,,,
2.60E-05,60,60,,,,
2.64E-05,63,63,,,,
4.36E-05,63,63,,,,
3.59E-05,62,62,,,,
4.15E-05,61,61,,,,
3.50E-05,60,60,,,,
2.57E-05,58,58,,,,
2.55E-05,57,57,,,,
3.68E-05,59,59,,,,
2.49E-05,61,61,,,,
2.45E-05,74,74,,,,
3.36E-05,73,73,,,,
2.47E-05,77,77,,,,
2.48E-05,79,79,,,,
2.45E-05,76,76,,,,
3.39E-05,80,80,,,,
2.63E-05,79,79,,,,
2.46E-05,78,78,,,,
2.48E-05,77,77,,,,
2.48E-05,76,76,,,,
2.49E-05,82,82,,,,
2.50E-05,82,82,,,,
2.65E-05,81,81,,,,
2.48E-05,80,80,,,,
2.47E-05,81,81,,,,
2.95E-05,88,88,,,,
2.46E-05,90,90,,,,
2.47E-05,88,88,,,,
2.46E-05,85,85,,,,
2.79E-05,83,83,,,,
3.28E-05,82,82,,,,
2.66E-05,84,84,,,,
2.46E-05,82,82,,,,
2.48E-05,81,81,,,,
2.54E-05,82,82,,,,
2.47E-05,81,81,,,,
2.62E-05,83,83,,,,
3.30E-05,82,82,,,,
2.45E-05,82,82,,,,
2.58E-05,87,87,,,,
2.57E-05,86,86,,,,
2.57E-05,87,87,,,,
2.57E-05,85,85,,,,
3.63E-05,82,82,,,,
2.59E-05,81,81,,,,
2.60E-05,90,90,,,,
3.45E-05,90,90,,,,
4.20E-05,89,89,,,,
2.55E-05,88,88,,,,
2.59E-05,87,87,,,,
2.93E-05,88,88,,,,
2.58E-05,88,88,,,,
2.59E-05,87,87,,,,
3.54E-05,92,92,,,,
3.05E-05,89,89,,,,
2.57E-05,88,88,,,,
2.60E-05,87,87,,,,
2.61E-05,89,89,,,,
2.60E-05,89,89,,,,
2.56E-05,87,87,,,,
2.57E-05,85,85,,,,
3.35E-05,82,82,,,,
2.84E-05,81,81,,,,
3.88E-05,79,79,,,,
3.62E-05,81,81,,,,
3.57E-05,80,80,,,,
3.08E-05,78,78,,,,
2.58E-05,77,77,,,,
2.51E-05,83,83,,,,
2.46E-05,82,82,,,,
2.48E-05,81,81,,,,
2.57E-05,80,80,,,,
2.57E-05,79,79,,,,
2.56E-05,78,78,,,,
2.47E-05,80,80,,,,
2.48E-05,80,80,,,,
2.47E-05,84,84,,,,
2.50E-05,85,85,,,,
2.49E-05,83,83,,,,
2.50E-05,81,81,,,,
2.62E-05,83,83,,,,
2.48E-05,82,82,,,,
2.70E-05,82,82,,,,
2.46E-05,79,79,,,,
3.71E-05,78,78,,,,
2.51E-05,79,79,,,,
2.49E-05,78,78,,,,
2.49E-05,77,77,,,,
2.48E-05,75,75,,,,
5.69E-05,78,78,,,,
2.76E-05,79,79,,,,
2.59E-05,79,79,,,,
2.58E-05,79,79,,,,
3.11E-05,77,77,,,,
2.75E-05,77,77,,,,
2.45E-05,83,83,,,,
2.61E-05,85,85,,,,
2.58E-05,83,83,,,,
2.46E-05,83,83,,,,
2.50E-05,79,79,,,,
2.46E-05,78,78,,,,
2.46E-05,77,77,,,,
2.62E-05,76,76,,,,
2.91E-05,75,75,,,,
2.60E-05,74,74,,,,
2.52E-05,73,73,,,,
2.48E-05,72,72,,,,
2.46E-05,71,71,,,,
2.45E-05,69,69,,,,
2.48E-05,68,68,,,,
3.11E-05,67,67,,,,
2.45E-05,69,69,,,,
2.49E-05,70,70,,,,
2.48E-05,72,72,,,,
2.50E-05,72,72,,,,
3.15E-05,72,72,,,,
2.46E-05,71,71,,,,
2.63E-05,71,71,,,,
2.56E-05,72,72,,,,
2.46E-05,75,75,,,,
2.59E-05,77,77,,,,
3.10E-05,78,78,,,,
