cas operacie,index prvku,dlzka zoznamu,,,sum,pocet
9.04E-05,0,1,,,1.06E+00,11526
8.44E-05,0,1,,,,
2.50E-05,0,0,,,,
8.38E-05,0,1,,,,
8.64E-05,0,1,,,,
2.47E-05,0,0,,,,
2.50E-05,0,0,,,,
9.63E-05,0,0,,,,
8.41E-05,0,5,,,,
9.71E-05,0,6,,,,
8.68E-05,0,10,,,,
8.54E-05,0,11,,,,
8.44E-05,0,10,,,,
8.46E-05,0,7,,,,
8.42E-05,0,7,,,,
8.40E-05,0,6,,,,
8.40E-05,0,5,,,,
8.41E-05,0,6,,,,
8.44E-05,0,8,,,,
8.40E-05,0,8,,,,
9.13E-05,0,6,,,,
8.47E-05,0,9,,,,
8.44E-05,0,8,,,,
8.39E-05,0,7,,,,
8.37E-05,0,6,,,,
8.43E-05,0,7,,,,
8.37E-05,0,12,,,,
8.46E-05,0,17,,,,
8.38E-05,0,16,,,,
8.38E-05,0,18,,,,
8.49E-05,0,12,,,,
8.41E-05,0,11,,,,
8.58E-05,0,9,,,,
8.40E-05,0,7,,,,
8.37E-05,0,8,,,,
8.40E-05,0,4,,,,
8.38E-05,0,3,,,,
8.40E-05,0,2,,,,
8.47E-05,0,9,,,,
0.000327,0,8,,,,
8.42E-05,0,7,,,,
8.39E-05,0,4,,,,
2.67E-05,0,0,,,,
8.45E-05,0,1,,,,
8.43E-05,0,1,,,,
2.47E-05,0,0,,,,
9.29E-05,0,2,,,,
8.53E-05,0,2,,,,
0.0001256,0,4,,,,
0.0001225,0,2,,,,
8.55E-05,0,1,,,,
8.39E-05,0,6,,,,
8.51E-05,0,14,,,,
8.49E-05,0,15,,,,
8.93E-05,0,18,,,,
8.34E-05,0,18,,,,
8.43E-05,0,22,,,,
8.40E-05,0,21,,,,
8.37E-05,0,21,,,,
8.67E-05,0,22,,,,
8.42E-05,0,24,,,,
8.38E-05,0,19,,,,
8.32E-05,0,18,,,,
9.19E-05,0,16,,,,
8.39E-05,0,18,,,,
8.44E-05,0,19,,,,
8.44E-05,0,23,,,,
8.43E-05,0,21,,,,
8.43E-05,0,23,,,,
9.13E-05,0,23,,,,
8.43E-05,0,23,,,,
8.37E-05,0,22,,,,
8.35E-05,0,22,,,,
8.38E-05,0,25,,,,
8.40E-05,0,25,,,,
8.38E-05,0,26,,,,
8.37E-05,0,26,,,,
8.60E-05,0,25,,,,
8.62E-05,0,25,,,,
8.96E-05,0,26,,,,
8.45E-05,0,27,,,,
9.20E-05,0,33,,,,
8.41E-05,0,32,,,,
8.35E-05,0,31,,,,
8.57E-05,0,29,,,,
8.57E-05,0,30,,,,
8.34E-05,0,29,,,,
8.37E-05,0,27,,,,
8.43E-05,0,33,,,,
9.12E-05,0,31,,,,
8.43E-05,0,28,,,,
8.42E-05,0,28,,,,
0.0001155,0,31,,,,
8.38E-05,0,32,,,,
8.39E-05,0,30,,,,
8.74E-05,0,28,,,,
8.45E-05,0,35,,,,
8.51E-05,0,33,,,,
8.49E-05,0,31,,,,
0.0001968,0,30,,,,
8.62E-05,0,36,,,,
8.56E-05,0,33,,,,
9.26E-05,0,32,,,,
8.54E-05,0,32,,,,
8.48E-05,0,32,,,,
8.67E-05,0,35,,,,
8.52E-05,0,34,,,,
8.41E-05,0,40,,,,
8.39E-05,0,42,,,,
0.0002965,0,42,,,,
8.41E-05,0,42,,,,
8.42E-05,0,44,,,,
8.42E-05,0,39,,,,
9.86E-05,0,40,,,,
0.0001226,0,38,,,,
0.0001067,0,36,,,,
0.0001076,0,35,,,,
0.0001097,0,32,,,,
8.56E-05,0,31,,,,
8.44E-05,0,37,,,,
8.38E-05,0,36,,,,
8.42E-05,0,37,,,,
8.36E-05,0,35,,,,
8.36E-05,0,35,,,,
8.42E-05,0,35,,,,
8.36E-05,0,33,,,,
8.54E-05,0,31,,,,
8.42E-05,0,31,,,,
9.09E-05,0,32,,,,
8.43E-05,0,30,,,,
8.42E-05,0,32,,,,
9.34E-05,0,32,,,,
8.44E-05,0,33,,,,
8.42E-05,0,30,,,,
8.40E-05,0,29,,,,
8.39E-05,0,28,,,,
8.40E-05,0,26,,,,
8.38E-05,0,26,,,,
8.43E-05,0,29,,,,
0.0001083,0,26,,,,
8.60E-05,0,23,,,,
8.50E-05,0,22,,,,
8.45E-05,0,21,,,,
8.47E-05,0,20,,,,
0.00024,0,22,,,,
0.0002163,0,26,,,,
9.13E-05,0,28,,,,
8.72E-05,0,27,,,,
8.47E-05,0,27,,,,
8.39E-05,0,31,,,,
8.37E-05,0,30,,,,
8.39E-05,0,32,,,,
8.60E-05,0,31,,,,
8.41E-05,0,30,,,,
8.79E-05,0,37,,,,
8.30E-05,0,36,,,,
8.50E-05,0,39,,,,
8.42E-05,0,38,,,,
8.41E-05,0,39,,,,
8.41E-05,0,38,,,,
8.39E-05,0,40,,,,
8.62E-05,0,37,,,,
8.41E-05,0,42,,,,
8.45E-05,0,45,,,,
8.48E-05,0,51,,,,
9.09E-05,0,49,,,,
8.41E-05,0,50,,,,
8.42E-05,0,53,,,,
8.48E-05,0,53,,,,
8.55E-05,0,51,,,,
9.25E-05,0,50,,,,
8.54E-05,0,49,,,,
8.40E-05,0,56,,,,
8.39E-05,0,57,,,,
8.47E-05,0,56,,,,
8.64E-05,0,56,,,,
0.0001395,0,55,,,,
8.51E-05,0,55,,,,
8.49E-05,0,59,,,,
8.51E-05,0,59,,,,
9.01E-05,0,58,,,,
0.0002184,0,59,,,,
0.0001083,0,59,,,,
0.0001154,0,61,,,,
8.60E-05,0,62,,,,
0.0001721,0,62,,,,
8.49E-05,0,63,,,,
8.54E-05,0,64,,,,
0.0001895,0,63,,,,
0.0001181,0,59,,,,
0.0001194,0,58,,,,
8.36E-05,0,62,,,,
8.33E-05,0,61,,,,
8.51E-05,0,66,,,,
8.46E-05,0,66,,,,
8.42E-05,0,69,,,,
8.41E-05,0,74,,,,
8.44E-05,0,75,,,,
8.43E-05,0,74,,,,
8.42E-05,0,73,,,,
8.39E-05,0,74,,,,
8.43E-05,0,77,,,,
8.42E-05,0,78,,,,
8.36E-05,0,76,,,,
8.41E-05,0,79,,,,
8.40E-05,0,78,,,,
8.55E-05,0,76,,,,
8.40E-05,0,80,,,,
8.42E-05,0,81,,,,
8.39E-05,0,82,,,,
0.0001112,0,84,,,,
0.0001088,0,88,,,,
0.0001364,0,89,,,,
8.44E-05,0,89,,,,
8.37E-05,0,89,,,,
8.40E-05,0,87,,,,
8.41E-05,0,86,,,,
8.40E-05,0,87,,,,
8.39E-05,0,87,,,,
8.37E-05,0,88,,,,
0.0001047,0,87,,,,
8.42E-05,0,88,,,,
