cas operacie,vlozene cislo,index prvku,dlzka zoznamu,,,,
2.33E-05,0,0,3,,,sum,pocet
7.68E-05,2,2,10,,,3.09E+00,
0.0001996,8,8,9,,,5001,
6.76E-05,2,2,6,,,,
4.53E-05,1,1,3,,,,
6.79E-05,2,2,6,,,,
6.77E-05,2,2,4,,,,
3.04E-05,0,0,2,,,,
4.48E-05,1,1,2,,,,
2.27E-05,0,0,3,,,,
2.30E-05,0,0,1,,,,
2.26E-05,0,0,1,,,,
4.59E-05,1,1,4,,,,
4.65E-05,0,0,2,,,,
2.94E-05,0,0,1,,,,
6.76E-05,2,2,3,,,,
4.53E-05,1,1,4,,,,
2.34E-05,0,0,5,,,,
0.0001774,7,7,8,,,,
4.48E-05,1,1,11,,,,
0.0002534,10,10,11,,,,
0.0001114,4,4,11,,,,
4.46E-05,1,1,4,,,,
2.30E-05,0,0,3,,,,
2.31E-05,0,0,2,,,,
2.28E-05,0,0,1,,,,
6.93E-05,0,0,5,,,,
8.98E-05,3,3,7,,,,
4.51E-05,1,1,2,,,,
2.29E-05,0,0,3,,,,
8.97E-05,3,3,9,,,,
0.0001782,7,7,10,,,,
0.0002448,10,10,13,,,,
0.0002012,8,8,10,,,,
6.69E-05,2,2,14,,,,
2.32E-05,0,0,17,,,,
2.29E-05,0,0,9,,,,
0.0001106,4,4,21,,,,
0.000206,8,8,13,,,,
0.0001999,8,8,23,,,,
0.0002203,9,9,25,,,,
0.0004872,21,21,26,,,,
0.0002009,8,8,21,,,,
8.95E-05,3,3,21,,,,
0.0001556,6,6,22,,,,
0.0003992,17,17,22,,,,
0.0005107,22,22,31,,,,
0.0005418,23,23,43,,,,
0.0003424,13,13,41,,,,
0.0001782,7,7,42,,,,
0.0003194,13,13,48,,,,
0.0003304,13,13,49,,,,
0.0006482,20,20,52,,,,
0.0003884,13,13,52,,,,
0.0005351,16,16,56,,,,
0.0002289,9,9,53,,,,
0.0008043,35,35,52,,,,
0.000752,33,33,46,,,,
0.0002267,9,9,44,,,,
0.0006003,26,26,45,,,,
0.0001567,6,6,45,,,,
0.0008628,38,38,44,,,,
0.000359,15,15,36,,,,
4.57E-05,1,1,47,,,,
0.0005661,24,24,45,,,,
0.0002064,6,6,47,,,,
4.53E-05,1,1,35,,,,
0.0006308,27,27,36,,,,
0.0003091,13,13,36,,,,
0.000493,9,9,31,,,,
0.0002949,6,6,29,,,,
0.0001346,5,5,35,,,,
0.0002444,10,10,35,,,,
0.0002007,8,8,27,,,,
0.0003265,8,8,27,,,,
0.0004623,20,20,21,,,,
0.0002375,9,9,17,,,,
0.000246,10,10,16,,,,
8.91E-05,3,3,15,,,,
0.0001416,5,5,18,,,,
0.0003108,13,13,18,,,,
0.0003583,15,15,18,,,,
0.0003103,13,13,16,,,,
0.0001334,5,5,6,,,,
4.49E-05,1,1,8,,,,
0.0001423,5,5,10,,,,
2.32E-05,0,0,1,,,,
2.28E-05,0,0,1,,,,
2.28E-05,0,0,2,,,,
2.34E-05,0,0,1,,,,
9.55E-05,1,1,2,,,,
2.97E-05,0,0,5,,,,
0.0001573,6,6,9,,,,
0.0001656,4,4,10,,,,
0.0001103,4,4,10,,,,
