cas operacie,cislo,index prvku,dlzka zoznamu,,,sum,pocet
2.54E-05,95,0,1,,,7.00E-02,
2.48E-05,91,2,5,,,2512,
2.47E-05,91,0,5,,,,
2.45E-05,93,3,6,,,,
2.47E-05,94,1,3,,,,
2.76E-05,94,0,3,,,,
2.44E-05,95,0,1,,,,
2.47E-05,94,0,1,,,,
2.55E-05,94,0,2,,,,
2.52E-05,94,6,10,,,,
3.17E-05,92,0,1,,,,
3.14E-05,93,0,2,,,,
2.47E-05,91,0,5,,,,
2.49E-05,94,11,16,,,,
2.45E-05,94,14,16,,,,
2.46E-05,95,7,18,,,,
2.57E-05,93,7,16,,,,
2.48E-05,95,10,21,,,,
2.48E-05,93,8,12,,,,
2.48E-05,93,3,11,,,,
2.58E-05,95,2,19,,,,
2.44E-05,92,4,25,,,,
2.48E-05,93,15,21,,,,
2.49E-05,92,10,23,,,,
2.53E-05,93,7,23,,,,
2.48E-05,92,19,25,,,,
2.46E-05,91,23,32,,,,
2.46E-05,91,14,34,,,,
2.48E-05,94,30,42,,,,
3.43E-05,95,37,49,,,,
2.48E-05,92,11,41,,,,
2.47E-05,94,13,39,,,,
2.46E-05,91,15,47,,,,
2.47E-05,93,21,39,,,,
2.46E-05,95,17,46,,,,
2.44E-05,95,15,47,,,,
2.44E-05,94,5,37,,,,
2.55E-05,94,15,33,,,,
2.49E-05,91,5,32,,,,
3.74E-05,95,2,29,,,,
2.56E-05,91,30,33,,,,
2.58E-05,95,18,26,,,,
2.66E-05,93,0,16,,,,
2.59E-05,92,9,12,,,,
2.47E-05,95,2,9,,,,
2.90E-05,93,5,14,,,,
7.02E-05,93,2,10,,,,
2.49E-05,91,2,7,,,,
2.47E-05,94,4,6,,,,
2.44E-05,93,0,2,,,,
2.46E-05,93,1,3,,,,
2.84E-05,91,0,1,,,,
3.23E-05,91,2,6,,,,
3.21E-05,93,3,6,,,,
3.57E-05,95,5,12,,,,
3.26E-05,91,5,17,,,,
3.57E-05,91,2,21,,,,
2.55E-05,92,18,28,,,,
2.44E-05,95,5,34,,,,
2.51E-05,94,9,28,,,,
3.15E-05,93,17,29,,,,
2.62E-05,93,1,27,,,,
3.09E-05,91,12,29,,,,
2.54E-05,91,11,28,,,,
2.56E-05,91,0,28,,,,
2.55E-05,95,4,30,,,,
2.47E-05,95,20,28,,,,
2.45E-05,94,18,26,,,,
2.86E-05,91,21,23,,,,
2.47E-05,92,18,22,,,,
2.93E-05,93,5,23,,,,
3.40E-05,91,9,26,,,,
2.49E-05,91,24,26,,,,
2.47E-05,91,10,29,,,,
2.57E-05,93,3,32,,,,
7.80E-05,93,9,14,,,,
2.58E-05,95,2,15,,,,
2.56E-05,94,0,11,,,,
2.58E-05,91,9,16,,,,
3.66E-05,92,8,12,,,,
2.90E-05,91,9,11,,,,
3.19E-05,92,2,20,,,,
2.53E-05,91,10,27,,,,
2.53E-05,91,18,35,,,,
3.51E-05,93,8,34,,,,
2.91E-05,94,12,38,,,,
2.75E-05,91,25,32,,,,
3.45E-05,94,9,26,,,,
3.05E-05,95,9,23,,,,
3.42E-05,91,11,20,,,,
4.02E-05,93,1,17,,,,
2.59E-05,91,14,17,,,,
3.70E-05,92,2,15,,,,
4.28E-05,92,1,15,,,,
4.20E-05,95,8,15,,,,
3.31E-05,94,8,13,,,,
2.53E-05,94,10,12,,,,
3.84E-05,92,7,15,,,,
2.55E-05,92,9,20,,,,
2.56E-05,94,11,20,,,,
3.34E-05,95,7,16,,,,
3.69E-05,91,0,1,,,,
2.48E-05,95,8,13,,,,
2.63E-05,95,7,14,,,,
2.59E-05,92,4,15,,,,
2.57E-05,94,6,16,,,,
2.46E-05,91,0,20,,,,
3.13E-05,91,1,17,,,,
2.58E-05,95,5,16,,,,
2.46E-05,91,4,16,,,,
2.46E-05,95,4,11,,,,
2.46E-05,94,0,7,,,,
2.48E-05,92,6,10,,,,
2.47E-05,92,7,12,,,,
4.01E-05,91,0,1,,,,
2.56E-05,93,1,4,,,,
2.45E-05,92,0,3,,,,
2.53E-05,95,0,1,,,,
2.51E-05,92,0,1,,,,
2.49E-05,94,0,5,,,,
2.61E-05,91,22,26,,,,
2.46E-05,94,0,26,,,,
2.45E-05,92,6,27,,,,
2.50E-05,94,18,31,,,,
2.47E-05,92,15,43,,,,
2.48E-05,92,39,44,,,,
2.47E-05,94,3,35,,,,
2.91E-05,95,18,35,,,,
2.46E-05,91,30,36,,,,
2.44E-05,94,2,25,,,,
2.95E-05,91,8,31,,,,
2.49E-05,92,14,39,,,,
2.49E-05,92,30,42,,,,
2.65E-05,92,17,46,,,,
2.47E-05,92,26,43,,,,
2.46E-05,93,0,41,,,,
2.47E-05,94,28,38,,,,
2.71E-05,94,35,39,,,,
2.46E-05,94,4,36,,,,
2.45E-05,95,7,36,,,,
2.48E-05,93,28,35,,,,
2.45E-05,95,12,37,,,,
2.46E-05,92,8,33,,,,
2.50E-05,95,4,31,,,,
2.45E-05,93,19,31,,,,
2.45E-05,92,5,29,,,,
3.61E-05,94,9,19,,,,
3.58E-05,91,14,18,,,,
2.78E-05,92,16,19,,,,
2.47E-05,91,11,21,,,,
2.45E-05,92,18,25,,,,
2.55E-05,94,20,23,,,,
2.87E-05,94,22,31,,,,
2.54E-05,95,4,23,,,,
2.62E-05,92,15,22,,,,
2.71E-05,91,18,24,,,,
2.57E-05,94,14,26,,,,
4.12E-05,94,4,27,,,,
2.56E-05,93,10,22,,,,
2.50E-05,92,1,10,,,,
3.46E-05,91,7,14,,,,
2.45E-05,92,0,2,,,,
2.56E-05,94,0,2,,,,
2.58E-05,94,0,2,,,,
2.44E-05,94,1,5,,,,
2.71E-05,92,2,5,,,,
2.50E-05,95,10,14,,,,
2.51E-05,93,3,12,,,,
2.50E-05,93,2,10,,,,
3.07E-05,94,4,9,,,,
2.57E-05,93,6,8,,,,
2.60E-05,92,4,7,,,,
2.56E-05,93,8,12,,,,
2.57E-05,91,9,16,,,,
2.54E-05,94,1,16,,,,
2.53E-05,94,8,21,,,,
2.79E-05,95,13,20,,,,
2.46E-05,93,0,19,,,,
2.96E-05,95,4,20,,,,
2.84E-05,94,6,32,,,,
3.34E-05,91,2,33,,,,
2.46E-05,95,5,33,,,,
2.48E-05,92,20,34,,,,
2.61E-05,92,0,36,,,,
2.49E-05,94,1,30,,,,
3.24E-05,91,13,33,,,,
2.51E-05,91,0,29,,,,
2.47E-05,91,2,32,,,,
2.49E-05,95,19,35,,,,
2.92E-05,93,18,35,,,,
2.46E-05,93,2,26,,,,
2.46E-05,94,5,27,,,,
2.54E-05,94,15,24,,,,
2.92E-05,94,17,28,,,,
3.08E-05,92,7,23,,,,
2.55E-05,95,5,19,,,,
4.26E-05,93,4,10,,,,
4.96E-05,95,3,13,,,,
4.18E-05,94,1,14,,,,
3.64E-05,94,5,23,,,,
3.47E-05,93,1,6,,,,
2.48E-05,94,1,3,,,,
2.49E-05,95,0,3,,,,
3.17E-05,94,0,1,,,,
2.46E-05,92,0,6,,,,
2.49E-05,91,7,10,,,,
2.45E-05,95,3,6,,,,
2.44E-05,95,2,11,,,,
2.45E-05,95,6,8,,,,
2.57E-05,95,2,6,,,,
2.48E-05,95,0,2,,,,
2.50E-05,94,0,4,,,,
2.46E-05,93,0,6,,,,
2.50E-05,91,0,4,,,,
2.46E-05,91,1,3,,,,
4.53E-05,93,0,2,,,,
2.44E-05,92,0,1,,,,
2.56E-05,91,1,4,,,,
2.95E-05,92,2,4,,,,
2.45E-05,91,1,4,,,,
2.48E-05,91,0,6,,,,
2.47E-05,95,1,5,,,,
4.22E-05,94,0,2,,,,
2.49E-05,91,7,10,,,,
2.50E-05,92,5,10,,,,
2.46E-05,93,6,8,,,,
3.21E-05,95,8,17,,,,
2.67E-05,93,8,17,,,,
2.46E-05,92,13,27,,,,
2.53E-05,95,14,22,,,,
2.45E-05,94,25,29,,,,
2.54E-05,91,14,25,,,,
2.47E-05,95,14,29,,,,
2.51E-05,93,18,31,,,,
2.46E-05,93,27,37,,,,
2.54E-05,95,17,38,,,,
2.55E-05,95,2,34,,,,
2.49E-05,92,17,37,,,,
2.47E-05,91,21,38,,,,
2.46E-05,91,15,44,,,,
2.46E-05,95,24,46,,,,
2.58E-05,92,5,53,,,,
2.48E-05,94,8,39,,,,
2.48E-05,95,9,36,,,,
3.69E-05,93,47,50,,,,
2.60E-05,92,29,55,,,,
2.53E-05,92,46,55,,,,
3.39E-05,93,61,63,,,,
2.55E-05,94,46,65,,,,
2.46E-05,91,29,70,,,,
2.46E-05,94,4,66,,,,
2.46E-05,93,55,62,,,,
2.47E-05,91,23,54,,,,
2.48E-05,95,47,53,,,,
2.87E-05,95,35,61,,,,
2.44E-05,93,44,56,,,,
2.45E-05,92,10,52,,,,
2.60E-05,95,44,52,,,,
2.49E-05,93,47,53,,,,
2.49E-05,91,27,54,,,,
3.83E-05,91,42,67,,,,
4.01E-05,92,64,69,,,,
2.63E-05,92,34,59,,,,
2.44E-05,92,47,51,,,,
2.54E-05,93,3,52,,,,
2.46E-05,94,25,61,,,,
2.67E-05,94,57,63,,,,
2.48E-05,91,67,71,,,,
2.46E-05,91,40,75,,,,
2.49E-05,93,56,68,,,,
2.68E-05,92,13,70,,,,
2.48E-05,93,14,67,,,,
5.31E-05,92,8,78,,,,
2.54E-05,93,84,91,,,,
2.46E-05,93,34,85,,,,
