cas operacie,vlozene cislo,index prvku,dlzka zoznamu,,,sum,pocet
8.78E-05,15,0,2,,,1.37E+00,
8.55E-05,21,0,2,,,14910,
8.44E-05,38,0,2,,,,
8.52E-05,15,0,3,,,,
8.48E-05,31,2,4,,,,
8.44E-05,18,0,2,,,,
1.72E-05,44,0,1,,,,
8.41E-05,1,0,2,,,,
8.39E-05,23,1,3,,,,
8.42E-05,44,0,5,,,,
8.42E-05,11,2,5,,,,
8.34E-05,30,2,7,,,,
8.49E-05,44,0,9,,,,
9.38E-05,23,4,8,,,,
8.40E-05,40,9,11,,,,
8.36E-05,7,1,9,,,,
8.34E-05,29,4,8,,,,
8.39E-05,25,6,9,,,,
8.46E-05,27,4,10,,,,
8.38E-05,37,4,7,,,,
8.39E-05,17,0,7,,,,
8.39E-05,17,2,6,,,,
8.44E-05,27,0,7,,,,
8.36E-05,10,5,8,,,,
8.40E-05,19,1,6,,,,
9.43E-05,40,4,6,,,,
8.41E-05,12,3,7,,,,
8.33E-05,32,5,7,,,,
8.42E-05,35,4,6,,,,
8.50E-05,14,3,5,,,,
9.23E-05,41,2,7,,,,
8.37E-05,42,1,5,,,,
8.36E-05,4,2,4,,,,
8.37E-05,17,0,5,,,,
8.44E-05,17,1,3,,,,
8.39E-05,25,0,4,,,,
1.73E-05,25,0,1,,,,
1.73E-05,27,0,1,,,,
0.000152,29,0,2,,,,
0.0001397,20,0,2,,,,
8.28E-05,3,0,2,,,,
1.72E-05,44,0,1,,,,
8.67E-05,8,0,2,,,,
1.83E-05,9,0,1,,,,
8.43E-05,5,0,2,,,,
8.46E-05,40,0,2,,,,
8.43E-05,45,2,5,,,,
8.57E-05,11,3,5,,,,
8.65E-05,17,1,3,,,,
1.80E-05,13,0,1,,,,
8.46E-05,19,0,2,,,,
8.45E-05,39,0,2,,,,
8.29E-05,36,0,5,,,,
0.0001057,4,3,5,,,,
9.56E-05,44,1,6,,,,
8.54E-05,40,0,2,,,,
8.39E-05,14,0,3,,,,
8.41E-05,11,2,4,,,,
8.89E-05,25,1,4,,,,
8.60E-05,13,1,4,,,,
8.40E-05,3,0,3,,,,
8.34E-05,34,0,4,,,,
8.59E-05,34,1,7,,,,
8.49E-05,15,3,5,,,,
8.60E-05,32,0,2,,,,
8.38E-05,30,1,3,,,,
8.36E-05,23,0,3,,,,
8.52E-05,40,1,4,,,,
9.04E-05,10,0,5,,,,
8.59E-05,34,0,7,,,,
8.33E-05,37,2,9,,,,
8.31E-05,35,1,8,,,,
8.41E-05,43,6,12,,,,
8.41E-05,16,4,12,,,,
9.08E-05,22,6,10,,,,
8.34E-05,30,5,8,,,,
8.39E-05,26,2,9,,,,
8.36E-05,22,0,3,,,,
8.30E-05,8,1,4,,,,
8.38E-05,6,1,4,,,,
8.33E-05,29,0,4,,,,
8.44E-05,16,0,2,,,,
1.76E-05,23,0,1,,,,
1.72E-05,23,0,1,,,,
8.41E-05,2,1,3,,,,
8.36E-05,29,1,4,,,,
8.38E-05,4,0,4,,,,
8.42E-05,31,4,6,,,,
8.38E-05,1,1,4,,,,
8.39E-05,6,0,2,,,,
8.34E-05,33,0,2,,,,
9.32E-05,9,1,3,,,,
8.42E-05,28,1,3,,,,
