cas operacie,vlozene cislo,index prvku,dlzka zoznamu,,,sum,pocet
1.93E-05,4,0,1,,,2.98E-01,
1.86E-05,14,0,1,,,15050,
1.78E-05,12,0,1,,,,
1.75E-05,6,0,1,,,,
1.71E-05,9,1,2,,,,
1.74E-05,20,3,4,,,,
1.71E-05,26,2,3,,,,
2.61E-05,24,5,6,,,,
2.30E-05,22,8,9,,,,
1.72E-05,3,7,8,,,,
1.73E-05,43,6,7,,,,
1.71E-05,14,8,9,,,,
1.70E-05,2,9,10,,,,
1.69E-05,45,9,10,,,,
1.70E-05,16,8,9,,,,
1.72E-05,4,9,10,,,,
1.75E-05,42,5,6,,,,
1.71E-05,34,8,9,,,,
1.73E-05,45,6,7,,,,
1.73E-05,6,6,7,,,,
1.72E-05,3,6,7,,,,
1.72E-05,35,7,8,,,,
1.70E-05,19,7,8,,,,
1.70E-05,8,6,7,,,,
1.72E-05,28,4,5,,,,
1.71E-05,26,5,6,,,,
2.46E-05,41,5,6,,,,
1.71E-05,31,4,5,,,,
1.70E-05,44,1,2,,,,
1.73E-05,3,2,3,,,,
1.71E-05,28,3,4,,,,
1.71E-05,17,4,5,,,,
1.71E-05,1,5,6,,,,
1.72E-05,1,5,6,,,,
1.71E-05,7,5,6,,,,
2.46E-05,12,6,7,,,,
2.29E-05,23,6,7,,,,
1.73E-05,33,0,1,,,,
1.73E-05,37,0,1,,,,
1.69E-05,37,0,1,,,,
1.94E-05,32,2,3,,,,
1.75E-05,5,2,3,,,,
1.72E-05,24,2,3,,,,
1.70E-05,20,2,3,,,,
2.36E-05,43,0,1,,,,
1.80E-05,38,0,1,,,,
1.81E-05,27,2,3,,,,
1.82E-05,42,1,2,,,,
1.81E-05,24,2,3,,,,
1.82E-05,40,0,1,,,,
1.80E-05,3,1,2,,,,
2.57E-05,17,2,3,,,,
1.73E-05,37,1,2,,,,
1.72E-05,8,2,3,,,,
1.71E-05,44,3,4,,,,
1.81E-05,27,6,7,,,,
2.33E-05,35,7,8,,,,
1.71E-05,11,2,3,,,,
3.09E-05,10,3,4,,,,
2.89E-05,16,0,1,,,,
1.71E-05,24,9,10,,,,
1.71E-05,20,8,9,,,,
1.73E-05,31,10,11,,,,
1.70E-05,21,9,10,,,,
1.69E-05,11,10,11,,,,
1.70E-05,42,10,11,,,,
1.94E-05,41,10,11,,,,
1.77E-05,10,1,2,,,,
1.71E-05,12,0,1,,,,
1.70E-05,31,1,2,,,,
1.70E-05,36,4,5,,,,
1.72E-05,4,7,8,,,,
1.75E-05,39,5,6,,,,
1.70E-05,35,2,3,,,,
1.71E-05,38,2,3,,,,
1.72E-05,30,3,4,,,,
1.72E-05,15,3,4,,,,
1.70E-05,37,3,4,,,,
1.70E-05,12,3,4,,,,
1.73E-05,44,4,5,,,,
1.87E-05,22,2,3,,,,
2.37E-05,33,1,2,,,,
1.83E-05,24,1,2,,,,
9.08E-05,3,2,3,,,,
1.73E-05,28,3,4,,,,
1.72E-05,5,4,5,,,,
1.71E-05,15,4,5,,,,
1.71E-05,30,4,5,,,,
1.70E-05,43,5,6,,,,
2.55E-05,17,0,1,,,,
1.84E-05,3,1,2,,,,
1.72E-05,10,7,8,,,,
1.70E-05,31,8,9,,,,
1.85E-05,31,7,8,,,,
1.73E-05,4,8,9,,,,
1.71E-05,30,8,9,,,,
1.70E-05,13,7,8,,,,
1.72E-05,25,7,8,,,,
1.71E-05,31,8,9,,,,
1.71E-05,16,9,10,,,,
1.70E-05,7,9,10,,,,
1.72E-05,31,7,8,,,,
2.84E-05,16,11,12,,,,
1.69E-05,11,12,13,,,,
1.70E-05,16,13,14,,,,
1.69E-05,8,11,12,,,,
1.72E-05,7,7,8,,,,
1.69E-05,21,10,11,,,,
1.72E-05,39,12,13,,,,
1.72E-05,13,12,13,,,,
1.70E-05,33,5,6,,,,
1.70E-05,45,8,9,,,,
1.81E-05,29,12,13,,,,
2.43E-05,40,13,14,,,,
2.07E-05,24,14,15,,,,
3.28E-05,38,15,16,,,,
1.73E-05,3,13,14,,,,
1.71E-05,5,13,14,,,,
1.71E-05,26,14,15,,,,
1.87E-05,1,15,16,,,,
1.86E-05,8,16,17,,,,
1.73E-05,1,16,17,,,,
1.70E-05,8,17,18,,,,
1.72E-05,28,16,17,,,,
1.71E-05,21,16,17,,,,
1.70E-05,16,15,16,,,,
2.95E-05,7,10,11,,,,
1.72E-05,6,8,9,,,,
1.71E-05,17,7,8,,,,
1.70E-05,40,8,9,,,,
1.70E-05,22,8,9,,,,
1.71E-05,4,10,11,,,,
1.70E-05,12,10,11,,,,
1.72E-05,23,7,8,,,,
1.70E-05,7,7,8,,,,
1.73E-05,32,6,7,,,,
1.69E-05,43,9,10,,,,
1.68E-05,29,8,9,,,,
1.72E-05,3,9,10,,,,
