cas operacie,vlozene cislo,index prvku,dlzka zoznamu,,,sum,pocet
4.77E-05,36,0,1,,,1.39E+00,
8.48E-05,10,0,3,,,15043,
1.73E-05,25,0,1,,,,
8.45E-05,24,0,5,,,,
8.39E-05,37,0,6,,,,
8.41E-05,8,0,7,,,,
8.36E-05,31,0,4,,,,
8.39E-05,43,0,5,,,,
0.0002057,8,0,8,,,,
8.39E-05,9,0,9,,,,
8.36E-05,14,0,8,,,,
9.37E-05,22,0,8,,,,
8.38E-05,25,0,10,,,,
8.37E-05,18,0,5,,,,
8.39E-05,36,0,5,,,,
8.43E-05,19,0,6,,,,
9.34E-05,31,0,7,,,,
8.37E-05,44,0,7,,,,
8.37E-05,37,0,9,,,,
8.39E-05,41,0,8,,,,
8.71E-05,1,0,6,,,,
8.41E-05,15,0,4,,,,
8.37E-05,19,0,6,,,,
8.42E-05,31,0,2,,,,
8.38E-05,45,0,5,,,,
8.40E-05,43,0,5,,,,
8.43E-05,30,0,6,,,,
8.62E-05,45,0,8,,,,
9.07E-05,15,0,5,,,,
9.14E-05,26,0,2,,,,
0.0001633,8,0,3,,,,
8.37E-05,37,0,2,,,,
2.21E-05,10,0,1,,,,
1.72E-05,37,0,1,,,,
1.72E-05,16,0,1,,,,
8.47E-05,32,0,3,,,,
1.80E-05,2,0,1,,,,
8.58E-05,45,0,4,,,,
8.45E-05,30,0,5,,,,
8.46E-05,29,0,6,,,,
8.41E-05,3,0,7,,,,
1.84E-05,41,0,1,,,,
8.43E-05,33,0,2,,,,
8.60E-05,17,0,2,,,,
8.48E-05,10,0,3,,,,
8.41E-05,38,0,2,,,,
8.37E-05,7,0,4,,,,
0.0001428,25,0,5,,,,
8.38E-05,41,0,4,,,,
8.43E-05,19,0,4,,,,
8.37E-05,8,0,3,,,,
8.41E-05,23,0,5,,,,
8.65E-05,2,0,6,,,,
9.26E-05,36,0,3,,,,
0.0001,20,0,2,,,,
9.31E-05,34,0,3,,,,
8.38E-05,14,0,5,,,,
8.57E-05,5,0,6,,,,
8.51E-05,39,0,8,,,,
8.27E-05,38,0,9,,,,
8.47E-05,41,0,11,,,,
9.12E-05,29,0,10,,,,
8.42E-05,4,0,11,,,,
8.40E-05,15,0,10,,,,
8.41E-05,25,0,12,,,,
8.53E-05,35,0,11,,,,
8.35E-05,9,0,9,,,,
9.77E-05,45,0,8,,,,
8.36E-05,8,0,4,,,,
0.0001069,18,0,4,,,,
8.46E-05,42,0,4,,,,
8.42E-05,15,0,3,,,,
1.73E-05,12,0,1,,,,
8.39E-05,33,0,2,,,,
1.73E-05,30,0,1,,,,
9.20E-05,1,0,2,,,,
8.40E-05,44,0,2,,,,
8.37E-05,5,0,5,,,,
8.53E-05,24,0,5,,,,
9.35E-05,26,0,6,,,,
8.38E-05,34,0,7,,,,
8.38E-05,29,0,7,,,,
8.41E-05,19,0,5,,,,
8.40E-05,36,0,3,,,,
8.71E-05,45,0,2,,,,
9.60E-05,24,0,3,,,,
8.49E-05,22,0,3,,,,
8.46E-05,30,0,4,,,,
8.43E-05,45,0,3,,,,
8.37E-05,15,0,6,,,,
8.37E-05,19,0,6,,,,
8.47E-05,4,0,4,,,,
9.12E-05,1,0,4,,,,
8.45E-05,28,0,5,,,,
8.40E-05,18,0,6,,,,
8.37E-05,6,0,7,,,,
8.39E-05,21,0,9,,,,
8.38E-05,37,0,10,,,,
8.37E-05,28,0,9,,,,
8.58E-05,4,0,9,,,,
8.57E-05,37,0,6,,,,
9.24E-05,25,0,10,,,,
8.39E-05,7,0,7,,,,
8.40E-05,2,0,10,,,,
0.000135,20,0,11,,,,
8.41E-05,37,0,9,,,,
8.63E-05,25,0,10,,,,
8.35E-05,10,0,11,,,,
8.38E-05,3,0,12,,,,
8.66E-05,36,0,13,,,,
8.35E-05,24,0,12,,,,
8.54E-05,13,0,14,,,,
8.45E-05,2,0,7,,,,
8.40E-05,18,0,11,,,,
8.42E-05,36,0,9,,,,
8.38E-05,4,0,10,,,,
0.0001779,34,0,11,,,,
8.38E-05,28,0,10,,,,
8.66E-05,31,0,12,,,,
8.33E-05,39,0,13,,,,
8.42E-05,43,0,18,,,,
8.39E-05,2,0,16,,,,
8.46E-05,41,0,17,,,,
8.38E-05,39,0,17,,,,
8.38E-05,24,0,17,,,,
8.39E-05,4,0,8,,,,
8.39E-05,14,0,11,,,,
8.37E-05,7,0,11,,,,
8.47E-05,8,0,9,,,,
8.34E-05,13,0,9,,,,
8.30E-05,29,0,8,,,,
8.35E-05,28,0,9,,,,
8.36E-05,15,0,12,,,,
8.50E-05,6,0,14,,,,
8.45E-05,37,0,15,,,,
8.41E-05,10,0,15,,,,
8.34E-05,6,0,23,,,,
9.06E-05,42,0,21,,,,
8.37E-05,32,0,16,,,,
8.40E-05,31,0,12,,,,
8.34E-05,32,0,13,,,,
8.37E-05,37,0,13,,,,
8.34E-05,15,0,13,,,,
8.57E-05,28,0,9,,,,
8.40E-05,20,0,11,,,,
0.000115,29,0,12,,,,
8.40E-05,37,0,15,,,,
8.35E-05,24,0,19,,,,
9.00E-05,29,0,25,,,,
8.53E-05,21,0,26,,,,
8.36E-05,10,0,26,,,,
8.42E-05,7,0,26,,,,
8.66E-05,33,0,25,,,,
8.42E-05,23,0,27,,,,
8.37E-05,37,0,28,,,,
8.40E-05,34,0,26,,,,
8.37E-05,7,0,25,,,,
8.50E-05,28,0,21,,,,
8.40E-05,34,0,23,,,,
8.44E-05,27,0,21,,,,
8.51E-05,14,0,22,,,,
8.43E-05,32,0,23,,,,
9.10E-05,7,0,27,,,,
9.13E-05,5,0,30,,,,
8.36E-05,42,0,33,,,,
8.41E-05,6,0,34,,,,
8.40E-05,24,0,35,,,,
8.38E-05,44,0,39,,,,
8.39E-05,36,0,43,,,,
8.41E-05,3,0,44,,,,
8.41E-05,31,0,45,,,,
8.36E-05,8,0,46,,,,
8.41E-05,9,0,47,,,,
9.20E-05,31,0,47,,,,
0.0001643,36,0,48,,,,
8.44E-05,24,0,49,,,,
8.38E-05,15,0,49,,,,
8.39E-05,32,0,50,,,,
9.13E-05,32,0,51,,,,
8.64E-05,31,0,52,,,,
8.43E-05,22,0,53,,,,
0.0001172,31,0,56,,,,
8.69E-05,38,0,56,,,,
8.50E-05,27,0,53,,,,
8.49E-05,17,0,55,,,,
9.06E-05,42,0,44,,,,
8.48E-05,37,0,46,,,,
8.43E-05,22,0,46,,,,
8.40E-05,39,0,46,,,,
