cas operacie,index prvku,dlzka zoznamu,,,sum,pocet
2.60E-05,0,0,,,1.39E+00,
8.55E-05,0,1,,,14979,
2.45E-05,0,0,,,,
2.48E-05,0,0,,,,
8.42E-05,5,6,,,,
8.40E-05,0,5,,,,
8.40E-05,2,4,,,,
8.44E-05,6,8,,,,
8.39E-05,5,7,,,,
9.31E-05,1,8,,,,
8.41E-05,3,7,,,,
8.93E-05,4,9,,,,
8.41E-05,0,6,,,,
8.40E-05,3,5,,,,
8.40E-05,3,5,,,,
8.46E-05,3,5,,,,
8.42E-05,3,6,,,,
8.40E-05,3,6,,,,
8.37E-05,0,7,,,,
9.39E-05,4,7,,,,
8.37E-05,1,6,,,,
9.31E-05,0,5,,,,
8.39E-05,1,3,,,,
8.35E-05,2,5,,,,
8.37E-05,0,2,,,,
8.52E-05,0,4,,,,
8.36E-05,1,5,,,,
8.45E-05,0,6,,,,
8.41E-05,3,5,,,,
8.36E-05,0,1,,,,
2.46E-05,0,0,,,,
9.21E-05,1,2,,,,
8.48E-05,1,2,,,,
8.37E-05,0,2,,,,
8.39E-05,0,1,,,,
2.45E-05,0,0,,,,
2.45E-05,0,0,,,,
2.46E-05,0,0,,,,
2.78E-05,0,0,,,,
8.48E-05,1,4,,,,
0.0003648,3,4,,,,
8.52E-05,3,4,,,,
0.000137,2,3,,,,
8.68E-05,0,2,,,,
8.99E-05,1,2,,,,
8.39E-05,0,1,,,,
8.45E-05,0,1,,,,
8.48E-05,1,2,,,,
8.37E-05,0,1,,,,
0.0001095,2,4,,,,
0.0002196,0,3,,,,
8.40E-05,1,3,,,,
8.38E-05,1,2,,,,
8.38E-05,1,3,,,,
8.55E-05,1,3,,,,
8.56E-05,6,7,,,,
8.45E-05,0,4,,,,
8.37E-05,1,2,,,,
8.67E-05,0,3,,,,
8.54E-05,0,2,,,,
3.01E-05,0,0,,,,
8.39E-05,3,4,,,,
8.26E-05,5,7,,,,
8.34E-05,5,9,,,,
8.40E-05,3,10,,,,
8.41E-05,3,9,,,,
8.39E-05,10,11,,,,
8.38E-05,6,10,,,,
8.67E-05,1,11,,,,
0.0001236,6,10,,,,
9.54E-05,7,10,,,,
8.40E-05,6,10,,,,
0.0001075,7,8,,,,
8.39E-05,0,2,,,,
8.36E-05,2,3,,,,
9.11E-05,0,2,,,,
2.46E-05,0,0,,,,
2.48E-05,0,0,,,,
2.48E-05,0,0,,,,
2.46E-05,0,0,,,,
8.37E-05,2,3,,,,
8.39E-05,2,4,,,,
8.38E-05,5,6,,,,
8.38E-05,6,7,,,,
9.04E-05,2,5,,,,
9.13E-05,1,3,,,,
8.43E-05,1,4,,,,
8.39E-05,2,3,,,,
8.35E-05,2,3,,,,
8.39E-05,1,2,,,,
8.37E-05,0,2,,,,
9.11E-05,0,1,,,,
9.21E-05,1,2,,,,
2.50E-05,0,0,,,,
8.40E-05,0,1,,,,
8.43E-05,2,3,,,,
8.39E-05,0,4,,,,
0.0001243,0,3,,,,
8.51E-05,1,2,,,,
8.49E-05,0,1,,,,
8.34E-05,0,4,,,,
8.39E-05,0,5,,,,
8.39E-05,3,4,,,,
8.39E-05,4,11,,,,
8.91E-05,0,8,,,,
9.11E-05,7,8,,,,
8.37E-05,1,7,,,,
8.36E-05,3,10,,,,
9.10E-05,2,10,,,,
8.46E-05,2,8,,,,
8.35E-05,4,11,,,,
8.34E-05,4,13,,,,
8.39E-05,6,12,,,,
8.37E-05,8,11,,,,
8.98E-05,3,8,,,,
8.47E-05,2,7,,,,
8.39E-05,1,10,,,,
8.56E-05,5,12,,,,
8.37E-05,2,8,,,,
8.36E-05,2,8,,,,
8.38E-05,0,7,,,,
8.43E-05,6,9,,,,
8.40E-05,0,8,,,,
0.0001161,3,16,,,,
8.39E-05,0,14,,,,
8.33E-05,9,13,,,,
9.44E-05,11,16,,,,
8.42E-05,15,17,,,,
8.42E-05,1,15,,,,
8.39E-05,11,17,,,,
8.42E-05,5,16,,,,
8.39E-05,16,17,,,,
8.36E-05,7,15,,,,
0.000119,6,16,,,,
9.56E-05,7,13,,,,
0.0001164,2,10,,,,
0.0001148,5,9,,,,
8.39E-05,5,8,,,,
8.37E-05,0,8,,,,
8.37E-05,6,7,,,,
8.39E-05,3,7,,,,
8.40E-05,3,10,,,,
8.94E-05,3,10,,,,
8.40E-05,3,7,,,,
8.30E-05,5,10,,,,
8.36E-05,5,7,,,,
8.43E-05,11,14,,,,
8.32E-05,11,17,,,,
8.67E-05,16,19,,,,
8.42E-05,7,17,,,,
9.12E-05,8,15,,,,
8.38E-05,9,12,,,,
8.81E-05,7,13,,,,
8.30E-05,0,12,,,,
9.28E-05,4,10,,,,
8.36E-05,5,15,,,,
8.42E-05,5,20,,,,
8.76E-05,2,19,,,,
8.43E-05,14,20,,,,
8.44E-05,1,25,,,,
8.38E-05,14,25,,,,
8.37E-05,10,27,,,,
8.39E-05,17,25,,,,
8.36E-05,17,24,,,,
8.39E-05,15,24,,,,
8.69E-05,5,19,,,,
8.39E-05,12,21,,,,
8.41E-05,1,21,,,,
8.40E-05,19,21,,,,
8.65E-05,16,26,,,,
8.46E-05,25,29,,,,
8.53E-05,25,28,,,,
8.36E-05,19,41,,,,
8.91E-05,26,40,,,,
8.40E-05,12,44,,,,
8.37E-05,37,44,,,,
8.92E-05,10,47,,,,
8.65E-05,44,46,,,,
8.40E-05,13,48,,,,
8.53E-05,39,52,,,,
0.0002009,4,53,,,,
9.66E-05,21,55,,,,
0.0001064,25,54,,,,
9.10E-05,15,54,,,,
8.48E-05,47,55,,,,
0.0001062,8,45,,,,
8.66E-05,37,44,,,,
8.46E-05,29,45,,,,
8.43E-05,24,45,,,,
8.43E-05,30,43,,,,
9.69E-05,8,42,,,,
8.53E-05,36,45,,,,
8.47E-05,42,45,,,,
8.48E-05,2,46,,,,
8.50E-05,17,44,,,,
0.0001173,22,44,,,,
0.0001061,6,43,,,,
8.45E-05,40,44,,,,
8.45E-05,21,44,,,,
8.42E-05,17,44,,,,
8.41E-05,9,43,,,,
8.55E-05,15,42,,,,
8.54E-05,10,39,,,,
9.41E-05,26,38,,,,
8.51E-05,4,38,,,,
9.03E-05,29,36,,,,
8.33E-05,4,39,,,,
8.33E-05,37,44,,,,
8.41E-05,1,44,,,,
8.31E-05,0,43,,,,
8.34E-05,8,42,,,,
9.69E-05,30,45,,,,
8.35E-05,33,48,,,,
8.35E-05,41,47,,,,
8.48E-05,5,46,,,,
8.44E-05,32,45,,,,
8.40E-05,39,46,,,,
8.42E-05,26,42,,,,
8.38E-05,27,39,,,,
8.43E-05,30,46,,,,
8.65E-05,36,46,,,,
8.41E-05,10,46,,,,
8.37E-05,13,45,,,,
8.38E-05,34,45,,,,
8.39E-05,36,44,,,,
8.38E-05,37,45,,,,
8.92E-05,3,45,,,,
0.0001244,19,45,,,,
8.45E-05,42,46,,,,
8.46E-05,31,45,,,,
8.44E-05,33,44,,,,
8.42E-05,9,41,,,,
8.37E-05,33,38,,,,
8.36E-05,34,36,,,,
8.43E-05,21,36,,,,
8.94E-05,23,36,,,,
8.40E-05,19,33,,,,
8.37E-05,29,30,,,,
8.52E-05,27,34,,,,
8.86E-05,0,33,,,,
8.65E-05,28,31,,,,
8.94E-05,21,31,,,,
8.62E-05,0,30,,,,
0.0002004,5,29,,,,
8.85E-05,13,33,,,,
9.34E-05,29,31,,,,
9.20E-05,7,33,,,,
8.65E-05,6,35,,,,
8.58E-05,22,34,,,,
9.24E-05,26,34,,,,
8.57E-05,16,32,,,,
8.58E-05,4,29,,,,
9.19E-05,20,29,,,,
8.45E-05,25,28,,,,
8.66E-05,9,31,,,,
8.42E-05,8,28,,,,
8.37E-05,22,27,,,,
8.43E-05,12,26,,,,
8.56E-05,5,24,,,,
0.0001418,7,22,,,,
8.43E-05,18,19,,,,
8.37E-05,11,16,,,,
8.38E-05,6,20,,,,
8.34E-05,15,19,,,,
9.29E-05,12,17,,,,
9.20E-05,13,16,,,,
8.40E-05,2,15,,,,
8.37E-05,7,19,,,,
8.41E-05,11,17,,,,
8.40E-05,12,15,,,,
8.38E-05,15,17,,,,
8.69E-05,10,18,,,,
9.17E-05,16,17,,,,
8.45E-05,14,17,,,,
8.41E-05,7,17,,,,
8.42E-05,8,12,,,,
8.42E-05,9,11,,,,
8.39E-05,3,14,,,,
8.36E-05,2,13,,,,
8.35E-05,6,12,,,,
0.0001273,3,12,,,,
8.86E-05,10,11,,,,
8.34E-05,4,9,,,,
8.39E-05,0,7,,,,
9.25E-05,4,15,,,,
8.43E-05,3,12,,,,
9.32E-05,6,12,,,,
8.41E-05,2,9,,,,
8.35E-05,0,6,,,,
8.40E-05,3,6,,,,
8.37E-05,2,5,,,,
8.37E-05,0,1,,,,
8.48E-05,0,1,,,,
2.57E-05,0,0,,,,
2.62E-05,0,0,,,,
8.64E-05,0,1,,,,
8.47E-05,0,1,,,,
2.72E-05,0,0,,,,
8.50E-05,0,1,,,,
2.48E-05,0,0,,,,
8.41E-05,0,1,,,,
8.37E-05,0,1,,,,
8.39E-05,0,1,,,,
8.33E-05,0,2,,,,
2.49E-05,0,0,,,,
8.37E-05,2,3,,,,
9.12E-05,2,3,,,,
2.46E-05,0,0,,,,
8.45E-05,1,2,,,,
8.91E-05,0,1,,,,
9.27E-05,0,1,,,,
0.0001627,1,3,,,,
0.0001125,2,3,,,,
9.22E-05,1,2,,,,
2.60E-05,0,0,,,,
0.0003624,0,1,,,,
0.0001291,1,5,,,,
8.42E-05,2,3,,,,
9.29E-05,2,3,,,,
8.42E-05,0,3,,,,
2.53E-05,0,0,,,,
0.0001083,3,5,,,,
8.51E-05,4,8,,,,
8.90E-05,2,8,,,,
0.0001106,5,14,,,,
0.0001272,11,13,,,,
0.0001166,0,11,,,,
0.0001169,6,11,,,,
0.0001172,0,11,,,,
0.0001222,4,11,,,,
0.0001165,4,10,,,,
0.0001154,2,9,,,,
0.0001206,3,10,,,,
8.51E-05,16,23,,,,
0.000112,0,21,,,,
8.89E-05,10,24,,,,
8.46E-05,21,23,,,,
8.46E-05,4,23,,,,
8.50E-05,8,26,,,,
8.60E-05,13,28,,,,
0.0001205,5,26,,,,
0.0001236,4,28,,,,
0.0001185,2,28,,,,
8.99E-05,14,29,,,,
9.05E-05,15,32,,,,
8.47E-05,3,31,,,,
8.32E-05,29,36,,,,
8.70E-05,5,36,,,,
8.39E-05,25,34,,,,
8.99E-05,25,33,,,,
0.0001694,8,32,,,,
8.44E-05,1,32,,,,
8.43E-05,17,31,,,,
8.41E-05,16,28,,,,
9.24E-05,8,26,,,,
8.38E-05,2,27,,,,
8.42E-05,1,26,,,,
0.0001309,5,25,,,,
0.0001121,14,24,,,,
8.93E-05,6,23,,,,
8.41E-05,20,28,,,,
0.0001013,2,27,,,,
9.35E-05,7,26,,,,
8.36E-05,12,24,,,,
8.52E-05,23,33,,,,
0.000108,23,30,,,,
8.45E-05,7,27,,,,
8.38E-05,8,29,,,,
0.0001193,20,39,,,,
8.89E-05,21,38,,,,
8.34E-05,25,36,,,,
8.36E-05,1,35,,,,
0.0001008,15,35,,,,
8.48E-05,14,34,,,,
8.39E-05,6,34,,,,
0.0001025,18,29,,,,
8.35E-05,2,25,,,,
8.52E-05,3,23,,,,
0.0002329,1,26,,,,
8.38E-05,2,24,,,,
8.42E-05,5,24,,,,
8.55E-05,19,24,,,,
8.36E-05,19,21,,,,
8.98E-05,16,20,,,,
8.43E-05,10,21,,,,
8.52E-05,9,22,,,,
8.56E-05,3,25,,,,
8.37E-05,23,24,,,,
8.38E-05,4,24,,,,
8.40E-05,1,23,,,,
8.39E-05,17,20,,,,
8.54E-05,5,21,,,,
8.36E-05,19,20,,,,
8.33E-05,20,21,,,,
8.33E-05,2,21,,,,
0.0001067,15,22,,,,
0.0003494,17,24,,,,
8.50E-05,2,29,,,,
8.41E-05,15,29,,,,
9.03E-05,20,23,,,,
9.51E-05,7,22,,,,
8.39E-05,7,21,,,,
8.31E-05,11,19,,,,
8.38E-05,16,19,,,,
8.42E-05,10,21,,,,
0.0001148,15,19,,,,
0.0001172,19,21,,,,
9.76E-05,5,19,,,,
9.07E-05,6,17,,,,
8.75E-05,1,16,,,,
8.51E-05,0,15,,,,
8.43E-05,13,15,,,,
8.38E-05,12,15,,,,
8.37E-05,9,13,,,,
8.42E-05,11,15,,,,
0.0001015,0,12,,,,
8.85E-05,0,11,,,,
0.0001886,11,21,,,,
0.0001197,7,21,,,,
0.0001088,24,28,,,,
0.0001137,9,28,,,,
9.17E-05,19,28,,,,
8.48E-05,10,28,,,,
8.44E-05,22,26,,,,
0.0001107,12,24,,,,
8.44E-05,10,35,,,,
0.0007157,33,35,,,,
0.0001117,8,35,,,,
8.49E-05,32,34,,,,
8.37E-05,23,31,,,,
8.95E-05,14,28,,,,
8.53E-05,11,27,,,,
8.54E-05,6,29,,,,
8.43E-05,24,31,,,,
8.41E-05,28,32,,,,
8.47E-05,23,32,,,,
8.43E-05,27,35,,,,
8.43E-05,26,34,,,,
8.42E-05,12,33,,,,
8.40E-05,9,32,,,,
8.40E-05,13,31,,,,
8.51E-05,10,31,,,,
8.60E-05,3,30,,,,
8.51E-05,26,28,,,,
0.0001186,10,27,,,,
8.41E-05,7,24,,,,
8.51E-05,13,33,,,,
8.44E-05,2,32,,,,
8.45E-05,3,33,,,,
