cas operacie,index prvku,dlzka zoznamu,,,sum,pocet
3.38E-05,3,3,,,4.22E-01,
2.48E-05,1,1,,,14928,
2.48E-05,4,4,,,,
2.45E-05,3,3,,,,
2.51E-05,7,7,,,,
2.47E-05,6,6,,,,
2.50E-05,10,10,,,,
2.46E-05,9,9,,,,
2.47E-05,6,6,,,,
2.53E-05,4,4,,,,
2.48E-05,6,6,,,,
2.50E-05,6,6,,,,
2.48E-05,6,6,,,,
2.48E-05,8,8,,,,
2.46E-05,7,7,,,,
3.16E-05,5,5,,,,
2.50E-05,6,6,,,,
2.46E-05,6,6,,,,
2.48E-05,4,4,,,,
2.47E-05,4,4,,,,
2.46E-05,4,4,,,,
2.48E-05,4,4,,,,
2.47E-05,3,3,,,,
2.50E-05,5,5,,,,
2.60E-05,6,6,,,,
2.46E-05,3,3,,,,
2.47E-05,2,2,,,,
2.44E-05,3,3,,,,
2.46E-05,0,0,,,,
2.48E-05,0,0,,,,
2.61E-05,2,2,,,,
2.45E-05,2,2,,,,
2.45E-05,1,1,,,,
2.44E-05,1,1,,,,
2.51E-05,0,0,,,,
2.64E-05,2,2,,,,
2.58E-05,1,1,,,,
2.54E-05,0,0,,,,
2.56E-05,0,0,,,,
3.26E-05,2,2,,,,
3.97E-05,1,1,,,,
2.59E-05,1,1,,,,
2.47E-05,1,1,,,,
3.63E-05,4,4,,,,
4.48E-05,4,4,,,,
5.73E-05,3,3,,,,
2.49E-05,2,2,,,,
2.44E-05,6,6,,,,
2.48E-05,2,2,,,,
2.47E-05,1,1,,,,
2.48E-05,2,2,,,,
2.59E-05,2,2,,,,
2.51E-05,8,8,,,,
2.46E-05,10,10,,,,
2.46E-05,8,8,,,,
2.51E-05,10,10,,,,
2.49E-05,11,11,,,,
2.46E-05,9,9,,,,
2.44E-05,7,7,,,,
2.48E-05,8,8,,,,
2.45E-05,7,7,,,,
2.45E-05,5,5,,,,
2.45E-05,3,3,,,,
2.45E-05,3,3,,,,
2.45E-05,3,3,,,,
3.10E-05,2,2,,,,
2.54E-05,1,1,,,,
2.49E-05,5,5,,,,
2.49E-05,2,2,,,,
2.46E-05,1,1,,,,
2.48E-05,3,3,,,,
2.49E-05,2,2,,,,
2.48E-05,3,3,,,,
2.58E-05,2,2,,,,
2.49E-05,0,0,,,,
2.69E-05,1,1,,,,
2.47E-05,3,3,,,,
2.46E-05,2,2,,,,
2.47E-05,5,5,,,,
2.46E-05,4,4,,,,
2.47E-05,2,2,,,,
2.45E-05,1,1,,,,
2.46E-05,0,0,,,,
2.62E-05,1,1,,,,
2.49E-05,7,7,,,,
2.48E-05,9,9,,,,
2.46E-05,10,10,,,,
2.48E-05,8,8,,,,
3.09E-05,8,8,,,,
2.47E-05,8,8,,,,
2.50E-05,7,7,,,,
2.49E-05,5,5,,,,
2.48E-05,7,7,,,,
2.46E-05,9,9,,,,
2.46E-05,9,9,,,,
2.64E-05,11,11,,,,
2.50E-05,9,9,,,,
2.44E-05,9,9,,,,
2.51E-05,11,11,,,,
2.70E-05,12,12,,,,
2.45E-05,13,13,,,,
2.45E-05,10,10,,,,
2.47E-05,9,9,,,,
2.46E-05,12,12,,,,
2.48E-05,10,10,,,,
2.48E-05,10,10,,,,
2.47E-05,6,6,,,,
2.52E-05,10,10,,,,
5.48E-05,16,16,,,,
2.47E-05,14,14,,,,
2.50E-05,18,18,,,,
2.48E-05,17,17,,,,
2.51E-05,16,16,,,,
2.48E-05,16,16,,,,
3.26E-05,15,15,,,,
3.67E-05,14,14,,,,
2.61E-05,12,12,,,,
2.58E-05,11,11,,,,
2.66E-05,10,10,,,,
2.48E-05,10,10,,,,
2.46E-05,10,10,,,,
2.52E-05,10,10,,,,
2.46E-05,7,7,,,,
3.02E-05,8,8,,,,
2.45E-05,8,8,,,,
3.85E-05,14,14,,,,
3.06E-05,13,13,,,,
2.57E-05,13,13,,,,
2.57E-05,14,14,,,,
2.50E-05,22,22,,,,
2.44E-05,20,20,,,,
2.51E-05,19,19,,,,
2.47E-05,14,14,,,,
2.47E-05,14,14,,,,
2.47E-05,13,13,,,,
2.45E-05,13,13,,,,
2.46E-05,11,11,,,,
2.46E-05,12,12,,,,
3.00E-05,12,12,,,,
2.85E-05,9,9,,,,
2.55E-05,8,8,,,,
2.50E-05,8,8,,,,
2.49E-05,11,11,,,,
2.48E-05,14,14,,,,
3.33E-05,19,19,,,,
3.03E-05,20,20,,,,
2.52E-05,19,19,,,,
2.48E-05,19,19,,,,
2.47E-05,18,18,,,,
2.92E-05,25,25,,,,
2.48E-05,26,26,,,,
4.57E-05,25,25,,,,
2.68E-05,24,24,,,,
2.45E-05,26,26,,,,
2.48E-05,24,24,,,,
3.17E-05,23,23,,,,
2.46E-05,20,20,,,,
2.46E-05,20,20,,,,
2.49E-05,22,22,,,,
2.49E-05,20,20,,,,
2.51E-05,22,22,,,,
2.56E-05,25,25,,,,
2.45E-05,27,27,,,,
3.21E-05,29,29,,,,
2.51E-05,42,42,,,,
2.47E-05,43,43,,,,
2.46E-05,42,42,,,,
5.27E-05,41,41,,,,
2.75E-05,46,46,,,,
3.26E-05,45,45,,,,
2.52E-05,48,48,,,,
2.47E-05,48,48,,,,
3.24E-05,51,51,,,,
2.54E-05,50,50,,,,
3.73E-05,51,51,,,,
3.64E-05,55,55,,,,
2.98E-05,55,55,,,,
2.56E-05,55,55,,,,
2.59E-05,53,53,,,,
3.27E-05,52,52,,,,
2.56E-05,51,51,,,,
2.57E-05,51,51,,,,
2.57E-05,49,49,,,,
2.73E-05,43,43,,,,
2.62E-05,43,43,,,,
2.63E-05,45,45,,,,
2.56E-05,45,45,,,,
2.55E-05,45,45,,,,
2.55E-05,46,46,,,,
2.69E-05,45,45,,,,
2.56E-05,45,45,,,,
2.54E-05,42,42,,,,
2.57E-05,43,43,,,,
2.57E-05,44,44,,,,
2.57E-05,45,45,,,,
2.58E-05,44,44,,,,
2.46E-05,43,43,,,,
2.46E-05,43,43,,,,
2.48E-05,42,42,,,,
2.45E-05,41,41,,,,
2.48E-05,37,37,,,,
2.45E-05,36,36,,,,
2.43E-05,42,42,,,,
3.54E-05,42,42,,,,
2.56E-05,41,41,,,,
2.49E-05,43,43,,,,
2.49E-05,45,45,,,,
2.48E-05,44,44,,,,
2.46E-05,47,47,,,,
2.47E-05,49,49,,,,
2.48E-05,48,48,,,,
2.46E-05,47,47,,,,
2.47E-05,47,47,,,,
2.46E-05,47,47,,,,
2.49E-05,45,45,,,,
2.60E-05,48,48,,,,
3.15E-05,45,45,,,,
2.66E-05,46,46,,,,
2.47E-05,45,45,,,,
2.47E-05,46,46,,,,
2.47E-05,45,45,,,,
2.48E-05,46,46,,,,
2.49E-05,46,46,,,,
2.72E-05,43,43,,,,
2.52E-05,43,43,,,,
3.08E-05,37,37,,,,
2.46E-05,35,35,,,,
2.45E-05,36,36,,,,
2.48E-05,35,35,,,,
2.46E-05,32,32,,,,
2.48E-05,31,31,,,,
2.45E-05,29,29,,,,
3.00E-05,31,31,,,,
2.66E-05,29,29,,,,
2.81E-05,30,30,,,,
2.61E-05,32,32,,,,
2.59E-05,34,34,,,,
2.56E-05,33,33,,,,
2.66E-05,33,33,,,,
2.59E-05,31,31,,,,
4.70E-05,26,26,,,,
2.99E-05,26,26,,,,
2.93E-05,20,20,,,,
2.48E-05,18,18,,,,
2.77E-05,21,21,,,,
2.44E-05,18,18,,,,
2.51E-05,15,15,,,,
2.52E-05,19,19,,,,
2.50E-05,18,18,,,,
2.49E-05,16,16,,,,
2.49E-05,18,18,,,,
2.46E-05,17,17,,,,
0.0001467,16,16,,,,
2.47E-05,16,16,,,,
2.47E-05,15,15,,,,
2.50E-05,14,14,,,,
2.46E-05,13,13,,,,
4.29E-05,11,11,,,,
2.49E-05,11,11,,,,
2.49E-05,10,10,,,,
2.53E-05,6,6,,,,
2.47E-05,8,8,,,,
3.05E-05,14,14,,,,
2.49E-05,13,13,,,,
2.45E-05,13,13,,,,
2.46E-05,13,13,,,,
2.48E-05,14,14,,,,
2.49E-05,13,13,,,,
3.25E-05,11,11,,,,
2.52E-05,7,7,,,,
2.48E-05,5,5,,,,
2.46E-05,4,4,,,,
2.47E-05,6,6,,,,
2.47E-05,4,4,,,,
2.44E-05,3,3,,,,
2.46E-05,2,2,,,,
2.46E-05,0,0,,,,
2.47E-05,0,0,,,,
9.92E-05,2,2,,,,
2.52E-05,1,1,,,,
3.17E-05,1,1,,,,
2.61E-05,0,0,,,,
2.58E-05,3,3,,,,
2.57E-05,2,2,,,,
2.56E-05,0,0,,,,
3.32E-05,0,0,,,,
2.49E-05,0,0,,,,
2.48E-05,2,2,,,,
2.47E-05,0,0,,,,
2.90E-05,0,0,,,,
2.45E-05,2,2,,,,
2.47E-05,1,1,,,,
2.47E-05,0,0,,,,
2.86E-05,0,0,,,,
2.47E-05,1,1,,,,
2.63E-05,0,0,,,,
2.43E-05,1,1,,,,
0.0001284,3,3,,,,
2.58E-05,1,1,,,,
2.61E-05,0,0,,,,
2.58E-05,1,1,,,,
3.18E-05,6,6,,,,
3.19E-05,5,5,,,,
4.05E-05,4,4,,,,
2.59E-05,0,0,,,,
2.60E-05,2,2,,,,
2.56E-05,2,2,,,,
3.57E-05,2,2,,,,
3.81E-05,2,2,,,,
4.19E-05,1,1,,,,
4.06E-05,3,3,,,,
2.61E-05,10,10,,,,
3.50E-05,10,10,,,,
2.67E-05,9,9,,,,
2.98E-05,14,14,,,,
2.57E-05,13,13,,,,
4.06E-05,14,14,,,,
3.61E-05,9,9,,,,
3.39E-05,10,10,,,,
3.57E-05,12,12,,,,
3.50E-05,10,10,,,,
3.37E-05,10,10,,,,
2.74E-05,10,10,,,,
3.54E-05,11,11,,,,
2.81E-05,11,11,,,,
2.57E-05,16,16,,,,
2.61E-05,16,16,,,,
3.36E-05,24,24,,,,
0.0001517,23,23,,,,
3.57E-05,22,22,,,,
2.61E-05,25,25,,,,
2.54E-05,24,24,,,,
2.60E-05,24,24,,,,
0.0001606,29,29,,,,
3.57E-05,28,28,,,,
3.91E-05,27,27,,,,
3.59E-05,30,30,,,,
0.0011384,29,29,,,,
3.64E-05,31,31,,,,
3.22E-05,38,38,,,,
2.50E-05,36,36,,,,
2.50E-05,26,26,,,,
4.06E-05,25,25,,,,
2.46E-05,28,28,,,,
2.46E-05,27,27,,,,
2.60E-05,26,26,,,,
2.61E-05,25,25,,,,
2.57E-05,24,24,,,,
2.48E-05,24,24,,,,
2.59E-05,25,25,,,,
3.15E-05,27,27,,,,
3.82E-05,28,28,,,,
4.33E-05,28,28,,,,
2.75E-05,30,30,,,,
3.32E-05,28,28,,,,
2.50E-05,28,28,,,,
2.48E-05,30,30,,,,
3.25E-05,33,33,,,,
2.51E-05,36,36,,,,
2.57E-05,37,37,,,,
2.99E-05,36,36,,,,
2.57E-05,35,35,,,,
2.49E-05,37,37,,,,
2.54E-05,33,33,,,,
3.34E-05,31,31,,,,
4.10E-05,30,30,,,,
2.52E-05,26,26,,,,
2.47E-05,25,25,,,,
2.48E-05,26,26,,,,
2.49E-05,26,26,,,,
2.60E-05,24,24,,,,
3.10E-05,24,24,,,,
2.49E-05,25,25,,,,
2.46E-05,26,26,,,,
2.45E-05,25,25,,,,
2.48E-05,24,24,,,,
2.45E-05,23,23,,,,
2.97E-05,23,23,,,,
2.54E-05,23,23,,,,
2.47E-05,23,23,,,,
2.56E-05,22,22,,,,
2.46E-05,22,22,,,,
2.67E-05,23,23,,,,
3.05E-05,22,22,,,,
4.14E-05,23,23,,,,
2.48E-05,22,22,,,,
2.47E-05,22,22,,,,
2.47E-05,21,21,,,,
2.47E-05,20,20,,,,
2.49E-05,21,21,,,,
2.87E-05,20,20,,,,
2.54E-05,20,20,,,,
2.45E-05,19,19,,,,
2.48E-05,22,22,,,,
4.39E-05,23,23,,,,
2.50E-05,27,27,,,,
2.47E-05,27,27,,,,
2.48E-05,26,26,,,,
2.45E-05,25,25,,,,
3.32E-05,23,23,,,,
2.71E-05,22,22,,,,
2.77E-05,21,21,,,,
2.47E-05,19,19,,,,
3.67E-05,19,19,,,,
2.46E-05,22,22,,,,
5.56E-05,22,22,,,,
8.84E-05,21,21,,,,
2.60E-05,19,19,,,,
2.56E-05,22,22,,,,
2.88E-05,20,20,,,,
2.47E-05,16,16,,,,
2.44E-05,15,15,,,,
8.00E-05,17,17,,,,
2.78E-05,16,16,,,,
2.48E-05,14,14,,,,
2.45E-05,13,13,,,,
2.48E-05,12,12,,,,
5.58E-05,20,20,,,,
5.72E-05,20,20,,,,
3.71E-05,28,28,,,,
2.59E-05,28,28,,,,
2.58E-05,28,28,,,,
2.48E-05,27,27,,,,
2.45E-05,25,25,,,,
2.48E-05,28,28,,,,
2.49E-05,27,27,,,,
2.57E-05,34,34,,,,
2.77E-05,37,37,,,,
2.61E-05,35,35,,,,
2.57E-05,33,33,,,,
3.96E-05,30,30,,,,
3.65E-05,29,29,,,,
2.93E-05,32,32,,,,
2.57E-05,31,31,,,,
2.55E-05,30,30,,,,
2.56E-05,31,31,,,,
2.94E-05,34,34,,,,
2.65E-05,33,33,,,,
2.59E-05,32,32,,,,
2.61E-05,32,32,,,,
2.57E-05,34,34,,,,
4.10E-05,31,31,,,,
3.03E-05,30,30,,,,
3.06E-05,26,26,,,,
2.56E-05,25,25,,,,
2.57E-05,25,25,,,,
2.57E-05,25,25,,,,
2.55E-05,26,26,,,,
2.56E-05,26,26,,,,
2.56E-05,26,26,,,,
2.55E-05,26,26,,,,
3.54E-05,28,28,,,,
2.55E-05,33,33,,,,
2.59E-05,36,36,,,,
2.57E-05,35,35,,,,
2.59E-05,34,34,,,,
2.56E-05,31,31,,,,
2.61E-05,31,31,,,,
2.53E-05,30,30,,,,
2.55E-05,33,33,,,,
2.57E-05,32,32,,,,
2.76E-05,31,31,,,,
2.56E-05,30,30,,,,
2.54E-05,30,30,,,,
3.14E-05,28,28,,,,
2.61E-05,26,26,,,,
2.58E-05,26,26,,,,
4.02E-05,27,27,,,,
3.34E-05,26,26,,,,
4.30E-05,25,25,,,,
3.46E-05,25,25,,,,
3.04E-05,21,21,,,,
5.27E-05,20,20,,,,
3.39E-05,22,22,,,,
2.62E-05,21,21,,,,
3.80E-05,18,18,,,,
3.73E-05,14,14,,,,
3.66E-05,12,12,,,,
3.36E-05,14,14,,,,
3.58E-05,15,15,,,,
3.27E-05,14,14,,,,
2.59E-05,11,11,,,,
2.53E-05,13,13,,,,
2.55E-05,12,12,,,,
2.57E-05,11,11,,,,
3.55E-05,10,10,,,,
3.72E-05,11,11,,,,
3.41E-05,11,11,,,,
2.62E-05,9,9,,,,
3.62E-05,10,10,,,,
2.79E-05,10,10,,,,
2.59E-05,11,11,,,,
2.58E-05,13,13,,,,
2.56E-05,14,14,,,,
2.60E-05,17,17,,,,
2.58E-05,19,19,,,,
2.58E-05,18,18,,,,
2.58E-05,18,18,,,,
2.57E-05,17,17,,,,
2.56E-05,15,15,,,,
2.58E-05,16,16,,,,
2.54E-05,15,15,,,,
2.59E-05,14,14,,,,
2.55E-05,17,17,,,,
2.55E-05,17,17,,,,
2.60E-05,17,17,,,,
2.58E-05,18,18,,,,
2.53E-05,17,17,,,,
2.59E-05,20,20,,,,
2.55E-05,19,19,,,,
2.55E-05,18,18,,,,
2.56E-05,20,20,,,,
2.57E-05,19,19,,,,
2.59E-05,21,21,,,,
2.55E-05,27,27,,,,
2.56E-05,27,27,,,,
2.55E-05,25,25,,,,
2.56E-05,27,27,,,,
2.59E-05,35,35,,,,
2.56E-05,34,34,,,,
2.54E-05,35,35,,,,
4.32E-05,35,35,,,,
2.60E-05,38,38,,,,
3.34E-05,36,36,,,,
2.56E-05,35,35,,,,
2.58E-05,34,34,,,,
2.54E-05,33,33,,,,
2.98E-05,30,30,,,,
2.56E-05,33,33,,,,
2.59E-05,32,32,,,,
2.57E-05,28,28,,,,
3.49E-05,26,26,,,,
2.55E-05,25,25,,,,
2.56E-05,23,23,,,,
2.55E-05,22,22,,,,
2.57E-05,24,24,,,,
2.55E-05,21,21,,,,
3.66E-05,25,25,,,,
2.56E-05,21,21,,,,
2.58E-05,23,23,,,,
2.56E-05,21,21,,,,
2.57E-05,20,20,,,,
2.59E-05,20,20,,,,
3.82E-05,19,19,,,,
3.35E-05,18,18,,,,
4.39E-05,21,21,,,,
3.54E-05,20,20,,,,
4.39E-05,18,18,,,,
3.88E-05,17,17,,,,
3.62E-05,17,17,,,,
3.42E-05,17,17,,,,
3.30E-05,15,15,,,,
3.71E-05,16,16,,,,
3.98E-05,15,15,,,,
2.60E-05,18,18,,,,
2.57E-05,18,18,,,,
3.73E-05,18,18,,,,
3.33E-05,19,19,,,,
2.57E-05,19,19,,,,
4.13E-05,19,19,,,,
2.60E-05,17,17,,,,
2.58E-05,17,17,,,,
4.25E-05,18,18,,,,
2.56E-05,18,18,,,,
2.56E-05,18,18,,,,
2.58E-05,16,16,,,,
2.54E-05,15,15,,,,
4.14E-05,15,15,,,,
2.64E-05,14,14,,,,
2.61E-05,14,14,,,,
3.01E-05,15,15,,,,
2.53E-05,14,14,,,,
2.69E-05,14,14,,,,
2.56E-05,14,14,,,,
3.42E-05,14,14,,,,
2.57E-05,16,16,,,,
4.19E-05,15,15,,,,
4.61E-05,15,15,,,,
3.89E-05,13,13,,,,
2.57E-05,11,11,,,,
3.71E-05,17,17,,,,
2.59E-05,19,19,,,,
2.60E-05,19,19,,,,
2.56E-05,19,19,,,,
2.58E-05,19,19,,,,
3.40E-05,19,19,,,,
3.41E-05,18,18,,,,
2.61E-05,10,10,,,,
2.58E-05,9,9,,,,
2.57E-05,11,11,,,,
3.60E-05,9,9,,,,
3.19E-05,10,10,,,,
2.67E-05,9,9,,,,
3.76E-05,8,8,,,,
2.79E-05,8,8,,,,
2.56E-05,10,10,,,,
2.61E-05,10,10,,,,
2.58E-05,10,10,,,,
2.58E-05,9,9,,,,
2.55E-05,7,7,,,,
2.58E-05,6,6,,,,
3.93E-05,7,7,,,,
4.10E-05,6,6,,,,
4.18E-05,5,5,,,,
3.21E-05,0,0,,,,
3.80E-05,4,4,,,,
3.77E-05,6,6,,,,
3.86E-05,4,4,,,,
2.57E-05,8,8,,,,
3.03E-05,12,12,,,,
3.08E-05,11,11,,,,
3.81E-05,10,10,,,,
3.54E-05,9,9,,,,
2.58E-05,8,8,,,,
2.58E-05,11,11,,,,
2.58E-05,12,12,,,,
3.06E-05,10,10,,,,
4.13E-05,14,14,,,,
2.62E-05,14,14,,,,
2.63E-05,13,13,,,,
2.58E-05,13,13,,,,
3.54E-05,12,12,,,,
2.62E-05,10,10,,,,
3.00E-05,8,8,,,,
2.65E-05,7,7,,,,
2.47E-05,6,6,,,,
2.58E-05,10,10,,,,
2.50E-05,9,9,,,,
2.96E-05,9,9,,,,
4.11E-05,9,9,,,,
2.45E-05,8,8,,,,
2.58E-05,14,14,,,,
2.59E-05,13,13,,,,
2.56E-05,15,15,,,,
3.11E-05,18,18,,,,
2.48E-05,21,21,,,,
2.47E-05,22,22,,,,
2.48E-05,22,22,,,,
2.49E-05,20,20,,,,
2.45E-05,19,19,,,,
2.45E-05,18,18,,,,
3.25E-05,19,19,,,,
4.04E-05,14,14,,,,
2.56E-05,16,16,,,,
2.54E-05,14,14,,,,
2.62E-05,14,14,,,,
2.58E-05,14,14,,,,
2.59E-05,14,14,,,,
2.56E-05,12,12,,,,
2.56E-05,14,14,,,,
3.99E-05,15,15,,,,
2.47E-05,18,18,,,,
2.47E-05,17,17,,,,
2.46E-05,18,18,,,,
2.48E-05,17,17,,,,
2.47E-05,15,15,,,,
2.47E-05,14,14,,,,
2.45E-05,13,13,,,,
2.47E-05,12,12,,,,
2.47E-05,11,11,,,,
2.46E-05,12,12,,,,
2.46E-05,11,11,,,,
2.60E-05,8,8,,,,
2.54E-05,7,7,,,,
2.51E-05,7,7,,,,
2.47E-05,8,8,,,,
2.46E-05,7,7,,,,
2.44E-05,6,6,,,,
2.50E-05,4,4,,,,
2.49E-05,5,5,,,,
2.52E-05,4,4,,,,
2.48E-05,4,4,,,,
2.47E-05,4,4,,,,
2.46E-05,2,2,,,,
2.50E-05,3,3,,,,
2.47E-05,0,0,,,,
2.45E-05,0,0,,,,
2.45E-05,9,9,,,,
2.46E-05,9,9,,,,
2.51E-05,6,6,,,,
2.47E-05,5,5,,,,
2.49E-05,5,5,,,,
2.47E-05,5,5,,,,
2.47E-05,5,5,,,,
3.06E-05,10,10,,,,
2.55E-05,9,9,,,,
2.48E-05,10,10,,,,
2.79E-05,10,10,,,,
2.82E-05,9,9,,,,
3.42E-05,8,8,,,,
2.47E-05,8,8,,,,
2.47E-05,10,10,,,,
2.77E-05,12,12,,,,
2.47E-05,10,10,,,,
2.47E-05,14,14,,,,
2.52E-05,10,10,,,,
2.48E-05,7,7,,,,
2.52E-05,7,7,,,,
5.40E-05,6,6,,,,
5.39E-05,5,5,,,,
5.24E-05,4,4,,,,
5.46E-05,3,3,,,,
2.60E-05,1,1,,,,
2.59E-05,0,0,,,,
2.60E-05,4,4,,,,
4.84E-05,6,6,,,,
4.80E-05,5,5,,,,
2.64E-05,6,6,,,,
2.51E-05,6,6,,,,
2.49E-05,4,4,,,,
2.48E-05,2,2,,,,
2.91E-05,1,1,,,,
2.46E-05,1,1,,,,
2.61E-05,4,4,,,,
2.48E-05,7,7,,,,
3.02E-05,5,5,,,,
2.57E-05,7,7,,,,
2.43E-05,6,6,,,,
2.44E-05,5,5,,,,
2.45E-05,4,4,,,,
2.46E-05,4,4,,,,
2.50E-05,5,5,,,,
2.48E-05,4,4,,,,
2.45E-05,4,4,,,,
2.45E-05,4,4,,,,
2.47E-05,5,5,,,,
2.90E-05,2,2,,,,
2.48E-05,7,7,,,,
2.45E-05,6,6,,,,
2.47E-05,6,6,,,,
2.91E-05,14,14,,,,
2.89E-05,13,13,,,,
2.48E-05,13,13,,,,
2.46E-05,13,13,,,,
2.47E-05,12,12,,,,
2.48E-05,17,17,,,,
2.47E-05,21,21,,,,
2.50E-05,24,24,,,,
2.46E-05,25,25,,,,
2.48E-05,27,27,,,,
3.08E-05,24,24,,,,
2.54E-05,28,28,,,,
2.48E-05,26,26,,,,
2.47E-05,27,27,,,,
2.47E-05,26,26,,,,
2.50E-05,29,29,,,,
3.16E-05,27,27,,,,
2.49E-05,29,29,,,,
2.44E-05,27,27,,,,
2.48E-05,26,26,,,,
2.45E-05,25,25,,,,
2.48E-05,22,22,,,,
2.47E-05,25,25,,,,
2.47E-05,24,24,,,,
2.47E-05,23,23,,,,
2.46E-05,23,23,,,,
2.73E-05,25,25,,,,
2.49E-05,24,24,,,,
2.47E-05,26,26,,,,
2.51E-05,27,27,,,,
2.82E-05,30,30,,,,
2.48E-05,31,31,,,,
2.46E-05,43,43,,,,
2.46E-05,44,44,,,,
2.45E-05,43,43,,,,
2.48E-05,44,44,,,,
2.61E-05,42,42,,,,
2.50E-05,44,44,,,,
2.44E-05,44,44,,,,
2.49E-05,46,46,,,,
2.49E-05,40,40,,,,
2.52E-05,41,41,,,,
2.48E-05,40,40,,,,
2.48E-05,41,41,,,,
2.48E-05,39,39,,,,
2.47E-05,37,37,,,,
2.47E-05,36,36,,,,
2.50E-05,34,34,,,,
2.51E-05,32,32,,,,
2.50E-05,34,34,,,,
2.49E-05,35,35,,,,
2.47E-05,34,34,,,,
2.48E-05,32,32,,,,
2.48E-05,31,31,,,,
2.46E-05,30,30,,,,
2.49E-05,25,25,,,,
2.48E-05,28,28,,,,
2.46E-05,33,33,,,,
2.70E-05,39,39,,,,
2.80E-05,39,39,,,,
2.98E-05,37,37,,,,
2.46E-05,39,39,,,,
2.47E-05,37,37,,,,
2.57E-05,39,39,,,,
2.91E-05,38,38,,,,
2.47E-05,38,38,,,,
2.51E-05,41,41,,,,
2.47E-05,40,40,,,,
2.46E-05,46,46,,,,
2.49E-05,44,44,,,,
2.49E-05,44,44,,,,
2.48E-05,44,44,,,,
2.46E-05,43,43,,,,
2.63E-05,41,41,,,,
2.51E-05,42,42,,,,
2.48E-05,41,41,,,,
2.51E-05,41,41,,,,
2.47E-05,40,40,,,,
2.83E-05,39,39,,,,
2.50E-05,39,39,,,,
2.48E-05,40,40,,,,
2.49E-05,38,38,,,,
2.48E-05,40,40,,,,
2.67E-05,39,39,,,,
2.49E-05,39,39,,,,
3.45E-05,38,38,,,,
2.73E-05,37,37,,,,
2.49E-05,37,37,,,,
2.45E-05,36,36,,,,
2.47E-05,34,34,,,,
3.17E-05,34,34,,,,
3.12E-05,36,36,,,,
2.47E-05,37,37,,,,
