cas operacie,index prvku,dlzka zoznamu,,,sum,pocet
3.76E-05,0,0,,,1.40E+00,
2.57E-05,0,0,,,15096,
8.52E-05,0,1,,,,
9.28E-05,0,2,,,,
8.44E-05,0,2,,,,
8.36E-05,0,1,,,,
9.41E-05,0,1,,,,
2.47E-05,0,0,,,,
9.30E-05,0,2,,,,
8.40E-05,0,4,,,,
0.0001222,0,8,,,,
8.42E-05,0,8,,,,
8.42E-05,0,9,,,,
8.37E-05,0,8,,,,
8.38E-05,0,7,,,,
9.32E-05,0,9,,,,
8.44E-05,0,8,,,,
8.46E-05,0,7,,,,
8.50E-05,0,9,,,,
8.40E-05,0,8,,,,
9.37E-05,0,7,,,,
8.38E-05,0,5,,,,
9.29E-05,0,4,,,,
8.45E-05,0,8,,,,
8.42E-05,0,7,,,,
9.04E-05,0,6,,,,
9.42E-05,0,5,,,,
8.39E-05,0,6,,,,
8.43E-05,0,5,,,,
8.45E-05,0,6,,,,
8.45E-05,0,5,,,,
8.39E-05,0,4,,,,
8.47E-05,0,5,,,,
8.42E-05,0,3,,,,
8.37E-05,0,1,,,,
8.38E-05,0,1,,,,
8.39E-05,0,4,,,,
8.38E-05,0,5,,,,
8.37E-05,0,4,,,,
8.43E-05,0,7,,,,
8.43E-05,0,4,,,,
8.40E-05,0,4,,,,
8.41E-05,0,2,,,,
2.47E-05,0,0,,,,
8.34E-05,0,1,,,,
2.47E-05,0,0,,,,
8.89E-05,0,1,,,,
2.46E-05,0,0,,,,
8.69E-05,0,1,,,,
2.57E-05,0,0,,,,
2.58E-05,0,0,,,,
8.46E-05,0,6,,,,
8.45E-05,0,5,,,,
8.46E-05,0,1,,,,
9.28E-05,0,1,,,,
2.62E-05,0,0,,,,
9.08E-05,0,2,,,,
0.0001713,0,5,,,,
0.00014,0,2,,,,
0.0001799,0,1,,,,
8.41E-05,0,3,,,,
8.38E-05,0,3,,,,
8.72E-05,0,6,,,,
8.39E-05,0,5,,,,
8.94E-05,0,4,,,,
8.43E-05,0,3,,,,
9.33E-05,0,1,,,,
8.42E-05,0,9,,,,
8.42E-05,0,9,,,,
8.34E-05,0,8,,,,
8.41E-05,0,7,,,,
8.38E-05,0,6,,,,
8.33E-05,0,4,,,,
8.29E-05,0,3,,,,
8.60E-05,0,3,,,,
8.73E-05,0,3,,,,
8.80E-05,0,1,,,,
8.44E-05,0,1,,,,
8.43E-05,0,1,,,,
2.45E-05,0,0,,,,
8.37E-05,0,1,,,,
8.39E-05,0,1,,,,
8.61E-05,0,4,,,,
8.55E-05,0,5,,,,
8.40E-05,0,6,,,,
8.43E-05,0,4,,,,
8.36E-05,0,2,,,,
8.37E-05,0,3,,,,
8.43E-05,0,1,,,,
8.45E-05,0,2,,,,
9.00E-05,0,1,,,,
2.74E-05,0,0,,,,
8.88E-05,0,2,,,,
8.42E-05,0,2,,,,
8.41E-05,0,5,,,,
8.40E-05,0,4,,,,
8.42E-05,0,4,,,,
8.36E-05,0,3,,,,
0.0004555,0,3,,,,
8.36E-05,0,9,,,,
8.40E-05,0,8,,,,
8.36E-05,0,6,,,,
9.05E-05,0,4,,,,
8.42E-05,0,8,,,,
8.41E-05,0,9,,,,
8.38E-05,0,6,,,,
8.38E-05,0,8,,,,
8.38E-05,0,9,,,,
8.40E-05,0,8,,,,
8.37E-05,0,7,,,,
8.40E-05,0,10,,,,
8.45E-05,0,7,,,,
8.34E-05,0,12,,,,
8.35E-05,0,12,,,,
8.37E-05,0,11,,,,
8.45E-05,0,6,,,,
8.40E-05,0,11,,,,
8.59E-05,0,9,,,,
8.38E-05,0,5,,,,
8.76E-05,0,15,,,,
8.40E-05,0,13,,,,
8.30E-05,0,12,,,,
8.34E-05,0,14,,,,
9.13E-05,0,17,,,,
8.40E-05,0,16,,,,
8.31E-05,0,16,,,,
8.53E-05,0,13,,,,
8.44E-05,0,8,,,,
8.39E-05,0,8,,,,
8.74E-05,0,9,,,,
8.49E-05,0,8,,,,
0.0001035,0,8,,,,
8.35E-05,0,7,,,,
9.02E-05,0,7,,,,
9.86E-05,0,6,,,,
8.31E-05,0,9,,,,
8.34E-05,0,8,,,,
8.36E-05,0,9,,,,
9.57E-05,0,13,,,,
8.41E-05,0,21,,,,
8.34E-05,0,21,,,,
8.43E-05,0,20,,,,
8.70E-05,0,19,,,,
8.52E-05,0,18,,,,
8.43E-05,0,16,,,,
8.42E-05,0,15,,,,
8.49E-05,0,14,,,,
8.40E-05,0,14,,,,
8.41E-05,0,13,,,,
8.30E-05,0,11,,,,
8.48E-05,0,9,,,,
9.20E-05,0,9,,,,
0.0001076,0,11,,,,
8.74E-05,0,19,,,,
8.62E-05,0,18,,,,
8.37E-05,0,26,,,,
9.29E-05,0,25,,,,
8.40E-05,0,26,,,,
8.39E-05,0,25,,,,
8.56E-05,0,22,,,,
8.39E-05,0,21,,,,
8.40E-05,0,20,,,,
8.38E-05,0,20,,,,
8.42E-05,0,19,,,,
9.05E-05,0,18,,,,
8.43E-05,0,21,,,,
8.42E-05,0,21,,,,
8.36E-05,0,19,,,,
8.94E-05,0,20,,,,
8.43E-05,0,21,,,,
8.39E-05,0,41,,,,
8.41E-05,0,42,,,,
9.14E-05,0,45,,,,
9.14E-05,0,45,,,,
8.40E-05,0,47,,,,
8.37E-05,0,46,,,,
8.57E-05,0,49,,,,
8.62E-05,0,49,,,,
0.0001414,0,52,,,,
8.57E-05,0,53,,,,
8.48E-05,0,52,,,,
8.46E-05,0,52,,,,
8.46E-05,0,53,,,,
8.46E-05,0,54,,,,
8.47E-05,0,51,,,,
8.49E-05,0,50,,,,
0.0001202,0,48,,,,
0.000104,0,47,,,,
0.0001042,0,46,,,,
8.44E-05,0,45,,,,
8.43E-05,0,44,,,,
8.67E-05,0,41,,,,
8.57E-05,0,44,,,,
8.46E-05,0,44,,,,
8.54E-05,0,44,,,,
8.49E-05,0,43,,,,
8.39E-05,0,42,,,,
8.56E-05,0,44,,,,
8.40E-05,0,40,,,,
8.39E-05,0,41,,,,
8.40E-05,0,40,,,,
8.42E-05,0,36,,,,
8.37E-05,0,35,,,,
8.45E-05,0,43,,,,
8.48E-05,0,47,,,,
8.41E-05,0,46,,,,
8.38E-05,0,45,,,,
8.46E-05,0,44,,,,
8.43E-05,0,43,,,,
8.39E-05,0,42,,,,
8.40E-05,0,41,,,,
8.38E-05,0,40,,,,
8.46E-05,0,47,,,,
8.43E-05,0,47,,,,
8.35E-05,0,44,,,,
8.53E-05,0,46,,,,
8.37E-05,0,43,,,,
8.35E-05,0,44,,,,
8.36E-05,0,42,,,,
8.41E-05,0,43,,,,
8.36E-05,0,42,,,,
8.37E-05,0,40,,,,
8.37E-05,0,39,,,,
8.34E-05,0,37,,,,
8.41E-05,0,36,,,,
8.55E-05,0,35,,,,
8.64E-05,0,36,,,,
