cas operacie,vlozene cislo,index prvku,dlzka zoznamu,,
5.00E-07,0,0,2,,
4.00E-07,0,0,2,,2.40E-02
8.00E-07,0,0,1,,10000
7.00E-07,2,2,3,,
5.00E-07,1,1,4,,
7.00E-07,3,3,6,,
6.00E-07,1,1,4,,
6.00E-07,2,2,3,,
4.00E-07,0,0,3,,
6.00E-07,2,2,6,,
5.00E-07,1,1,2,,
4.00E-07,0,0,1,,
5.00E-07,0,0,1,,
4.00E-07,0,0,2,,
5.00E-07,0,0,3,,
4.00E-07,0,0,2,,
5.00E-07,1,1,2,,
4.00E-07,0,0,1,,
4.00E-07,0,0,2,,
4.00E-07,0,0,2,,
4.00E-07,1,1,4,,
6.00E-07,4,4,5,,
5.00E-07,0,0,5,,
8.00E-07,4,4,6,,
1.00E-06,4,4,5,,
5.00E-07,0,0,6,,
6.00E-07,3,3,6,,
4.00E-07,0,0,5,,
5.00E-07,0,0,2,,
7.00E-07,3,3,4,,
4.00E-07,0,0,2,,
3.00E-07,0,0,4,,
5.00E-07,3,3,5,,
4.00E-07,0,0,1,,
4.00E-07,0,0,4,,
5.00E-07,1,1,2,,
6.00E-07,3,3,7,,
7.00E-07,5,5,6,,
4.00E-07,1,1,6,,
5.00E-07,3,3,6,,
4.00E-07,0,0,7,,
5.00E-07,2,2,7,,
7.00E-07,5,5,6,,
4.00E-07,1,1,6,,
5.00E-07,0,0,7,,
1.10E-06,5,5,7,,
5.00E-07,2,2,9,,
3.00E-07,0,0,9,,
4.00E-07,0,0,6,,
6.00E-07,2,2,5,,
3.00E-07,0,0,5,,
9.00E-07,6,6,9,,
4.00E-07,1,1,9,,
5.00E-07,2,2,11,,
6.00E-07,5,5,12,,
9.00E-07,8,8,11,,
8.00E-07,4,4,8,,
8.00E-07,6,6,8,,
1.10E-06,7,7,8,,
8.00E-07,6,6,9,,
5.00E-07,2,2,9,,
1.10E-06,10,10,11,,
1.20E-06,12,12,16,,
4.00E-07,1,1,16,,
1.00E-06,8,8,17,,
5.00E-07,3,3,16,,
5.00E-07,3,3,15,,
7.00E-07,6,6,15,,
1.20E-06,13,13,15,,
6.00E-07,3,3,18,,
1.70E-06,16,16,18,,
6.00E-07,4,4,18,,
1.40E-06,15,15,17,,
1.40E-06,13,13,15,,
8.00E-07,6,6,13,,
8.00E-07,7,7,13,,
4.00E-07,1,1,11,,
1.20E-06,9,9,15,,
1.10E-06,11,11,15,,
1.00E-06,8,8,14,,
4.00E-07,0,0,19,,
7.00E-07,4,4,20,,
1.20E-06,12,12,22,,
1.70E-06,19,19,25,,
1.00E-06,10,10,25,,
7.00E-07,4,4,25,,
1.80E-06,21,21,24,,
4.00E-07,0,0,22,,
6.00E-07,4,4,22,,
4.00E-07,2,2,21,,
1.40E-06,13,13,21,,
1.30E-06,13,13,21,,
1.60E-06,19,19,22,,
9.00E-07,7,7,22,,
4.00E-07,0,0,19,,
5.00E-07,3,3,18,,
7.00E-07,4,4,22,,
1.20E-06,13,13,22,,
1.60E-06,19,19,22,,
1.20E-06,13,13,23,,
1.00E-06,10,10,23,,
1.60E-06,18,18,23,,
1.80E-06,22,22,23,,
1.00E-06,8,8,23,,
9.00E-07,10,10,28,,
1.30E-06,12,12,32,,
2.80E-06,33,33,37,,
2.50E-06,28,28,36,,
1.30E-06,14,14,37,,
5.00E-07,2,2,38,,
6.00E-07,4,4,38,,
8.00E-07,7,7,40,,
2.90E-06,34,34,41,,
1.00E-06,10,10,42,,
5.00E-07,3,3,42,,
1.20E-06,9,9,41,,
1.40E-06,15,15,35,,
1.00E-06,10,10,33,,
1.80E-06,20,20,35,,
5.00E-07,2,2,33,,
2.10E-06,27,27,34,,
2.20E-06,27,27,33,,
1.50E-06,14,14,32,,
2.50E-06,30,30,33,,
1.20E-06,13,13,32,,
6.00E-07,4,4,33,,
1.10E-06,11,11,34,,
1.10E-06,10,10,35,,
1.40E-06,14,14,34,,
1.40E-06,16,16,35,,
1.60E-06,17,17,33,,
1.40E-06,16,16,32,,
2.30E-06,30,30,33,,
1.00E-06,8,8,34,,
1.20E-06,12,12,33,,
2.00E-06,17,17,31,,
7.00E-07,4,4,32,,
1.10E-06,10,10,29,,
1.80E-06,24,24,29,,
5.00E-07,2,2,29,,
1.20E-06,13,13,29,,
8.00E-07,8,8,23,,
8.00E-07,5,5,25,,
5.00E-07,1,1,24,,
1.30E-06,15,15,24,,
1.50E-06,16,16,28,,
1.20E-06,9,9,31,,
2.00E-06,15,15,31,,
2.60E-06,21,21,29,,
1.00E-06,6,6,27,,
2.00E-06,10,10,25,,
1.50E-06,14,14,24,,
3.00E-06,22,22,24,,
2.00E-06,15,15,25,,
6.00E-07,1,1,23,,
7.00E-07,1,1,19,,
7.00E-07,6,6,18,,
6.00E-07,0,0,19,,
9.00E-07,7,7,15,,
1.20E-06,8,8,15,,
8.00E-07,7,7,14,,
6.00E-07,4,4,14,,
4.00E-07,2,2,15,,
1.10E-06,11,11,12,,
6.00E-07,3,3,11,,
7.00E-07,6,6,11,,
6.00E-07,3,3,13,,
5.00E-07,2,2,13,,
6.00E-07,4,4,10,,
7.00E-07,5,5,11,,
4.00E-07,1,1,10,,
1.10E-06,8,8,11,,
4.00E-07,0,0,11,,
1.10E-06,7,7,11,,
1.00E-06,8,8,15,,
6.00E-07,3,3,15,,
1.00E-06,3,3,17,,
1.10E-06,10,10,21,,
1.50E-06,18,18,21,,
1.20E-06,14,14,21,,
1.30E-06,13,13,23,,
1.90E-06,20,20,25,,
1.90E-06,24,24,27,,
1.60E-06,13,13,26,,
1.50E-06,17,17,26,,
1.70E-06,19,19,26,,
7.00E-07,5,5,26,,
2.40E-06,25,25,29,,
2.40E-06,25,25,31,,
2.00E-06,24,24,32,,
9.00E-07,7,7,32,,
1.40E-06,10,10,35,,
6.00E-07,1,1,37,,
1.20E-06,11,11,36,,
2.60E-06,25,25,36,,
6.00E-07,3,3,37,,
1.50E-06,15,15,35,,
1.00E-06,7,7,33,,
1.20E-06,11,11,34,,
1.90E-06,16,16,34,,
9.00E-07,8,8,34,,
1.70E-06,20,20,34,,
1.60E-06,14,14,35,,
1.00E-06,7,7,36,,
1.50E-06,10,10,35,,
1.60E-06,16,16,37,,
1.70E-06,13,13,39,,
7.00E-07,2,2,40,,
1.00E-06,8,8,42,,
3.20E-06,39,39,42,,
2.40E-06,29,29,38,,
2.60E-06,27,27,39,,
1.70E-06,21,21,39,,
6.00E-07,4,4,38,,
7.00E-07,6,6,38,,
1.40E-06,12,12,38,,
2.50E-06,29,29,35,,
1.80E-06,23,23,37,,
4.00E-07,0,0,37,,
5.00E-07,1,1,38,,
5.00E-07,1,1,38,,
1.40E-06,16,16,38,,
2.30E-06,30,30,38,,
1.20E-06,13,13,38,,
6.00E-07,4,4,38,,
1.00E-06,10,10,38,,
1.60E-06,15,15,39,,
3.40E-06,40,40,41,,
2.80E-06,36,36,40,,
8.00E-07,4,4,42,,
1.50E-06,15,15,43,,
1.70E-06,17,17,42,,
1.60E-06,19,19,39,,
2.90E-06,37,37,38,,
9.00E-07,9,9,38,,
5.00E-07,2,2,38,,
1.90E-06,16,16,39,,
2.00E-06,23,23,36,,
7.00E-07,6,6,37,,
7.00E-07,6,6,37,,
4.60E-06,35,35,36,,
1.40E-06,15,15,34,,
1.60E-06,16,16,37,,
8.00E-07,3,3,38,,
2.90E-06,35,35,37,,
1.90E-06,22,22,35,,
1.90E-06,21,21,33,,
1.50E-06,12,12,33,,
1.50E-06,15,15,34,,
2.60E-06,34,34,36,,
1.60E-06,17,17,38,,
1.20E-06,8,8,38,,
2.60E-06,28,28,38,,
2.20E-06,22,22,36,,
9.00E-07,7,7,36,,
1.10E-06,11,11,35,,
6.00E-07,2,2,34,,
1.60E-06,17,17,34,,
2.30E-06,27,27,29,,
1.70E-06,19,19,30,,
1.40E-06,16,16,29,,
1.30E-06,13,13,29,,
1.50E-06,16,16,27,,
1.20E-06,12,12,28,,
5.00E-07,0,0,28,,
2.20E-06,26,26,28,,
6.00E-07,3,3,28,,
6.00E-07,0,0,28,,
1.20E-06,10,10,23,,
1.30E-06,14,14,23,,
1.00E-06,6,6,25,,
8.00E-07,5,5,27,,
2.10E-06,24,24,26,,
8.00E-07,6,6,28,,
7.00E-07,4,4,32,,
2.20E-06,18,18,32,,
1.60E-06,13,13,29,,
9.00E-07,7,7,31,,
6.00E-07,1,1,29,,
1.20E-06,3,3,28,,
7.00E-07,3,3,28,,
2.00E-06,22,22,28,,
6.00E-07,4,4,31,,
1.50E-06,17,17,30,,
6.00E-07,5,5,30,,
1.20E-06,13,13,32,,
2.00E-06,21,21,35,,
1.90E-06,19,19,35,,
9.00E-07,5,5,34,,
9.00E-07,6,6,34,,
1.50E-06,14,14,35,,
1.90E-06,24,24,35,,
8.00E-07,5,5,34,,
1.30E-06,13,13,34,,
2.30E-06,29,29,34,,
1.50E-06,18,18,36,,
7.00E-07,6,6,36,,
2.60E-06,31,31,35,,
2.40E-06,31,31,35,,
2.40E-06,32,32,35,,
1.20E-06,11,11,35,,
6.00E-07,2,2,36,,
2.40E-06,27,27,32,,
1.40E-06,15,15,34,,
3.10E-06,34,34,35,,
1.60E-06,19,19,35,,
1.10E-06,12,12,36,,
1.00E-06,10,10,35,,
1.40E-06,13,13,35,,
7.00E-07,4,4,35,,
2.80E-06,34,34,36,,
2.90E-06,27,27,36,,
3.80E-06,35,35,36,,
1.50E-06,15,15,39,,
2.50E-06,30,30,38,,
8.00E-07,5,5,36,,
1.60E-06,15,15,37,,
5.00E-07,2,2,35,,
7.00E-07,5,5,37,,
1.10E-06,11,11,38,,
3.90E-06,32,32,38,,
1.10E-06,6,6,38,,
2.10E-06,20,20,39,,
1.10E-06,12,12,39,,
1.40E-06,15,15,41,,
1.50E-06,16,16,43,,
7.00E-07,3,3,44,,
6.00E-07,1,1,44,,
1.70E-06,16,16,44,,
3.10E-06,39,39,40,,
5.00E-07,3,3,40,,
1.10E-06,10,10,38,,
5.00E-07,1,1,39,,
2.10E-06,27,27,33,,
1.50E-06,17,17,31,,
1.10E-06,10,10,37,,
1.60E-06,18,18,37,,
7.00E-07,4,4,34,,
1.20E-06,11,11,33,,
8.00E-07,6,6,32,,
6.00E-07,3,3,31,,
1.30E-06,11,11,33,,
1.00E-06,9,9,32,,
1.50E-06,16,16,35,,
1.20E-06,12,12,36,,
1.90E-06,21,21,36,,
1.80E-06,23,23,34,,
1.60E-06,19,19,34,,
1.50E-06,19,19,33,,
1.80E-06,23,23,33,,
1.20E-06,10,10,34,,
8.00E-07,5,5,31,,
1.80E-06,22,22,32,,
1.20E-06,14,14,33,,
2.30E-06,30,30,34,,
2.30E-06,29,29,35,,
2.00E-06,20,20,36,,
1.90E-06,23,23,35,,
2.50E-06,33,33,36,,
5.00E-07,4,4,37,,
8.00E-07,8,8,38,,
5.00E-07,0,0,38,,
1.30E-06,12,12,38,,
3.20E-06,36,36,42,,
2.40E-06,24,24,42,,
3.10E-06,39,39,43,,
1.30E-06,14,14,41,,
8.00E-07,6,6,41,,
5.00E-07,0,0,43,,
1.00E-06,8,8,43,,
1.00E-06,8,8,41,,
2.20E-06,21,21,38,,
1.60E-06,20,20,37,,
1.50E-06,19,19,37,,
6.00E-07,1,1,35,,
1.30E-06,11,11,36,,
2.60E-06,28,28,31,,
2.20E-06,28,28,32,,
1.80E-06,18,18,29,,
1.60E-06,10,10,27,,
1.20E-06,11,11,27,,
1.70E-06,15,15,30,,
7.00E-07,6,6,36,,
1.50E-06,19,19,34,,
1.90E-06,11,11,34,,
2.10E-06,18,18,40,,
1.30E-06,8,8,42,,
2.30E-06,21,21,39,,
8.00E-07,4,4,38,,
1.10E-06,10,10,38,,
2.60E-06,30,30,39,,
2.80E-06,32,32,36,,
6.00E-07,2,2,35,,
1.70E-06,19,19,34,,
1.00E-06,8,8,35,,
2.50E-06,31,31,33,,
1.70E-06,18,18,31,,
6.00E-07,2,2,29,,
8.00E-07,5,5,28,,
8.00E-07,5,5,27,,
1.30E-06,8,8,30,,
9.00E-07,4,4,30,,
2.20E-06,23,23,31,,
2.00E-06,21,21,31,,
1.80E-06,17,17,34,,
2.40E-06,20,20,31,,
2.70E-06,29,29,31,,
9.00E-07,6,6,31,,
1.50E-06,16,16,32,,
6.00E-07,2,2,27,,
2.10E-06,22,22,26,,
2.20E-06,15,15,25,,
2.10E-06,19,19,24,,
6.00E-07,2,2,25,,
7.00E-07,3,3,19,,
1.30E-06,13,13,19,,
1.50E-06,18,18,21,,
1.00E-06,7,7,21,,
9.00E-07,7,7,23,,
1.20E-06,12,12,24,,
1.00E-06,9,9,25,,
1.30E-06,14,14,26,,
1.40E-06,10,10,23,,
6.00E-07,4,4,20,,
1.10E-06,8,8,15,,
2.00E-06,17,17,20,,
