cas operacie,cislo,index prvku,dlzka zoznamu,,,
2.05E-05,44,0,1,,,5.31E-01
2.08E-05,65,0,2,,,25007
1.71E-05,79,0,2,,,
1.74E-05,72,0,1,,,
1.71E-05,48,0,2,,,
1.74E-05,61,0,2,,,
1.74E-05,43,0,2,,,
1.70E-05,66,0,2,,,
1.74E-05,70,1,3,,,
3.35E-05,63,0,1,,,
2.71E-05,89,0,1,,,
2.90E-05,60,0,1,,,
1.88E-05,75,0,1,,,
1.83E-05,67,0,2,,,
1.82E-05,45,0,2,,,
1.84E-05,69,2,4,,,
1.87E-05,74,1,3,,,
1.82E-05,61,1,3,,,
1.83E-05,58,1,4,,,
1.83E-05,42,2,5,,,
1.82E-05,56,0,5,,,
1.82E-05,69,0,6,,,
1.82E-05,56,2,6,,,
1.83E-05,50,4,6,,,
1.83E-05,85,4,6,,,
1.84E-05,77,0,6,,,
3.23E-05,85,0,5,,,
2.17E-05,84,0,5,,,
1.85E-05,51,3,5,,,
1.84E-05,50,2,5,,,
1.83E-05,43,1,4,,,
1.85E-05,62,0,4,,,
1.82E-05,85,0,3,,,
1.82E-05,41,2,5,,,
1.85E-05,89,2,5,,,
1.79E-05,73,0,1,,,
1.79E-05,63,0,1,,,
1.80E-05,53,0,1,,,
1.86E-05,58,0,1,,,
1.84E-05,50,0,1,,,
1.83E-05,69,0,1,,,
1.79E-05,57,0,2,,,
1.81E-05,74,1,3,,,
2.40E-05,42,0,3,,,
1.85E-05,50,0,2,,,
1.80E-05,85,0,2,,,
1.86E-05,44,0,1,,,
1.82E-05,50,0,1,,,
1.74E-05,51,0,1,,,
1.74E-05,62,0,1,,,
1.75E-05,55,0,1,,,
1.72E-05,48,0,1,,,
1.72E-05,66,0,1,,,
1.71E-05,74,1,3,,,
1.72E-05,48,1,3,,,
1.70E-05,76,0,2,,,
1.73E-05,86,0,2,,,
1.75E-05,67,0,1,,,
2.49E-05,66,0,3,,,
2.10E-05,50,0,2,,,
1.77E-05,41,0,1,,,
1.74E-05,42,0,2,,,
1.71E-05,87,0,2,,,
1.73E-05,54,0,2,,,
1.71E-05,52,0,2,,,
1.75E-05,68,0,3,,,
1.74E-05,64,1,4,,,
1.71E-05,80,2,4,,,
1.73E-05,61,1,6,,,
1.73E-05,66,2,5,,,
2.19E-05,89,3,5,,,
1.89E-05,67,2,5,,,
2.14E-05,70,2,5,,,
1.79E-05,82,3,6,,,
2.15E-05,86,4,6,,,
1.83E-05,88,0,7,,,
1.83E-05,76,2,7,,,
1.81E-05,63,2,7,,,
1.83E-05,50,1,8,,,
1.85E-05,46,1,9,,,
1.82E-05,79,5,9,,,
1.80E-05,55,0,7,,,
1.85E-05,74,1,6,,,
1.81E-05,77,0,6,,,
1.82E-05,71,3,6,,,
1.85E-05,45,2,6,,,
1.84E-05,70,3,6,,,
2.05E-05,57,1,4,,,
1.88E-05,83,3,6,,,
1.82E-05,87,2,6,,,
1.81E-05,42,1,5,,,
1.79E-05,68,1,4,,,
2.39E-05,56,0,4,,,
2.35E-05,62,1,4,,,
1.87E-05,83,1,4,,,
1.74E-05,49,0,2,,,
1.72E-05,72,0,2,,,
3.07E-05,74,0,2,,,
1.94E-05,74,1,3,,,
1.89E-05,87,1,3,,,
1.74E-05,46,0,2,,,
1.72E-05,62,0,2,,,
1.72E-05,84,0,2,,,
1.72E-05,88,0,4,,,
1.72E-05,71,0,5,,,
1.71E-05,68,3,5,,,
1.70E-05,61,1,5,,,
1.72E-05,53,4,6,,,
1.77E-05,60,0,2,,,
1.71E-05,85,0,2,,,
1.73E-05,51,1,3,,,
1.70E-05,75,0,3,,,
1.72E-05,49,0,1,,,
1.70E-05,72,0,2,,,
1.70E-05,54,0,2,,,
1.70E-05,78,0,2,,,
1.71E-05,73,0,2,,,
1.72E-05,59,2,5,,,
1.72E-05,86,2,6,,,
1.73E-05,43,2,5,,,
1.70E-05,49,0,5,,,
1.70E-05,73,0,5,,,
1.74E-05,47,3,7,,,
1.73E-05,45,5,7,,,
1.71E-05,73,1,6,,,
1.74E-05,59,3,7,,,
1.72E-05,68,0,6,,,
1.72E-05,89,1,4,,,
1.71E-05,76,1,3,,,
1.71E-05,68,1,3,,,
1.73E-05,54,1,5,,,
1.71E-05,63,1,5,,,
1.72E-05,60,0,4,,,
1.72E-05,79,0,6,,,
1.75E-05,73,4,7,,,
1.72E-05,56,2,6,,,
1.71E-05,83,1,6,,,
1.72E-05,90,3,6,,,
1.70E-05,47,2,6,,,
1.73E-05,61,2,6,,,
1.75E-05,85,1,7,,,
1.71E-05,54,2,6,,,
1.70E-05,87,0,6,,,
1.84E-05,83,5,7,,,
1.82E-05,43,2,7,,,
2.38E-05,73,0,7,,,
2.73E-05,79,3,6,,,
1.96E-05,74,1,5,,,
1.82E-05,66,2,4,,,
1.80E-05,83,0,4,,,
1.80E-05,80,0,4,,,
3.06E-05,89,4,6,,,
2.73E-05,82,4,6,,,
1.83E-05,90,6,8,,,
1.84E-05,85,6,8,,,
1.80E-05,63,1,9,,,
1.71E-05,72,0,9,,,
1.73E-05,43,4,9,,,
1.71E-05,63,1,8,,,
1.71E-05,68,4,6,,,
1.72E-05,79,3,6,,,
1.70E-05,75,3,6,,,
1.75E-05,57,2,6,,,
1.75E-05,50,1,6,,,
1.72E-05,74,1,5,,,
1.72E-05,72,2,5,,,
1.71E-05,50,0,6,,,
1.71E-05,64,4,6,,,
1.72E-05,43,4,6,,,
1.72E-05,79,3,6,,,
1.71E-05,43,3,6,,,
1.71E-05,86,1,7,,,
1.73E-05,70,2,8,,,
1.70E-05,86,0,8,,,
1.84E-05,42,1,8,,,
2.53E-05,49,4,8,,,
2.41E-05,84,3,8,,,
