cas operacie,cislo na indexe,index prvku,dlzka zoznamu,,
1.71E-05,20,0,1,,5.19E-01
1.67E-05,20,0,1,,24991
1.69E-05,20,0,1,,
1.85E-05,19,0,1,,
1.80E-05,19,0,1,,
1.68E-05,72,0,1,,
1.69E-05,1,0,2,,
1.68E-05,14,0,2,,
1.67E-05,66,0,1,,
2.89E-05,89,0,1,,
2.30E-05,60,0,1,,
1.79E-05,60,0,1,,
2.14E-05,17,0,1,,
9.13E-05,75,0,1,,
2.23E-05,75,0,1,,
1.77E-05,67,0,2,,
1.80E-05,67,0,3,,
1.91E-05,45,0,4,,
1.99E-05,1,0,2,,
2.55E-05,7,1,3,,
1.79E-05,1,1,6,,
1.80E-05,62,0,4,,
1.77E-05,43,1,4,,
1.79E-05,43,3,5,,
1.79E-05,43,4,6,,
1.89E-05,1,1,5,,
2.98E-05,89,1,3,,
2.73E-05,1,0,3,,
1.78E-05,89,0,2,,
1.78E-05,89,0,1,,
1.81E-05,3,0,1,,
1.77E-05,58,0,1,,
1.78E-05,58,0,1,,
1.77E-05,58,0,1,,
1.78E-05,69,0,1,,
1.78E-05,69,0,1,,
1.79E-05,69,0,2,,
1.78E-05,69,0,2,,
1.77E-05,57,0,2,,
1.77E-05,74,0,2,,
2.57E-05,74,0,3,,
1.94E-05,2,1,3,,
2.23E-05,8,0,1,,
1.77E-05,50,0,1,,
1.71E-05,51,0,1,,
1.68E-05,20,0,1,,
1.71E-05,62,0,2,,
1.70E-05,10,0,1,,
1.66E-05,10,0,1,,
1.69E-05,10,0,1,,
1.70E-05,55,0,1,,
1.70E-05,9,0,1,,
1.68E-05,9,0,1,,
1.68E-05,48,0,1,,
1.74E-05,66,0,1,,
1.72E-05,15,0,2,,
1.68E-05,74,1,3,,
1.70E-05,74,1,3,,
1.70E-05,86,0,2,,
1.70E-05,67,0,2,,
2.46E-05,5,1,3,,
1.75E-05,2,0,1,,
1.70E-05,42,0,2,,
1.70E-05,87,0,2,,
1.67E-05,52,0,2,,
1.68E-05,52,0,2,,
1.69E-05,52,1,3,,
1.69E-05,17,0,3,,
1.67E-05,52,1,3,,
2.09E-05,8,1,4,,
1.69E-05,80,2,4,,
1.70E-05,52,0,4,,
1.71E-05,61,1,5,,
4.00E-05,61,1,4,,
1.88E-05,17,1,5,,
1.84E-05,19,0,5,,
1.81E-05,86,5,7,,
1.79E-05,88,0,7,,
1.79E-05,86,5,7,,
1.80E-05,82,4,7,,
1.78E-05,1,0,8,,
1.82E-05,63,2,8,,
1.81E-05,79,3,6,,
1.78E-05,55,0,6,,
1.76E-05,70,1,5,,
1.76E-05,17,1,6,,
2.07E-05,70,2,4,,
