cas operacie,vlozene cislo,index prvku,dlzka zoznamu,,,,,,,,
1.12E-05,19,0,2,,,,,0.0000144,3,0,1
1.00E-05,1,0,2,,,1.38E-01,,0.0000112,14,0,1
1.01E-05,14,0,3,,,6545,,0.0000142,19,0,1
1.44E-05,3,0,1,,,,,0.0000106,17,0,1
1.12E-05,14,0,1,,,,,0.0000136,2,0,1
1.86E-05,1,1,3,,,,,0.0000101,15,0,1
1.83E-05,6,2,6,,,,,0.0000101,10,0,1
1.88E-05,16,1,4,,,,,0.000016,12,0,1
1.86E-05,1,1,6,,,,,0.0000111,15,0,1
1.11E-05,1,0,3,,,,,0.0000121,16,0,1
1.38E-05,11,0,2,,,,,0.0000112,9,0,1
1.11E-05,6,0,3,,,,,0.0000141,2,0,1
1.22E-05,20,0,2,,,,,0.0000125,19,0,1
1.42E-05,19,0,1,,,,,0.0000145,20,0,1
1.06E-05,17,0,1,,,,,0.0000105,3,0,1
1.02E-05,9,0,2,,,,,0.0000102,13,0,1
1.00E-05,4,0,3,,,,,0.0000106,12,0,1
1.36E-05,2,0,1,,,,,0.000011,3,0,1
1.03E-05,17,0,3,,,,,0.000011,19,0,1
1.75E-05,8,1,3,,,,,0.0000127,8,0,1
1.03E-05,19,0,5,,,,,0.0000102,19,0,1
1.08E-05,14,0,9,,,,,0.000011,9,0,1
1.84E-05,20,7,10,,,,,0.0000101,17,0,1
1.85E-05,17,1,7,,,,,0.0000112,14,0,1
2.73E-05,6,2,5,,,,,0.0000115,20,0,1
1.89E-05,3,1,6,,,,,0.0000105,11,0,1
4.14E-05,11,3,5,,,,,0.0000106,15,0,1
1.01E-05,16,0,2,,,,,0.0000103,13,0,1
1.18E-05,8,0,3,,,,,0.0000099,13,0,1
3.27E-05,5,1,4,,,,,0.0000101,8,0,1
1.03E-05,19,0,2,,,,,0.0000139,14,0,1
1.01E-05,15,0,1,,,,,0.00001,10,0,1
1.00E-05,10,0,6,,,,,0.0000103,19,0,1
1.01E-05,10,0,1,,,,,0.0000125,4,0,1
1.00E-05,6,0,2,,,,,0.0000113,13,0,1
1.74E-05,15,1,3,,,,,0.0000119,14,0,1
9.90E-06,12,0,3,,,,,0.0000109,16,0,1
1.75E-05,11,1,5,,,,,0.0000101,12,0,1
3.14E-05,13,4,6,,,,,0.0000135,7,0,1
1.75E-05,16,3,7,,,,,0.0000137,3,0,1
1.75E-05,11,2,7,,,,,0.0000119,19,0,1
2.79E-05,16,1,7,,,,,0.00001,1,0,1
1.89E-05,4,5,9,,,,,0.0000112,19,0,2
1.76E-05,13,5,7,,,,,0.00001,1,0,2
1.77E-05,12,6,8,,,,,0.0000138,11,0,2
2.32E-05,15,4,7,,,,,0.0000122,20,0,2
1.78E-05,10,3,6,,,,,0.0000102,9,0,2
1.00E-05,13,0,7,,,,,0.0000101,16,0,2
1.77E-05,20,3,6,,,,,0.0000103,19,0,2
1.75E-05,1,5,8,,,,,0.00001,6,0,2
1.75E-05,8,3,8,,,,,0.0000107,4,0,2
1.76E-05,16,5,9,,,,,0.0000107,7,0,2
1.78E-05,20,4,12,,,,,0.0000102,4,0,2
1.76E-05,10,4,12,,,,,0.0000102,20,0,2
1.01E-05,9,0,8,,,,,0.00001,9,0,2
1.75E-05,20,1,10,,,,,0.0000107,19,0,2
2.48E-05,14,7,14,,,,,0.0000101,19,0,2
1.76E-05,9,2,16,,,,,0.0000099,8,0,2
1.81E-05,13,13,17,,,,,0.0000105,18,0,2
2.08E-05,4,10,19,,,,,0.0000101,1,0,2
1.77E-05,9,1,18,,,,,0.0000108,1,0,2
1.01E-05,11,0,18,,,,,0.0000099,20,0,2
2.29E-05,15,14,19,,,,,0.0000173,17,0,2
1.79E-05,13,16,19,,,,,0.0000105,5,0,2
1.77E-05,9,8,20,,,,,0.0000111,10,0,2
1.80E-05,12,10,13,,,,,0.00001,10,0,2
1.75E-05,6,3,14,,,,,0.00001,3,0,2
1.80E-05,9,8,14,,,,,0.0000101,9,0,2
1.82E-05,7,4,16,,,,,0.00001,11,0,2
1.86E-05,4,12,17,,,,,0.00001,12,0,2
2.62E-05,6,16,20,,,,,0.0000109,2,0,2
1.80E-05,3,15,21,,,,,0.0000136,1,0,2
1.82E-05,11,19,22,,,,,0.0000102,1,0,2
1.85E-05,4,23,25,,,,,0.0000131,4,0,2
2.13E-05,9,22,25,,,,,0.0000102,8,0,2
1.79E-05,18,7,22,,,,,0.00001,4,0,2
1.02E-05,14,0,24,,,,,0.0000106,8,0,2
1.84E-05,10,2,21,,,,,0.0000101,14,0,3
1.78E-05,1,10,22,,,,,0.0000186,1,1,3
1.79E-05,3,1,20,,,,,0.0000111,1,0,3
1.77E-05,1,4,20,,,,,0.0000111,6,0,3
