cas operacie,vlozene cislo,index prvku,dlzka zoznamu,,,,,,,,
2.70E-06,11,2,3,,,,,0.0000021,19,0,1
1.20E-06,4,2,3,,,1.02E-02,,0.0000018,3,0,1
2.10E-06,19,0,1,,,6736,,0.0000014,20,0,1
1.60E-06,9,2,3,,,,,0.0000012,10,0,1
1.40E-06,7,3,4,,,,,0.0000012,15,0,1
1.50E-06,5,2,3,,,,,0.0000013,10,0,1
1.50E-06,10,3,4,,,,,0.0000027,13,0,1
1.60E-06,3,4,5,,,,,0.0000016,2,0,1
1.80E-06,8,1,2,,,,,0.0000013,15,0,1
1.80E-06,3,0,1,,,,,0.0000012,8,0,1
1.40E-06,19,1,2,,,,,0.0000028,8,0,1
1.40E-06,4,2,3,,,,,0.0000014,3,0,1
2.00E-06,2,2,3,,,,,0.0000012,3,0,1
1.50E-06,5,2,3,,,,,0.0000012,2,0,1
1.50E-06,8,1,2,,,,,0.0000018,14,0,1
1.40E-06,20,0,1,,,,,0.0000011,1,0,1
1.30E-06,3,1,2,,,,,0.0000015,19,0,1
1.20E-06,10,0,1,,,,,0.0000016,10,0,1
1.20E-06,15,0,1,,,,,0.0000019,14,0,1
1.30E-06,13,1,2,,,,,0.0000017,8,0,1
1.20E-06,5,1,2,,,,,0.0000013,2,0,1
1.30E-06,6,2,3,,,,,0.0000011,20,0,1
1.30E-06,14,3,4,,,,,0.0000028,1,0,1
1.30E-06,7,5,6,,,,,0.0000011,20,0,1
1.60E-06,16,5,6,,,,,0.0000014,10,0,1
1.50E-06,7,7,8,,,,,0.0000015,4,0,1
1.50E-06,16,5,6,,,,,0.0000029,2,0,1
1.40E-06,1,5,6,,,,,0.0000013,16,0,1
1.50E-06,18,5,6,,,,,0.0000014,14,0,1
1.40E-06,9,1,2,,,,,0.0000018,8,1,2
1.30E-06,10,0,1,,,,,0.0000014,19,1,2
1.20E-06,16,4,5,,,,,0.0000015,8,1,2
1.40E-06,19,2,3,,,,,0.0000013,3,1,2
1.10E-06,20,3,4,,,,,0.0000013,13,1,2
1.20E-06,6,4,5,,,,,0.0000012,5,1,2
1.20E-06,5,2,3,,,,,0.0000014,9,1,2
1.30E-06,1,3,4,,,,,0.0000015,6,1,2
1.10E-06,2,4,5,,,,,0.0000016,3,1,2
1.20E-06,20,4,5,,,,,0.000003,15,1,2
1.40E-06,10,6,7,,,,,0.0000012,12,1,2
2.30E-06,14,6,7,,,,,0.0000013,5,1,2
1.70E-06,11,5,6,,,,,0.0000016,18,1,2
1.90E-06,3,7,8,,,,,0.0000025,18,1,2
1.40E-06,4,7,8,,,,,0.0000017,2,1,2
1.40E-06,13,6,7,,,,,0.0000016,9,1,2
1.60E-06,7,9,10,,,,,0.0000014,2,1,2
1.30E-06,10,10,11,,,,,0.0000014,10,1,2
1.30E-06,4,11,12,,,,,0.0000022,14,1,2
1.30E-06,7,9,10,,,,,0.0000012,4,1,2
1.20E-06,7,10,11,,,,,0.0000015,15,1,2
1.30E-06,8,10,11,,,,,0.0000015,17,1,2
1.60E-06,19,14,15,,,,,0.0000012,18,1,2
1.40E-06,14,16,17,,,,,0.0000019,6,1,2
1.30E-06,7,15,16,,,,,0.0000026,11,1,2
1.20E-06,7,16,17,,,,,0.0000014,3,1,2
