cas operacie,vlozene cislo,index prvku,dlzka zoznamu,,,,,,,
1.84E-05,14,0,1,,7.82E-02,,0.0000184,14,0,1
1.04E-05,20,0,1,,6722,,0.0000104,20,0,1
1.86E-05,19,0,1,,,,0.0000186,19,0,1
1.01E-05,8,0,1,,,,0.0000101,8,0,1
9.80E-06,13,0,3,,,,0.0000174,17,0,1
1.74E-05,17,0,1,,,,0.0000109,12,0,1
1.12E-05,13,0,2,,,,0.0000101,20,0,1
1.09E-05,11,0,5,,,,0.0000154,3,0,1
1.09E-05,18,0,6,,,,0.0000106,12,0,1
1.09E-05,12,0,1,,,,0.0000111,19,0,1
1.01E-05,20,0,1,,,,0.0000107,17,0,1
1.02E-05,12,0,3,,,,0.0000103,8,0,1
1.03E-05,6,0,2,,,,0.0000138,19,0,1
1.00E-05,19,0,5,,,,0.0000104,20,0,1
9.90E-06,17,0,6,,,,0.00001,6,0,1
1.12E-05,7,0,7,,,,0.0000099,9,0,1
1.10E-05,1,0,8,,,,0.0000106,15,0,1
1.09E-05,20,0,7,,,,0.0000105,11,0,1
1.09E-05,12,0,7,,,,0.0000111,18,0,1
1.02E-05,15,0,2,,,,0.0000151,7,0,1
1.02E-05,11,0,2,,,,0.0000181,19,0,1
1.00E-05,9,0,3,,,,0.000011,12,0,1
1.00E-05,16,0,4,,,,0.0000102,5,0,1
1.00E-05,13,0,5,,,,0.0000106,14,0,1
9.90E-06,18,0,4,,,,0.0000105,4,0,1
1.00E-05,3,0,4,,,,0.0000147,19,0,1
1.00E-05,6,0,6,,,,0.000012,6,0,1
1.01E-05,8,0,7,,,,0.0000101,7,0,1
1.01E-05,1,0,7,,,,0.0000101,15,0,1
1.03E-05,4,0,8,,,,0.0000098,9,0,1
1.01E-05,3,0,6,,,,0.0000111,4,0,1
9.90E-06,18,0,4,,,,0.0000101,4,0,1
1.01E-05,11,0,6,,,,0.0000111,5,0,1
1.80E-05,17,0,7,,,,0.0000107,3,0,1
1.00E-05,14,0,7,,,,0.0000109,12,0,1
1.00E-05,9,0,6,,,,0.0000109,2,0,1
2.52E-05,9,0,6,,,,0.0000112,13,0,2
1.55E-05,5,0,4,,,,0.0000103,6,0,2
1.31E-05,5,0,5,,,,0.0000102,15,0,2
1.02E-05,14,0,10,,,,0.0000102,11,0,2
1.03E-05,19,0,5,,,,0.0000111,6,0,2
9.80E-06,7,0,7,,,,0.0000113,12,0,2
1.15E-05,4,0,9,,,,0.0000103,6,0,2
1.20E-05,18,0,10,,,,0.00001,1,0,2
1.06E-05,12,0,7,,,,0.000012,4,0,2
1.29E-05,12,0,8,,,,0.0000103,14,0,2
1.01E-05,4,0,9,,,,0.0000166,8,0,2
1.00E-05,16,0,9,,,,0.0000114,19,0,2
1.44E-05,1,0,11,,,,0.0000107,7,0,2
1.00E-05,17,0,12,,,,0.0000106,7,0,2
1.00E-05,18,0,12,,,,0.0000099,12,0,2
1.02E-05,12,0,12,,,,0.0000111,15,0,2
1.17E-05,17,0,13,,,,0.0000143,13,0,2
1.25E-05,3,0,16,,,,0.0000104,1,0,2
1.04E-05,2,0,15,,,,0.0000111,13,0,2
1.00E-05,4,0,18,,,,0.0000104,13,0,2
9.90E-06,1,0,21,,,,0.00001,4,0,2
1.02E-05,1,0,12,,,,0.0000104,2,0,2
1.02E-05,10,0,15,,,,0.0000101,3,0,2
1.13E-05,1,0,15,,,,0.00001,4,0,2
1.03E-05,14,0,19,,,,0.0000101,3,0,2
2.73E-05,13,0,20,,,,0.0000111,6,0,2
1.01E-05,16,0,22,,,,0.0000099,10,0,2
1.02E-05,14,0,24,,,,0.0000105,14,0,2
1.01E-05,19,0,22,,,,0.0000109,14,0,2
