cas operacie,index prvku,dlzka zoznamu,,,
1.01E-05,0,1,,,1.45E-01
1.75E-05,1,2,,,6661
1.79E-05,1,2,,,
1.17E-05,0,0,,,
2.76E-05,0,0,,,
1.11E-05,0,2,,,
1.88E-05,2,3,,,
1.13E-05,0,5,,,
1.95E-05,2,4,,,
1.09E-05,0,1,,,
1.15E-05,0,1,,,
1.29E-05,0,2,,,
1.09E-05,0,1,,,
1.03E-05,0,0,,,
1.00E-05,0,1,,,
1.45E-05,0,0,,,
1.01E-05,0,2,,,
1.10E-05,0,1,,,
1.02E-05,0,0,,,
1.80E-05,2,5,,,
1.87E-05,3,6,,,
1.88E-05,3,6,,,
2.35E-05,0,4,,,
1.83E-05,1,3,,,
1.02E-05,0,2,,,
1.84E-05,1,3,,,
1.78E-05,1,2,,,
1.77E-05,1,2,,,
1.01E-05,0,6,,,
1.77E-05,2,3,,,
1.83E-05,1,6,,,
1.80E-05,4,6,,,
2.93E-05,1,6,,,
3.05E-05,0,5,,,
2.86E-05,3,5,,,
1.15E-05,0,7,,,
1.02E-05,0,8,,,
1.78E-05,1,7,,,
1.79E-05,5,6,,,
1.78E-05,1,5,,,
1.77E-05,2,5,,,
1.05E-05,0,6,,,
3.84E-05,4,8,,,
1.77E-05,2,11,,,
1.76E-05,1,11,,,
1.79E-05,2,9,,,
2.34E-05,5,6,,,
1.79E-05,3,8,,,
1.80E-05,7,11,,,
1.84E-05,12,16,,,
1.80E-05,3,16,,,
1.80E-05,8,17,,,
1.79E-05,5,20,,,
1.79E-05,8,19,,,
1.04E-05,0,18,,,
1.79E-05,13,17,,,
2.11E-05,5,15,,,
1.82E-05,11,14,,,
1.81E-05,7,13,,,
1.97E-05,13,15,,,
1.81E-05,9,13,,,
1.77E-05,5,14,,,
2.46E-05,11,14,,,
1.78E-05,2,21,,,
1.82E-05,15,24,,,
2.71E-05,13,24,,,
1.80E-05,6,24,,,
1.81E-05,4,22,,,
1.79E-05,1,21,,,
1.81E-05,13,21,,,
2.36E-05,7,20,,,
2.37E-05,9,19,,,
2.50E-05,13,23,,,
2.06E-05,12,23,,,
1.93E-05,22,23,,,
3.06E-05,11,32,,,
1.86E-05,11,37,,,
1.85E-05,28,36,,,
2.30E-05,10,36,,,
1.90E-05,35,39,,,
1.90E-05,20,41,,,
2.41E-05,9,42,,,
1.99E-05,25,41,,,
1.92E-05,34,40,,,
1.84E-05,11,35,,,
1.82E-05,12,33,,,
1.80E-05,11,33,,,
1.85E-05,28,33,,,
1.79E-05,2,33,,,
2.40E-05,23,33,,,
1.85E-05,20,32,,,
1.81E-05,8,33,,,
2.77E-05,21,35,,,
1.95E-05,31,34,,,
1.00E-05,0,35,,,
1.81E-05,5,32,,,
1.90E-05,31,34,,,
1.76E-05,3,33,,,
2.36E-05,9,32,,,
1.81E-05,8,31,,,
1.90E-05,12,22,,,
1.96E-05,10,21,,,
1.89E-05,10,20,,,
1.01E-05,0,21,,,
1.79E-05,5,21,,,
1.78E-05,5,25,,,
1.84E-05,8,26,,,
2.49E-05,11,24,,,
1.96E-05,19,23,,,
1.76E-05,2,26,,,
1.89E-05,7,32,,,
2.42E-05,22,30,,,
1.91E-05,1,26,,,
1.92E-05,22,25,,,
1.90E-05,13,24,,,
1.89E-05,5,23,,,
1.91E-05,11,23,,,
2.80E-05,23,26,,,
1.93E-05,7,22,,,
1.90E-05,7,21,,,
1.82E-05,8,18,,,
1.90E-05,8,17,,,
1.07E-05,0,16,,,
1.79E-05,3,14,,,
2.13E-05,6,13,,,
1.92E-05,5,12,,,
1.82E-05,5,12,,,
1.77E-05,5,10,,,
1.13E-05,0,9,,,
2.55E-05,7,9,,,
2.21E-05,14,16,,,
1.85E-05,16,21,,,
1.78E-05,6,22,,,
1.80E-05,10,21,,,
1.82E-05,11,24,,,
1.89E-05,20,25,,,
1.84E-05,10,23,,,
1.92E-05,23,25,,,
3.21E-05,24,26,,,
1.96E-05,20,32,,,
1.87E-05,4,31,,,
2.37E-05,32,37,,,
1.89E-05,6,36,,,
1.98E-05,30,36,,,
1.91E-05,11,35,,,
1.99E-05,29,36,,,
1.90E-05,11,35,,,
1.94E-05,18,33,,,
1.96E-05,15,34,,,
1.12E-05,0,34,,,
1.93E-05,18,35,,,
1.92E-05,34,35,,,
2.66E-05,15,35,,,
2.33E-05,25,40,,,
2.00E-05,40,41,,,
1.89E-05,27,40,,,
1.92E-05,35,39,,,
1.89E-05,13,38,,,
1.90E-05,26,39,,,
1.01E-05,0,38,,,
1.83E-05,10,39,,,
1.88E-05,18,39,,,
1.88E-05,28,38,,,
1.96E-05,36,38,,,
1.88E-05,30,38,,,
1.89E-05,31,36,,,
1.88E-05,34,35,,,
1.82E-05,18,34,,,
1.86E-05,5,40,,,
1.99E-05,12,37,,,
1.94E-05,23,36,,,
2.36E-05,19,40,,,
1.78E-05,2,41,,,
1.83E-05,9,41,,,
1.78E-05,2,40,,,
1.81E-05,4,39,,,
1.94E-05,24,38,,,
2.10E-05,28,35,,,
1.89E-05,21,35,,,
1.92E-05,10,35,,,
2.53E-05,26,33,,,
2.07E-05,33,39,,,
1.94E-05,10,36,,,
1.95E-05,26,36,,,
1.10E-05,0,36,,,
1.91E-05,13,34,,,
3.02E-05,28,33,,,
1.95E-05,23,33,,,
1.95E-05,19,34,,,
2.36E-05,18,33,,,
1.94E-05,15,29,,,
1.88E-05,5,30,,,
1.92E-05,23,29,,,
1.92E-05,17,28,,,
1.90E-05,5,30,,,
1.97E-05,26,29,,,
1.93E-05,24,32,,,
1.99E-05,24,29,,,
2.30E-05,20,27,,,
2.06E-05,7,26,,,
2.26E-05,21,25,,,
1.87E-05,3,23,,,
2.16E-05,9,30,,,
2.10E-05,14,29,,,
1.79E-05,1,35,,,
1.91E-05,16,33,,,
1.84E-05,7,32,,,
2.08E-05,13,32,,,
1.93E-05,31,34,,,
1.97E-05,18,34,,,
2.20E-05,5,35,,,
1.95E-05,5,35,,,
1.84E-05,14,36,,,
1.91E-05,33,35,,,
1.85E-05,22,35,,,
1.86E-05,26,32,,,
2.04E-05,1,32,,,
1.83E-05,10,35,,,
1.77E-05,5,33,,,
1.89E-05,4,35,,,
1.71E-05,0,36,,,
1.97E-05,30,38,,,
2.34E-05,19,37,,,
2.31E-05,25,35,,,
1.82E-05,18,35,,,
1.85E-05,14,37,,,
1.86E-05,25,37,,,
1.90E-05,35,37,,,
1.82E-05,9,36,,,
1.95E-05,36,41,,,
1.89E-05,35,40,,,
1.79E-05,12,39,,,
1.79E-05,2,38,,,
1.85E-05,25,34,,,
1.78E-05,5,32,,,
1.88E-05,19,34,,,
2.30E-05,1,34,,,
1.82E-05,8,33,,,
1.81E-05,16,32,,,
1.78E-05,6,31,,,
1.79E-05,4,31,,,
1.86E-05,27,30,,,
1.83E-05,6,32,,,
1.79E-05,4,36,,,
1.86E-05,7,36,,,
1.82E-05,17,35,,,
1.83E-05,5,34,,,
1.87E-05,26,32,,,
1.82E-05,4,32,,,
2.00E-05,21,32,,,
1.77E-05,1,34,,,
2.71E-05,32,34,,,
1.85E-05,26,36,,,
1.01E-05,0,37,,,
1.81E-05,19,36,,,
2.12E-05,26,38,,,
2.44E-05,23,38,,,
1.85E-05,21,38,,,
1.82E-05,14,39,,,
2.72E-05,13,42,,,
1.80E-05,4,41,,,
1.79E-05,5,40,,,
2.52E-05,27,42,,,
1.86E-05,23,41,,,
1.84E-05,14,40,,,
1.78E-05,0,39,,,
1.83E-05,17,37,,,
1.91E-05,16,37,,,
1.82E-05,12,35,,,
1.78E-05,9,35,,,
1.89E-05,3,32,,,
2.61E-05,26,31,,,
2.04E-05,6,30,,,
1.87E-05,12,30,,,
8.59E-05,4,28,,,
2.35E-05,12,27,,,
1.03E-05,0,26,,,
1.83E-05,12,26,,,
1.96E-05,17,38,,,
1.92E-05,10,37,,,
1.91E-05,12,36,,,
2.06E-05,33,39,,,
1.95E-05,23,39,,,
2.02E-05,17,37,,,
1.93E-05,3,36,,,
1.12E-05,0,35,,,
1.94E-05,22,34,,,
1.97E-05,28,32,,,
2.33E-05,26,29,,,
1.91E-05,9,29,,,
1.89E-05,9,28,,,
1.95E-05,22,28,,,
2.67E-05,22,27,,,
3.07E-05,9,26,,,
1.97E-05,23,31,,,
2.49E-05,9,33,,,
1.94E-05,14,31,,,
1.96E-05,22,31,,,
1.99E-05,23,30,,,
1.87E-05,7,26,,,
3.32E-05,10,24,,,
2.69E-05,1,23,,,
2.86E-05,17,22,,,
1.90E-05,1,25,,,
1.89E-05,4,24,,,
1.78E-05,2,20,,,
1.80E-05,1,20,,,
1.91E-05,9,20,,,
3.62E-05,6,17,,,
3.91E-05,3,16,,,
1.97E-05,11,14,,,
1.89E-05,7,19,,,
1.88E-05,1,20,,,
1.87E-05,16,19,,,
1.76E-05,1,18,,,
1.79E-05,2,17,,,
1.79E-05,5,16,,,
1.78E-05,5,16,,,
1.80E-05,15,17,,,
1.79E-05,12,16,,,
1.81E-05,10,19,,,
2.01E-05,20,21,,,
1.83E-05,12,21,,,
1.82E-05,10,21,,,
1.76E-05,3,20,,,
1.85E-05,16,18,,,
1.78E-05,2,17,,,
1.80E-05,10,19,,,
1.93E-05,4,19,,,
1.76E-05,2,20,,,
1.79E-05,5,20,,,
2.04E-05,12,21,,,
1.81E-05,5,18,,,
1.80E-05,9,18,,,
1.77E-05,2,17,,,
1.78E-05,4,18,,,
1.87E-05,4,17,,,
1.89E-05,8,16,,,
1.76E-05,1,16,,,
1.78E-05,6,15,,,
1.80E-05,10,14,,,
2.42E-05,6,18,,,
1.85E-05,13,18,,,
1.82E-05,11,19,,,
1.93E-05,13,20,,,
1.85E-05,1,21,,,
3.39E-05,12,19,,,
1.95E-05,15,23,,,
1.89E-05,1,25,,,
1.86E-05,6,24,,,
2.74E-05,7,20,,,
1.93E-05,9,18,,,
1.91E-05,14,17,,,
1.85E-05,1,17,,,
1.90E-05,2,18,,,
1.89E-05,8,19,,,
1.89E-05,15,18,,,
3.59E-05,10,18,,,
3.47E-05,9,17,,,
2.30E-05,2,18,,,
1.80E-05,4,22,,,
2.04E-05,4,25,,,
1.87E-05,14,28,,,
1.96E-05,20,27,,,
1.82E-05,9,25,,,
1.80E-05,9,25,,,
1.79E-05,1,24,,,
1.80E-05,15,23,,,
1.82E-05,11,24,,,
2.16E-05,22,23,,,
1.89E-05,20,22,,,
1.82E-05,7,22,,,
1.83E-05,15,20,,,
1.83E-05,16,19,,,
8.93E-05,10,17,,,
1.86E-05,9,18,,,
1.78E-05,2,18,,,
1.81E-05,2,18,,,
4.17E-05,14,18,,,
2.53E-05,9,18,,,
2.46E-05,13,26,,,
1.82E-05,15,27,,,
1.82E-05,16,26,,,
1.84E-05,22,28,,,
1.78E-05,7,26,,,
1.83E-05,21,25,,,
2.38E-05,14,24,,,
1.91E-05,19,26,,,
1.85E-05,25,27,,,
1.78E-05,8,25,,,
1.84E-05,20,27,,,
1.82E-05,19,25,,,
1.94E-05,14,22,,,
1.79E-05,9,22,,,
1.81E-05,3,22,,,
2.99E-05,14,21,,,
1.44E-05,0,20,,,
1.77E-05,3,21,,,
2.07E-05,9,21,,,
1.79E-05,3,18,,,
1.03E-05,0,23,,,
1.80E-05,3,21,,,
1.83E-05,14,25,,,
2.77E-05,27,32,,,
1.83E-05,20,37,,,
1.87E-05,24,37,,,
1.89E-05,33,37,,,
1.85E-05,19,36,,,
1.80E-05,13,41,,,
2.63E-05,11,40,,,
1.82E-05,13,40,,,
1.82E-05,12,40,,,
1.86E-05,27,39,,,
1.95E-05,22,41,,,
1.86E-05,17,41,,,
2.65E-05,20,41,,,
1.97E-05,19,36,,,
1.84E-05,12,37,,,
2.03E-05,8,36,,,
1.81E-05,8,40,,,
1.98E-05,9,39,,,
2.41E-05,15,39,,,
2.10E-05,29,43,,,
1.83E-05,5,42,,,
1.81E-05,9,40,,,
2.25E-05,33,47,,,
1.82E-05,7,46,,,
1.85E-05,19,44,,,
1.85E-05,22,44,,,
1.90E-05,30,42,,,
2.08E-05,32,40,,,
1.80E-05,1,32,,,
1.76E-05,1,31,,,
2.19E-05,18,31,,,
2.64E-05,23,30,,,
2.11E-05,21,29,,,
1.88E-05,27,32,,,
2.28E-05,16,31,,,
1.90E-05,29,30,,,
2.38E-05,12,28,,,
1.83E-05,10,25,,,
1.85E-05,21,26,,,
1.83E-05,11,21,,,
1.80E-05,11,24,,,
1.83E-05,20,23,,,
1.91E-05,17,26,,,
4.39E-05,15,28,,,
2.80E-05,8,27,,,
1.96E-05,15,26,,,
1.88E-05,17,23,,,
1.82E-05,12,21,,,
1.01E-05,0,25,,,
1.39E-05,0,27,,,
1.80E-05,5,32,,,
2.05E-05,8,34,,,
2.01E-05,25,33,,,
1.84E-05,10,33,,,
1.79E-05,6,33,,,
1.78E-05,2,32,,,
1.80E-05,12,27,,,
1.88E-05,25,31,,,
1.85E-05,23,30,,,
1.80E-05,11,28,,,
1.86E-05,21,33,,,
1.96E-05,3,34,,,
1.82E-05,17,32,,,
1.81E-05,18,32,,,
1.89E-05,24,32,,,
1.88E-05,31,35,,,
1.02E-05,0,34,,,
1.87E-05,16,34,,,
1.88E-05,26,34,,,
1.87E-05,28,33,,,
1.79E-05,4,31,,,
1.86E-05,24,30,,,
2.43E-05,24,29,,,
1.82E-05,7,28,,,
1.81E-05,11,27,,,
1.82E-05,16,25,,,
1.79E-05,7,25,,,
1.90E-05,6,22,,,
1.85E-05,15,24,,,
1.80E-05,9,21,,,
1.78E-05,4,18,,,
1.79E-05,8,19,,,
1.84E-05,18,23,,,
1.84E-05,19,29,,,
1.90E-05,30,33,,,
2.21E-05,17,26,,,
2.04E-05,21,25,,,
1.81E-05,10,29,,,
1.80E-05,11,29,,,
1.89E-05,13,29,,,
1.80E-05,14,28,,,
1.82E-05,13,28,,,
1.86E-05,22,26,,,
